po_number,line,item_id,description,manufacturer_part_number,ordered_qty,uom,unit_cost,extended_cost,need_by_date,promised_date,received_qty,line_status,gl_account
PO-31001,1,P-10035,"Threadlocker 243 medium strength blue, 50 mL",243,50,EA,21.4,1070.0,2025-07-20,2025-07-20,50,Received,6700
PO-31001,2,P-10035,"Threadlocker 243 medium strength blue, 50 mL",243,193,EA,21.4,4130.2,2025-07-20,2025-07-20,193,Received,6700
PO-31002,1,P-20029,Set Screw 5/8-11,K45261,22,EA,0.71,15.62,2026-01-24,2026-01-24,22,Received,1200
PO-31003,1,P-20019,Oil Seal 2.000,H13435,50,EA,12.65,632.5,2026-01-20,2026-01-20,0,Open,1200
PO-31003,2,P-20006,Set Screw 5/8-11,T65806,112,EA,0.2,22.4,2025-12-13,2025-12-13,0,Open,1200
PO-31003,3,P-20014,Carbide Insert 1/4-20,L11014,52,EA,20.71,1076.92,2026-01-08,2026-01-08,52,Received,6700
PO-31004,1,P-10049,"KleenGuard G10 nitrile gloves, large, 100/bx",G10,168,BX,9.85,1654.8,2026-03-07,2026-03-12,168,Received,6700
PO-31005,1,P-20064,Retaining Ring 1/4-20,E60404,42,EA,0.7000000000000001,29.4,2025-05-23,2025-05-23,42,Received,1200
PO-31005,2,P-20051,Oil Seal size 4,H85200,129,EA,11.200000000000001,1444.8,2025-06-04,2025-06-04,129,Received,1200
PO-31005,3,P-20045,Set Screw M10,S44671,82,EA,0.18,14.76,2025-05-26,2025-05-26,82,Received,1200
PO-31005,4,P-20045,Set Screw M10,S44671,50,EA,0.18,9.0,2025-05-26,2025-05-31,50,Received,1200
PO-31006,1,P-20021,Carbide Insert 1.000,L17781,57,EA,23.78,1355.46,2026-03-26,2026-03-28,57,Received,6700
PO-31006,2,P-20069,Oil Seal 1.375,L27329,50,EA,4.72,236.0,2026-03-15,2026-03-15,50,Received,1200
PO-31007,1,P-20054,Set Screw M12,L79607,191,EA,0.49,93.59,2025-06-14,2025-06-14,191,Received,1200
PO-31007,2,P-20021,Carbide Insert 1.000,L17781,57,EA,23.78,1355.46,2025-06-19,2025-06-19,57,Received,6700
PO-31007,3,P-20021,Carbide Insert 1.000,L17781,57,EA,23.78,1355.46,2025-06-19,2025-06-19,0,Open,6700
PO-31008,1,P-10077,WD-40 Multi-Use 1 gal,49012,281,GA,27.8,7811.8,2025-07-04,2025-07-09,281,Received,6700
PO-31008,2,P-10035,"Threadlocker 243 medium strength blue, 50 mL",243,193,EA,21.4,4130.2,2025-07-02,2025-07-02,193,Received,6700
