po_number,supplier_id,supplier_name,po_date,buyer_id,payment_terms,ship_via,freight_terms,po_total,po_status,approved_by,sent_method
PO-31001,NIC-V018,"W.W. Grainger, Inc.",2025-07-10,E061,Net 30,UPS Ground,FOB Origin,5200.2,Closed,E061,Supplier Portal
PO-31002,NIC-V017,Uline,2025-12-15,E063,Net 30,UPS Ground,Collect,15.62,Closed,E063,Phone
PO-31003,NIC-V009,Haas Automation,2025-12-06,E062,Net 30,FedEx Ground,FOB Origin,1731.82,Open,E062,Email PDF
PO-31004,NIC-V006,Cintas Corporation,2026-03-04,E063,Net 30,Will Call,Prepaid & Add,1654.8,Closed,E063,Email PDF
PO-31005,NIC-V007,Fastenal,2025-05-09,E061,Net 30,UPS Ground,FOB Origin,1497.96,Closed,E061,Phone
PO-31006,NIC-V001,Alro Steel,2026-02-11,E062,Net 30,Supplier Truck,FOB Destination,1591.46,Closed,E062,EDI 850
PO-31007,NIC-V001,Alro Steel,2025-05-07,E060,Net 30,FedEx Ground,Prepaid & Add,2804.51,Open,E060,Phone
PO-31008,NIC-V018,"W.W. Grainger, Inc.",2025-06-22,E060,Net 30,UPS Ground,Prepaid & Add,11942.0,Closed,E001,Email PDF
PO-31009,NIC-V008,Garlock Sealing Technologies,2025-10-03,E061,Net 30,Supplier Truck,FOB Origin,26890.41,Open,E001,Phone
PO-31010,NIC-V004,Baldor-Reliance (ABB),2025-07-24,E062,Net 45,LTL - Estes,FOB Origin,4645.2,Open,E062,EDI 850
PO-31011,NIC-V011,McMaster-Carr,2025-08-22,E060,Net 30,UPS Ground,FOB Destination,570.6,Closed,E060,Phone
PO-31012,NIC-V016,Sandvik Coromant,2026-01-22,E062,Net 30,Supplier Truck,FOB Destination,25.08,Closed,E062,Phone
PO-31013,NIC-V004,Baldor-Reliance (ABB),2025-04-17,E061,Net 45,LTL - Estes,Collect,5385.34,Closed,E061,Supplier Portal
PO-31014,NIC-V004,Baldor-Reliance (ABB),2025-07-12,E062,Net 45,Supplier Truck,FOB Origin,15992.57,Closed,E001,Supplier Portal
PO-31015,NIC-V014,Regal Rexnord,2025-10-03,E062,Net 45,Supplier Truck,FOB Origin,1150.0,Closed,E062,Email PDF
PO-31016,NIC-V007,Fastenal,2025-08-02,E062,Net 30,LTL - Estes,FOB Destination,5884.2,Closed,E062,Email PDF
PO-31017,NIC-V017,Uline,2025-04-11,E061,Net 30,LTL - Estes,Prepaid & Add,502.5,Closed,E061,Email PDF
PO-31018,NIC-V005,Brighton-Best International,2025-08-05,E063,Net 30,LTL - Estes,FOB Destination,3134.07,Closed,E063,Supplier Portal
PO-31019,NIC-V014,Regal Rexnord,2025-08-15,E060,Net 45,Will Call,Prepaid & Add,1730.52,Closed,E060,Supplier Portal
PO-31020,NIC-V007,Fastenal,2025-05-24,E061,Net 30,LTL - Estes,Collect,124.16,Closed,E061,EDI 850
PO-31021,NIC-V018,"W.W. Grainger, Inc.",2025-11-27,E063,Net 30,FedEx Ground,Prepaid & Add,4130.2,Closed,E063,Phone
PO-31022,NIC-V004,Baldor-Reliance (ABB),2025-06-04,E062,Net 45,Will Call,FOB Destination,2710.0,Closed,E062,Email PDF
PO-31023,NIC-V010,MSC Industrial Supply,2025-10-09,E063,Net 30,FedEx Ground,Prepaid & Add,626.08,Closed,E063,EDI 850
PO-31024,NIC-V009,Haas Automation,2025-10-31,E060,Net 30,UPS Ground,Prepaid & Add,6583.1,Closed,E060,Email PDF
PO-31025,NIC-V006,Cintas Corporation,2025-04-29,E063,Net 30,Supplier Truck,Prepaid & Add,3080.75,Closed,E063,Phone
PO-31026,NIC-V010,MSC Industrial Supply,2025-04-20,E060,Net 30,Will Call,FOB Destination,5949.2,Open,E060,Email PDF
PO-31027,NIC-V008,Garlock Sealing Technologies,2025-05-16,E062,Net 30,Supplier Truck,FOB Destination,8333.64,Closed,E062,Supplier Portal
PO-31028,NIC-V009,Haas Automation,2025-12-10,E063,Net 30,Supplier Truck,Prepaid & Add,1197.58,Closed,E063,EDI 850
PO-31029,NIC-V006,Cintas Corporation,2025-06-12,E061,Net 30,FedEx Ground,FOB Destination,2273.05,Closed,E061,Supplier Portal
PO-31030,NIC-V016,Sandvik Coromant,2026-02-04,E060,Net 30,LTL - Estes,FOB Destination,6259.5,Closed,E060,EDI 850
PO-31031,NIC-V002,Apex Fastener Corp,2026-03-15,E061,Net 30,LTL - Estes,FOB Destination,8261.44,Open,E061,Supplier Portal
