requisition_id,requested_by,request_date,department,reason,approved_by,approval_date,converted_po,status
NIC-REQ0001,E029,2025-05-02,Operations,Maintenance,E060,2025-05-07,PO-31007,Ordered
NIC-REQ0002,E032,2025-08-18,Maintenance,Customer order,E060,2025-08-22,PO-31011,Ordered
NIC-REQ0003,E067,2026-01-21,Warehouse,Customer order,E060,2026-01-22,PO-31012,Ordered
NIC-REQ0004,E077,2025-04-13,Operations,Customer order,E060,2025-04-17,PO-31013,Ordered
NIC-REQ0005,E056,2025-07-10,Purchasing,Stock-out,E060,2025-07-12,PO-31014,Ordered
NIC-REQ0006,E055,2025-08-10,Purchasing,Customer order,E060,2025-08-15,PO-31019,Ordered
NIC-REQ0007,E081,2025-11-26,Purchasing,Customer order,E060,2025-11-27,PO-31021,Ordered
NIC-REQ0008,E009,2025-10-04,Purchasing,Maintenance,E060,2025-10-09,PO-31023,Ordered
NIC-REQ0009,E065,2025-10-26,Warehouse,Customer order,E060,2025-10-31,PO-31024,Ordered
NIC-REQ0010,E087,2026-03-11,Maintenance,Customer order,E060,2026-03-15,PO-31031,Ordered
NIC-REQ0011,E077,2025-09-03,Warehouse,Customer order,E060,2025-09-07,PO-31032,Ordered
NIC-REQ0012,E076,2026-01-23,Maintenance,MRP,E060,2026-01-28,PO-31033,Ordered
NIC-REQ0013,E012,2025-06-03,Warehouse,Stock-out,E060,2025-06-05,PO-31034,Ordered
NIC-REQ0014,E072,2025-10-03,Warehouse,Maintenance,E060,2025-10-04,PO-31035,Ordered
NIC-REQ0015,E098,2025-07-25,Operations,MRP,E060,2025-07-28,PO-31037,Ordered
NIC-REQ0016,E090,2025-08-02,Purchasing,Maintenance,E060,2025-08-06,PO-31038,Ordered
NIC-REQ0017,E014,2026-02-10,Maintenance,MRP,E060,2026-02-14,PO-31041,Ordered
NIC-REQ0018,E040,2025-06-20,Warehouse,MRP,E060,2025-06-21,PO-31042,Ordered
NIC-REQ0019,E054,2025-08-30,Purchasing,Below reorder point,E060,2025-09-01,PO-31043,Ordered
NIC-REQ0020,E096,2025-07-24,Operations,Below reorder point,E060,2025-07-25,PO-31045,Ordered
NIC-REQ0021,E059,2025-05-16,Operations,Stock-out,E060,2025-05-20,PO-31049,Ordered
NIC-REQ0022,E077,2026-03-18,Maintenance,Customer order,E060,2026-03-23,PO-31054,Ordered
NIC-REQ0023,E042,2025-11-18,Maintenance,Customer order,E060,2025-11-19,PO-31057,Ordered
NIC-REQ0024,E032,2026-01-08,Maintenance,Maintenance,E060,2026-01-12,PO-31058,Ordered
NIC-REQ0025,E022,2026-02-23,Purchasing,Customer order,E060,2026-02-25,PO-31059,Ordered
NIC-REQ0026,E052,2025-09-24,Maintenance,Customer order,E060,2025-09-28,PO-31060,Ordered
NIC-REQ0027,E001,2026-02-15,Operations,MRP,E060,2026-02-16,PO-31062,Ordered
NIC-REQ0028,E012,2026-03-18,Purchasing,Maintenance,E060,2026-03-21,PO-31066,Ordered
NIC-REQ0029,E024,2025-03-31,Warehouse,Maintenance,E060,2025-04-05,PO-31072,Ordered
NIC-REQ0030,E032,2025-06-29,Operations,MRP,E060,2025-07-02,PO-31073,Ordered
NIC-REQ0031,E103,2025-04-15,Operations,Customer order,E060,2025-04-18,PO-31074,Ordered
NIC-REQ0032,E094,2025-08-20,Operations,Below reorder point,E060,2025-08-23,PO-31075,Ordered
NIC-REQ0033,E050,2025-04-17,Purchasing,Stock-out,E060,2025-04-21,PO-31083,Ordered
NIC-REQ0034,E013,2026-01-24,Warehouse,Customer order,E060,2026-01-29,PO-31088,Ordered
NIC-REQ0035,E006,2026-01-04,Purchasing,MRP,E060,2026-01-05,PO-31091,Ordered
NIC-REQ0036,E087,2025-08-14,Operations,MRP,E060,2025-08-19,PO-31092,Ordered
NIC-REQ0037,E059,2026-01-07,Warehouse,Customer order,E060,2026-01-09,PO-31094,Ordered
NIC-REQ0038,E083,2026-03-15,Purchasing,Below reorder point,E060,2026-03-19,PO-31095,Ordered
NIC-REQ0039,E011,2025-06-12,Operations,Customer order,E060,2025-06-16,PO-31096,Ordered
NIC-REQ0040,E018,2025-08-20,Maintenance,Below reorder point,E060,2025-08-21,PO-31097,Ordered
NIC-REQ0041,E011,2025-12-10,Operations,Customer order,E060,2025-12-13,PO-31098,Ordered
NIC-REQ0042,E106,2025-04-15,Purchasing,Below reorder point,E060,2025-04-19,PO-31099,Ordered
NIC-REQ0043,E078,2025-11-11,Warehouse,Below reorder point,E060,2025-11-12,PO-31101,Ordered
NIC-REQ0044,E069,2025-11-26,Warehouse,MRP,E060,2025-12-01,PO-31106,Ordered
NIC-REQ0045,E053,2026-03-07,Operations,Stock-out,E060,2026-03-11,PO-31107,Ordered
NIC-REQ0046,E072,2025-04-05,Purchasing,MRP,E060,2025-04-07,PO-31108,Ordered
NIC-REQ0047,E008,2025-11-10,Maintenance,Below reorder point,E060,2025-11-15,PO-31109,Ordered
NIC-REQ0048,E013,2025-06-06,Warehouse,Stock-out,E060,2025-06-09,PO-31115,Ordered
NIC-REQ0049,E008,2025-12-20,Warehouse,Customer order,E060,2025-12-24,PO-31116,Ordered
NIC-REQ0050,E044,2025-10-04,Purchasing,MRP,E060,2025-10-08,PO-31118,Ordered
NIC-REQ0051,E029,2025-04-20,Operations,Customer order,E060,2025-04-25,PO-31119,Ordered
NIC-REQ0052,E001,2025-04-26,Purchasing,Stock-out,E060,2025-04-28,PO-31123,Ordered
NIC-REQ0053,E098,2025-08-02,Purchasing,Customer order,E060,2025-08-05,PO-31124,Ordered
NIC-REQ0054,E085,2026-01-04,Warehouse,MRP,E060,2026-01-08,PO-31125,Ordered
NIC-REQ0055,E040,2025-08-18,Warehouse,Customer order,E060,2025-08-21,PO-31126,Ordered
NIC-REQ0056,E036,2025-07-21,Purchasing,Stock-out,E060,2025-07-24,PO-31128,Ordered
