supplier_quote_id,supplier_id,item_id,quote_date,quoted_unit_cost,min_order_qty,lead_time_days,valid_until,awarded
NIC-SQ0001,NIC-V012,P-20083,2026-01-09,1.01,1,44,2026-05-17,Y
NIC-SQ0002,NIC-V015,P-20083,2025-11-22,1.1,10,11,2026-04-28,N
NIC-SQ0003,NIC-V017,P-20089,2025-06-16,14.62,10,5,2026-07-22,N
NIC-SQ0004,NIC-V003,P-20089,2025-12-11,14.62,100,40,2026-07-07,N
NIC-SQ0005,NIC-V002,P-20014,2026-03-23,20.09,50,30,2026-06-18,N
NIC-SQ0006,NIC-V005,P-20014,2025-11-22,21.75,1,39,2026-04-23,N
NIC-SQ0007,NIC-V001,P-20048,2026-01-21,59.51,1,18,2026-05-12,N
NIC-SQ0008,NIC-V010,P-20048,2025-10-20,56.73,50,4,2026-06-15,N
NIC-SQ0009,NIC-V008,P-20018,2026-01-12,26.9,100,38,2026-04-30,Y
NIC-SQ0010,NIC-V016,P-20018,2025-06-01,25.35,10,41,2026-06-27,N
NIC-SQ0011,NIC-V013,P-20041,2025-12-01,13.87,1,4,2026-07-28,N
NIC-SQ0012,NIC-V015,P-20041,2025-09-28,13.32,50,13,2026-07-13,N
NIC-SQ0013,NIC-V005,P-20060,2025-08-03,26.34,10,12,2026-04-16,N
NIC-SQ0014,NIC-V010,P-20060,2025-08-16,26.61,25,23,2026-07-03,N
NIC-SQ0015,NIC-V015,P-20047,2025-06-03,14.79,10,13,2026-06-09,N
NIC-SQ0016,NIC-V009,P-20047,2025-12-17,16.64,50,43,2026-05-16,N
NIC-SQ0017,NIC-V012,P-10091,2026-01-28,21.31,1,37,2026-06-21,N
NIC-SQ0018,NIC-V001,P-10091,2025-08-03,18.82,50,33,2026-07-05,N
NIC-SQ0019,NIC-V009,P-20006,2026-03-17,0.22,25,8,2026-06-26,Y
NIC-SQ0020,NIC-V010,P-20006,2025-06-17,0.23,10,29,2026-05-18,N
NIC-SQ0021,NIC-V009,P-20098,2026-02-13,0.97,10,31,2026-05-02,N
NIC-SQ0022,NIC-V002,P-20098,2025-10-14,0.84,50,28,2026-04-23,N
NIC-SQ0023,NIC-V013,P-20099,2025-11-08,0.77,1,9,2026-06-05,N
NIC-SQ0024,NIC-V018,P-20099,2025-08-25,0.72,1,34,2026-05-17,N
NIC-SQ0025,NIC-V010,P-20096,2025-11-28,14.26,50,11,2026-05-15,N
NIC-SQ0026,NIC-V008,P-20096,2026-01-06,16.02,100,20,2026-06-28,Y
NIC-SQ0027,NIC-V014,P-20088,2025-12-01,14.5,1,28,2026-06-02,Y
NIC-SQ0028,NIC-V005,P-20088,2025-10-25,12.25,10,36,2026-04-25,N
NIC-SQ0029,NIC-V016,P-10021,2026-03-19,13.06,1,44,2026-04-22,N
NIC-SQ0030,NIC-V001,P-10021,2025-09-27,16.47,25,12,2026-06-26,N
NIC-SQ0031,NIC-V003,P-20052,2026-01-06,11.22,50,11,2026-06-28,Y
NIC-SQ0032,NIC-V009,P-20052,2025-09-02,11.33,100,21,2026-04-12,N
NIC-SQ0033,NIC-V014,P-20023,2025-07-30,27.22,10,9,2026-06-24,N
NIC-SQ0034,NIC-V005,P-20023,2026-01-27,27.78,1,29,2026-05-14,N
NIC-SQ0035,NIC-V003,P-20042,2026-01-30,49.72,10,33,2026-06-05,N
NIC-SQ0036,NIC-V006,P-20042,2026-02-09,57.68,10,17,2026-05-06,N
NIC-SQ0037,NIC-V006,P-20019,2025-09-17,12.14,10,4,2026-05-26,N
NIC-SQ0038,NIC-V011,P-20019,2025-12-11,13.92,10,5,2026-07-27,N
NIC-SQ0039,NIC-V016,P-20000,2025-10-19,55.98,25,4,2026-06-26,N
NIC-SQ0040,NIC-V008,P-20000,2025-10-04,63.74,50,7,2026-05-11,N
NIC-SQ0041,NIC-V018,P-10063,2026-02-12,28.83,100,32,2026-06-13,N
NIC-SQ0042,NIC-V007,P-10063,2026-03-11,34.1,100,22,2026-04-19,N
NIC-SQ0043,NIC-V011,P-10105,2025-12-11,0.97,50,27,2026-05-04,N
NIC-SQ0044,NIC-V014,P-10105,2026-03-12,1.06,1,9,2026-07-04,N
NIC-SQ0045,NIC-V002,P-20086,2025-08-24,0.47,25,37,2026-04-19,N
NIC-SQ0046,NIC-V003,P-20086,2025-08-27,0.53,10,44,2026-07-24,N
NIC-SQ0047,NIC-V011,P-10042,2025-07-30,32.49,25,4,2026-07-29,N
NIC-SQ0048,NIC-V001,P-10042,2025-06-22,30.21,50,35,2026-07-21,N
NIC-SQ0049,NIC-V016,P-20017,2025-10-07,85.97,50,20,2026-07-04,N
NIC-SQ0050,NIC-V008,P-20017,2025-12-19,98.61,1,45,2026-07-16,N
