supplier_id,supplier_name,period,po_count,on_time_delivery_pct,quality_ppm,invoice_accuracy_pct,responsiveness_score,overall_rating
NIC-V001,Alro Steel,2025-Q3,3,93.1,3909,92.4,5,Preferred
NIC-V001,Alro Steel,2025-Q4,3,82.7,2848,91.7,5,Conditional
NIC-V001,Alro Steel,2026-Q1,3,92.4,5673,90.4,2,Preferred
NIC-V002,Apex Fastener Corp,2025-Q3,4,88.2,1973,97.0,2,Approved
NIC-V002,Apex Fastener Corp,2025-Q4,4,78.8,6989,90.3,3,Approved
NIC-V002,Apex Fastener Corp,2026-Q1,4,96.8,6498,98.9,4,Approved
NIC-V003,Applied Industrial Technologies,2025-Q3,5,80.4,7920,88.1,3,Approved
NIC-V003,Applied Industrial Technologies,2025-Q4,5,78.6,2200,99.3,2,Approved
NIC-V003,Applied Industrial Technologies,2026-Q1,5,99.1,5323,95.3,2,Preferred
NIC-V004,Baldor-Reliance (ABB),2025-Q3,6,84.1,538,90.0,4,Approved
NIC-V004,Baldor-Reliance (ABB),2025-Q4,6,86.5,296,97.7,3,Preferred
NIC-V004,Baldor-Reliance (ABB),2026-Q1,6,95.7,5882,91.9,3,Preferred
NIC-V005,Brighton-Best International,2025-Q3,5,80.7,2915,90.5,5,Approved
NIC-V005,Brighton-Best International,2025-Q4,5,90.4,27,94.1,2,Approved
NIC-V005,Brighton-Best International,2026-Q1,5,94.7,6036,99.4,5,Conditional
NIC-V006,Cintas Corporation,2025-Q3,5,90.7,2911,92.1,5,Preferred
NIC-V006,Cintas Corporation,2025-Q4,5,99.4,3785,91.0,4,Conditional
NIC-V006,Cintas Corporation,2026-Q1,5,96.5,7272,88.8,2,Approved
NIC-V007,Fastenal,2025-Q3,5,95.8,3781,94.5,3,Approved
NIC-V007,Fastenal,2025-Q4,5,81.0,171,96.0,5,Approved
NIC-V007,Fastenal,2026-Q1,5,94.4,3934,93.5,4,Preferred
NIC-V008,Garlock Sealing Technologies,2025-Q3,5,88.5,3417,97.9,2,Conditional
NIC-V008,Garlock Sealing Technologies,2025-Q4,5,90.3,3228,95.2,2,Approved
NIC-V008,Garlock Sealing Technologies,2026-Q1,5,94.0,4470,89.1,4,Approved
NIC-V009,Haas Automation,2025-Q3,3,82.3,97,99.1,5,Preferred
NIC-V009,Haas Automation,2025-Q4,3,86.2,2744,93.7,5,Approved
NIC-V009,Haas Automation,2026-Q1,3,91.3,3003,89.9,2,Approved
NIC-V010,MSC Industrial Supply,2025-Q3,6,79.5,2811,98.2,5,Conditional
NIC-V010,MSC Industrial Supply,2025-Q4,6,86.2,387,99.8,3,Approved
NIC-V010,MSC Industrial Supply,2026-Q1,6,85.0,7542,99.4,3,Approved
NIC-V011,McMaster-Carr,2025-Q3,3,91.2,6016,97.5,3,Approved
NIC-V011,McMaster-Carr,2025-Q4,3,82.6,5839,94.9,4,Conditional
NIC-V011,McMaster-Carr,2026-Q1,3,93.6,6941,94.2,4,Approved
NIC-V012,Motion Industries,2025-Q3,3,84.0,2975,94.9,5,Preferred
NIC-V012,Motion Industries,2025-Q4,3,87.8,7066,96.3,4,Approved
NIC-V012,Motion Industries,2026-Q1,3,84.6,5502,90.1,3,Approved
NIC-V013,Parker Hannifin,2025-Q3,4,92.5,283,95.1,4,Approved
NIC-V013,Parker Hannifin,2025-Q4,4,91.1,93,94.3,2,Approved
NIC-V013,Parker Hannifin,2026-Q1,4,80.7,2693,93.6,3,Conditional
NIC-V014,Regal Rexnord,2025-Q3,5,78.1,4070,98.1,5,Preferred
NIC-V014,Regal Rexnord,2025-Q4,5,79.2,4888,94.8,3,Conditional
NIC-V014,Regal Rexnord,2026-Q1,5,79.4,2967,91.9,5,Approved
NIC-V015,Ryerson,2025-Q3,4,87.8,5270,99.9,3,Conditional
NIC-V015,Ryerson,2025-Q4,4,85.0,5507,89.3,5,Approved
NIC-V015,Ryerson,2026-Q1,4,97.4,1658,91.9,3,Conditional
NIC-V016,Sandvik Coromant,2025-Q3,5,95.3,3903,89.7,4,Conditional
NIC-V016,Sandvik Coromant,2025-Q4,5,99.5,4110,94.4,3,Preferred
NIC-V016,Sandvik Coromant,2026-Q1,5,98.1,2364,96.1,4,Approved
NIC-V017,Uline,2025-Q3,4,78.9,3004,98.4,2,Approved
NIC-V017,Uline,2025-Q4,4,91.0,6800,96.7,4,Approved
NIC-V017,Uline,2026-Q1,4,92.1,6264,97.7,5,Conditional
NIC-V018,"W.W. Grainger, Inc.",2025-Q3,6,97.2,3768,88.2,2,Approved
NIC-V018,"W.W. Grainger, Inc.",2025-Q4,6,92.0,801,89.6,4,Approved
NIC-V018,"W.W. Grainger, Inc.",2026-Q1,6,96.7,962,97.2,4,Approved
