asn_id,po_number,supplier_id,ship_date,carrier,tracking_number,cartons,weight_lb
ASN-PO-31001,PO-31001,NIC-V018,2025-07-22,UPS Ground,1Z3686390936,12,208
ASN-PO-31003,PO-31003,NIC-V009,2026-01-05,FedEx Ground,128136178337,3,52
ASN-PO-31005,PO-31005,NIC-V007,2025-05-21,UPS Ground,1Z4413926608,10,238
ASN-PO-31006,PO-31006,NIC-V001,2026-03-30,Supplier Truck,751765850383,5,229
ASN-PO-31008,PO-31008,NIC-V018,2025-07-04,UPS Ground,1Z8303111057,5,611
ASN-PO-31009,PO-31009,NIC-V008,2025-10-10,Supplier Truck,481773699888,7,288
ASN-PO-31011,PO-31011,NIC-V011,2025-09-08,UPS Ground,1Z4078242992,7,320
ASN-PO-31012,PO-31012,NIC-V016,2026-01-28,Supplier Truck,909106794578,6,95
ASN-PO-31013,PO-31013,NIC-V004,2025-05-19,LTL - Estes,300755309823,10,68
ASN-PO-31015,PO-31015,NIC-V014,2025-11-06,Supplier Truck,779317175258,5,599
ASN-PO-31016,PO-31016,NIC-V007,2025-08-29,LTL - Estes,485612624038,10,120
ASN-PO-31018,PO-31018,NIC-V005,2025-08-23,LTL - Estes,449245075383,1,111
ASN-PO-31021,PO-31021,NIC-V018,2025-12-11,FedEx Ground,628204219136,11,629
ASN-PO-31022,PO-31022,NIC-V004,2025-07-07,Will Call,590747846505,9,856
ASN-PO-31027,PO-31027,NIC-V008,2025-06-03,Supplier Truck,327907755460,2,746
ASN-PO-31028,PO-31028,NIC-V009,2025-12-29,Supplier Truck,353463582472,6,226
ASN-PO-31029,PO-31029,NIC-V006,2025-07-01,FedEx Ground,968903517484,9,632
ASN-PO-31030,PO-31030,NIC-V016,2026-02-17,LTL - Estes,339056922017,8,184
ASN-PO-31033,PO-31033,NIC-V013,2026-02-06,UPS Ground,1Z6808787697,2,130
ASN-PO-31034,PO-31034,NIC-V003,2025-06-25,FedEx Ground,205185403616,1,10
ASN-PO-31035,PO-31035,NIC-V009,2025-10-26,FedEx Ground,518839902698,2,432
ASN-PO-31039,PO-31039,NIC-V011,2025-08-10,LTL - Estes,425966468212,11,558
ASN-PO-31040,PO-31040,NIC-V001,2025-08-23,LTL - Estes,705215653020,3,331
ASN-PO-31043,PO-31043,NIC-V011,2025-10-09,Will Call,580810836135,11,882
ASN-PO-31045,PO-31045,NIC-V004,2025-08-21,LTL - Estes,497242389060,6,844
ASN-PO-31055,PO-31055,NIC-V007,2025-08-08,Will Call,566425947751,5,761
ASN-PO-31056,PO-31056,NIC-V016,2026-02-15,Will Call,915630698302,9,22
ASN-PO-31057,PO-31057,NIC-V009,2025-12-27,Will Call,895831327666,4,59
ASN-PO-31060,PO-31060,NIC-V010,2025-10-24,UPS Ground,1Z8783611659,10,433
ASN-PO-31061,PO-31061,NIC-V014,2026-03-30,Supplier Truck,255694148529,2,806
ASN-PO-31064,PO-31064,NIC-V010,2025-12-03,LTL - Estes,270759755689,7,785
ASN-PO-31065,PO-31065,NIC-V018,2025-05-01,Will Call,331717342695,11,156
ASN-PO-31067,PO-31067,NIC-V015,2025-08-20,FedEx Ground,321384168380,3,268
ASN-PO-31070,PO-31070,NIC-V010,2026-03-24,UPS Ground,1Z6487352560,8,112
ASN-PO-31071,PO-31071,NIC-V013,2025-07-05,LTL - Estes,138687738030,7,682
ASN-PO-31072,PO-31072,NIC-V002,2025-05-02,Supplier Truck,794437504455,8,628
ASN-PO-31073,PO-31073,NIC-V008,2025-07-23,Supplier Truck,919466812500,1,352
ASN-PO-31078,PO-31078,NIC-V017,2025-09-23,LTL - Estes,720643391811,1,148
ASN-PO-31079,PO-31079,NIC-V015,2025-04-24,UPS Ground,1Z8483425436,4,200
ASN-PO-31083,PO-31083,NIC-V008,2025-05-01,Will Call,632727864833,3,726
ASN-PO-31089,PO-31089,NIC-V005,2026-02-15,FedEx Ground,871682266029,1,727
ASN-PO-31095,PO-31095,NIC-V010,2026-03-27,Will Call,523992778203,9,448
ASN-PO-31097,PO-31097,NIC-V009,2025-09-10,FedEx Ground,704454328045,12,538
ASN-PO-31098,PO-31098,NIC-V013,2026-01-27,Supplier Truck,810036610672,6,704
ASN-PO-31100,PO-31100,NIC-V018,2025-04-19,Will Call,595741711216,10,310
ASN-PO-31101,PO-31101,NIC-V007,2025-11-24,UPS Ground,1Z9221532476,2,80
ASN-PO-31103,PO-31103,NIC-V016,2025-11-20,Will Call,758736642970,10,110
ASN-PO-31106,PO-31106,NIC-V005,2025-12-17,Supplier Truck,905692091247,11,662
ASN-PO-31107,PO-31107,NIC-V005,2026-03-28,UPS Ground,1Z8521871929,10,19
ASN-PO-31111,PO-31111,NIC-V009,2025-09-16,Will Call,924428110927,12,96
ASN-PO-31115,PO-31115,NIC-V007,2025-06-18,UPS Ground,1Z7357169668,2,730
ASN-PO-31118,PO-31118,NIC-V005,2025-11-04,UPS Ground,1Z8538610759,6,789
ASN-PO-31119,PO-31119,NIC-V006,2025-04-24,LTL - Estes,305709272403,5,104
ASN-PO-31120,PO-31120,NIC-V018,2025-04-23,UPS Ground,1Z5418689141,1,106
ASN-PO-31122,PO-31122,NIC-V005,2025-10-07,LTL - Estes,934876940448,10,332
ASN-PO-31123,PO-31123,NIC-V002,2025-06-03,Will Call,769569713728,6,650
