as_of_date,supplier_id,supplier_invoice_number,invoice_date,due_date,open_amount,aging_bucket,hold_reason
2026-03-31,NIC-V006,SI6439580,2026-03-12,2026-04-11,1891.0,Current,Price variance
2026-03-31,NIC-V001,INV3055995,2026-04-05,2026-05-05,1591.46,Current,
2026-03-31,NIC-V016,7675947,2026-02-20,2026-03-22,6259.5,1-30,
2026-03-31,NIC-V002,INV3862958,2026-03-25,2026-04-24,618.86,Current,Price variance
2026-03-31,NIC-V013,SI4039045,2026-02-26,2026-04-12,16546.48,Current,
2026-03-31,NIC-V004,INV9355515,2026-03-23,2026-05-07,9664.21,Current,
2026-03-31,NIC-V001,SI2071386,2026-03-20,2026-04-19,939.06,Current,
2026-03-31,NIC-V003,92237159,2026-03-21,2026-04-20,16835.94,Current,
2026-03-31,NIC-V007,SI3934842,2026-02-17,2026-03-19,10392.56,1-30,
2026-03-31,NIC-V016,INV2949188,2026-02-19,2026-03-21,1120.96,1-30,
2026-03-31,NIC-V015,SI3556625,2026-03-05,2026-04-19,339.78,Current,
2026-03-31,NIC-V014,SI3517527,2026-04-02,2026-05-17,902.69,Current,
2026-03-31,NIC-V008,INV7937516,2026-04-02,2026-05-02,8590.06,Current,
2026-03-31,NIC-V010,9275059,2026-03-25,2026-04-24,3046.58,Current,Price variance
2026-03-31,NIC-V008,1504749,2026-02-22,2026-03-24,15859.73,1-30,
2026-03-31,NIC-V005,96059004,2026-02-23,2026-03-25,105.43,1-30,
2026-03-31,NIC-V001,8609659,2026-02-25,2026-03-27,1447.14,1-30,
2026-03-31,NIC-V010,INV2195791,2026-03-29,2026-04-28,4945.11,Current,
2026-03-31,NIC-V003,94075810,2026-03-07,2026-04-06,3559.1,Current,
2026-03-31,NIC-V005,SI3587005,2026-04-06,2026-05-06,3.15,Current,
2026-03-31,NIC-V010,SI5919416,2026-03-21,2026-04-20,1030.64,Current,
2026-03-31,NIC-V001,92145940,2026-04-03,2026-05-03,6610.84,Current,
2026-03-31,NIC-V010,SI7289576,2026-02-21,2026-03-23,4869.4,1-30,
2026-03-31,NIC-V014,SI7889822,2026-02-21,2026-04-07,5525.0,Current,
2026-03-31,NIC-V005,7159705,2026-03-14,2026-04-13,111.73,Current,
2026-03-31,NIC-V016,94179131,2026-02-14,2026-03-16,3592.85,1-30,
2026-03-31,NIC-V016,INV1586204,2026-03-20,2026-04-19,2234.87,Current,
2026-03-31,NIC-V015,6734166,2026-03-18,2026-05-02,75.2,Current,
2026-03-31,NIC-V006,2819564,2026-03-31,2026-04-30,2562.0,Current,
2026-03-31,NIC-V011,9948635,2026-03-17,2026-04-16,3882.87,Current,Price variance
2026-03-31,NIC-V013,INV6283473,2026-02-15,2026-04-01,17152.49,Current,
2026-03-31,NIC-V007,INV3323362,2026-04-04,2026-05-04,42.1,Current,
2026-03-31,NIC-V001,97725486,2026-03-13,2026-04-12,436.24,Current,
2026-03-31,NIC-V006,SI4268072,2026-03-09,2026-04-08,519.75,Current,
2026-03-31,NIC-V015,93058235,2026-03-16,2026-04-30,299.52,Current,Price variance
2026-03-31,NIC-V009,SI9885817,2026-02-23,2026-03-25,8552.95,1-30,
2026-03-31,NIC-V013,92095316,2026-03-25,2026-05-09,497.2,Current,
2026-03-31,NIC-V002,SI629919,2026-02-14,2026-03-16,27401.96,1-30,
2026-03-31,NIC-V007,SI5797069,2026-03-06,2026-04-05,2333.31,Current,
2026-03-31,NIC-V012,INV4203567,2026-03-18,2026-04-17,760.0,Current,
2026-03-31,NIC-V008,INV2607240,2026-03-31,2026-04-30,4161.08,Current,
2026-03-31,NIC-V008,SI5597422,2026-04-04,2026-05-04,4529.86,Current,
2026-03-31,NIC-V007,SI1008898,2026-03-25,2026-04-24,7672.82,Current,
2026-03-31,NIC-V016,SI8967692,2026-03-27,2026-04-26,97.64,Current,
2026-03-31,NIC-V005,3598568,2026-02-28,2026-03-30,4211.24,1-30,
2026-03-31,NIC-V012,SI6063283,2026-02-20,2026-03-22,262090.78,1-30,
2026-03-31,NIC-V003,SI6646953,2026-04-01,2026-05-01,5666.9,Current,
