payment_id,supplier_id,supplier_invoice_number,payment_date,amount,method,check_number,bank_account
NIC-APP00001,NIC-V018,98988635,2025-08-22,5200.2,ACH,,1000
NIC-APP00002,NIC-V017,INV4751801,2026-03-03,15.62,Card,16206,1000
NIC-APP00003,NIC-V009,706779,2026-02-19,1076.92,ACH,11043,1000
NIC-APP00004,NIC-V007,98997823,2025-07-08,1497.96,ACH,,1000
NIC-APP00005,NIC-V001,97116053,2025-07-23,1479.82,Check,22226,1000
NIC-APP00006,NIC-V018,INV6292630,2025-08-08,12079.75,Card,,1000
NIC-APP00007,NIC-V008,7264178,2025-11-14,15035.41,ACH,,1000
NIC-APP00008,NIC-V004,SI7169632,2025-10-22,4506.5,Check,,1000
NIC-APP00009,NIC-V011,INV5588710,2025-10-18,576.2,Card,16318,1000
NIC-APP00010,NIC-V016,4562913,2026-03-17,25.08,Card,26423,1000
NIC-APP00011,NIC-V004,SI7035380,2025-07-23,5385.34,Check,,1000
NIC-APP00012,NIC-V004,97227594,2025-10-12,15992.57,Check,28121,1000
NIC-APP00013,NIC-V014,1891463,2026-01-05,1150.0,Card,,1000
NIC-APP00014,NIC-V007,SI3801666,2025-10-06,5884.2,ACH,,1000
NIC-APP00015,NIC-V017,306348,2025-06-09,680.91,Card,25172,1000
NIC-APP00016,NIC-V005,94297536,2025-10-01,3134.07,Card,,1000
NIC-APP00017,NIC-V014,SI8867698,2025-11-09,1884.15,Card,,1000
NIC-APP00018,NIC-V007,2510331,2025-07-27,124.16,Check,,1000
NIC-APP00019,NIC-V018,SI5525005,2026-01-27,4176.08,ACH,,1000
NIC-APP00020,NIC-V004,INV858820,2025-09-08,2710.0,Check,22556,1000
NIC-APP00021,NIC-V010,6301400,2025-11-26,634.24,Check,19223,1000
NIC-APP00022,NIC-V009,SI6179706,2026-01-04,6734.2,Card,12667,1000
NIC-APP00023,NIC-V006,INV6802647,2025-06-01,3156.83,ACH,,1000
NIC-APP00024,NIC-V010,91769614,2025-07-16,3514.5,Check,28149,1000
NIC-APP00025,NIC-V008,INV6367144,2025-07-06,8333.64,ACH,,1000
NIC-APP00026,NIC-V009,3109501,2026-01-26,1270.12,ACH,,1000
NIC-APP00027,NIC-V006,156484,2025-08-18,2273.05,Check,,1000
NIC-APP00028,NIC-V004,SI256267,2025-12-11,7877.15,ACH,14272,1000
NIC-APP00029,NIC-V013,4786721,2026-03-31,2272.68,Check,,1000
NIC-APP00030,NIC-V003,92321886,2025-07-31,17521.88,ACH,,1000
NIC-APP00031,NIC-V009,3547981,2025-12-06,1471.67,ACH,,1000
NIC-APP00032,NIC-V005,INV1107305,2025-10-13,942.83,ACH,,1000
NIC-APP00033,NIC-V009,9813480,2025-09-29,6337.46,ACH,,1000
NIC-APP00034,NIC-V010,91425565,2025-09-12,2394.0,Card,20482,1000
NIC-APP00035,NIC-V011,SI8647283,2025-09-19,5545.79,Check,,1000
NIC-APP00036,NIC-V001,INV4730161,2025-09-28,2332.81,Card,13148,1000
NIC-APP00037,NIC-V018,SI7461425,2025-08-15,9640.2,Check,27449,1000
