receipt_id,po_number,po_line,item_id,received_qty,uom,lot_number,bin_location,putaway_by,qc_status
RCV-40001,PO-31001,1,P-10035,50,EA,L250723-614,E-18-5,E076,Accepted
RCV-40001,PO-31001,2,P-10035,193,EA,L250723-175,A-04-3,E102,Accepted
RCV-40002,PO-31002,1,P-20029,22,EA,L260128-875,E-03-5,E076,Accepted
RCV-40003,PO-31003,3,P-20014,52,EA,L260109-112,C-01-2,E078,Accepted
RCV-40004,PO-31004,1,P-10049,168,BX,L260309-286,B-34-4,E079,Accepted
RCV-40005,PO-31005,1,P-20064,42,EA,L250525-767,D-34-5,E104,Accepted
RCV-40005,PO-31005,2,P-20051,129,EA,L250525-845,D-12-5,E083,Accepted
RCV-40005,PO-31005,3,P-20045,82,EA,L250525-912,A-03-3,E101,Accepted
RCV-40005,PO-31005,4,P-20045,50,EA,L250525-875,C-25-5,E102,Accepted
RCV-40006,PO-31006,1,P-20021,57,EA,L260331-588,A-14-2,E079,Accepted
RCV-40006,PO-31006,2,P-20069,50,EA,L260331-786,D-39-2,E103,Accepted
RCV-40007,PO-31007,1,P-20054,191,EA,L250617-677,D-38-4,E105,Accepted
RCV-40007,PO-31007,2,P-20021,57,EA,L250617-700,A-39-5,E106,Accepted
RCV-40008,PO-31008,1,P-10077,281,GA,L250708-726,E-28-5,E101,Accepted
RCV-40008,PO-31008,2,P-10035,193,EA,L250708-507,E-30-1,E081,Accepted
RCV-40009,PO-31009,2,P-20032,189,EA,L251011-112,D-08-3,E080,Accepted
RCV-40009,PO-31009,3,P-20111,250,EA,L251011-555,B-40-4,E100,Accepted
RCV-40010,PO-31010,1,P-20041,250,EA,L250828-683,A-31-4,E078,Accepted
RCV-40010,PO-31010,2,P-20103,50,EA,L250828-596,A-21-2,E105,Accepted
RCV-40011,PO-31011,1,P-20062,10,EA,L250911-889,B-14-1,E106,Accepted
RCV-40011,PO-31011,2,P-20062,10,EA,L250911-218,A-08-2,E102,Accepted
RCV-40011,PO-31011,3,P-20062,10,EA,L250911-140,E-31-5,E105,Accepted
RCV-40012,PO-31012,1,P-20079,66,EA,L260201-663,B-25-2,E077,Accepted
RCV-40013,PO-31013,1,P-20103,116,EA,L250522-898,B-26-3,E079,Accepted
RCV-40013,PO-31013,2,P-20015,97,EA,L250522-916,B-07-1,E106,Accepted
RCV-40013,PO-31013,3,P-20047,175,EA,L250522-600,B-40-4,E103,Accepted
RCV-40013,PO-31013,4,P-20041,11,EA,L250522-896,C-30-4,E082,Accepted
RCV-40014,PO-31014,1,P-20106,250,EA,L250818-230,C-31-5,E100,Accepted
RCV-40014,PO-31014,2,P-20041,11,EA,L250818-521,B-19-3,E080,Accepted
RCV-40015,PO-31015,1,P-20088,46,EA,L251109-282,C-03-3,E077,Accepted
RCV-40015,PO-31015,2,P-20088,46,EA,L251109-995,B-26-2,E103,Accepted
RCV-40016,PO-31016,1,P-20051,500,EA,L250902-639,C-03-2,E102,Accepted
RCV-40016,PO-31016,2,P-20045,82,EA,L250902-190,F-28-1,E106,Accepted
RCV-40016,PO-31016,3,P-20027,32,EA,L250902-517,D-12-2,E077,Accepted
RCV-40017,PO-31017,1,P-10063,10,BD,L250501-245,B-04-4,E081,Accepted
RCV-40017,PO-31017,2,P-20099,250,EA,L250501-809,A-22-5,E104,Accepted
RCV-40018,PO-31018,1,P-20067,100,EA,L250825-481,C-19-2,E101,Accepted
RCV-40018,PO-31018,2,P-20026,79,EA,L250825-557,C-05-2,E102,Hold
RCV-40018,PO-31018,3,P-20017,11,EA,L250825-524,A-16-1,E106,Accepted
RCV-40018,PO-31018,4,P-20119,13,EA,L250825-143,F-07-4,E106,Accepted
RCV-40019,PO-31019,1,P-20088,46,EA,L250914-235,D-24-5,E081,Accepted
RCV-40019,PO-31019,2,P-20088,46,EA,L250914-937,D-04-5,E076,Accepted
RCV-40019,PO-31019,3,P-20088,46,EA,L250914-729,F-37-4,E099,Accepted
RCV-40020,PO-31020,1,P-20064,42,EA,L250610-838,F-15-2,E083,Accepted
RCV-40020,PO-31020,2,P-20045,250,EA,L250610-780,D-02-4,E077,Accepted
RCV-40020,PO-31020,3,P-20045,82,EA,L250610-671,E-10-1,E082,Accepted
RCV-40020,PO-31020,4,P-20064,50,EA,L250610-852,F-37-3,E101,Accepted
RCV-40021,PO-31021,1,P-10035,193,EA,L251212-162,A-07-1,E099,Accepted
RCV-40022,PO-31022,1,P-20015,500,EA,L250711-858,D-18-4,E104,Accepted
RCV-40023,PO-31023,1,P-20028,10,EA,L251026-912,F-10-4,E103,Accepted
RCV-40023,PO-31023,2,P-20085,198,EA,L251026-234,E-07-5,E105,Accepted
RCV-40024,PO-31024,1,P-20091,112,EA,L251125-946,F-08-5,E104,Accepted
RCV-40024,PO-31024,2,P-20014,100,EA,L251125-181,D-03-4,E105,Accepted
RCV-40024,PO-31024,3,P-20019,250,EA,L251125-647,D-05-5,E104,Accepted
RCV-40025,PO-31025,1,P-10049,10,BX,L250501-250,E-35-1,E076,Accepted
RCV-40025,PO-31025,2,P-10070,165,EA,L250501-845,E-38-3,E104,Accepted
RCV-40025,PO-31025,3,P-10049,250,BX,L250501-381,F-39-5,E078,Accepted
RCV-40026,PO-31026,1,P-20044,97,EA,L250603-881,A-34-3,E082,Accepted
RCV-40026,PO-31026,2,P-20035,79,EA,L250603-861,F-19-3,E079,Accepted
RCV-40026,PO-31026,3,P-20085,100,EA,L250603-960,F-39-4,E102,Accepted
RCV-40027,PO-31027,1,P-20096,171,EA,L250604-210,F-16-3,E082,Accepted
RCV-40027,PO-31027,2,P-20096,171,EA,L250604-395,F-34-5,E079,Accepted
RCV-40027,PO-31027,3,P-20060,123,EA,L250604-296,D-26-5,E076,Accepted
RCV-40028,PO-31028,1,P-20091,10,EA,L251230-226,A-19-3,E081,Accepted
RCV-40028,PO-31028,2,P-20014,52,EA,L251230-645,D-12-4,E080,Accepted
RCV-40028,PO-31028,3,P-20006,112,EA,L251230-899,E-02-2,E105,Accepted
RCV-40028,PO-31028,4,P-20006,50,EA,L251230-266,A-31-3,E099,Accepted
RCV-40029,PO-31029,1,P-10070,165,EA,L250702-789,B-13-5,E105,Accepted
RCV-40029,PO-31029,2,P-10049,10,BX,L250702-428,D-29-5,E100,Accepted
RCV-40029,PO-31029,3,P-10049,168,BX,L250702-824,C-04-4,E104,Accepted
RCV-40030,PO-31030,1,P-20117,100,EA,L260218-408,B-22-3,E080,Accepted
RCV-40030,PO-31030,2,P-20056,50,EA,L260218-330,A-16-3,E081,Accepted
RCV-40030,PO-31030,3,P-20055,100,EA,L260218-222,F-24-3,E076,Accepted
RCV-40031,PO-31031,3,P-20049,97,EA,L260322-322,E-33-5,E081,Accepted
RCV-40032,PO-31032,1,P-20015,97,EA,L251013-606,E-03-5,E104,Accepted
RCV-40032,PO-31032,2,P-20089,143,EA,L251013-404,C-29-5,E105,Accepted
RCV-40032,PO-31032,3,P-20106,84,EA,L251013-940,A-06-4,E099,Accepted
RCV-40033,PO-31033,1,P-20050,177,EA,L260209-995,C-36-2,E083,Accepted
RCV-40034,PO-31034,1,P-20052,62,EA,L250627-722,D-39-2,E105,Accepted
RCV-40034,PO-31034,2,P-20046,25,EA,L250627-680,D-20-5,E105,Accepted
RCV-40034,PO-31034,3,P-20052,250,EA,L250627-909,C-12-2,E100,Accepted
RCV-40034,PO-31034,4,P-20048,250,EA,L250627-592,E-08-5,E102,Accepted
RCV-40035,PO-31035,1,P-20091,112,EA,L251028-989,B-36-3,E077,Accepted
RCV-40035,PO-31035,2,P-20006,112,EA,L251028-621,B-33-5,E082,Accepted
RCV-40036,PO-31036,1,P-20026,25,EA,L250903-687,B-20-5,E106,Accepted
RCV-40036,PO-31036,2,P-20017,11,EA,L250903-729,E-37-2,E081,Accepted
RCV-40037,PO-31037,1,P-20091,250,EA,L250823-637,D-36-4,E078,Hold
RCV-40037,PO-31037,2,P-20100,50,EA,L250823-365,E-14-3,E082,Accepted
RCV-40037,PO-31037,3,P-20091,112,EA,L250823-479,C-02-1,E103,Accepted
RCV-40038,PO-31038,2,P-10042,84,BX,L250811-309,B-36-4,E101,Accepted
RCV-40039,PO-31039,1,P-20109,149,EA,L250813-168,F-39-5,E104,Accepted
RCV-40039,PO-31039,2,P-20062,197,EA,L250813-661,A-18-5,E076,Accepted
RCV-40039,PO-31039,3,P-20113,10,EA,L250813-467,D-38-3,E076,Accepted
RCV-40040,PO-31040,1,P-20054,191,EA,L250825-335,D-40-4,E104,Accepted
RCV-40040,PO-31040,2,P-20069,73,EA,L250825-463,C-04-2,E101,Accepted
RCV-40040,PO-31040,3,P-20069,100,EA,L250825-852,B-15-1,E080,Accepted
RCV-40040,PO-31040,4,P-20021,57,EA,L250825-563,B-28-3,E083,Accepted
RCV-40041,PO-31041,1,P-20066,500,EA,L260219-605,C-38-5,E103,Accepted
RCV-40041,PO-31041,3,P-20066,167,EA,L260219-858,B-09-5,E077,Accepted
RCV-40041,PO-31041,4,P-20050,177,EA,L260219-920,F-22-4,E083,Accepted
RCV-40042,PO-31042,2,P-10035,193,EA,L250702-447,A-37-1,E083,Accepted
RCV-40042,PO-31042,3,P-10035,250,EA,L250702-391,B-35-2,E076,Accepted
RCV-40043,PO-31043,1,P-20113,50,EA,L251010-845,A-02-1,E077,Accepted
RCV-40043,PO-31043,2,P-20113,162,EA,L251010-668,C-14-5,E081,Accepted
RCV-40043,PO-31043,3,P-20113,500,EA,L251010-412,A-23-2,E081,Accepted
RCV-40044,PO-31044,1,P-20027,10,EA,L250930-852,D-08-3,E102,Accepted
RCV-40044,PO-31044,2,P-20095,160,EA,L250930-866,B-24-4,E104,Accepted
RCV-40045,PO-31045,1,P-20089,143,EA,L250823-651,E-35-3,E077,Accepted
RCV-40046,PO-31046,1,P-20041,11,EA,L260320-278,F-33-1,E077,Accepted
RCV-40046,PO-31046,2,P-20089,500,EA,L260320-313,C-20-3,E106,Accepted
RCV-40046,PO-31046,3,P-20001,198,EA,L260320-130,E-38-2,E100,Accepted
RCV-40046,PO-31046,4,P-20015,97,EA,L260320-807,A-35-3,E100,Accepted
RCV-40047,PO-31047,1,P-20021,25,EA,L260318-719,D-33-3,E102,Accepted
RCV-40047,PO-31047,2,P-20069,73,EA,L260318-655,E-09-2,E076,Accepted
RCV-40048,PO-31048,1,P-20000,250,EA,L260315-513,D-23-2,E104,Accepted
RCV-40048,PO-31048,2,P-20000,42,EA,L260315-633,E-31-3,E104,Accepted
RCV-40048,PO-31048,4,P-20052,62,EA,L260315-351,F-08-4,E099,Accepted
RCV-40049,PO-31049,1,P-20041,11,EA,L250623-293,B-22-4,E099,Accepted
RCV-40049,PO-31049,2,P-20089,10,EA,L250623-261,A-16-1,E099,Accepted
RCV-40049,PO-31049,3,P-20106,500,EA,L250623-913,D-04-5,E082,Accepted
RCV-40050,PO-31050,1,P-20095,100,EA,L260210-626,E-39-1,E079,Accepted
RCV-40050,PO-31050,2,P-20037,189,EA,L260210-486,D-25-4,E078,Accepted
RCV-40050,PO-31050,3,P-20051,500,EA,L260210-426,E-05-3,E080,Accepted
RCV-40051,PO-31051,1,P-10049,168,BX,L251226-707,B-05-1,E078,Accepted
RCV-40051,PO-31051,2,P-10070,165,EA,L251226-789,A-13-5,E105,Accepted
RCV-40051,PO-31051,3,P-10049,168,BX,L251226-139,D-05-4,E101,Accepted
RCV-40051,PO-31051,4,P-10049,168,BX,L251226-269,D-36-4,E078,Accepted
RCV-40052,PO-31052,1,P-10049,25,BX,L250628-945,B-30-4,E099,Accepted
RCV-40052,PO-31052,3,P-10070,165,EA,L250628-480,E-37-2,E081,Accepted
RCV-40052,PO-31052,4,P-10049,250,BX,L250628-238,A-13-3,E099,Accepted
RCV-40053,PO-31053,2,P-20052,62,EA,L250930-273,A-31-5,E078,Accepted
