receipt_id,po_number,supplier_id,receipt_date,received_by,packing_slip_number,carrier,condition,inspection_required
RCV-40001,PO-31001,NIC-V018,2025-07-23,E076,PS499278,UPS Ground,OK,Y
RCV-40002,PO-31002,NIC-V017,2026-01-28,E103,PS777866,UPS Ground,OK,Y
RCV-40003,PO-31003,NIC-V009,2026-01-09,E104,PS851120,FedEx Ground,Short vs packing slip,N
RCV-40004,PO-31004,NIC-V006,2026-03-09,E082,PS999342,Will Call,Damaged carton - contents OK,Y
RCV-40005,PO-31005,NIC-V007,2025-05-25,E100,PS537448,UPS Ground,Damaged carton - contents OK,Y
RCV-40006,PO-31006,NIC-V001,2026-03-31,E106,PS774437,Supplier Truck,Damaged carton - contents OK,Y
RCV-40007,PO-31007,NIC-V001,2025-06-17,E105,PS234291,FedEx Ground,Short vs packing slip,N
RCV-40008,PO-31008,NIC-V018,2025-07-08,E102,PS880250,UPS Ground,OK,Y
RCV-40009,PO-31009,NIC-V008,2025-10-11,E076,PS260778,Supplier Truck,Damaged carton - contents OK,N
RCV-40010,PO-31010,NIC-V004,2025-08-28,E076,PS875664,LTL - Estes,OK,N
RCV-40011,PO-31011,NIC-V011,2025-09-11,E102,PS733807,UPS Ground,OK,N
RCV-40012,PO-31012,NIC-V016,2026-02-01,E080,PS620400,Supplier Truck,OK,N
RCV-40013,PO-31013,NIC-V004,2025-05-22,E076,PS475841,LTL - Estes,OK,N
RCV-40014,PO-31014,NIC-V004,2025-08-18,E099,PS187376,Supplier Truck,OK,N
RCV-40015,PO-31015,NIC-V014,2025-11-09,E079,PS162733,Supplier Truck,Short vs packing slip,N
RCV-40016,PO-31016,NIC-V007,2025-09-02,E076,PS764863,LTL - Estes,Damaged carton - contents OK,N
RCV-40017,PO-31017,NIC-V017,2025-05-01,E078,PS861360,LTL - Estes,OK,N
RCV-40018,PO-31018,NIC-V005,2025-08-25,E105,PS464140,LTL - Estes,OK,N
RCV-40019,PO-31019,NIC-V014,2025-09-14,E106,PS419055,Will Call,Short vs packing slip,Y
RCV-40020,PO-31020,NIC-V007,2025-06-10,E100,PS795080,LTL - Estes,OK,N
RCV-40021,PO-31021,NIC-V018,2025-12-12,E100,PS224255,FedEx Ground,OK,N
RCV-40022,PO-31022,NIC-V004,2025-07-11,E076,PS127414,Will Call,Short vs packing slip,N
