supplier_invoice_number,po_number,po_line,item_id,invoiced_qty,unit_price,extended
98988635,PO-31001,1,P-10035,50,21.4,1070.0
98988635,PO-31001,2,P-10035,193,21.4,4130.2
INV4751801,PO-31002,1,P-20029,22,0.71,15.62
706779,PO-31003,3,P-20014,52,20.71,1076.92
SI6439580,PO-31004,1,P-10049,168,10.34,1737.12
98997823,PO-31005,1,P-20064,42,0.7000000000000001,29.4
98997823,PO-31005,2,P-20051,129,11.200000000000001,1444.8
98997823,PO-31005,3,P-20045,82,0.18,14.76
98997823,PO-31005,4,P-20045,50,0.18,9.0
INV3055995,PO-31006,1,P-20021,57,23.78,1355.46
INV3055995,PO-31006,2,P-20069,50,4.72,236.0
97116053,PO-31007,1,P-20054,191,0.49,93.59
97116053,PO-31007,2,P-20021,57,23.78,1355.46
INV6292630,PO-31008,1,P-10077,281,27.8,7811.8
INV6292630,PO-31008,2,P-10035,193,21.4,4130.2
7264178,PO-31009,2,P-20032,189,48.19,9107.91
7264178,PO-31009,3,P-20111,250,23.71,5927.5
SI7169632,PO-31010,1,P-20041,250,14.56,3640.0
SI7169632,PO-31010,2,P-20103,50,17.330000000000002,866.5
INV5588710,PO-31011,1,P-20062,10,19.33,193.3
INV5588710,PO-31011,2,P-20062,10,19.52,195.2
INV5588710,PO-31011,3,P-20062,10,18.77,187.7
4562913,PO-31012,1,P-20079,66,0.38,25.08
SI7035380,PO-31013,1,P-20103,116,17.330000000000002,2010.28
SI7035380,PO-31013,2,P-20015,97,5.42,525.74
SI7035380,PO-31013,3,P-20047,175,15.41,2696.75
SI7035380,PO-31013,4,P-20041,11,13.870000000000001,152.57
97227594,PO-31014,1,P-20106,250,63.36,15840.0
97227594,PO-31014,2,P-20041,11,13.870000000000001,152.57
1891463,PO-31015,1,P-20088,46,12.5,575.0
1891463,PO-31015,2,P-20088,46,12.5,575.0
SI3801666,PO-31016,1,P-20051,500,11.200000000000001,5600.0
SI3801666,PO-31016,2,P-20045,82,0.18,14.76
SI3801666,PO-31016,3,P-20027,32,8.42,269.44
306348,PO-31017,1,P-10063,10,31.0,310.0
306348,PO-31017,2,P-20099,250,0.77,192.5
94297536,PO-31018,1,P-20067,100,20.51,2051.0
94297536,PO-31018,2,P-20026,79,0.64,50.56
94297536,PO-31018,3,P-20017,11,84.28,927.08
94297536,PO-31018,4,P-20119,13,8.11,105.43
SI8867698,PO-31019,1,P-20088,46,12.5,575.0
SI8867698,PO-31019,2,P-20088,46,12.5,575.0
SI8867698,PO-31019,3,P-20088,46,12.62,580.52
2510331,PO-31020,1,P-20064,42,0.7000000000000001,29.4
2510331,PO-31020,2,P-20045,250,0.18,45.0
2510331,PO-31020,3,P-20045,82,0.18,14.76
2510331,PO-31020,4,P-20064,50,0.7000000000000001,35.0
SI5525005,PO-31021,1,P-10035,193,21.4,4130.2
INV858820,PO-31022,1,P-20015,500,5.42,2710.0
6301400,PO-31023,1,P-20028,10,39.64,396.4
6301400,PO-31023,2,P-20085,198,1.16,229.68
SI6179706,PO-31024,1,P-20091,112,12.05,1349.6
SI6179706,PO-31024,2,P-20014,100,20.71,2071.0
SI6179706,PO-31024,3,P-20019,250,12.65,3162.5
INV6802647,PO-31025,1,P-10049,10,9.85,98.5
INV6802647,PO-31025,2,P-10070,165,3.15,519.75
INV6802647,PO-31025,3,P-10049,250,9.85,2462.5
91769614,PO-31026,1,P-20044,97,25.1,2434.7
91769614,PO-31026,2,P-20035,79,12.200000000000001,963.8
91769614,PO-31026,3,P-20085,100,1.16,116.0
INV6367144,PO-31027,1,P-20096,171,14.700000000000001,2513.7
INV6367144,PO-31027,2,P-20096,171,14.700000000000001,2513.7
INV6367144,PO-31027,3,P-20060,123,26.88,3306.24
3109501,PO-31028,1,P-20091,10,12.05,120.5
3109501,PO-31028,2,P-20014,52,20.09,1044.68
3109501,PO-31028,3,P-20006,112,0.2,22.4
3109501,PO-31028,4,P-20006,50,0.2,10.0
156484,PO-31029,1,P-10070,165,3.15,519.75
156484,PO-31029,2,P-10049,10,9.85,98.5
156484,PO-31029,3,P-10049,168,9.85,1654.8
7675947,PO-31030,1,P-20117,100,27.150000000000002,2715.0
7675947,PO-31030,2,P-20056,50,0.35000000000000003,17.5
7675947,PO-31030,3,P-20055,100,35.27,3527.0
INV3862958,PO-31031,3,P-20049,97,6.38,618.86
SI256267,PO-31032,1,P-20015,97,5.42,525.74
SI256267,PO-31032,2,P-20089,143,14.19,2029.17
SI256267,PO-31032,3,P-20106,84,63.36,5322.24
4786721,PO-31033,1,P-20050,177,12.84,2272.68
92321886,PO-31034,1,P-20052,62,10.49,650.38
92321886,PO-31034,2,P-20046,25,13.76,344.0
92321886,PO-31034,3,P-20052,250,10.49,2622.5
92321886,PO-31034,4,P-20048,250,55.620000000000005,13905.0
3547981,PO-31035,1,P-20091,112,12.05,1349.6
3547981,PO-31035,2,P-20006,112,0.2,22.4
INV1107305,PO-31036,1,P-20026,25,0.63,15.75
INV1107305,PO-31036,2,P-20017,11,84.28,927.08
9813480,PO-31037,1,P-20091,250,12.05,3012.5
9813480,PO-31037,2,P-20100,50,36.730000000000004,1836.5
9813480,PO-31037,3,P-20091,112,12.05,1349.6
91425565,PO-31038,2,P-10042,84,28.5,2394.0
SI8647283,PO-31039,1,P-20109,149,10.0,1490.0
SI8647283,PO-31039,2,P-20062,197,18.77,3697.69
SI8647283,PO-31039,3,P-20113,10,35.81,358.1
INV4730161,PO-31040,1,P-20054,191,0.48,91.68
INV4730161,PO-31040,2,P-20069,73,4.72,344.56
INV4730161,PO-31040,3,P-20069,100,4.72,472.0
INV4730161,PO-31040,4,P-20021,57,23.78,1355.46
SI4039045,PO-31041,1,P-20066,500,21.400000000000002,10700.0
SI4039045,PO-31041,3,P-20066,167,21.400000000000002,3573.8
SI4039045,PO-31041,4,P-20050,177,12.84,2272.68
SI7461425,PO-31042,2,P-10035,193,21.4,4130.2
SI7461425,PO-31042,3,P-10035,250,22.04,5510.0
INV4118589,PO-31043,1,P-20113,50,36.88,1844.0
INV4118589,PO-31043,2,P-20113,162,35.81,5801.22
INV4118589,PO-31043,3,P-20113,500,35.81,17905.0
96186701,PO-31044,1,P-20027,10,8.42,84.2
96186701,PO-31044,2,P-20095,160,24.28,3884.8
INV1808582,PO-31045,1,P-20089,143,14.19,2029.17
INV9355515,PO-31046,1,P-20041,11,13.870000000000001,152.57
INV9355515,PO-31046,2,P-20089,500,14.19,7095.0
INV9355515,PO-31046,3,P-20001,198,9.55,1890.9
INV9355515,PO-31046,4,P-20015,97,5.42,525.74
SI2071386,PO-31047,1,P-20021,25,23.78,594.5
SI2071386,PO-31047,2,P-20069,73,4.72,344.56
92237159,PO-31048,1,P-20000,250,55.43,13857.5
92237159,PO-31048,2,P-20000,42,55.43,2328.06
92237159,PO-31048,4,P-20052,62,10.49,650.38
4063167,PO-31049,1,P-20041,11,13.870000000000001,152.57
4063167,PO-31049,2,P-20089,10,14.19,141.9
4063167,PO-31049,3,P-20106,500,63.36,31680.0
SI3934842,PO-31050,1,P-20095,100,24.28,2428.0
SI3934842,PO-31050,2,P-20037,189,12.19,2303.91
SI3934842,PO-31050,3,P-20051,500,11.200000000000001,5600.0
4317908,PO-31051,1,P-10049,168,9.95,1671.6
4317908,PO-31051,2,P-10070,165,3.12,514.8
4317908,PO-31051,3,P-10049,168,9.85,1654.8
4317908,PO-31051,4,P-10049,168,9.85,1654.8
INV461497,PO-31052,1,P-10049,25,9.85,246.25
INV461497,PO-31052,3,P-10070,165,3.18,524.7
INV461497,PO-31052,4,P-10049,250,9.85,2462.5
99669852,PO-31053,2,P-20052,62,10.49,650.38
99669852,PO-31053,3,P-20048,250,55.620000000000005,13905.0
SI422963,PO-31055,1,P-20095,250,24.28,6070.0
SI422963,PO-31055,2,P-20064,50,0.7000000000000001,35.0
INV2949188,PO-31056,1,P-20056,112,0.35000000000000003,39.2
INV2949188,PO-31056,2,P-20075,72,14.48,1042.56
INV2949188,PO-31056,3,P-20056,112,0.35000000000000003,39.2
91640772,PO-31057,1,P-20014,52,20.71,1076.92
SI8382615,PO-31058,1,P-20055,500,35.98,17990.0
SI8382615,PO-31058,2,P-20117,79,26.34,2080.86
SI8382615,PO-31058,3,P-20056,10,0.35000000000000003,3.5
SI3556625,PO-31059,1,P-10105,80,0.94,75.2
SI3556625,PO-31059,2,P-10098,292,0.68,198.56
SI449685,PO-31060,1,P-20081,126,19.0,2394.0
SI3517527,PO-31061,2,P-20088,12,12.5,150.0
SI3517527,PO-31061,3,P-20088,50,12.5,625.0
INV5453534,PO-31063,1,P-10077,250,27.8,6950.0
INV5453534,PO-31063,2,P-10035,100,21.4,2140.0
9443587,PO-31064,1,P-20085,198,1.16,229.68
INV5944082,PO-31065,1,P-10035,193,21.4,4130.2
INV5944082,PO-31065,2,P-10035,193,21.4,4130.2
INV5944082,PO-31065,3,P-10035,193,21.4,4130.2
INV5944082,PO-31065,4,P-10035,250,21.4,5350.0
INV7937516,PO-31066,1,P-20060,61,26.88,1639.68
INV7937516,PO-31066,2,P-20118,16,13.91,222.56
INV7937516,PO-31066,3,P-20060,250,26.88,6720.0
SI1384947,PO-31067,1,P-10105,80,0.94,75.2
SI1384947,PO-31067,2,P-10105,50,0.96,48.0
SI1384947,PO-31067,3,P-10098,10,0.68,6.8
5163627,PO-31068,1,P-20024,103,0.38,39.14
5163627,PO-31068,2,P-20099,19,0.77,14.63
5163627,PO-31068,3,P-10056,313,25.09,7853.17
5163627,PO-31068,4,P-10056,313,24.6,7699.8
96586239,PO-31069,1,P-20112,161,26.88,4327.68
9275059,PO-31070,1,P-10042,100,29.07,2907.0
INV739993,PO-31071,1,P-20086,100,0.51,51.0
INV739993,PO-31071,2,P-20050,177,12.58,2226.66
INV739993,PO-31071,3,P-20050,177,12.84,2272.68
INV739993,PO-31071,4,P-20042,97,49.72,4822.84
INV1561691,PO-31072,1,P-20068,250,11.97,2992.5
INV1561691,PO-31072,2,P-20068,111,11.97,1328.67
SI9285576,PO-31073,1,P-20096,171,14.55,2488.05
SI9285576,PO-31073,2,P-20032,189,46.74,8833.86
SI9285576,PO-31073,3,P-20018,27,25.87,698.49
SI9285576,PO-31073,4,P-20096,25,14.700000000000001,367.5
INV6064633,PO-31074,1,P-20028,26,39.64,1030.64
95122887,PO-31075,1,P-20104,100,29.28,2928.0
SI5183212,PO-31077,1,P-20026,79,0.61,48.19
SI5183212,PO-31077,2,P-20026,500,0.63,315.0
SI5183212,PO-31077,3,P-20119,100,8.11,811.0
SI5183212,PO-31077,4,P-20067,146,21.97,3207.62
INV3059718,PO-31078,1,P-20099,100,0.76,76.0
SI8662411,PO-31079,1,P-10098,292,0.68,198.56
SI8662411,PO-31079,2,P-10098,500,0.68,340.0
SI8662411,PO-31079,3,P-10105,25,0.94,23.5
SI3849539,PO-31080,1,P-20080,25,11.25,281.25
SI3849539,PO-31080,2,P-20000,500,55.43,27715.0
3598184,PO-31082,1,P-20083,137,1.0,137.0
INV1066654,PO-31083,1,P-20060,10,27.96,279.6
INV1066654,PO-31083,2,P-20118,25,13.91,347.75
773817,PO-31085,1,P-10035,193,21.4,4130.2
SI2257488,PO-31086,1,P-20109,50,9.8,490.0
SI2257488,PO-31086,2,P-20062,100,18.77,1877.0
SI2257488,PO-31086,3,P-20109,149,9.8,1460.2
9775848,PO-31087,1,P-20044,25,25.1,627.5
1504749,PO-31088,1,P-20018,27,25.87,698.49
1504749,PO-31088,2,P-20060,123,26.88,3306.24
1504749,PO-31088,3,P-20111,500,23.71,11855.0
96059004,PO-31089,2,P-20119,13,8.11,105.43
INV8101322,PO-31090,1,P-20055,93,35.27,3280.11
INV8101322,PO-31090,3,P-20056,112,0.35000000000000003,39.2
6104089,PO-31091,1,P-10098,500,0.68,340.0
6104089,PO-31091,2,P-10098,250,0.68,170.0
INV4150002,PO-31092,1,P-20024,25,0.37,9.25
INV4150002,PO-31092,2,P-10063,250,32.24,8060.0
99936777,PO-31093,1,P-20046,109,14.45,1575.05
99936777,PO-31093,2,P-20080,20,11.25,225.0
99936777,PO-31093,3,P-20000,50,55.43,2771.5
8609659,PO-31094,1,P-20021,57,23.78,1355.46
8609659,PO-31094,2,P-20054,191,0.48,91.68
INV2195791,PO-31095,1,P-10042,84,28.5,2394.0
INV2195791,PO-31095,2,P-10042,84,28.5,2394.0
SI2316064,PO-31096,1,P-10063,243,31.0,7533.0
SI2316064,PO-31096,2,P-20099,19,0.77,14.63
4127748,PO-31097,1,P-20091,100,11.81,1181.0
4127748,PO-31097,2,P-20006,112,0.2,22.4
SI7025118,PO-31098,1,P-20105,25,81.05,2026.25
SI7025118,PO-31098,2,P-20086,25,0.51,12.75
SI7025118,PO-31098,3,P-20042,97,49.72,4822.84
7256388,PO-31099,1,P-20029,10,0.71,7.1
555849,PO-31100,1,P-10035,100,21.61,2161.0
555849,PO-31100,2,P-10035,25,22.68,567.0
555849,PO-31100,3,P-10035,193,21.83,4213.19
1058062,PO-31101,1,P-20064,10,0.7000000000000001,7.0
1058062,PO-31101,3,P-20051,250,11.200000000000001,2800.0
93163940,PO-31102,1,P-20041,11,13.73,151.03
93163940,PO-31102,2,P-20041,11,13.870000000000001,152.57
91147507,PO-31103,1,P-20117,500,27.150000000000002,13575.0
91147507,PO-31103,2,P-20055,100,37.03,3703.0
91147507,PO-31103,3,P-20075,50,14.48,724.0
98491932,PO-31104,1,P-20041,11,14.15,155.65
94075810,PO-31105,1,P-20000,42,53.77,2258.34
94075810,PO-31105,2,P-20052,62,10.49,650.38
94075810,PO-31105,3,P-20052,62,10.49,650.38
93820667,PO-31106,1,P-20067,146,20.51,2994.46
SI3587005,PO-31107,2,P-20026,5,0.63,3.15
INV2020069,PO-31110,3,P-10098,250,0.68,170.0
INV5089310,PO-31111,1,P-20091,50,12.05,602.5
INV5089310,PO-31111,2,P-20091,112,12.05,1349.6
INV5089310,PO-31111,4,P-20091,10,12.05,120.5
91220841,PO-31112,1,P-20049,50,6.0200000000000005,301.0
91220841,PO-31112,2,P-10091,139,19.2,2668.8
91220841,PO-31112,3,P-20059,5,10.23,51.15
91220841,PO-31112,4,P-10084,10,38.4,384.0
92591690,PO-31113,1,P-20075,72,14.48,1042.56
92591690,PO-31113,2,P-20079,66,0.38,25.08
SI1203417,PO-31115,1,P-20064,42,0.7000000000000001,29.4
SI1203417,PO-31115,2,P-20064,42,0.7000000000000001,29.4
SI1203417,PO-31115,4,P-20045,250,0.18,45.0
5341287,PO-31116,1,P-20015,97,5.42,525.74
5341287,PO-31116,2,P-20047,175,15.41,2696.75
5341287,PO-31116,3,P-20089,143,14.19,2029.17
SI8315891,PO-31117,1,P-20119,13,8.11,105.43
INV3552367,PO-31118,1,P-20017,11,84.28,927.08
SI198626,PO-31119,1,P-10049,168,9.85,1654.8
SI198626,PO-31119,2,P-10049,168,9.85,1654.8
SI198626,PO-31119,3,P-10049,168,9.85,1654.8
91704147,PO-31120,1,P-10077,281,27.8,7811.8
91704147,PO-31120,2,P-10035,193,21.4,4130.2
91704147,PO-31120,3,P-10077,250,27.8,6950.0
7385578,PO-31121,1,P-20113,162,35.81,5801.22
7385578,PO-31121,2,P-20062,197,18.77,3697.69
7385578,PO-31121,3,P-20062,197,18.77,3697.69
SI1413653,PO-31122,1,P-20017,11,84.28,927.08
SI1413653,PO-31122,2,P-20119,13,8.11,105.43
SI635022,PO-31123,1,P-20084,164,14.89,2441.96
SI635022,PO-31123,2,P-20049,97,6.0200000000000005,583.94
SI635022,PO-31123,3,P-20012,125,29.94,3742.5
SI1409718,PO-31124,1,P-20083,137,1.02,139.74
SI1409718,PO-31124,2,P-20011,128,5.14,657.92
SI1409718,PO-31124,3,P-20009,127,0.88,111.76
SI1409718,PO-31124,4,P-20083,137,1.02,139.74
92787697,PO-31125,1,P-20104,157,29.28,4596.96
92787697,PO-31125,2,P-20104,157,29.28,4596.96
92787697,PO-31125,3,P-10014,216,8.95,1933.2
92787697,PO-31125,4,P-20104,250,29.28,7320.0
3300669,PO-31126,1,P-20044,500,25.1,12550.0
INV6541915,PO-31127,1,P-20046,109,13.76,1499.84
INV6541915,PO-31127,2,P-20052,62,10.49,650.38
