supplier_invoice_number,supplier_id,supplier_name,po_number,invoice_date,received_date,due_date,merchandise_total,freight,sales_tax,invoice_total,gl_account,status,match_status,entered_by
98988635,NIC-V018,"W.W. Grainger, Inc.",PO-31001,2025-07-28,2025-07-30,2025-08-27,5200.2,0.0,0.0,5200.2,2000,Paid,Matched,E002
INV4751801,NIC-V017,Uline,PO-31002,2026-02-04,2026-02-09,2026-03-06,15.62,0.0,0.0,15.62,2000,Paid,Matched,E002
706779,NIC-V009,Haas Automation,PO-31003,2026-01-14,2026-01-15,2026-02-13,1076.92,0.0,0.0,1076.92,2000,Paid,Matched,E002
SI6439580,NIC-V006,Cintas Corporation,PO-31004,2026-03-12,2026-03-16,2026-04-11,1737.12,153.88,0.0,1891.0,2000,On Hold,Price variance,E002
98997823,NIC-V007,Fastenal,PO-31005,2025-05-27,2025-05-31,2025-06-26,1497.96,0.0,0.0,1497.96,2000,Paid,Matched,E002
INV3055995,NIC-V001,Alro Steel,PO-31006,2026-04-05,2026-04-07,2026-05-05,1591.46,0.0,0.0,1591.46,2000,Approved,Matched,E002
97116053,NIC-V001,Alro Steel,PO-31007,2025-06-19,2025-06-22,2025-07-19,1449.05,30.77,0.0,1479.82,2000,Paid,Matched,E002
INV6292630,NIC-V018,"W.W. Grainger, Inc.",PO-31008,2025-07-09,2025-07-14,2025-08-08,11942.0,137.75,0.0,12079.75,2000,Paid,Matched,E002
7264178,NIC-V008,Garlock Sealing Technologies,PO-31009,2025-10-17,2025-10-18,2025-11-16,15035.41,0.0,0.0,15035.41,2000,Paid,Matched,E002
SI7169632,NIC-V004,Baldor-Reliance (ABB),PO-31010,2025-09-01,2025-09-02,2025-10-16,4506.5,0.0,0.0,4506.5,2000,Paid,Matched,E002
INV5588710,NIC-V011,McMaster-Carr,PO-31011,2025-09-13,2025-09-13,2025-10-13,576.2,0.0,0.0,576.2,2000,Paid,Price variance,E002
4562913,NIC-V016,Sandvik Coromant,PO-31012,2026-02-08,2026-02-09,2026-03-10,25.08,0.0,0.0,25.08,2000,Paid,Matched,E002
SI7035380,NIC-V004,Baldor-Reliance (ABB),PO-31013,2025-05-29,2025-05-31,2025-07-13,5385.34,0.0,0.0,5385.34,2000,Paid,Matched,E002
97227594,NIC-V004,Baldor-Reliance (ABB),PO-31014,2025-08-18,2025-08-23,2025-10-02,15992.57,0.0,0.0,15992.57,2000,Paid,Matched,E002
1891463,NIC-V014,Regal Rexnord,PO-31015,2025-11-16,2025-11-21,2025-12-31,1150.0,0.0,0.0,1150.0,2000,Paid,Matched,E002
SI3801666,NIC-V007,Fastenal,PO-31016,2025-09-03,2025-09-07,2025-10-03,5884.2,0.0,0.0,5884.2,2000,Paid,Matched,E002
306348,NIC-V017,Uline,PO-31017,2025-05-06,2025-05-08,2025-06-05,502.5,178.41,0.0,680.91,2000,Paid,Matched,E002
