supplier_invoice_number,po_number,receipt_id,po_amount,received_amount,invoiced_amount,variance,result,tolerance_pct,resolved
98988635,PO-31001,RCV-40001,5200.2,5200.2,5200.2,0.0,Matched,2.0,Y
INV4751801,PO-31002,RCV-40002,15.62,15.62,15.62,0.0,Matched,2.0,Y
706779,PO-31003,RCV-40003,1076.92,1076.92,1076.92,0.0,Matched,2.0,Y
SI6439580,PO-31004,RCV-40004,1654.8,1654.8,1737.12,82.32,Price variance,2.0,N
98997823,PO-31005,RCV-40005,1497.96,1497.96,1497.96,0.0,Matched,2.0,Y
INV3055995,PO-31006,RCV-40006,1591.46,1591.46,1591.46,0.0,Matched,2.0,Y
97116053,PO-31007,RCV-40007,1449.05,1449.05,1449.05,0.0,Matched,2.0,Y
INV6292630,PO-31008,RCV-40008,11942.0,11942.0,11942.0,0.0,Matched,2.0,Y
7264178,PO-31009,RCV-40009,15035.41,15035.41,15035.41,0.0,Matched,2.0,Y
SI7169632,PO-31010,RCV-40010,4506.5,4506.5,4506.5,0.0,Matched,2.0,Y
INV5588710,PO-31011,RCV-40011,570.6,570.6,576.2,5.6,Price variance,2.0,Y
4562913,PO-31012,RCV-40012,25.08,25.08,25.08,0.0,Matched,2.0,Y
SI7035380,PO-31013,RCV-40013,5385.34,5385.34,5385.34,0.0,Matched,2.0,Y
97227594,PO-31014,RCV-40014,15992.57,15992.57,15992.57,0.0,Matched,2.0,Y
1891463,PO-31015,RCV-40015,1150.0,1150.0,1150.0,0.0,Matched,2.0,Y
SI3801666,PO-31016,RCV-40016,5884.2,5884.2,5884.2,0.0,Matched,2.0,Y
306348,PO-31017,RCV-40017,502.5,502.5,502.5,0.0,Matched,2.0,Y
94297536,PO-31018,RCV-40018,3134.07,3134.07,3134.07,0.0,Matched,2.0,Y
SI8867698,PO-31019,RCV-40019,1730.52,1730.52,1730.52,0.0,Matched,2.0,Y
2510331,PO-31020,RCV-40020,124.16,124.16,124.16,0.0,Matched,2.0,Y
SI5525005,PO-31021,RCV-40021,4130.2,4130.2,4130.2,0.0,Matched,2.0,Y
INV858820,PO-31022,RCV-40022,2710.0,2710.0,2710.0,0.0,Matched,2.0,Y
6301400,PO-31023,RCV-40023,626.08,626.08,626.08,0.0,Matched,2.0,Y
SI6179706,PO-31024,RCV-40024,6583.1,6583.1,6583.1,0.0,Matched,2.0,Y
INV6802647,PO-31025,RCV-40025,3080.75,3080.75,3080.75,0.0,Matched,2.0,Y
91769614,PO-31026,RCV-40026,5949.2,3514.5,3514.5,0.0,Matched,2.0,Y
INV6367144,PO-31027,RCV-40027,8333.64,8333.64,8333.64,0.0,Matched,2.0,Y
3109501,PO-31028,RCV-40028,1197.58,1197.58,1197.58,0.0,Matched,2.0,Y
156484,PO-31029,RCV-40029,2273.05,2273.05,2273.05,0.0,Matched,2.0,Y
7675947,PO-31030,RCV-40030,6259.5,6259.5,6259.5,0.0,Matched,2.0,Y
INV3862958,PO-31031,RCV-40031,583.94,583.94,618.86,34.92,Price variance,2.0,N
SI256267,PO-31032,RCV-40032,7877.15,7877.15,7877.15,0.0,Matched,2.0,Y
4786721,PO-31033,RCV-40033,2272.68,2272.68,2272.68,0.0,Matched,2.0,Y
92321886,PO-31034,RCV-40034,17521.88,17521.88,17521.88,0.0,Matched,2.0,Y
3547981,PO-31035,RCV-40035,1372.0,1372.0,1372.0,0.0,Matched,2.0,Y
INV1107305,PO-31036,RCV-40036,942.83,942.83,942.83,0.0,Matched,2.0,Y
9813480,PO-31037,RCV-40037,6198.6,6198.6,6198.6,0.0,Matched,2.0,Y
91425565,PO-31038,RCV-40038,2394.0,2394.0,2394.0,0.0,Matched,2.0,Y
SI8647283,PO-31039,RCV-40039,5545.79,5545.79,5545.79,0.0,Matched,2.0,Y
INV4730161,PO-31040,RCV-40040,2263.7,2263.7,2263.7,0.0,Matched,2.0,Y
SI4039045,PO-31041,RCV-40041,16546.48,16546.48,16546.48,0.0,Matched,2.0,Y
SI7461425,PO-31042,RCV-40042,9640.2,9640.2,9640.2,0.0,Matched,2.0,Y
INV4118589,PO-31043,RCV-40043,25550.22,25550.22,25550.22,0.0,Matched,2.0,Y
96186701,PO-31044,RCV-40044,3969.0,3969.0,3969.0,0.0,Matched,2.0,Y
INV1808582,PO-31045,RCV-40045,2029.17,2029.17,2029.17,0.0,Matched,2.0,Y
