count_id,count_date,item_id,bin_location,system_qty,counted_qty,variance_qty,variance_value,counted_by,approved_by,posted
CC-0001,2025-12-20,P-20050,B-18-5,290,290,0,0.0,E077,E076,Y
CC-0002,2025-09-14,P-20118,A-37-5,16,9,-7,-97.37,E081,E076,N
CC-0003,2025-12-09,A-20065,A-04-3,149,149,0,0.0,E104,E076,Y
CC-0004,2026-03-28,P-20064,F-05-3,110,110,0,0.0,E101,E076,Y
CC-0005,2025-11-28,P-20112,E-39-3,164,164,0,0.0,E104,E076,Y
CC-0006,2025-12-06,P-20106,A-21-2,147,147,0,0.0,E082,E076,N
CC-0007,2025-12-07,P-20060,E-03-4,247,247,0,0.0,E102,E076,Y
CC-0008,2026-02-28,P-10028,C-28-4,444,444,0,0.0,E077,E076,Y
CC-0009,2025-10-09,P-20095,E-03-1,87,87,0,0.0,E076,E076,Y
CC-0010,2025-09-17,A-20093,F-21-1,326,330,4,8068.88,E106,E076,Y
CC-0011,2025-11-13,A-20020,E-05-4,70,70,0,0.0,E103,E076,Y
CC-0012,2025-12-26,P-10056,D-37-4,395,395,0,0.0,E101,E076,Y
CC-0013,2026-02-22,P-20037,C-10-2,521,521,0,0.0,E081,E076,Y
CC-0014,2025-11-10,P-20035,C-01-2,119,120,1,12.2,E081,E076,Y
CC-0015,2026-02-18,P-20067,C-05-2,388,388,0,0.0,E102,E076,Y
CC-0016,2025-12-11,A-20082,F-25-5,115,115,0,0.0,E078,E076,Y
CC-0017,2025-12-11,P-20029,D-12-2,14,19,5,3.55,E081,E076,Y
CC-0018,2026-03-12,P-20055,E-02-5,168,163,-5,-176.35,E081,E076,Y
CC-0019,2025-11-11,P-20011,F-34-5,37,37,0,0.0,E099,E076,Y
CC-0020,2025-09-29,P-20066,B-20-3,418,418,0,0.0,E080,E076,Y
CC-0021,2025-09-03,P-10042,F-24-3,178,178,0,0.0,E106,E076,Y
CC-0022,2026-03-14,P-20103,A-25-4,342,336,-6,-103.98,E105,E076,Y
CC-0023,2025-12-17,P-20001,C-36-2,5,0,-5,-47.75,E082,E076,Y
CC-0024,2026-01-31,P-10070,D-21-5,253,253,0,0.0,E078,E076,N
CC-0025,2025-10-06,P-20028,C-33-3,68,70,2,79.28,E078,E076,Y
CC-0026,2026-02-06,A-20033,D-22-1,164,164,0,0.0,E100,E076,Y
CC-0027,2025-11-14,A-20097,E-34-5,424,424,0,0.0,E101,E076,Y
CC-0028,2025-10-09,P-20023,A-14-1,380,381,1,28.06,E106,E076,Y
CC-0029,2025-10-23,P-20086,D-13-4,15,15,0,0.0,E100,E076,Y
CC-0030,2025-12-05,A-20036,A-23-2,225,191,-34,-100152.1,E102,E076,N
CC-0031,2026-02-02,P-20041,D-32-3,7,7,0,0.0,E082,E076,Y
CC-0032,2025-12-18,P-20079,C-40-2,161,161,0,0.0,E083,E076,Y
CC-0033,2025-09-11,P-20099,F-18-5,53,58,5,3.85,E106,E076,Y
CC-0034,2025-09-23,P-10021,C-25-2,301,308,7,99.4,E081,E076,Y
CC-0035,2026-01-21,A-20110,B-22-4,76,76,0,0.0,E106,E076,Y
CC-0036,2025-12-25,P-20009,C-07-5,303,303,0,0.0,E078,E076,Y
CC-0037,2025-10-08,A-20114,E-17-5,488,488,0,0.0,E077,E076,Y
CC-0038,2025-10-22,P-20054,C-37-4,224,224,0,0.0,E101,E076,Y
CC-0039,2026-01-21,P-20084,F-08-5,153,153,0,0.0,E081,E076,Y
CC-0040,2025-09-05,P-10084,B-07-2,83,83,0,0.0,E100,E076,Y
CC-0041,2026-01-05,P-20049,D-23-3,281,288,7,42.14,E077,E076,Y
CC-0042,2025-09-16,P-20017,A-26-1,13,13,0,0.0,E100,E076,Y
CC-0043,2025-10-24,P-20051,C-40-3,365,365,0,0.0,E080,E076,Y
CC-0044,2026-03-09,A-20077,E-22-5,33,33,0,0.0,E104,E076,Y
CC-0045,2025-10-19,P-20105,B-22-3,280,282,2,162.1,E078,E076,Y
CC-0046,2026-02-22,P-20026,C-13-5,57,57,0,0.0,E103,E076,Y
CC-0047,2026-01-30,A-20022,D-19-4,568,568,0,0.0,E104,E076,Y
CC-0048,2025-09-24,A-20070,D-06-4,25,26,1,1739.22,E081,E076,Y
CC-0049,2026-03-15,P-10000,C-12-4,44,39,-5,-20.5,E078,E076,Y
CC-0050,2026-02-26,A-20073,D-37-2,190,190,0,0.0,E101,E076,Y
CC-0051,2025-09-30,P-20074,F-06-1,163,163,0,0.0,E079,E076,Y
CC-0052,2026-02-14,A-20090,D-32-1,47,47,0,0.0,E103,E076,Y
CC-0053,2026-03-04,P-20052,E-33-4,2,2,0,0.0,E079,E076,Y
CC-0054,2025-09-23,P-20088,E-30-3,62,62,0,0.0,E103,E076,Y
CC-0055,2025-10-13,P-20015,C-11-2,272,273,1,5.42,E106,E076,Y
CC-0056,2026-03-23,P-20007,B-06-4,398,398,0,0.0,E076,E076,Y
CC-0057,2025-10-25,P-20032,F-39-5,519,519,0,0.0,E078,E076,Y
CC-0058,2025-09-18,P-20021,A-40-3,35,35,0,0.0,E077,E076,Y
CC-0059,2025-10-14,A-20078,F-26-1,333,333,0,0.0,E081,E076,Y
CC-0060,2025-09-06,P-20046,D-04-1,179,179,0,0.0,E083,E076,Y
