transaction_id,transaction_date,type,item_id,qty,uom,from_location,to_location,reference,lot_number,user_id,unit_cost
IT-001724,2025-04-02,Scrap,A-20078,-12,EA,A-35-1,F-08-2,Count,,E081,704.75
IT-001748,2025-04-04,Transfer,P-20067,12,EA,A-34-5,B-15-2,Count,,E081,20.51
IT-001418,2025-04-07,SO Issue,A-20020,-1,EA,F-24-3,SHIPPING,SO-26301,,E101,316.62
IT-000744,2025-04-09,SO Issue,A-20053,-3,EA,B-35-3,SHIPPING,SO-26062,,E082,695.65
IT-000954,2025-04-10,SO Issue,A-20013,-3,EA,C-33-3,SHIPPING,SO-26138,,E078,162.20000000000002
IT-001105,2025-04-10,SO Issue,A-20034,-1,EA,E-04-4,SHIPPING,SO-26190,,E103,111.33
IT-001056,2025-04-11,SO Issue,A-20073,-1,EA,D-14-3,SHIPPING,SO-26174,,E099,496.53000000000003
IT-001104,2025-04-11,SO Issue,A-20002,-1,EA,A-40-3,SHIPPING,SO-26190,,E079,1931.15
IT-001107,2025-04-11,SO Issue,A-20036,-3,EA,E-04-2,SHIPPING,SO-26190,,E106,2945.65
IT-001108,2025-04-12,SO Issue,A-20030,-1,EA,E-04-4,SHIPPING,SO-26190,,E079,176.98
IT-001560,2025-04-13,SO Issue,A-20053,-3,EA,D-06-5,SHIPPING,SO-26359,,E102,695.65
IT-000879,2025-04-14,SO Issue,A-20002,-1,EA,D-32-3,SHIPPING,SO-26111,,E076,1931.15
IT-001294,2025-04-14,SO Issue,A-20092,-5,EA,C-10-2,SHIPPING,SO-26254,,E105,1915.78
IT-000541,2025-04-15,PO Receipt,P-20032,189,EA,RECEIVING,A-38-4,PO-31249,L250415-624,E105,48.19
IT-000542,2025-04-15,PO Receipt,P-20032,189,EA,RECEIVING,F-06-2,PO-31249,L250415-446,E106,48.19
IT-000878,2025-04-15,SO Issue,A-20043,-2,EA,D-12-5,SHIPPING,SO-26111,,E079,1336.88
IT-001106,2025-04-16,SO Issue,A-20077,-2,EA,C-37-4,SHIPPING,SO-26190,,E082,869.98
IT-001465,2025-04-16,SO Issue,A-20036,-3,EA,C-37-5,SHIPPING,SO-26318,,E077,2945.65
IT-001733,2025-04-16,Adjustment,A-20082,-3,EA,F-35-3,B-29-1,,,E077,841.44
IT-001333,2025-04-17,SO Issue,A-20002,-1,EA,B-18-5,SHIPPING,SO-26271,,E082,1931.15
IT-000860,2025-04-18,SO Issue,A-20082,-5,EA,F-34-5,SHIPPING,SO-26104,,E083,841.44
IT-000859,2025-04-19,SO Issue,A-20087,-1,EA,C-28-4,SHIPPING,SO-26103,,E082,333.06
IT-000861,2025-04-19,SO Issue,A-20043,-5,EA,A-03-3,SHIPPING,SO-26104,,E105,1336.88
IT-000864,2025-04-19,SO Issue,A-20030,-1,EA,D-06-4,SHIPPING,SO-26104,,E079,176.98
IT-000877,2025-04-19,SO Issue,A-20078,-1,EA,A-14-1,SHIPPING,SO-26111,,E106,704.75
IT-001400,2025-04-19,SO Issue,A-20082,-1,EA,A-08-1,SHIPPING,SO-26293,,E083,841.44
IT-000221,2025-04-20,PO Receipt,P-10035,100,EA,RECEIVING,B-12-1,PO-31100,L250420-196,E106,21.4
IT-000222,2025-04-20,PO Receipt,P-10035,25,EA,RECEIVING,F-13-1,PO-31100,L250420-985,E102,21.4
IT-000223,2025-04-20,PO Receipt,P-10035,193,EA,RECEIVING,B-07-1,PO-31100,L250420-886,E078,21.4
IT-001419,2025-04-20,SO Issue,A-20087,-2,EA,C-02-5,SHIPPING,SO-26301,,E080,333.06
IT-001569,2025-04-20,SO Issue,A-20038,-3,EA,E-17-5,SHIPPING,SO-26362,,E080,1997.97
IT-001746,2025-04-20,Transfer,A-20034,-1,EA,F-33-3,F-29-3,Count,,E106,111.33
IT-001549,2025-04-21,SO Issue,A-20065,-1,EA,B-18-5,SHIPPING,SO-26355,,E081,798.0
IT-001559,2025-04-21,SO Issue,A-20093,-3,EA,B-32-5,SHIPPING,SO-26359,,E100,2017.22
IT-000953,2025-04-22,SO Issue,A-20087,-3,EA,A-14-1,SHIPPING,SO-26138,,E099,333.06
IT-001002,2025-04-22,SO Issue,A-20002,-1,EA,E-29-1,SHIPPING,SO-26156,,E099,1931.15
IT-001082,2025-04-22,SO Issue,A-20061,-2,EA,C-40-2,SHIPPING,SO-26182,,E076,175.52
IT-001625,2025-04-22,SO Issue,A-20072,-1,EA,A-36-2,SHIPPING,SO-26388,,E105,402.48
IT-000312,2025-04-23,PO Receipt,P-10105,80,LB,RECEIVING,D-11-4,PO-31141,L250423-298,E104,0.94
IT-000313,2025-04-23,PO Receipt,P-10098,50,LB,RECEIVING,A-26-2,PO-31141,L250423-900,E100,0.68
IT-000866,2025-04-23,SO Issue,A-20093,-3,EA,E-33-4,SHIPPING,SO-26105,,E077,2017.22
IT-000258,2025-04-24,PO Receipt,P-10077,281,GA,RECEIVING,D-13-4,PO-31120,L250424-181,E105,27.8
IT-000259,2025-04-24,PO Receipt,P-10035,193,EA,RECEIVING,C-28-5,PO-31120,L250424-562,E076,21.4
IT-000260,2025-04-24,PO Receipt,P-10077,250,GA,RECEIVING,E-40-5,PO-31120,L250424-366,E101,27.8
IT-000781,2025-04-24,SO Issue,A-20020,-1,EA,B-02-5,SHIPPING,SO-26075,,E082,316.62
IT-001334,2025-04-24,SO Issue,A-20002,-1,EA,E-31-2,SHIPPING,SO-26271,,E077,1931.15
IT-001381,2025-04-24,SO Issue,A-20013,-1,EA,D-22-2,SHIPPING,SO-26287,,E078,162.20000000000002
IT-001568,2025-04-24,SO Issue,A-20036,-5,EA,B-07-4,SHIPPING,SO-26362,,E077,2945.65
IT-000745,2025-04-25,SO Issue,A-20063,-2,EA,C-37-4,SHIPPING,SO-26062,,E104,1372.91
IT-001293,2025-04-25,SO Issue,A-20013,-1,EA,A-25-4,SHIPPING,SO-26254,,E080,162.20000000000002
IT-001382,2025-04-25,SO Issue,A-20058,-1,EA,D-38-1,SHIPPING,SO-26287,,E078,254.75
IT-001467,2025-04-25,SO Issue,A-20040,-1,EA,E-04-4,SHIPPING,SO-26318,,E103,210.93
IT-000255,2025-04-26,PO Receipt,P-10049,168,BX,RECEIVING,C-31-5,PO-31119,L250426-336,E080,9.85
IT-000256,2025-04-26,PO Receipt,P-10049,168,BX,RECEIVING,E-37-1,PO-31119,L250426-532,E099,9.85
IT-000257,2025-04-26,PO Receipt,P-10049,168,BX,RECEIVING,A-35-5,PO-31119,L250426-428,E105,9.85
IT-000747,2025-04-26,SO Issue,A-20107,-3,EA,F-39-5,SHIPPING,SO-26062,,E079,2631.9500000000003
IT-000880,2025-04-26,SO Issue,A-20063,-5,EA,D-20-3,SHIPPING,SO-26111,,E083,1372.91
IT-001083,2025-04-26,SO Issue,A-20053,-2,EA,C-12-4,SHIPPING,SO-26182,,E101,695.65
IT-000183,2025-04-27,PO Receipt,P-10098,292,LB,RECEIVING,B-02-3,PO-31079,L250427-108,E082,0.68
IT-000184,2025-04-27,PO Receipt,P-10098,500,LB,RECEIVING,C-36-2,PO-31079,L250427-587,E080,0.68
IT-000185,2025-04-27,PO Receipt,P-10105,25,LB,RECEIVING,D-22-2,PO-31079,L250427-573,E105,0.94
IT-000876,2025-04-27,SO Issue,A-20002,-2,EA,B-07-4,SHIPPING,SO-26111,,E083,1931.15
IT-000719,2025-04-28,SO Issue,A-20114,-2,EA,D-19-4,SHIPPING,SO-26052,,E106,244.69
IT-000720,2025-04-28,SO Issue,A-20022,-2,EA,D-34-4,SHIPPING,SO-26052,,E077,155.41
IT-000743,2025-04-28,SO Issue,A-20002,-1,EA,C-37-5,SHIPPING,SO-26062,,E103,1931.15
IT-000746,2025-04-28,SO Issue,A-20072,-5,EA,A-36-2,SHIPPING,SO-26062,,E081,402.48
IT-000816,2025-04-28,SO Issue,A-20087,-2,EA,D-23-2,SHIPPING,SO-26087,,E080,333.06
IT-001684,2025-04-28,SO Issue,A-20090,-1,EA,C-33-3,SHIPPING,SO-26410,,E081,821.3000000000001
