lot_number,item_id,supplier_id,receipt_id,heat_number,cert_on_file,consumed_in_work_orders,remaining_qty
L250723-614,P-10035,NIC-V018,RCV-40001,,N,WO-70275,40
L250723-175,P-10035,NIC-V018,RCV-40001,,Y,WO-70233;WO-70213,52
L260128-875,P-20029,NIC-V017,RCV-40002,,Y,WO-70239,13
L260109-112,P-20014,NIC-V009,RCV-40003,,Y,WO-70179,44
L260309-286,P-10049,NIC-V006,RCV-40004,,Y,,132
L250525-767,P-20064,NIC-V007,RCV-40005,,Y,WO-70337;WO-70123,11
L250525-845,P-20051,NIC-V007,RCV-40005,,Y,WO-70226,117
L250525-912,P-20045,NIC-V007,RCV-40005,,Y,WO-70139;WO-70296,67
L250525-875,P-20045,NIC-V007,RCV-40005,,Y,WO-70106;WO-70186,4
L260331-588,P-20021,NIC-V001,RCV-40006,,Y,WO-70147;WO-70024,20
L260331-786,P-20069,NIC-V001,RCV-40006,,Y,WO-70175;WO-70071;WO-70184,19
L250617-677,P-20054,NIC-V001,RCV-40007,,Y,,101
L250617-700,P-20021,NIC-V001,RCV-40007,,Y,WO-70388,41
L250708-726,P-10077,NIC-V018,RCV-40008,,Y,,277
L250708-507,P-10035,NIC-V018,RCV-40008,,Y,,31
L251011-112,P-20032,NIC-V008,RCV-40009,,Y,WO-70185,38
L251011-555,P-20111,NIC-V008,RCV-40009,,Y,WO-70079,122
L250828-683,P-20041,NIC-V004,RCV-40010,,Y,WO-70357,232
L250828-596,P-20103,NIC-V004,RCV-40010,,N,,10
L250911-889,P-20062,NIC-V011,RCV-40011,,Y,WO-70212;WO-70342,10
L250911-218,P-20062,NIC-V011,RCV-40011,,Y,,10
L250911-140,P-20062,NIC-V011,RCV-40011,,Y,WO-70280,7
L260201-663,P-20079,NIC-V016,RCV-40012,,Y,WO-70028,19
L250522-898,P-20103,NIC-V004,RCV-40013,,Y,WO-70214;WO-70361;WO-70263,39
L250522-916,P-20015,NIC-V004,RCV-40013,,Y,WO-70095,91
L250522-600,P-20047,NIC-V004,RCV-40013,,Y,WO-70349;WO-70265;WO-70187,10
L250522-896,P-20041,NIC-V004,RCV-40013,,N,,1
L250818-230,P-20106,NIC-V004,RCV-40014,,Y,WO-70276;WO-70275,220
L250818-521,P-20041,NIC-V004,RCV-40014,,Y,WO-70115;WO-70185,11
L251109-282,P-20088,NIC-V014,RCV-40015,,N,WO-70204;WO-70101,28
L251109-995,P-20088,NIC-V014,RCV-40015,,Y,,14
L250902-639,P-20051,NIC-V007,RCV-40016,,N,,180
L250902-190,P-20045,NIC-V007,RCV-40016,,Y,WO-70115;WO-70344;WO-70042,68
L250902-517,P-20027,NIC-V007,RCV-40016,,Y,WO-70209,13
L250501-245,P-10063,NIC-V017,RCV-40017,,Y,WO-70196;WO-70290;WO-70329,8
L250501-809,P-20099,NIC-V017,RCV-40017,,Y,WO-70188;WO-70119;WO-70268,99
L250825-481,P-20067,NIC-V005,RCV-40018,,Y,WO-70109,91
L250825-557,P-20026,NIC-V005,RCV-40018,,Y,,34
L250825-524,P-20017,NIC-V005,RCV-40018,,Y,WO-70186;WO-70196,1
L250825-143,P-20119,NIC-V005,RCV-40018,,Y,WO-70243;WO-70236;WO-70399,9
L250914-235,P-20088,NIC-V014,RCV-40019,,Y,WO-70040;WO-70328;WO-70061,44
L250914-937,P-20088,NIC-V014,RCV-40019,,N,WO-70229;WO-70067;WO-70122,0
L250914-729,P-20088,NIC-V014,RCV-40019,,Y,WO-70282;WO-70178;WO-70382,7
L250610-838,P-20064,NIC-V007,RCV-40020,,Y,WO-70136,14
L250610-780,P-20045,NIC-V007,RCV-40020,,Y,,24
L250610-671,P-20045,NIC-V007,RCV-40020,,N,WO-70385;WO-70337,81
L250610-852,P-20064,NIC-V007,RCV-40020,,Y,WO-70342;WO-70378,30
L251212-162,P-10035,NIC-V018,RCV-40021,,Y,WO-70349,105
L250711-858,P-20015,NIC-V004,RCV-40022,,Y,WO-70256;WO-70389;WO-70294,58
L251026-912,P-20028,NIC-V010,RCV-40023,,Y,WO-70357;WO-70096;WO-70395,9
L251026-234,P-20085,NIC-V010,RCV-40023,,N,,88
L251125-946,P-20091,NIC-V009,RCV-40024,,Y,WO-70093,40
L251125-181,P-20014,NIC-V009,RCV-40024,,Y,WO-70294,62
L251125-647,P-20019,NIC-V009,RCV-40024,,Y,WO-70248,210
L250501-250,P-10049,NIC-V006,RCV-40025,,Y,,5
L250501-845,P-10070,NIC-V006,RCV-40025,,Y,WO-70186,122
L250501-381,P-10049,NIC-V006,RCV-40025,,Y,,85
L250603-881,P-20044,NIC-V010,RCV-40026,,Y,WO-70114;WO-70222;WO-70193,6
L250603-861,P-20035,NIC-V010,RCV-40026,,Y,WO-70281;WO-70367;WO-70073,2
L250603-960,P-20085,NIC-V010,RCV-40026,,Y,WO-70377;WO-70390,93
L250604-210,P-20096,NIC-V008,RCV-40027,,Y,,46
L250604-395,P-20096,NIC-V008,RCV-40027,,Y,WO-70122;WO-70181,127
L250604-296,P-20060,NIC-V008,RCV-40027,,N,WO-70347;WO-70054,99
L251230-226,P-20091,NIC-V009,RCV-40028,,Y,WO-70295;WO-70132,3
L251230-645,P-20014,NIC-V009,RCV-40028,,Y,WO-70214;WO-70104;WO-70085,13
L251230-899,P-20006,NIC-V009,RCV-40028,,N,WO-70163;WO-70301;WO-70302,15
L251230-266,P-20006,NIC-V009,RCV-40028,,Y,WO-70340;WO-70320;WO-70336,20
L250702-789,P-10070,NIC-V006,RCV-40029,,Y,WO-70169;WO-70357,99
L250702-428,P-10049,NIC-V006,RCV-40029,,N,WO-70089,6
L250702-824,P-10049,NIC-V006,RCV-40029,,Y,WO-70027;WO-70208;WO-70118,58
L260218-408,P-20117,NIC-V016,RCV-40030,,N,WO-70340;WO-70207;WO-70347,85
L260218-330,P-20056,NIC-V016,RCV-40030,,Y,WO-70139,10
L260218-222,P-20055,NIC-V016,RCV-40030,,Y,,53
L260322-322,P-20049,NIC-V002,RCV-40031,,Y,WO-70337;WO-70205,91
L251013-606,P-20015,NIC-V004,RCV-40032,,Y,WO-70061;WO-70003,2
L251013-404,P-20089,NIC-V004,RCV-40032,,Y,,106
L251013-940,P-20106,NIC-V004,RCV-40032,,Y,WO-70284,40
L260209-995,P-20050,NIC-V013,RCV-40033,,Y,WO-70269;WO-70346,30
L250627-722,P-20052,NIC-V003,RCV-40034,,Y,WO-70182;WO-70259,26
L250627-680,P-20046,NIC-V003,RCV-40034,,Y,WO-70293;WO-70154,23
L250627-909,P-20052,NIC-V003,RCV-40034,,N,WO-70237;WO-70369;WO-70246,0
L250627-592,P-20048,NIC-V003,RCV-40034,,Y,WO-70282;WO-70369,160
L251028-989,P-20091,NIC-V009,RCV-40035,,Y,WO-70310;WO-70114,31
L251028-621,P-20006,NIC-V009,RCV-40035,,Y,,70
L250903-687,P-20026,NIC-V005,RCV-40036,,Y,,23
L250903-729,P-20017,NIC-V005,RCV-40036,,Y,WO-70126;WO-70085;WO-70005,11
L250823-637,P-20091,NIC-V009,RCV-40037,,Y,,110
L250823-365,P-20100,NIC-V009,RCV-40037,,Y,WO-70212;WO-70058;WO-70070,7
L250823-479,P-20091,NIC-V009,RCV-40037,,Y,,7
L250811-309,P-10042,NIC-V010,RCV-40038,,Y,WO-70212;WO-70312;WO-70110,53
L250813-168,P-20109,NIC-V011,RCV-40039,,Y,WO-70360,101
L250813-661,P-20062,NIC-V011,RCV-40039,,Y,WO-70175;WO-70054;WO-70039,171
L250813-467,P-20113,NIC-V011,RCV-40039,,N,WO-70340,10
L250825-335,P-20054,NIC-V001,RCV-40040,,Y,,141
L250825-463,P-20069,NIC-V001,RCV-40040,,Y,WO-70299,68
L250825-852,P-20069,NIC-V001,RCV-40040,,Y,WO-70268;WO-70060;WO-70389,55
L250825-563,P-20021,NIC-V001,RCV-40040,,Y,WO-70012,27
L260219-605,P-20066,NIC-V013,RCV-40041,,Y,,139
L260219-858,P-20066,NIC-V013,RCV-40041,,Y,WO-70063,41
L260219-920,P-20050,NIC-V013,RCV-40041,,Y,WO-70151,42
L250702-447,P-10035,NIC-V018,RCV-40042,,N,,102
L250702-391,P-10035,NIC-V018,RCV-40042,,Y,WO-70269;WO-70063,127
L251010-845,P-20113,NIC-V011,RCV-40043,,Y,WO-70155;WO-70035;WO-70041,29
L251010-668,P-20113,NIC-V011,RCV-40043,,Y,WO-70091;WO-70181,33
L251010-412,P-20113,NIC-V011,RCV-40043,,Y,WO-70026;WO-70164,227
L250930-852,P-20027,NIC-V007,RCV-40044,,Y,WO-70160,10
L250930-866,P-20095,NIC-V007,RCV-40044,,Y,WO-70240;WO-70214;WO-70171,29
L250823-651,P-20089,NIC-V004,RCV-40045,,Y,WO-70106;WO-70212;WO-70227,67
L260320-278,P-20041,NIC-V004,RCV-40046,,Y,,1
L260320-313,P-20089,NIC-V004,RCV-40046,,Y,WO-70246;WO-70317;WO-70018,271
L260320-130,P-20001,NIC-V004,RCV-40046,,N,WO-70254;WO-70233;WO-70158,140
L260320-807,P-20015,NIC-V004,RCV-40046,,Y,,64
L260318-719,P-20021,NIC-V001,RCV-40047,,Y,WO-70076;WO-70177,20
L260318-655,P-20069,NIC-V001,RCV-40047,,N,WO-70080,46
L260315-513,P-20000,NIC-V003,RCV-40048,,Y,WO-70108,142
L260315-633,P-20000,NIC-V003,RCV-40048,,Y,,25
L260315-351,P-20052,NIC-V003,RCV-40048,,Y,WO-70267,26
L250623-293,P-20041,NIC-V004,RCV-40049,,Y,WO-70154;WO-70147;WO-70049,7
L250623-261,P-20089,NIC-V004,RCV-40049,,Y,WO-70006;WO-70005,10
L250623-913,P-20106,NIC-V004,RCV-40049,,Y,WO-70019;WO-70150,235
