reservation_id,so_number,so_line,item_id,reserved_qty,reserved_date,status
RSV-0001,SO-26003,4,A-20114,1,2025-07-27,Open
RSV-0002,SO-26007,1,A-20082,1,2025-07-18,Open
RSV-0003,SO-26011,3,A-20101,1,2025-07-06,Open
RSV-0004,SO-26014,3,A-20038,2,2025-04-30,Open
RSV-0005,SO-26026,1,A-20061,1,2026-03-28,Open
RSV-0006,SO-26026,2,A-20061,5,2026-03-28,Open
RSV-0007,SO-26026,3,A-20092,3,2026-03-28,Open
RSV-0008,SO-26026,5,A-20097,1,2026-03-28,Open
RSV-0009,SO-26028,1,A-20040,1,2026-03-21,Open
RSV-0010,SO-26030,1,A-20020,5,2026-03-19,Open
RSV-0011,SO-26030,4,A-20065,3,2026-03-19,Open
RSV-0012,SO-26039,1,A-20087,5,2025-12-26,Open
RSV-0013,SO-26044,2,A-20092,2,2025-10-15,Open
RSV-0014,SO-26048,1,A-20038,2,2026-03-26,Open
RSV-0015,SO-26048,2,A-20040,3,2026-03-26,Open
RSV-0016,SO-26048,3,A-20072,5,2026-03-26,Open
RSV-0017,SO-26053,1,A-20034,1,2026-03-02,Open
RSV-0018,SO-26054,3,A-20093,3,2025-12-23,Open
RSV-0019,SO-26056,2,A-20078,1,2025-11-25,Open
RSV-0020,SO-26057,3,A-20053,1,2025-04-10,Open
RSV-0021,SO-26064,1,A-20092,1,2026-03-13,Open
RSV-0022,SO-26064,3,A-20073,1,2026-03-13,Open
RSV-0023,SO-26071,1,A-20020,3,2025-11-05,Open
RSV-0024,SO-26076,1,A-20034,1,2026-03-23,Open
RSV-0025,SO-26081,1,A-20013,2,2026-03-21,Open
RSV-0026,SO-26081,2,A-20065,1,2026-03-21,Open
RSV-0027,SO-26081,3,A-20093,2,2026-03-21,Open
RSV-0028,SO-26092,1,A-20063,3,2026-03-26,Open
RSV-0029,SO-26096,1,A-20002,1,2026-03-12,Open
RSV-0030,SO-26096,2,A-20073,5,2026-03-12,Open
RSV-0031,SO-26110,1,A-20040,1,2026-02-10,Open
RSV-0032,SO-26118,5,A-20114,3,2025-08-19,Open
RSV-0033,SO-26119,2,A-20090,5,2026-03-20,Open
RSV-0034,SO-26128,4,A-20077,3,2026-01-16,Open
RSV-0035,SO-26132,2,A-20101,3,2025-10-28,Open
RSV-0036,SO-26133,1,A-20082,5,2025-10-28,Open
RSV-0037,SO-26136,1,A-20072,3,2026-03-16,Open
RSV-0038,SO-26136,3,A-20110,1,2026-03-16,Open
RSV-0039,SO-26137,1,A-20114,5,2025-07-10,Open
RSV-0040,SO-26138,2,A-20061,1,2025-04-01,Open
RSV-0041,SO-26147,1,A-20101,1,2025-09-01,Open
RSV-0042,SO-26155,1,A-20092,3,2026-03-13,Open
RSV-0043,SO-26155,2,A-20040,1,2026-03-13,Open
RSV-0044,SO-26158,4,A-20110,5,2025-05-24,Open
RSV-0045,SO-26159,3,A-20101,5,2025-10-09,Open
RSV-0046,SO-26164,1,A-20033,3,2026-03-05,Open
RSV-0047,SO-26166,1,A-20107,2,2026-03-05,Open
RSV-0048,SO-26182,1,A-20070,3,2025-04-09,Open
RSV-0049,SO-26191,1,A-20114,1,2025-12-05,Open
RSV-0050,SO-26193,3,A-20038,3,2026-03-04,Open
RSV-0051,SO-26196,2,A-20053,5,2025-10-18,Open
RSV-0052,SO-26198,2,A-20097,3,2025-11-19,Open
RSV-0053,SO-26203,2,A-20114,1,2025-08-01,Open
RSV-0054,SO-26222,1,A-20061,5,2025-11-20,Open
RSV-0055,SO-26234,1,A-20087,3,2026-03-19,Open
RSV-0056,SO-26238,2,A-20038,1,2025-11-08,Open
RSV-0057,SO-26240,4,A-20043,2,2025-10-15,Open
RSV-0058,SO-26248,3,A-20053,2,2025-12-23,Open
RSV-0059,SO-26258,1,A-20034,1,2026-01-25,Open
RSV-0060,SO-26261,4,A-20073,2,2025-05-09,Open
RSV-0061,SO-26261,5,A-20107,2,2025-05-09,Open
RSV-0062,SO-26264,2,A-20013,2,2025-12-24,Open
RSV-0063,SO-26265,1,A-20022,1,2026-03-21,Open
RSV-0064,SO-26269,2,A-20031,1,2025-09-07,Open
RSV-0065,SO-26270,1,A-20022,1,2026-03-29,Open
RSV-0066,SO-26274,4,A-20077,5,2025-10-09,Open
RSV-0067,SO-26276,4,A-20034,3,2025-07-20,Open
RSV-0068,SO-26279,1,A-20043,1,2026-02-18,Open
RSV-0069,SO-26288,1,A-20040,1,2025-09-17,Open
RSV-0070,SO-26292,1,A-20022,1,2026-03-26,Open
RSV-0071,SO-26292,2,A-20082,3,2026-03-26,Open
RSV-0072,SO-26292,3,A-20090,1,2026-03-26,Open
RSV-0073,SO-26292,4,A-20038,3,2026-03-26,Open
RSV-0074,SO-26292,5,A-20078,3,2026-03-26,Open
RSV-0075,SO-26296,4,A-20073,1,2026-01-27,Open
RSV-0076,SO-26302,2,A-20087,1,2025-06-17,Open
RSV-0077,SO-26302,4,A-20039,5,2025-06-17,Open
RSV-0078,SO-26303,1,A-20034,1,2026-03-29,Open
RSV-0079,SO-26303,2,A-20114,1,2026-03-29,Open
RSV-0080,SO-26308,1,A-20038,3,2026-02-19,Open
