transfer_id,transfer_date,item_id,qty,from_location,to_location,requested_by,status
TR-0001,2025-06-13,P-20047,13,MAIN,WIP-ASSY,E096,Complete
TR-0002,2025-12-24,P-20021,12,MAIN,WIP-CNC1,E028,In Transit
TR-0003,2025-09-09,A-20110,12,MAIN,WIP-CNC1,E049,In Transit
TR-0004,2025-12-25,A-20076,19,MAIN,WIP-CNC1,E102,Complete
TR-0005,2025-12-10,P-20116,14,MAIN,WIP-CNC1,E068,In Transit
TR-0006,2025-07-12,P-20088,53,MAIN,WIP-CNC1,E089,In Transit
TR-0007,2026-02-24,P-10021,56,MAIN,FG-STAGE,E079,In Transit
TR-0008,2025-07-09,P-10035,28,MAIN,WIP-ASSY,E045,Complete
TR-0009,2026-03-11,P-20116,19,MAIN,WIP-CNC1,E065,Complete
TR-0010,2026-03-18,P-20021,18,MAIN,FG-STAGE,E106,In Transit
TR-0011,2025-04-20,P-20011,34,MAIN,FG-STAGE,E073,Complete
TR-0012,2025-09-03,P-20084,12,MAIN,WIP-CNC1,E069,Complete
TR-0013,2025-05-18,P-20029,7,MAIN,WIP-CNC1,E098,Complete
TR-0014,2025-05-05,P-20016,35,MAIN,FG-STAGE,E070,Complete
TR-0015,2025-07-12,P-10014,32,MAIN,WIP-ASSY,E083,Complete
TR-0016,2026-03-15,A-20078,52,MAIN,WIP-CNC1,E010,Complete
TR-0017,2026-02-27,P-20042,35,MAIN,FG-STAGE,E051,Complete
TR-0018,2025-06-29,P-20016,38,MAIN,WIP-ASSY,E065,In Transit
TR-0019,2025-12-21,A-20004,59,MAIN,FG-STAGE,E026,In Transit
TR-0020,2025-07-06,P-20108,44,MAIN,FG-STAGE,E076,Complete
TR-0021,2026-02-26,P-20035,59,MAIN,WIP-CNC1,E048,In Transit
TR-0022,2025-06-03,A-20073,21,MAIN,FG-STAGE,E003,In Transit
TR-0023,2026-02-01,P-20060,6,MAIN,FG-STAGE,E056,Complete
TR-0024,2025-04-08,A-20070,7,MAIN,FG-STAGE,E025,Complete
TR-0025,2025-08-21,A-20114,8,MAIN,WIP-ASSY,E022,In Transit
TR-0026,2026-02-12,A-20033,19,MAIN,FG-STAGE,E072,Complete
TR-0027,2025-10-04,P-20100,29,MAIN,WIP-CNC1,E058,In Transit
TR-0028,2025-05-22,P-20054,38,MAIN,WIP-CNC1,E036,Complete
TR-0029,2026-02-09,P-20098,28,MAIN,WIP-CNC1,E029,Complete
TR-0030,2025-09-08,P-20048,44,MAIN,FG-STAGE,E031,In Transit
TR-0031,2025-06-09,P-20049,46,MAIN,WIP-ASSY,E032,Complete
TR-0032,2025-06-21,P-20067,50,MAIN,WIP-ASSY,E088,Complete
TR-0033,2026-03-03,P-10007,45,MAIN,WIP-CNC1,E006,Complete
TR-0034,2025-05-30,P-20071,5,MAIN,WIP-ASSY,E008,Complete
TR-0035,2026-02-13,A-20070,19,MAIN,FG-STAGE,E052,Complete
TR-0036,2025-04-28,P-10049,17,MAIN,WIP-CNC1,E041,Complete
TR-0037,2025-05-01,A-20061,25,MAIN,FG-STAGE,E076,Complete
TR-0038,2026-01-06,P-10063,36,MAIN,FG-STAGE,E018,In Transit
TR-0039,2025-12-21,A-20061,21,MAIN,WIP-ASSY,E077,Complete
TR-0040,2025-10-30,P-20059,54,MAIN,FG-STAGE,E065,Complete
TR-0041,2026-03-25,P-20075,50,MAIN,WIP-ASSY,E103,Complete
TR-0042,2025-07-20,P-10084,15,MAIN,WIP-ASSY,E002,Complete
TR-0043,2026-01-05,P-20109,21,MAIN,WIP-ASSY,E010,In Transit
TR-0044,2025-07-03,A-20053,37,MAIN,WIP-CNC1,E027,Complete
