pick_id,so_number,so_line,item_id,qty_to_pick,qty_picked,bin_location,picker_id,pick_date,shipment_id
PK-00001,SO-26001,1,A-20031,3,3,A-01-5,E104,2025-09-03,SH-50001
PK-00002,SO-26001,2,A-20078,5,5,F-27-1,E083,2025-09-03,SH-50001
PK-00003,SO-26001,3,A-20003,5,5,A-20-5,E078,2025-09-02,SH-50001
PK-00004,SO-26001,4,A-20039,1,1,A-31-3,E076,2025-09-03,SH-50001
PK-00005,SO-26001,5,A-20097,5,5,A-29-4,E081,2025-09-02,SH-50001
PK-00006,SO-26002,1,A-20002,2,2,A-10-5,E078,2025-07-03,SH-50002
PK-00007,SO-26003,1,A-20034,1,1,B-09-1,E081,2025-08-19,SH-50003
PK-00008,SO-26003,2,A-20110,1,1,F-13-5,E083,2025-08-19,SH-50003
PK-00009,SO-26003,3,A-20040,3,3,B-28-2,E080,2025-08-19,SH-50003
PK-00010,SO-26004,1,A-20013,2,2,D-20-1,E100,2025-08-28,SH-50004
PK-00011,SO-26004,2,A-20034,2,2,A-28-4,E103,2025-08-28,SH-50004
PK-00012,SO-26004,3,A-20077,5,5,D-37-3,E082,2025-08-27,SH-50004
PK-00013,SO-26005,1,A-20097,3,3,E-21-5,E102,2025-06-03,SH-50005
PK-00014,SO-26006,1,A-20063,3,3,D-15-3,E081,2025-12-21,SH-50006
PK-00015,SO-26006,2,A-20072,3,3,D-35-2,E079,2025-12-21,SH-50006
PK-00016,SO-26006,3,A-20013,1,1,A-14-2,E076,2025-12-21,SH-50006
PK-00017,SO-26006,4,A-20033,3,3,A-10-5,E080,2025-12-20,SH-50006
PK-00018,SO-26006,5,A-20002,1,1,D-11-4,E104,2025-12-20,SH-50006
PK-00019,SO-26008,1,A-20072,2,2,B-22-2,E099,2025-10-18,SH-50007
PK-00020,SO-26008,2,A-20022,5,5,D-06-5,E080,2025-10-17,SH-50007
PK-00021,SO-26009,1,A-20090,5,5,B-10-2,E104,2025-10-05,SH-50008
PK-00022,SO-26009,2,A-20107,1,1,B-35-4,E101,2025-10-04,SH-50008
PK-00023,SO-26009,3,A-20033,3,3,F-27-4,E076,2025-10-05,SH-50008
PK-00024,SO-26009,4,A-20030,1,1,D-32-4,E103,2025-10-04,SH-50008
PK-00025,SO-26009,5,A-20034,1,1,D-22-3,E083,2025-10-04,SH-50008
PK-00026,SO-26010,1,A-20073,5,5,F-25-2,E105,2025-12-29,SH-50009
PK-00027,SO-26010,2,A-20114,2,2,E-02-3,E102,2025-12-29,SH-50009
PK-00028,SO-26011,1,A-20110,5,5,E-31-4,E078,2025-08-07,SH-50010
PK-00029,SO-26011,2,A-20077,5,5,A-34-2,E078,2025-08-08,SH-50010
PK-00030,SO-26011,4,A-20034,2,2,E-08-3,E078,2025-08-08,SH-50010
PK-00031,SO-26011,5,A-20092,2,2,E-08-4,E079,2025-08-08,SH-50010
PK-00032,SO-26012,1,A-20063,1,1,C-34-5,E076,2025-07-22,SH-50011
PK-00033,SO-26012,2,A-20002,2,2,A-10-3,E076,2025-07-22,SH-50011
PK-00034,SO-26012,3,A-20030,5,5,D-30-5,E082,2025-07-23,SH-50011
PK-00035,SO-26012,4,A-20003,1,1,D-31-1,E080,2025-07-23,SH-50011
PK-00036,SO-26013,1,A-20114,2,2,D-24-4,E083,2025-09-21,SH-50012
PK-00037,SO-26014,1,A-20090,1,1,E-08-4,E079,2025-05-26,SH-50013
PK-00038,SO-26014,2,A-20030,1,1,F-10-3,E102,2025-05-26,SH-50013
PK-00039,SO-26014,4,A-20065,2,2,A-29-1,E076,2025-05-25,SH-50013
PK-00040,SO-26015,1,A-20087,1,1,B-18-4,E100,2025-08-09,SH-50014
PK-00041,SO-26016,1,A-20061,1,1,C-25-1,E081,2025-06-23,SH-50015
PK-00042,SO-26016,2,A-20020,1,1,B-08-5,E106,2025-06-23,SH-50015
PK-00043,SO-26016,4,A-20082,3,3,F-21-1,E103,2025-06-23,SH-50015
PK-00044,SO-26017,1,A-20097,1,1,E-12-1,E100,2025-12-30,SH-50016
PK-00045,SO-26017,2,A-20022,1,1,B-38-3,E080,2025-12-29,SH-50016
PK-00046,SO-26017,3,A-20043,1,1,A-37-4,E102,2025-12-30,SH-50016
PK-00047,SO-26017,4,A-20114,3,3,F-03-1,E100,2025-12-29,SH-50016
PK-00048,SO-26018,1,A-20114,1,1,D-28-1,E082,2025-08-28,SH-50017
PK-00049,SO-26018,2,A-20003,1,1,D-36-4,E102,2025-08-29,SH-50017
PK-00050,SO-26018,3,A-20110,5,5,E-09-5,E076,2025-08-28,SH-50017
PK-00051,SO-26018,4,A-20093,5,5,A-03-5,E101,2025-08-29,SH-50017
PK-00052,SO-26018,5,A-20038,1,1,F-01-2,E077,2025-08-29,SH-50017
PK-00053,SO-26019,1,A-20110,1,1,A-07-4,E083,2025-07-13,SH-50018
PK-00054,SO-26020,1,A-20061,2,2,F-25-2,E082,2025-07-31,SH-50019
PK-00055,SO-26021,1,A-20110,3,3,D-12-4,E083,2025-10-16,SH-50020
PK-00056,SO-26021,2,A-20093,2,2,E-28-1,E081,2025-10-16,SH-50020
PK-00057,SO-26021,3,A-20033,1,1,B-24-5,E079,2025-10-16,SH-50020
PK-00058,SO-26021,4,A-20072,1,1,A-06-1,E103,2025-10-16,SH-50020
PK-00059,SO-26022,1,A-20078,2,2,D-14-1,E083,2025-11-24,SH-50021
PK-00060,SO-26022,2,A-20063,3,3,B-37-5,E106,2025-11-24,SH-50021
PK-00061,SO-26022,3,A-20087,5,5,C-32-4,E083,2025-11-23,SH-50021
PK-00062,SO-26023,1,A-20039,2,2,F-03-1,E080,2025-07-30,SH-50022
PK-00063,SO-26023,2,A-20020,5,5,A-05-2,E076,2025-07-30,SH-50022
PK-00064,SO-26023,3,A-20031,5,5,D-39-2,E079,2025-07-31,SH-50022
PK-00065,SO-26023,4,A-20076,2,2,F-06-2,E104,2025-07-30,SH-50022
PK-00066,SO-26024,1,A-20073,3,3,F-11-5,E102,2025-06-19,SH-50023
PK-00067,SO-26024,2,A-20033,3,3,D-34-5,E102,2025-06-18,SH-50023
PK-00068,SO-26024,3,A-20077,2,2,D-12-4,E076,2025-06-18,SH-50023
PK-00069,SO-26024,4,A-20053,2,2,D-16-1,E104,2025-06-18,SH-50023
PK-00070,SO-26025,1,A-20034,5,5,D-03-3,E077,2026-01-28,SH-50024
PK-00071,SO-26025,2,A-20107,3,3,D-08-5,E080,2026-01-28,SH-50024
PK-00072,SO-26025,3,A-20013,1,1,F-16-3,E104,2026-01-28,SH-50024
PK-00073,SO-26025,4,A-20076,2,2,F-19-3,E101,2026-01-28,SH-50024
PK-00074,SO-26025,5,A-20031,1,1,F-15-2,E076,2026-01-28,SH-50024
PK-00075,SO-26027,1,A-20097,5,5,F-27-3,E104,2026-02-09,SH-50025
PK-00076,SO-26027,2,A-20087,2,2,C-39-1,E102,2026-02-08,SH-50025
PK-00077,SO-26029,1,A-20043,1,1,A-27-1,E078,2026-03-25,SH-50026
PK-00078,SO-26029,2,A-20020,5,5,D-07-1,E100,2026-03-24,SH-50026
PK-00079,SO-26029,3,A-20053,2,2,B-15-2,E102,2026-03-24,SH-50026
PK-00080,SO-26029,4,A-20073,1,1,C-31-5,E106,2026-03-24,SH-50026
PK-00081,SO-26030,2,A-20033,3,3,C-24-3,E082,2026-03-26,SH-50027
PK-00082,SO-26030,3,A-20110,2,2,A-01-3,E106,2026-03-25,SH-50027
PK-00083,SO-26031,1,A-20013,2,2,B-35-5,E103,2025-12-09,SH-50028
PK-00084,SO-26031,2,A-20070,1,1,D-31-5,E099,2025-12-10,SH-50028
PK-00085,SO-26031,3,A-20036,3,3,C-17-4,E080,2025-12-10,SH-50028
PK-00086,SO-26031,4,A-20058,1,1,C-30-3,E083,2025-12-10,SH-50028
PK-00087,SO-26031,5,A-20114,2,2,E-12-4,E078,2025-12-09,SH-50028
PK-00088,SO-26032,1,A-20038,5,5,C-35-4,E080,2026-01-04,SH-50029
PK-00089,SO-26032,2,A-20063,1,1,F-13-4,E105,2026-01-04,SH-50029
