shipment_id,so_number,customer_id,ship_to_id,ship_date,carrier,mode,service,tracking_number,cartons,weight_lb,freight_cost,freight_billed_to_customer,shipped_by,packing_slip,status
SH-50001,SO-26001,NIC-CUST0013,NIC-CUST0013-S1,2025-09-03,FedEx Ground,LTL,,812573624707,30,1180.7,507.89,0.0,E099,PS-SH-50001.pdf,Delivered
SH-50002,SO-26002,NIC-CUST0001,NIC-CUST0001-S1,2025-07-04,Company Truck,Company Truck,,,3,93.1,0.0,0.0,E082,PS-SH-50002.pdf,Delivered
SH-50003,SO-26003,NIC-CUST0001,NIC-CUST0001-S1,2025-08-20,Company Truck,LTL,,PRO505970889,6,239.2,112.46,0.0,E082,PS-SH-50003.pdf,Delivered
SH-50004,SO-26004,NIC-CUST0011,NIC-CUST0011-S1,2025-08-28,Company Truck,LTL,,PRO601130440,9,327.2,149.42,171.83,E106,PS-SH-50004.pdf,Delivered
SH-50005,SO-26005,NIC-CUST0034,NIC-CUST0034-S1,2025-06-03,Customer Pickup,LTL,,PRO491446326,6,204.0,97.68,126.98,E081,PS-SH-50005.pdf,Delivered
SH-50006,SO-26006,NIC-CUST0010,NIC-CUST0010-S1,2025-12-21,UPS Ground,LTL,,1Z5103159477,16,622.2,273.32,360.78,E080,PS-SH-50006.pdf,Delivered
SH-50007,SO-26008,NIC-CUST0015,NIC-CUST0015-S1,2025-10-18,UPS Ground,LTL,,1Z3229267435,14,533.4,236.03,0.0,E082,PS-SH-50007.pdf,Delivered
SH-50008,SO-26009,NIC-CUST0031,NIC-CUST0031-S1,2025-10-05,LTL - XPO,LTL,,PRO784900747,11,426.8,191.26,214.21,E079,PS-SH-50008.pdf,Delivered
SH-50009,SO-26010,NIC-CUST0039,NIC-CUST0039-S1,2025-12-30,Company Truck,LTL,,PRO533388612,10,396.8,178.66,0.0,E099,PS-SH-50009.pdf,Delivered
SH-50010,SO-26011,NIC-CUST0009,NIC-CUST0009-S1,2025-08-08,LTL - Estes,LTL,,PRO171687179,20,798.6,347.41,0.0,E077,PS-SH-50010.pdf,Delivered
SH-50011,SO-26012,NIC-CUST0003,NIC-CUST0003-S1,2025-07-23,FedEx Ground,LTL,,265718080578,15,562.5,248.25,295.42,E082,PS-SH-50011.pdf,Delivered
SH-50012,SO-26013,NIC-CUST0021,NIC-CUST0021-S1,2025-09-22,LTL - XPO,LTL,,PRO676372794,5,173.3,84.79,0.0,E080,PS-SH-50012.pdf,Delivered
SH-50013,SO-26014,NIC-CUST0040,NIC-CUST0040-S1,2025-05-26,FedEx Ground,Parcel,3 Day,412003379072,2,77.2,44.42,0.0,E106,PS-SH-50013.pdf,Delivered
SH-50014,SO-26015,NIC-CUST0010,NIC-CUST0010-S1,2025-08-10,UPS Ground,Parcel,Next Day Air,1Z1704603411,1,34.5,26.49,0.0,E082,PS-SH-50014.pdf,Delivered
SH-50015,SO-26016,NIC-CUST0039,NIC-CUST0039-S1,2025-06-24,Company Truck,LTL,,PRO906019721,9,343.0,156.06,0.0,E076,PS-SH-50015.pdf,Delivered
SH-50016,SO-26017,NIC-CUST0017,NIC-CUST0017-S1,2025-12-30,UPS Ground,LTL,,1Z7002025229,12,467.4,208.31,231.22,E082,PS-SH-50016.pdf,Delivered
SH-50017,SO-26018,NIC-CUST0006,NIC-CUST0006-S1,2025-08-29,UPS Ground,LTL,,1Z3904248260,25,999.8,431.92,0.0,E105,PS-SH-50017.pdf,Delivered
SH-50018,SO-26019,NIC-CUST0026,NIC-CUST0026-S1,2025-07-13,Customer Pickup,Pickup,,,2,72.1,0.0,0.0,E081,PS-SH-50018.pdf,Delivered
SH-50019,SO-26020,NIC-CUST0001,NIC-CUST0001-S1,2025-07-31,Company Truck,Company Truck,,,1,4.4,0.0,0.0,E101,PS-SH-50019.pdf,Delivered
SH-50020,SO-26021,NIC-CUST0015,NIC-CUST0015-S1,2025-10-17,UPS Ground,LTL,,1Z9823340321,13,494.9,219.86,257.24,E106,PS-SH-50020.pdf,Delivered
SH-50021,SO-26022,NIC-CUST0022,NIC-CUST0022-S1,2025-11-24,LTL - Estes,LTL,,PRO769806814,12,448.5,200.37,250.46,E080,PS-SH-50021.pdf,Delivered
SH-50022,SO-26023,NIC-CUST0040,NIC-CUST0040-S1,2025-07-31,FedEx Ground,LTL,,533187594694,25,975.5,421.71,480.75,E082,PS-SH-50022.pdf,Delivered
SH-50023,SO-26024,NIC-CUST0022,NIC-CUST0022-S1,2025-06-19,LTL - Estes,LTL,,PRO857943731,14,530.7,234.89,0.0,E083,PS-SH-50023.pdf,Delivered
SH-50024,SO-26025,NIC-CUST0001,NIC-CUST0001-S1,2026-01-29,Company Truck,LTL,,PRO314463674,20,769.8,335.32,0.0,E076,PS-SH-50024.pdf,Delivered
SH-50025,SO-26027,NIC-CUST0011,NIC-CUST0011-S1,2026-02-09,Company Truck,LTL,,PRO561275806,11,409.1,183.82,0.0,E080,PS-SH-50025.pdf,Delivered
SH-50026,SO-26029,NIC-CUST0026,NIC-CUST0026-S1,2026-03-25,Customer Pickup,LTL,,PRO253755989,18,690.5,302.01,0.0,E076,PS-SH-50026.pdf,Delivered
SH-50027,SO-26030,NIC-CUST0008,NIC-CUST0008-S1,2026-03-26,UPS Ground,LTL,,1Z9715250992,9,320.8,146.74,0.0,E078,PS-SH-50027.pdf,In Transit
