item_id,forecast_month,forecast_qty,method,planner_id,customer_id
A-20013,2026-04,6,Exp smoothing,E097,
A-20013,2026-05,7,Sales input,E106,
A-20013,2026-06,6,Sales input,E082,NIC-CUST0019
A-20013,2026-07,6,Exp smoothing,E089,
A-20013,2026-08,8,12-mo moving avg,E053,
A-20013,2026-09,6,Exp smoothing,E019,
A-20077,2026-04,7,Sales input,E024,NIC-CUST0008
A-20077,2026-05,7,Sales input,E002,
A-20077,2026-06,12,Sales input,E042,NIC-CUST0015
A-20077,2026-07,12,12-mo moving avg,E003,NIC-CUST0038
A-20077,2026-08,7,Exp smoothing,E082,
A-20077,2026-09,10,Exp smoothing,E033,NIC-CUST0036
A-20110,2026-04,11,12-mo moving avg,E041,
A-20110,2026-05,7,Sales input,E064,
A-20110,2026-06,9,Exp smoothing,E043,
A-20110,2026-07,7,Exp smoothing,E106,NIC-CUST0039
A-20110,2026-08,9,Exp smoothing,E078,
A-20110,2026-09,10,Exp smoothing,E018,
A-20072,2026-04,6,Exp smoothing,E030,
A-20072,2026-05,6,Sales input,E003,
A-20072,2026-06,10,12-mo moving avg,E036,
A-20072,2026-07,8,12-mo moving avg,E056,
A-20072,2026-08,9,Exp smoothing,E100,
A-20072,2026-09,9,Exp smoothing,E105,NIC-CUST0009
A-20101,2026-04,6,12-mo moving avg,E029,NIC-CUST0005
A-20101,2026-05,6,Sales input,E041,
A-20101,2026-06,5,Exp smoothing,E013,
A-20101,2026-07,8,Exp smoothing,E106,
A-20101,2026-08,6,12-mo moving avg,E058,NIC-CUST0022
A-20101,2026-09,7,Exp smoothing,E103,
A-20107,2026-04,12,Exp smoothing,E063,
A-20107,2026-05,11,Exp smoothing,E062,
A-20107,2026-06,11,Exp smoothing,E095,
A-20107,2026-07,7,12-mo moving avg,E005,
A-20107,2026-08,11,Sales input,E038,
A-20107,2026-09,7,12-mo moving avg,E090,
A-20022,2026-04,11,12-mo moving avg,E021,
A-20022,2026-05,12,12-mo moving avg,E018,
A-20022,2026-06,10,Sales input,E008,
A-20022,2026-07,12,Exp smoothing,E033,
A-20022,2026-08,12,12-mo moving avg,E005,
A-20022,2026-09,9,Exp smoothing,E088,
A-20030,2026-04,4,Sales input,E036,NIC-CUST0036
A-20030,2026-05,3,Sales input,E037,
A-20030,2026-06,5,Exp smoothing,E086,
A-20030,2026-07,3,12-mo moving avg,E065,
A-20030,2026-08,4,Exp smoothing,E106,
A-20030,2026-09,5,Sales input,E079,
A-20087,2026-04,10,12-mo moving avg,E088,
A-20087,2026-05,10,Exp smoothing,E065,NIC-CUST0015
A-20087,2026-06,9,Exp smoothing,E010,
A-20087,2026-07,10,Exp smoothing,E102,
A-20087,2026-08,12,Sales input,E074,
A-20087,2026-09,13,12-mo moving avg,E036,
A-20078,2026-04,5,Sales input,E001,
A-20078,2026-05,7,12-mo moving avg,E008,
A-20078,2026-06,6,Sales input,E075,
A-20078,2026-07,6,Exp smoothing,E039,
A-20078,2026-08,4,Sales input,E048,NIC-CUST0021
A-20078,2026-09,4,12-mo moving avg,E030,NIC-CUST0033
A-20058,2026-04,6,Sales input,E093,NIC-CUST0012
A-20058,2026-05,6,12-mo moving avg,E034,
A-20058,2026-06,6,Exp smoothing,E098,NIC-CUST0015
A-20058,2026-07,4,Sales input,E100,
A-20058,2026-08,6,12-mo moving avg,E082,
A-20058,2026-09,6,Exp smoothing,E078,NIC-CUST0004
A-20040,2026-04,6,Sales input,E042,
A-20040,2026-05,7,Sales input,E044,
A-20040,2026-06,7,12-mo moving avg,E045,NIC-CUST0012
A-20040,2026-07,5,Exp smoothing,E037,
A-20040,2026-08,7,Exp smoothing,E005,
A-20040,2026-09,8,Exp smoothing,E005,
A-20097,2026-04,9,Sales input,E024,NIC-CUST0025
A-20097,2026-05,12,12-mo moving avg,E092,
A-20097,2026-06,7,Sales input,E025,NIC-CUST0001
A-20097,2026-07,7,Sales input,E070,
A-20097,2026-08,8,Exp smoothing,E044,NIC-CUST0007
A-20097,2026-09,9,12-mo moving avg,E043,
A-20003,2026-04,5,Exp smoothing,E089,NIC-CUST0011
A-20003,2026-05,6,Exp smoothing,E049,NIC-CUST0011
A-20003,2026-06,8,Sales input,E075,
A-20003,2026-07,5,12-mo moving avg,E102,
A-20003,2026-08,6,12-mo moving avg,E013,
A-20003,2026-09,5,12-mo moving avg,E094,
A-20031,2026-04,4,12-mo moving avg,E063,
A-20031,2026-05,4,Exp smoothing,E070,NIC-CUST0031
A-20031,2026-06,5,Sales input,E011,NIC-CUST0031
A-20031,2026-07,4,12-mo moving avg,E012,
A-20031,2026-08,4,12-mo moving avg,E100,
A-20031,2026-09,4,12-mo moving avg,E069,
A-20063,2026-04,5,Exp smoothing,E066,
A-20063,2026-05,6,Exp smoothing,E086,
A-20063,2026-06,4,Exp smoothing,E067,
A-20063,2026-07,6,Exp smoothing,E023,NIC-CUST0034
A-20063,2026-08,4,Exp smoothing,E047,
A-20063,2026-09,6,Exp smoothing,E014,
A-20033,2026-04,9,Sales input,E090,
A-20033,2026-05,8,12-mo moving avg,E075,
A-20033,2026-06,6,Exp smoothing,E005,
A-20033,2026-07,7,Sales input,E060,
A-20033,2026-08,10,Exp smoothing,E011,
A-20033,2026-09,5,12-mo moving avg,E098,NIC-CUST0013
A-20076,2026-04,7,Sales input,E003,NIC-CUST0018
A-20076,2026-05,5,Exp smoothing,E028,NIC-CUST0014
A-20076,2026-06,6,12-mo moving avg,E009,
A-20076,2026-07,8,Sales input,E027,
A-20076,2026-08,5,Exp smoothing,E054,
A-20076,2026-09,5,12-mo moving avg,E097,
A-20082,2026-04,6,Sales input,E051,
A-20082,2026-05,8,12-mo moving avg,E045,NIC-CUST0014
A-20082,2026-06,8,Exp smoothing,E018,
A-20082,2026-07,7,12-mo moving avg,E034,NIC-CUST0003
A-20082,2026-08,9,Sales input,E030,
A-20082,2026-09,6,Sales input,E027,
A-20020,2026-04,10,Exp smoothing,E082,NIC-CUST0008
A-20020,2026-05,9,Sales input,E079,NIC-CUST0013
A-20020,2026-06,8,Sales input,E072,
A-20020,2026-07,11,Sales input,E015,NIC-CUST0033
A-20020,2026-08,7,Exp smoothing,E100,NIC-CUST0005
A-20020,2026-09,11,Sales input,E008,
A-20073,2026-04,8,Sales input,E056,NIC-CUST0022
A-20073,2026-05,11,12-mo moving avg,E102,
A-20073,2026-06,10,12-mo moving avg,E032,NIC-CUST0031
A-20073,2026-07,9,Sales input,E104,
A-20073,2026-08,8,Exp smoothing,E004,
A-20073,2026-09,11,12-mo moving avg,E106,
A-20065,2026-04,9,Sales input,E056,NIC-CUST0008
A-20065,2026-05,8,Sales input,E032,NIC-CUST0030
A-20065,2026-06,10,12-mo moving avg,E046,
A-20065,2026-07,10,Exp smoothing,E048,NIC-CUST0030
A-20065,2026-08,7,12-mo moving avg,E047,NIC-CUST0038
A-20065,2026-09,6,Sales input,E035,
A-20036,2026-04,7,Exp smoothing,E023,
A-20036,2026-05,6,Exp smoothing,E095,
A-20036,2026-06,8,12-mo moving avg,E023,
A-20036,2026-07,5,12-mo moving avg,E062,NIC-CUST0023
A-20036,2026-08,8,Sales input,E033,NIC-CUST0002
A-20036,2026-09,5,Exp smoothing,E057,NIC-CUST0036
A-20093,2026-04,5,Sales input,E041,NIC-CUST0035
A-20093,2026-05,7,Exp smoothing,E012,
A-20093,2026-06,7,Sales input,E042,NIC-CUST0040
A-20093,2026-07,5,Sales input,E003,
A-20093,2026-08,6,Sales input,E058,
A-20093,2026-09,4,12-mo moving avg,E067,
A-20043,2026-04,6,Exp smoothing,E052,
A-20043,2026-05,8,Sales input,E092,NIC-CUST0034
A-20043,2026-06,8,Exp smoothing,E100,NIC-CUST0024
A-20043,2026-07,6,12-mo moving avg,E093,
A-20043,2026-08,8,Exp smoothing,E032,
A-20043,2026-09,9,Exp smoothing,E053,
A-20038,2026-04,10,Exp smoothing,E088,
A-20038,2026-05,6,Sales input,E045,NIC-CUST0011
A-20038,2026-06,8,Sales input,E071,
A-20038,2026-07,6,12-mo moving avg,E006,NIC-CUST0031
A-20038,2026-08,7,12-mo moving avg,E045,
A-20038,2026-09,9,Exp smoothing,E010,
A-20090,2026-04,10,Sales input,E062,
A-20090,2026-05,10,12-mo moving avg,E081,
A-20090,2026-06,10,Exp smoothing,E031,NIC-CUST0003
A-20090,2026-07,8,Sales input,E032,
A-20090,2026-08,8,12-mo moving avg,E088,
A-20090,2026-09,7,12-mo moving avg,E055,
A-20092,2026-04,7,Sales input,E005,
A-20092,2026-05,10,Exp smoothing,E056,
A-20092,2026-06,8,Exp smoothing,E073,
A-20092,2026-07,9,12-mo moving avg,E023,
A-20092,2026-08,9,Exp smoothing,E018,
A-20092,2026-09,9,12-mo moving avg,E006,
A-20061,2026-04,6,12-mo moving avg,E024,
A-20061,2026-05,6,Sales input,E081,
A-20061,2026-06,5,Sales input,E077,NIC-CUST0009
A-20061,2026-07,5,Sales input,E027,
A-20061,2026-08,5,Exp smoothing,E075,
A-20061,2026-09,4,12-mo moving avg,E082,
A-20039,2026-04,5,Sales input,E086,NIC-CUST0020
A-20039,2026-05,7,Sales input,E098,NIC-CUST0012
A-20039,2026-06,6,12-mo moving avg,E062,
A-20039,2026-07,6,12-mo moving avg,E046,
A-20039,2026-08,8,Sales input,E025,
A-20039,2026-09,8,Sales input,E037,
A-20070,2026-04,7,12-mo moving avg,E092,NIC-CUST0018
A-20070,2026-05,4,Sales input,E104,NIC-CUST0031
A-20070,2026-06,5,Sales input,E064,
A-20070,2026-07,6,Exp smoothing,E018,
A-20070,2026-08,7,Exp smoothing,E038,
A-20070,2026-09,6,Exp smoothing,E090,NIC-CUST0013
A-20114,2026-04,6,Sales input,E008,
A-20114,2026-05,9,Sales input,E084,
A-20114,2026-06,9,Exp smoothing,E048,
A-20114,2026-07,9,Exp smoothing,E037,NIC-CUST0030
A-20114,2026-08,10,Exp smoothing,E077,NIC-CUST0011
A-20114,2026-09,10,Sales input,E013,NIC-CUST0014
A-20002,2026-04,5,Exp smoothing,E015,NIC-CUST0005
A-20002,2026-05,4,12-mo moving avg,E003,
A-20002,2026-06,6,Sales input,E069,
A-20002,2026-07,6,12-mo moving avg,E044,
A-20002,2026-08,6,12-mo moving avg,E065,NIC-CUST0023
A-20002,2026-09,6,12-mo moving avg,E033,NIC-CUST0022
A-20053,2026-04,8,Sales input,E022,
A-20053,2026-05,10,12-mo moving avg,E078,NIC-CUST0010
A-20053,2026-06,10,12-mo moving avg,E051,
A-20053,2026-07,8,Exp smoothing,E090,
A-20053,2026-08,9,Sales input,E066,
A-20053,2026-09,7,12-mo moving avg,E066,
A-20034,2026-04,9,Exp smoothing,E073,
A-20034,2026-05,10,Sales input,E060,
A-20034,2026-06,11,Sales input,E016,
A-20034,2026-07,9,Sales input,E055,
A-20034,2026-08,9,Exp smoothing,E035,NIC-CUST0037
A-20034,2026-09,9,Exp smoothing,E050,NIC-CUST0030
