downtime_id,date,work_center_id,work_order_id,minutes,reason_code,reported_by
DT-0001,2025-10-04,WC-CNC2,WO-70003,161,Program edit,E022
DT-0002,2025-06-06,WC-CNC1,WO-70008,73,Waiting inspection,E041
DT-0003,2025-07-26,WC-ASSY,WO-70009,72,Program edit,E010
DT-0004,2025-09-28,WC-DEBUR,WO-70011,167,Machine fault,E042
DT-0005,2025-06-29,WC-CNC1,WO-70013,219,Program edit,E023
DT-0006,2025-04-21,WC-PACK,WO-70015,53,Tool change,E045
DT-0007,2025-06-30,WC-SAW,WO-70016,102,Program edit,E013
DT-0008,2026-03-09,WC-DEBUR,WO-70017,232,Program edit,E009
DT-0009,2026-03-10,WC-INSP,WO-70017,208,Waiting material,E042
DT-0010,2025-12-06,WC-INSP,WO-70019,150,Machine fault,E095
DT-0011,2025-07-23,WC-SAW,WO-70024,56,No operator,E053
DT-0012,2025-04-16,WC-INSP,WO-70027,85,Tool change,E039
DT-0013,2025-07-09,WC-INSP,WO-70029,69,Waiting inspection,E009
DT-0014,2025-07-17,WC-PACK,WO-70029,54,No operator,E023
DT-0015,2025-10-23,WC-CNC2,WO-70030,37,Tool change,E030
DT-0016,2025-10-08,WC-PACK,WO-70032,148,No operator,E038
DT-0017,2025-06-21,WC-PACK,WO-70035,76,Program edit,E050
DT-0018,2026-03-27,WC-INSP,WO-70036,59,Waiting inspection,E041
DT-0019,2026-01-30,WC-CNC1,WO-70037,207,Tool change,E032
DT-0020,2025-09-03,WC-CNC2,WO-70040,36,Waiting inspection,E053
DT-0021,2025-08-31,WC-DEBUR,WO-70040,27,Program edit,E034
DT-0022,2025-08-25,WC-INSP,WO-70040,119,Program edit,E020
DT-0023,2025-11-07,WC-CNC1,WO-70042,43,Tool change,E048
DT-0024,2026-03-09,WC-PACK,WO-70046,125,Waiting inspection,E047
DT-0025,2025-12-24,WC-SAW,WO-70048,143,Waiting inspection,E051
DT-0026,2025-12-24,WC-CNC1,WO-70048,83,Program edit,E042
DT-0027,2026-03-05,WC-SAW,WO-70049,47,Program edit,E049
DT-0028,2025-06-12,WC-INSP,WO-70052,202,Tool change,E024
DT-0029,2025-09-07,WC-CNC1,WO-70058,24,No operator,E026
DT-0030,2025-04-19,WC-SAW,WO-70060,58,Tool change,E015
DT-0031,2025-04-07,WC-CNC2,WO-70061,137,Program edit,E013
DT-0032,2025-04-11,WC-PACK,WO-70061,235,No operator,E052
DT-0033,2026-03-07,WC-PACK,WO-70062,226,Tool change,E045
DT-0034,2025-07-11,WC-INSP,WO-70072,78,Waiting inspection,E043
DT-0035,2025-05-27,WC-PACK,WO-70074,234,Waiting material,E047
DT-0036,2025-12-10,WC-INSP,WO-70079,123,Program edit,E049
DT-0037,2026-02-23,WC-ASSY,WO-70080,98,Machine fault,E016
DT-0038,2025-05-15,WC-PACK,WO-70081,217,Tool change,E038
DT-0039,2025-04-10,WC-CNC2,WO-70089,40,No operator,E045
DT-0040,2025-04-18,WC-PACK,WO-70089,21,Waiting inspection,E011
DT-0041,2026-01-30,WC-INSP,WO-70090,182,Program edit,E024
DT-0042,2026-02-26,WC-CNC2,WO-70093,81,Machine fault,E025
DT-0043,2025-05-07,WC-ASSY,WO-70094,63,Tool change,E023
DT-0044,2025-05-10,WC-SAW,WO-70094,229,Machine fault,E021
DT-0045,2025-09-15,WC-DEBUR,WO-70096,224,Waiting material,E016
DT-0046,2025-09-08,WC-SAW,WO-70097,208,Waiting inspection,E027
DT-0047,2025-11-01,WC-CNC2,WO-70102,156,Waiting material,E024
DT-0048,2025-12-24,WC-DEBUR,WO-70103,53,Tool change,E028
DT-0049,2025-12-19,WC-SAW,WO-70103,164,Program edit,E045
DT-0050,2025-12-25,WC-PACK,WO-70103,203,Waiting inspection,E016
DT-0051,2025-04-30,WC-DEBUR,WO-70105,29,Waiting material,E052
DT-0052,2025-05-22,WC-INSP,WO-70108,101,Waiting inspection,E018
DT-0053,2025-05-28,WC-PACK,WO-70108,169,Machine fault,E023
DT-0054,2025-12-08,WC-SAW,WO-70112,109,Waiting inspection,E051
DT-0055,2025-12-01,WC-INSP,WO-70112,139,Machine fault,E027
DT-0056,2025-06-27,WC-INSP,WO-70120,35,Program edit,E041
DT-0057,2026-02-13,WC-ASSY,WO-70126,172,Tool change,E015
DT-0058,2025-04-21,WC-CNC2,WO-70128,103,Waiting material,E039
DT-0059,2025-10-22,WC-CNC2,WO-70129,159,Tool change,E053
DT-0060,2026-01-05,WC-SAW,WO-70130,147,Waiting material,E095
DT-0061,2026-01-03,WC-CNC2,WO-70130,135,Tool change,E044
DT-0062,2025-06-15,WC-ASSY,WO-70131,217,Machine fault,E020
DT-0063,2025-08-28,WC-INSP,WO-70134,84,Program edit,E049
DT-0064,2025-09-21,WC-SAW,WO-70139,126,No operator,E034
DT-0065,2025-11-27,WC-INSP,WO-70142,122,Program edit,E017
DT-0066,2026-02-14,WC-SAW,WO-70149,223,Machine fault,E028
DT-0067,2026-02-20,WC-INSP,WO-70149,132,Waiting material,E044
DT-0068,2025-08-20,WC-ASSY,WO-70152,209,No operator,E013
DT-0069,2025-04-29,WC-INSP,WO-70153,17,Waiting material,E053
DT-0070,2025-05-13,WC-ASSY,WO-70154,156,Tool change,E014
DT-0071,2025-05-14,WC-ASSY,WO-70155,20,Waiting inspection,E030
DT-0072,2025-08-17,WC-PACK,WO-70157,211,No operator,E020
DT-0073,2025-11-01,WC-CNC2,WO-70158,227,Tool change,E009
DT-0074,2025-10-22,WC-PACK,WO-70161,95,Waiting material,E052
DT-0075,2025-05-01,WC-CNC1,WO-70163,122,Machine fault,E024
DT-0076,2025-04-13,WC-CNC2,WO-70165,114,Waiting inspection,E049
DT-0077,2025-05-08,WC-INSP,WO-70167,226,Waiting inspection,E094
DT-0078,2025-07-30,WC-ASSY,WO-70170,80,Program edit,E052
DT-0079,2025-07-02,WC-CNC1,WO-70175,224,Waiting inspection,E018
DT-0080,2025-06-29,WC-PACK,WO-70175,27,Waiting inspection,E015
DT-0081,2025-05-10,WC-ASSY,WO-70177,194,Waiting material,E037
DT-0082,2026-03-13,WC-SAW,WO-70180,197,Waiting material,E016
DT-0083,2026-01-19,WC-SAW,WO-70182,217,Waiting material,E095
DT-0084,2026-01-24,WC-CNC1,WO-70182,15,Tool change,E033
DT-0085,2026-01-19,WC-ASSY,WO-70182,14,Program edit,E044
DT-0086,2025-10-23,WC-CNC1,WO-70192,171,Waiting material,E046
DT-0087,2025-07-18,WC-INSP,WO-70195,131,Waiting inspection,E032
DT-0088,2025-07-09,WC-SAW,WO-70202,110,Program edit,E037
DT-0089,2025-04-21,WC-CNC1,WO-70203,12,Tool change,E038
DT-0090,2026-03-30,WC-CNC2,WO-70207,81,Machine fault,E011
DT-0091,2025-07-25,WC-DEBUR,WO-70208,216,Machine fault,E026
DT-0092,2025-07-28,WC-CNC2,WO-70209,162,Waiting material,E053
DT-0093,2025-05-31,WC-PACK,WO-70214,214,Tool change,E034
DT-0094,2026-03-12,WC-CNC2,WO-70217,209,Program edit,E017
DT-0095,2026-03-12,WC-SAW,WO-70220,44,No operator,E020
