labor_txn_id,work_order_id,operation,employee_id,clock_in,hours,labor_type,work_center_id
LT-000001,WO-70001,10,E050,2025-06-18T13:45:00,1.46,Run,WC-CNC1
LT-000002,WO-70001,10,E018,2025-06-19T13:45:00,1.46,Setup,WC-CNC1
LT-000003,WO-70001,20,E022,2025-06-21T09:15:00,0.55,Run,WC-ASSY
LT-000004,WO-70001,20,E043,2025-06-20T08:30:00,0.55,Run,WC-ASSY
LT-000005,WO-70001,20,E022,2025-06-25T11:45:00,0.82,Run,WC-ASSY
LT-000006,WO-70001,30,E016,2025-06-27T08:00:00,4.22,Setup,WC-INSP
LT-000007,WO-70001,40,E043,2025-06-25T09:15:00,1.22,Run,WC-PACK
LT-000008,WO-70001,40,E029,2025-06-24T11:15:00,2.45,Run,WC-PACK
LT-000009,WO-70002,10,E019,2025-12-06T11:00:00,19.97,Run,WC-ASSY
LT-000010,WO-70002,10,E025,2025-12-08T10:30:00,59.91,Run,WC-ASSY
LT-000011,WO-70002,10,E050,2025-11-30T07:30:00,29.95,Run,WC-ASSY
LT-000012,WO-70002,20,E028,2025-11-28T12:30:00,39.77,Run,WC-DEBUR
LT-000013,WO-70002,20,E053,2025-12-04T12:00:00,59.66,Run,WC-DEBUR
LT-000014,WO-70002,20,E048,2025-12-08T08:15:00,119.32,Run,WC-DEBUR
LT-000015,WO-70002,30,E029,2025-12-05T14:30:00,37.08,Run,WC-INSP
LT-000016,WO-70002,30,E014,2025-12-08T09:30:00,12.36,Run,WC-INSP
LT-000017,WO-70002,40,E022,2025-12-01T06:15:00,46.88,Setup,WC-PACK
LT-000018,WO-70003,10,E022,2025-09-30T10:45:00,1.13,Setup,WC-CNC2
LT-000019,WO-70003,10,E030,2025-09-28T08:15:00,1.7,Run,WC-CNC2
LT-000020,WO-70003,10,E015,2025-10-03T12:15:00,3.4,Run,WC-CNC2
LT-000021,WO-70003,20,E021,2025-09-28T11:30:00,5.92,Run,WC-DEBUR
LT-000022,WO-70003,20,E011,2025-09-30T12:00:00,8.88,Run,WC-DEBUR
LT-000023,WO-70003,20,E041,2025-10-02T12:00:00,17.76,Setup,WC-DEBUR
LT-000024,WO-70003,30,E027,2025-10-03T12:45:00,4.11,Run,WC-INSP
LT-000025,WO-70003,30,E046,2025-09-24T11:45:00,12.32,Setup,WC-INSP
LT-000026,WO-70003,30,E017,2025-09-24T08:45:00,4.11,Run,WC-INSP
LT-000027,WO-70003,40,E041,2025-10-02T10:15:00,1.16,Setup,WC-PACK
LT-000028,WO-70003,40,E019,2025-10-03T07:45:00,1.16,Run,WC-PACK
LT-000029,WO-70004,10,E034,2025-07-29T09:45:00,116.52,Run,WC-DEBUR
LT-000030,WO-70004,10,E043,2025-07-27T12:15:00,58.26,Setup,WC-DEBUR
LT-000031,WO-70004,20,E016,2025-07-26T10:45:00,68.39,Run,WC-CNC2
LT-000032,WO-70004,20,E034,2025-07-27T12:00:00,22.8,Run,WC-CNC2
LT-000033,WO-70004,30,E017,2025-07-28T09:30:00,31.59,Setup,WC-INSP
LT-000034,WO-70004,40,E043,2025-07-29T13:00:00,121.88,Run,WC-PACK
LT-000035,WO-70004,40,E044,2025-07-30T09:15:00,40.62,Run,WC-PACK
LT-000036,WO-70004,40,E034,2025-07-22T07:00:00,40.62,Run,WC-PACK
LT-000037,WO-70005,10,E043,2025-12-10T08:15:00,2.04,Setup,WC-CNC1
LT-000038,WO-70005,20,E009,2025-12-04T12:45:00,1.58,Run,WC-CNC2
LT-000039,WO-70005,30,E010,2025-12-10T12:45:00,1.64,Run,WC-ASSY
LT-000040,WO-70005,30,E028,2025-12-08T11:45:00,0.55,Run,WC-ASSY
LT-000041,WO-70005,40,E034,2025-12-08T11:15:00,12.93,Run,WC-SAW
LT-000042,WO-70005,40,E035,2025-12-03T10:15:00,6.46,Run,WC-SAW
LT-000043,WO-70005,40,E044,2025-12-04T10:00:00,4.31,Run,WC-SAW
LT-000044,WO-70005,50,E031,2025-12-06T13:15:00,2.64,Run,WC-INSP
LT-000045,WO-70005,50,E021,2025-12-08T11:00:00,7.92,Run,WC-INSP
LT-000046,WO-70005,50,E016,2025-11-30T06:30:00,3.96,Run,WC-INSP
LT-000047,WO-70005,60,E037,2025-11-30T06:30:00,8.43,Run,WC-PACK
LT-000048,WO-70005,60,E025,2025-12-01T11:15:00,8.43,Run,WC-PACK
LT-000049,WO-70006,10,E031,2026-02-17T10:45:00,2.91,Setup,WC-SAW
LT-000050,WO-70006,10,E042,2026-02-25T08:30:00,2.91,Run,WC-SAW
LT-000051,WO-70006,10,E028,2026-02-18T08:30:00,0.97,Run,WC-SAW
LT-000052,WO-70006,20,E047,2026-02-20T11:00:00,1.2,Run,WC-CNC1
LT-000053,WO-70006,30,E030,2026-02-24T14:30:00,2.37,Run,WC-DEBUR
LT-000054,WO-70006,30,E054,2026-02-22T10:45:00,4.75,Run,WC-DEBUR
LT-000055,WO-70006,30,E018,2026-02-24T09:30:00,4.75,Run,WC-DEBUR
LT-000056,WO-70006,40,E050,2026-02-20T11:15:00,1.57,Run,WC-CNC2
LT-000057,WO-70006,40,E030,2026-02-23T07:30:00,4.72,Run,WC-CNC2
LT-000058,WO-70006,50,E038,2026-02-25T09:30:00,3.43,Run,WC-INSP
LT-000059,WO-70006,50,E028,2026-02-18T12:45:00,3.43,Run,WC-INSP
LT-000060,WO-70006,50,E020,2026-02-18T12:00:00,3.43,Run,WC-INSP
LT-000061,WO-70006,60,E027,2026-02-23T07:30:00,1.22,Run,WC-PACK
LT-000062,WO-70006,60,E019,2026-02-23T09:45:00,0.81,Run,WC-PACK
LT-000063,WO-70006,60,E027,2026-02-20T14:30:00,0.81,Run,WC-PACK
LT-000064,WO-70007,10,E049,2025-06-12T09:00:00,8.44,Run,WC-SAW
LT-000065,WO-70007,20,E038,2025-06-16T06:30:00,29.86,Run,WC-CNC2
LT-000066,WO-70007,30,E050,2025-06-16T09:30:00,18.96,Run,WC-CNC1
LT-000067,WO-70007,40,E046,2025-06-12T14:00:00,22.41,Setup,WC-ASSY
LT-000068,WO-70007,40,E039,2025-06-10T10:15:00,67.22,Setup,WC-ASSY
LT-000069,WO-70007,50,E045,2025-06-16T09:30:00,20.31,Run,WC-INSP
LT-000070,WO-70007,50,E031,2025-06-17T10:30:00,60.94,Run,WC-INSP
LT-000071,WO-70007,50,E034,2025-06-13T12:15:00,60.94,Run,WC-INSP
LT-000072,WO-70007,60,E038,2025-06-09T12:45:00,16.77,Setup,WC-PACK
LT-000073,WO-70009,10,E049,2025-07-22T12:30:00,2.3,Run,WC-ASSY
LT-000074,WO-70009,10,E051,2025-07-30T08:30:00,4.6,Run,WC-ASSY
LT-000075,WO-70009,10,E054,2025-07-21T06:30:00,2.3,Run,WC-ASSY
LT-000076,WO-70009,20,E026,2025-07-25T14:15:00,3.23,Setup,WC-CNC1
LT-000077,WO-70009,20,E031,2025-07-29T13:00:00,4.85,Run,WC-CNC1
LT-000078,WO-70009,30,E038,2025-07-23T08:15:00,1.9,Run,WC-INSP
LT-000079,WO-70009,30,E027,2025-07-21T11:15:00,1.9,Run,WC-INSP
LT-000080,WO-70009,40,E050,2025-07-29T07:15:00,4.32,Setup,WC-PACK
LT-000081,WO-70010,10,E023,2025-09-06T11:30:00,7.06,Run,WC-CNC2
LT-000082,WO-70010,20,E039,2025-09-05T08:00:00,6.03,Setup,WC-ASSY
LT-000083,WO-70010,20,E036,2025-09-12T11:00:00,6.03,Run,WC-ASSY
LT-000084,WO-70010,20,E052,2025-09-09T06:45:00,12.06,Run,WC-ASSY
LT-000085,WO-70010,30,E042,2025-09-10T13:15:00,6.53,Run,WC-DEBUR
LT-000086,WO-70010,30,E012,2025-09-12T08:30:00,4.35,Run,WC-DEBUR
LT-000087,WO-70010,30,E028,2025-09-14T08:15:00,4.35,Setup,WC-DEBUR
LT-000088,WO-70010,40,E017,2025-09-14T10:30:00,2.28,Run,WC-CNC1
LT-000089,WO-70010,40,E024,2025-09-12T12:15:00,3.42,Run,WC-CNC1
LT-000090,WO-70010,40,E021,2025-09-13T07:45:00,3.42,Setup,WC-CNC1
LT-000091,WO-70010,50,E034,2025-09-12T10:00:00,4.89,Setup,WC-INSP
LT-000092,WO-70010,50,E017,2025-09-07T08:15:00,14.68,Setup,WC-INSP
LT-000093,WO-70010,50,E035,2025-09-12T14:15:00,7.34,Run,WC-INSP
LT-000094,WO-70010,60,E020,2025-09-09T09:15:00,6.17,Run,WC-PACK
LT-000095,WO-70010,60,E049,2025-09-11T10:15:00,4.11,Run,WC-PACK
LT-000096,WO-70011,10,E025,2025-09-21T08:30:00,91.84,Run,WC-CNC1
LT-000097,WO-70011,10,E046,2025-09-27T10:15:00,30.61,Run,WC-CNC1
LT-000098,WO-70011,20,E048,2025-09-23T07:45:00,40.66,Run,WC-DEBUR
LT-000099,WO-70011,20,E042,2025-09-23T13:30:00,13.55,Run,WC-DEBUR
LT-000100,WO-70011,20,E026,2025-09-25T11:30:00,40.66,Setup,WC-DEBUR
LT-000101,WO-70011,30,E045,2025-09-21T07:15:00,21.76,Run,WC-ASSY
LT-000102,WO-70011,30,E018,2025-09-23T07:45:00,14.51,Run,WC-ASSY
LT-000103,WO-70011,40,E053,2025-09-26T13:30:00,43.07,Run,WC-SAW
LT-000104,WO-70011,50,E028,2025-09-26T13:30:00,39.84,Setup,WC-INSP
LT-000105,WO-70011,60,E043,2025-09-28T08:15:00,100.37,Setup,WC-PACK
LT-000106,WO-70012,10,E026,2025-04-21T13:15:00,8.15,Run,WC-CNC1
LT-000107,WO-70012,10,E045,2025-04-30T07:00:00,8.15,Run,WC-CNC1
LT-000108,WO-70012,10,E051,2025-04-21T13:30:00,8.15,Run,WC-CNC1
LT-000109,WO-70012,20,E029,2025-04-29T12:45:00,62.46,Run,WC-ASSY
LT-000110,WO-70012,20,E028,2025-04-25T08:45:00,20.82,Setup,WC-ASSY
LT-000111,WO-70012,30,E019,2025-04-30T08:30:00,48.36,Setup,WC-INSP
LT-000112,WO-70012,30,E023,2025-04-21T11:15:00,48.36,Setup,WC-INSP
LT-000113,WO-70012,30,E024,2025-04-29T06:00:00,16.12,Setup,WC-INSP
LT-000114,WO-70012,40,E028,2025-05-01T09:45:00,29.91,Setup,WC-PACK
LT-000115,WO-70013,10,E010,2025-06-25T11:00:00,6.02,Setup,WC-CNC1
LT-000116,WO-70013,10,E015,2025-06-26T09:00:00,12.04,Run,WC-CNC1
LT-000117,WO-70013,10,E030,2025-07-02T14:30:00,12.04,Run,WC-CNC1
LT-000118,WO-70013,20,E050,2025-07-02T13:15:00,2.26,Setup,WC-DEBUR
LT-000119,WO-70013,20,E047,2025-06-26T08:00:00,2.26,Run,WC-DEBUR
LT-000120,WO-70013,20,E048,2025-06-26T12:00:00,1.51,Run,WC-DEBUR
LT-000121,WO-70013,30,E037,2025-06-30T13:30:00,4.5,Run,WC-ASSY
LT-000122,WO-70013,30,E026,2025-06-29T06:30:00,1.5,Run,WC-ASSY
LT-000123,WO-70013,40,E029,2025-06-24T10:15:00,1.33,Run,WC-SAW
LT-000124,WO-70013,40,E010,2025-06-28T09:15:00,1.33,Run,WC-SAW
LT-000125,WO-70013,40,E048,2025-06-26T08:00:00,1.33,Setup,WC-SAW
LT-000126,WO-70013,50,E051,2025-06-23T10:15:00,4.76,Run,WC-INSP
LT-000127,WO-70013,50,E010,2025-06-24T09:30:00,4.76,Run,WC-INSP
LT-000128,WO-70013,60,E042,2025-06-30T07:30:00,8.71,Setup,WC-PACK
LT-000129,WO-70014,10,E028,2025-09-03T08:15:00,3.86,Run,WC-DEBUR
LT-000130,WO-70014,20,E012,2025-09-05T09:30:00,1.74,Setup,WC-SAW
LT-000131,WO-70014,20,E017,2025-09-07T14:45:00,1.74,Run,WC-SAW
LT-000132,WO-70014,20,E026,2025-09-04T13:30:00,2.61,Run,WC-SAW
LT-000133,WO-70014,30,E047,2025-09-03T06:45:00,5.67,Run,WC-CNC2
LT-000134,WO-70014,40,E012,2025-09-06T14:30:00,5.42,Setup,WC-ASSY
LT-000135,WO-70014,40,E038,2025-09-05T11:15:00,16.27,Run,WC-ASSY
LT-000136,WO-70014,40,E021,2025-08-31T06:00:00,8.14,Setup,WC-ASSY
LT-000137,WO-70014,50,E026,2025-09-06T06:15:00,2.62,Setup,WC-INSP
LT-000138,WO-70014,60,E020,2025-08-31T14:15:00,2.38,Run,WC-PACK
LT-000139,WO-70014,60,E034,2025-09-05T11:00:00,7.13,Setup,WC-PACK
LT-000140,WO-70014,60,E032,2025-09-08T14:00:00,2.38,Setup,WC-PACK
LT-000141,WO-70015,10,E045,2025-04-13T12:45:00,31.45,Run,WC-DEBUR
LT-000142,WO-70015,20,E030,2025-04-20T14:00:00,17.79,Run,WC-CNC2
LT-000143,WO-70015,30,E041,2025-04-16T12:15:00,50.24,Run,WC-INSP
LT-000144,WO-70015,30,E014,2025-04-15T07:30:00,50.24,Run,WC-INSP
LT-000145,WO-70015,30,E038,2025-04-13T10:00:00,50.24,Run,WC-INSP
LT-000146,WO-70015,40,E042,2025-04-20T06:00:00,67.17,Run,WC-PACK
LT-000147,WO-70015,40,E049,2025-04-22T11:30:00,33.59,Run,WC-PACK
LT-000148,WO-70015,40,E011,2025-04-14T12:15:00,22.39,Setup,WC-PACK
LT-000149,WO-70016,10,E046,2025-07-02T13:00:00,2.23,Run,WC-CNC2
LT-000150,WO-70016,10,E034,2025-06-30T14:45:00,4.46,Run,WC-CNC2
LT-000151,WO-70016,20,E043,2025-06-24T08:45:00,1.86,Setup,WC-ASSY
LT-000152,WO-70016,20,E016,2025-06-24T06:30:00,1.24,Run,WC-ASSY
LT-000153,WO-70016,60,E044,2025-06-25T06:30:00,4.59,Setup,WC-PACK
LT-000154,WO-70016,60,E029,2025-07-03T14:15:00,9.19,Run,WC-PACK
LT-000155,WO-70016,60,E048,2025-06-24T06:15:00,3.06,Setup,WC-PACK
LT-000156,WO-70017,10,E095,2026-03-07T13:00:00,47.41,Run,WC-DEBUR
LT-000157,WO-70017,20,E009,2026-03-11T08:00:00,9.11,Setup,WC-CNC1
LT-000158,WO-70017,20,E024,2026-03-12T07:45:00,13.67,Run,WC-CNC1
LT-000159,WO-70017,20,E009,2026-03-11T06:45:00,27.34,Setup,WC-CNC1
LT-000160,WO-70017,30,E011,2026-03-07T06:45:00,36.02,Run,WC-ASSY
LT-000161,WO-70017,30,E015,2026-03-08T06:15:00,18.01,Run,WC-ASSY
LT-000162,WO-70017,40,E030,2026-03-16T12:30:00,7.65,Run,WC-SAW
LT-000163,WO-70017,40,E026,2026-03-10T09:15:00,15.3,Run,WC-SAW
LT-000164,WO-70017,50,E022,2026-03-14T14:15:00,13.38,Run,WC-INSP
LT-000165,WO-70017,50,E016,2026-03-15T14:45:00,40.14,Run,WC-INSP
LT-000166,WO-70017,60,E038,2026-03-10T12:15:00,9.13,Setup,WC-PACK
