work_order_id,issue_date,component_item_id,required_qty,issued_qty,uom,lot_number,issued_by
WO-70001,2025-06-18,P-20027,20,20.4,EA,L250617-714,E102
WO-70001,2025-06-17,P-10028,12.5,13.0,EA,L250617-817,E105
WO-70001,2025-06-19,P-20006,10,9.8,EA,L250617-174,E082
WO-70001,2025-06-19,P-20117,5,5.0,EA,L250617-597,E101
WO-70001,2025-06-17,P-20032,5,5.0,EA,L250617-764,E103
WO-70002,2025-11-28,P-20113,100,98.0,EA,L251128-506,E083
WO-70002,2025-11-28,P-20011,75.0,75.75,EA,L251128-369,E102
WO-70002,2025-11-28,P-20007,400,416.0,EA,L251128-346,E106
WO-70003,2025-09-26,P-20112,18.75,18.75,EA,L250924-148,E100
WO-70003,2025-09-25,P-20011,50,52.0,EA,L250924-916,E104
WO-70003,2025-09-24,P-20106,25,26.0,EA,L250924-897,E080
WO-70004,2025-07-21,P-20012,200,196.0,EA,L250721-691,E083
WO-70004,2025-07-21,P-20104,400,408.0,EA,L250721-189,E101
WO-70004,2025-07-22,P-20106,400,404.0,EA,L250721-797,E083
WO-70004,2025-07-23,P-20088,75.0,74.25,EA,L250721-452,E082
WO-70005,2025-12-02,P-20049,10,10.1,EA,L251130-191,E082
WO-70005,2025-11-30,P-20008,40,40.0,EA,L251130-161,E079
WO-70005,2025-12-02,P-20054,20,20.0,EA,L251130-250,E106
WO-70006,2026-02-16,P-20044,5,5.0,EA,L260215-299,E078
WO-70006,2026-02-17,P-20006,10,9.9,EA,L260215-558,E079
WO-70006,2026-02-17,P-20099,5,5.1,EA,L260215-417,E080
WO-70007,2025-06-09,P-20048,37.5,37.5,EA,L250608-559,E105
WO-70007,2025-06-09,P-20109,50,50.5,EA,L250608-134,E103
WO-70007,2025-06-08,P-20104,50,52.5,EA,L250608-708,E106
WO-70007,2025-06-09,P-20044,100,98.0,EA,L250608-635,E078
WO-70007,2025-06-08,P-20009,37.5,38.25,EA,L250608-651,E079
WO-70007,2025-06-09,P-20008,37.5,37.88,EA,L250608-609,E099
WO-70008,2025-06-06,P-20028,7.5,7.58,EA,L250606-310,E078
WO-70008,2025-06-08,P-20095,20,20.4,EA,L250606-239,E106
WO-70008,2025-06-08,P-20050,10,10.4,EA,L250606-648,E105
WO-70008,2025-06-08,P-20006,40,41.2,EA,L250606-944,E105
WO-70008,2025-06-08,P-20044,10,10.4,EA,L250606-131,E106
WO-70008,2025-06-07,P-10000,25.0,25.0,EA,L250606-132,E079
WO-70009,2025-07-21,P-20026,40,39.6,EA,L250720-420,E083
WO-70009,2025-07-21,P-20012,20,20.6,EA,L250720-941,E083
WO-70009,2025-07-21,P-20044,20,19.6,EA,L250720-759,E101
WO-70009,2025-07-22,P-20028,25.0,25.25,EA,L250720-296,E083
WO-70010,2025-09-05,P-20042,10,9.8,EA,L250904-121,E077
WO-70010,2025-09-05,P-20100,7.5,7.88,EA,L250904-305,E078
WO-70010,2025-09-04,P-20109,10,10.2,EA,L250904-780,E100
WO-70010,2025-09-04,P-10098,187.0,187.0,LB,L250904-306,E078
WO-70010,2025-09-04,P-20011,10,10.1,EA,L250904-790,E106
WO-70011,2025-09-22,P-20116,250.0,245.0,EA,L250921-896,E078
WO-70011,2025-09-21,P-20085,250.0,257.5,EA,L250921-853,E081
WO-70011,2025-09-21,P-20095,75.0,73.5,EA,L250921-510,E076
WO-70011,2025-09-23,P-20001,100,104.0,EA,L250921-213,E106
WO-70012,2025-04-21,P-20064,75.0,74.25,EA,L250421-562,E077
WO-70012,2025-04-23,P-20028,400,396.0,EA,L250421-898,E080
WO-70012,2025-04-21,P-20016,200,208.0,EA,L250421-232,E078
WO-70012,2025-04-22,P-20085,250.0,247.5,EA,L250421-854,E083
WO-70012,2025-04-22,P-20000,400,416.0,EA,L250421-132,E076
WO-70012,2025-04-22,P-20069,100,102.0,EA,L250421-779,E105
WO-70013,2025-06-23,P-20116,25.0,25.25,EA,L250622-421,E077
WO-70013,2025-06-22,P-20085,25.0,26.0,EA,L250622-623,E078
WO-70013,2025-06-23,P-20095,7.5,7.35,EA,L250622-776,E081
WO-70013,2025-06-22,P-20001,10,10.1,EA,L250622-313,E106
WO-70014,2025-08-29,P-20000,25.0,25.0,EA,L250829-235,E076
WO-70014,2025-08-31,P-20027,20,20.0,EA,L250829-387,E105
WO-70014,2025-08-30,P-20059,10,10.1,EA,L250829-629,E105
WO-70014,2025-08-30,P-20028,10,10.2,EA,L250829-634,E102
WO-70014,2025-08-30,P-20068,7.5,7.42,EA,L250829-571,E103
WO-70015,2025-04-13,P-20012,100,101.0,EA,L250413-814,E100
WO-70015,2025-04-15,P-20104,200,204.0,EA,L250413-141,E083
WO-70015,2025-04-15,P-20106,200,198.0,EA,L250413-794,E083
WO-70015,2025-04-14,P-20088,37.5,37.5,EA,L250413-593,E106
WO-70016,2025-06-25,P-20041,18.75,18.56,EA,L250624-638,E103
WO-70016,2025-06-25,P-20009,50,50.5,EA,L250624-888,E099
WO-70016,2025-06-24,P-20026,100,100.0,EA,L250624-822,E102
WO-70017,2026-03-07,P-20046,100,101.0,EA,L260307-139,E100
WO-70017,2026-03-09,P-20050,37.5,37.12,EA,L260307-795,E079
WO-70017,2026-03-08,P-20032,100,102.0,EA,L260307-402,E080
WO-70017,2026-03-08,P-20081,125.0,125.0,EA,L260307-769,E076
WO-70018,2025-11-09,P-20081,25.0,26.25,EA,L251109-711,E101
WO-70018,2025-11-10,P-20055,40,41.2,EA,L251109-784,E080
WO-70018,2025-11-10,P-20035,10,10.3,EA,L251109-977,E100
WO-70018,2025-11-09,P-10091,10,10.1,BX,L251109-941,E079
WO-70018,2025-11-11,P-20069,10,9.9,EA,L251109-634,E102
WO-70018,2025-11-10,P-20109,7.5,7.42,EA,L251109-451,E099
WO-70019,2025-11-30,P-20105,250.0,250.0,EA,L251128-394,E103
WO-70019,2025-11-30,P-20050,100,98.0,EA,L251128-319,E106
WO-70019,2025-11-30,P-10084,75.0,74.25,BX,L251128-657,E083
WO-70019,2025-11-28,P-20024,75.0,76.5,EA,L251128-424,E079
WO-70019,2025-11-29,P-20059,100,99.0,EA,L251128-100,E102
WO-70020,2025-05-01,P-20027,20,19.8,EA,L250429-628,E104
WO-70020,2025-04-29,P-10028,12.5,12.62,EA,L250429-583,E080
WO-70020,2025-05-01,P-20006,10,10.2,EA,L250429-220,E103
WO-70020,2025-04-29,P-20117,5,5.15,EA,L250429-258,E099
WO-70020,2025-04-30,P-20032,5,5.2,EA,L250429-456,E106
WO-70021,2025-08-06,P-20023,15.0,14.85,EA,L250806-913,E080
WO-70021,2025-08-08,P-20007,40,39.2,EA,L250806-888,E103
WO-70021,2025-08-08,P-20050,80,79.2,EA,L250806-243,E078
WO-70022,2025-11-23,P-20105,20,19.6,EA,L251122-175,E076
WO-70022,2025-11-22,P-20050,25.0,25.75,EA,L251122-520,E083
WO-70022,2025-11-24,P-10000,40,39.6,EA,L251122-144,E105
WO-70022,2025-11-22,P-20086,20,20.2,EA,L251122-795,E104
WO-70022,2025-11-24,P-20095,20,20.8,EA,L251122-379,E083
WO-70022,2025-11-24,P-20048,7.5,7.8,EA,L251122-104,E101
WO-70023,2025-09-17,P-20118,12.5,13.0,EA,L250916-110,E077
WO-70023,2025-09-18,P-20011,5,5.0,EA,L250916-771,E103
WO-70023,2025-09-16,P-20045,3.75,3.86,EA,L250916-696,E081
WO-70023,2025-09-16,P-20106,3.75,3.86,EA,L250916-358,E081
WO-70024,2025-07-21,P-20099,100,101.0,EA,L250721-286,E105
WO-70024,2025-07-22,P-20049,400,412.0,EA,L250721-799,E080
WO-70024,2025-07-22,P-20011,100,101.0,EA,L250721-501,E080
WO-70024,2025-07-21,P-20085,100,98.0,EA,L250721-134,E102
WO-70025,2025-05-18,P-20044,20,20.4,EA,L250516-838,E106
WO-70025,2025-05-18,P-20006,40,42.0,EA,L250516-856,E106
WO-70025,2025-05-16,P-20099,20,20.8,EA,L250516-515,E103
WO-70026,2025-08-26,P-20054,37.5,38.62,EA,L250826-105,E105
WO-70026,2025-08-27,P-20059,100,104.0,EA,L250826-558,E082
WO-70026,2025-08-27,P-20099,37.5,37.5,EA,L250826-417,E083
WO-70027,2025-04-11,P-20083,20,19.6,EA,L250410-893,E078
WO-70027,2025-04-10,P-20035,40,40.0,EA,L250410-565,E078
WO-70027,2025-04-11,P-20081,20,19.8,EA,L250410-453,E101
WO-70027,2025-04-10,P-20050,40,42.0,EA,L250410-315,E076
WO-70028,2025-05-19,P-20042,62.5,62.5,EA,L250517-741,E077
WO-70028,2025-05-18,P-20050,25,26.25,EA,L250517-123,E077
WO-70028,2025-05-18,P-20068,25,25.0,EA,L250517-869,E078
WO-70028,2025-05-19,P-20044,25,25.25,EA,L250517-920,E080
WO-70028,2025-05-18,P-20023,25,25.25,EA,L250517-575,E102
WO-70028,2025-05-19,P-20108,100,98.0,EA,L250517-752,E078
WO-70029,2025-07-09,P-20109,100,100.0,EA,L250709-889,E079
WO-70029,2025-07-09,P-20104,75.0,76.5,EA,L250709-145,E103
WO-70029,2025-07-11,P-20049,400,416.0,EA,L250709-433,E105
WO-70029,2025-07-09,P-20069,250.0,252.5,EA,L250709-305,E106
WO-70030,2025-10-15,P-20109,18.75,18.94,EA,L251013-122,E081
WO-70030,2025-10-13,P-20086,18.75,19.5,EA,L251013-581,E100
WO-70030,2025-10-13,P-20045,50,52.5,EA,L251013-101,E103
WO-70030,2025-10-15,P-20041,50,52.0,EA,L251013-108,E076
WO-70031,2026-02-16,P-20042,25.0,25.25,EA,L260216-270,E106
WO-70031,2026-02-17,P-20050,10,10.0,EA,L260216-818,E106
WO-70031,2026-02-18,P-20068,10,10.4,EA,L260216-350,E078
WO-70031,2026-02-16,P-20044,10,10.2,EA,L260216-505,E099
WO-70031,2026-02-17,P-20023,10,10.5,EA,L260216-583,E099
WO-70031,2026-02-18,P-20108,40,41.2,EA,L260216-443,E099
WO-70032,2025-10-04,P-20064,75.0,76.5,EA,L251002-754,E106
WO-70032,2025-10-04,P-20028,400,416.0,EA,L251002-283,E080
WO-70032,2025-10-04,P-20016,200,202.0,EA,L251002-590,E081
WO-70032,2025-10-04,P-20085,250.0,250.0,EA,L251002-512,E083
WO-70032,2025-10-03,P-20000,400,404.0,EA,L251002-686,E077
WO-70032,2025-10-03,P-20069,100,103.0,EA,L251002-594,E102
WO-70033,2025-04-06,P-20042,10,10.0,EA,L250406-382,E105
WO-70033,2025-04-07,P-20100,7.5,7.42,EA,L250406-199,E079
WO-70033,2025-04-08,P-20109,10,10.4,EA,L250406-569,E077
WO-70033,2025-04-08,P-10098,187.0,192.61,LB,L250406-455,E101
WO-70033,2025-04-06,P-20011,10,10.0,EA,L250406-554,E083
WO-70034,2026-03-24,P-20044,20,19.8,EA,L260324-936,E076
WO-70034,2026-03-25,P-20006,40,40.8,EA,L260324-359,E077
WO-70034,2026-03-24,P-20099,20,20.4,EA,L260324-736,E076
WO-70035,2025-06-21,P-20079,50,51.5,EA,L250621-592,E099
WO-70035,2025-06-21,P-20042,50,51.5,EA,L250621-301,E106
WO-70035,2025-06-21,P-20029,50,51.0,EA,L250621-126,E079
WO-70035,2025-06-23,P-20023,37.5,39.38,EA,L250621-695,E103
WO-70035,2025-06-22,P-20001,100,104.0,EA,L250621-802,E078
WO-70036,2026-03-27,P-20113,25,25.75,EA,L260327-489,E081
WO-70036,2026-03-28,P-20011,18.75,19.69,EA,L260327-968,E102
WO-70036,2026-03-29,P-20007,100,101.0,EA,L260327-841,E077
WO-70037,2026-01-28,P-20099,25,25.75,EA,L260128-924,E080
WO-70037,2026-01-30,P-20049,100,100.0,EA,L260128-842,E099
WO-70037,2026-01-30,P-20011,25,25.75,EA,L260128-763,E082
WO-70037,2026-01-30,P-20085,25,24.75,EA,L260128-950,E104
WO-70038,2025-09-16,P-20023,37.5,39.0,EA,L250916-864,E077
WO-70038,2025-09-17,P-20007,100,100.0,EA,L250916-940,E083
WO-70038,2025-09-16,P-20050,200,200.0,EA,L250916-579,E104
WO-70039,2025-11-15,P-20012,200,210.0,EA,L251113-775,E101
WO-70039,2025-11-15,P-20104,400,408.0,EA,L251113-763,E104
WO-70039,2025-11-13,P-20106,400,408.0,EA,L251113-221,E083
WO-70039,2025-11-14,P-20088,75.0,76.5,EA,L251113-383,E102
WO-70040,2025-08-25,P-20054,15.0,15.6,EA,L250824-718,E078
WO-70040,2025-08-24,P-20059,40,41.6,EA,L250824-120,E104
WO-70040,2025-08-25,P-20099,15.0,15.45,EA,L250824-465,E078
WO-70041,2026-02-26,P-10000,50,50.5,EA,L260226-908,E106
WO-70041,2026-02-27,P-20081,50,52.0,EA,L260226-344,E077
WO-70041,2026-02-26,P-20015,100,100.0,EA,L260226-796,E100
WO-70042,2025-11-06,P-20064,75.0,76.5,EA,L251105-449,E082
WO-70042,2025-11-05,P-20028,400,412.0,EA,L251105-303,E083
WO-70042,2025-11-06,P-20016,200,200.0,EA,L251105-840,E078
WO-70042,2025-11-07,P-20085,250.0,255.0,EA,L251105-870,E105
WO-70042,2025-11-07,P-20000,400,400.0,EA,L251105-848,E099
WO-70042,2025-11-05,P-20069,100,101.0,EA,L251105-848,E077
WO-70043,2026-03-20,P-20116,250.0,252.5,EA,L260318-106,E103
WO-70043,2026-03-18,P-20085,250.0,250.0,EA,L260318-556,E080
WO-70043,2026-03-19,P-20095,75.0,78.0,EA,L260318-743,E078
WO-70043,2026-03-20,P-20001,100,99.0,EA,L260318-613,E099
WO-70044,2025-10-20,P-20083,5,4.9,EA,L251019-830,E076
WO-70044,2025-10-19,P-20035,10,10.4,EA,L251019-147,E081
WO-70044,2025-10-21,P-20081,5,4.9,EA,L251019-534,E082
WO-70044,2025-10-21,P-20050,10,10.0,EA,L251019-989,E079
WO-70045,2026-01-26,P-20057,50,51.5,EA,L260125-228,E083
WO-70045,2026-01-27,P-20085,125.0,126.25,EA,L260125-511,E104
WO-70045,2026-01-26,P-20054,37.5,37.12,EA,L260125-757,E104
WO-70045,2026-01-26,P-20115,37.5,39.0,EA,L260125-593,E103
WO-70046,2026-03-05,P-20116,250.0,260.0,EA,L260305-398,E076
