completion_id,work_order_id,completion_date,item_id,completed_qty,to_location,std_cost,actual_cost,variance,received_by
CMP-00001,WO-70001,2025-07-12,A-20058,5,FG-STAGE,1273.75,17962.95,16689.2,E077
CMP-00002,WO-70002,2025-12-12,A-20038,100,FG-STAGE,199797.0,28733.37,-171063.63,E103
CMP-00003,WO-70003,2025-09-30,A-20063,25,FG-STAGE,34322.75,4348.6,-29974.15,E103
CMP-00004,WO-70004,2025-07-31,A-20114,100,FG-STAGE,24469.0,66731.91,42262.91,E106
CMP-00005,WO-70005,2025-12-23,A-20082,10,FG-STAGE,8414.4,2558.89,-5855.51,E103
CMP-00006,WO-70006,2026-03-14,A-20090,5,FG-STAGE,4106.5,1607.91,-2498.59,E079
CMP-00007,WO-70007,2025-06-18,A-20022,50,FG-STAGE,7770.5,25348.13,17577.63,E105
CMP-00008,WO-70009,2025-08-23,A-20036,10,FG-STAGE,29456.5,3980.41,-25476.09,E101
CMP-00009,WO-70010,2025-10-05,A-20094,10,FG-STAGE,5014.0,5750.54,736.54,E105
CMP-00010,WO-70011,2025-10-11,A-20034,100,FG-STAGE,11133.0,28980.95,17847.95,E102
CMP-00011,WO-70012,2025-05-22,A-20107,100,FG-STAGE,263195.0,54223.67,-208971.33,E083
CMP-00012,WO-70013,2025-07-17,A-20034,10,FG-STAGE,1113.3,3268.37,2155.07,E101
CMP-00013,WO-70014,2025-09-16,A-20101,10,FG-STAGE,23824.0,5392.35,-18431.65,E106
CMP-00014,WO-70015,2025-04-28,A-20114,50,FG-STAGE,12234.5,33955.23,21720.73,E105
CMP-00015,WO-70017,2026-03-28,A-20092,50,FG-STAGE,95789.0,19239.73,-76549.27,E103
CMP-00016,WO-70018,2025-12-03,A-20061,10,FG-STAGE,1755.2,3521.0,1765.8,E077
CMP-00017,WO-70019,2025-12-15,A-20004,100,FG-STAGE,79634.0,37887.05,-41746.95,E105
CMP-00018,WO-70020,2025-05-12,A-20058,5,FG-STAGE,1273.75,17358.19,16084.44,E101
CMP-00019,WO-70022,2025-12-16,A-20010,10,FG-STAGE,3836.3,5534.54,1698.24,E083
