scrap_id,work_order_id,item_id,date,qty,reason_code,cost,disposition,reported_by
SC-0001,WO-70002,A-20038,2025-12-09,6,Dimensional,11987.82,Use-as-is (MRB),E013
SC-0002,WO-70016,A-20065,2025-07-03,1,Setup scrap,798.0,Rework,E027
SC-0003,WO-70018,A-20061,2025-11-20,1,Operator error,175.52,Rework,E048
SC-0004,WO-70019,A-20004,2025-11-29,9,Dimensional,7167.06,Use-as-is (MRB),E033
SC-0005,WO-70030,A-20076,2025-10-20,2,Setup scrap,1442.36,Use-as-is (MRB),E051
SC-0006,WO-70037,A-20040,2026-02-03,1,Surface finish,210.93,Rework,E036
SC-0007,WO-70042,A-20107,2025-11-17,7,Setup scrap,18423.65,Use-as-is (MRB),E027
SC-0008,WO-70046,A-20034,2026-03-07,1,Dimensional,111.33,Use-as-is (MRB),E053
SC-0009,WO-70047,A-20058,2025-09-13,1,Operator error,254.75,Rework,E038
SC-0010,WO-70053,A-20022,2025-09-01,2,Setup scrap,310.82,Scrap,E028
SC-0011,WO-70054,A-20093,2026-03-19,9,Setup scrap,18154.98,Rework,E021
SC-0012,WO-70058,A-20031,2025-09-13,5,Material defect,644.2,Use-as-is (MRB),E015
SC-0013,WO-70060,A-20040,2025-04-27,2,Setup scrap,421.86,Scrap,E052
SC-0014,WO-70063,A-20078,2025-07-22,3,Material defect,2114.25,Use-as-is (MRB),E051
SC-0015,WO-70069,A-20114,2025-07-20,2,Dimensional,489.38,Use-as-is (MRB),E054
SC-0016,WO-70074,A-20097,2025-05-26,1,Material defect,246.81,Rework,E038
SC-0017,WO-70079,A-20022,2025-12-14,1,Dimensional,155.41,Use-as-is (MRB),E025
SC-0018,WO-70092,A-20090,2026-03-19,1,Material defect,821.3,Scrap,E029
SC-0019,WO-70100,A-20097,2025-10-20,5,Operator error,1234.05,Scrap,E094
SC-0020,WO-70102,A-20070,2025-11-13,1,Surface finish,1739.22,Use-as-is (MRB),E041
SC-0021,WO-70103,A-20078,2025-12-24,3,Operator error,2114.25,Scrap,E009
SC-0022,WO-70108,A-20094,2025-05-27,1,Setup scrap,501.4,Scrap,E040
SC-0023,WO-70113,A-20063,2025-12-14,6,Setup scrap,8237.46,Use-as-is (MRB),E031
SC-0024,WO-70114,A-20078,2026-03-16,1,Operator error,704.75,Rework,E024
SC-0025,WO-70118,A-20078,2026-03-01,7,Dimensional,4933.25,Use-as-is (MRB),E054
SC-0026,WO-70126,A-20039,2026-02-16,1,Material defect,415.87,Use-as-is (MRB),E012
SC-0027,WO-70130,A-20061,2026-01-10,2,Surface finish,351.04,Scrap,E017
SC-0028,WO-70135,A-20031,2026-01-05,2,Dimensional,257.68,Use-as-is (MRB),E030
SC-0029,WO-70140,A-20002,2025-04-17,2,Material defect,3862.3,Rework,E023
SC-0030,WO-70141,A-20058,2025-06-16,1,Surface finish,254.75,Use-as-is (MRB),E041
SC-0031,WO-70154,A-20030,2025-05-16,2,Dimensional,353.96,Use-as-is (MRB),E044
SC-0032,WO-70156,A-20004,2025-09-26,1,Material defect,796.34,Scrap,E019
SC-0033,WO-70164,A-20031,2026-02-10,2,Operator error,257.68,Rework,E024
SC-0034,WO-70167,A-20043,2025-05-17,1,Setup scrap,1336.88,Use-as-is (MRB),E095
SC-0035,WO-70183,A-20025,2025-08-10,3,Operator error,2110.62,Use-as-is (MRB),E047
SC-0036,WO-70184,A-20043,2025-06-01,1,Setup scrap,1336.88,Use-as-is (MRB),E039
SC-0037,WO-70185,A-20058,2025-08-26,1,Material defect,254.75,Rework,E022
SC-0038,WO-70200,A-20003,2026-02-27,3,Material defect,7351.98,Use-as-is (MRB),E019
