as_of_date,work_order_id,item_id,order_qty,completed_qty,material_cost_to_date,labor_cost_to_date,overhead_applied
2026-03-31,WO-70008,A-20093,10,4,1301.1,0.0,0.0
2026-03-31,WO-70016,A-20065,25,11,364.87,1022.03,613.22
2026-03-31,WO-70021,A-20020,20,13,2445.76,2793.46,1676.08
2026-03-31,WO-70027,A-20043,20,15,1427.23,610.92,366.55
2026-03-31,WO-70033,A-20094,10,0,1054.03,4149.71,2489.83
2026-03-31,WO-70034,A-20090,20,13,520.85,3352.73,2011.64
2026-03-31,WO-70035,A-20002,50,1,4714.56,10266.04,6159.62
2026-03-31,WO-70036,A-20038,25,17,3631.13,2114.6,1268.76
2026-03-31,WO-70043,A-20034,100,52,3154.54,8610.1,5166.06
2026-03-31,WO-70060,A-20040,50,2,1584.09,1402.58,841.55
2026-03-31,WO-70068,A-20053,50,37,22519.41,1841.87,1105.12
2026-03-31,WO-70073,A-20061,20,17,4816.78,412.5,247.5
2026-03-31,WO-70106,A-20092,25,18,4687.95,2433.99,1460.4
2026-03-31,WO-70121,A-20022,10,2,1333.55,3031.58,1818.95
2026-03-31,WO-70128,A-20077,5,5,213.67,1028.42,617.05
2026-03-31,WO-70133,A-20107,10,4,4263.16,1104.97,662.98
2026-03-31,WO-70151,A-20110,20,16,1267.25,2250.28,1350.17
2026-03-31,WO-70155,A-20039,100,23,3731.66,7751.25,4650.75
2026-03-31,WO-70205,A-20076,25,0,910.48,3741.45,2244.87
2026-03-31,WO-70207,A-20061,50,50,11560.18,1840.15,1104.09
