work_order_id,operation,work_center_id,planned_setup_hours,planned_run_hours,actual_setup_hours,actual_run_hours,status
WO-70001,10,WC-CNC1,1.25,1.0,1.61,1.31,Complete
WO-70001,20,WC-ASSY,1.0,0.65,1.05,0.59,Complete
WO-70001,30,WC-INSP,2.0,5.65,2.68,5.76,Complete
WO-70001,40,WC-PACK,0.75,1.4,0.81,1.64,Complete
WO-70002,10,WC-ASSY,0.5,46.0,0.57,59.34,Complete
WO-70002,20,WC-DEBUR,0.5,107.0,0.55,118.77,Complete
WO-70002,30,WC-INSP,1.0,34.0,1.38,35.7,Complete
WO-70002,40,WC-PACK,1.5,75.0,1.5,92.25,Complete
WO-70003,10,WC-CNC2,0.75,2.0,0.86,2.54,Complete
WO-70003,20,WC-DEBUR,0.5,16.5,0.6,17.16,Complete
WO-70003,30,WC-INSP,1.75,8.25,1.84,10.48,Complete
WO-70003,40,WC-PACK,0.25,1.75,0.3,2.01,Complete
WO-70004,10,WC-DEBUR,1.0,101.0,1.38,115.14,Complete
WO-70004,20,WC-CNC2,1.75,54.0,1.44,66.96,Complete
WO-70004,30,WC-INSP,0.5,82.0,0.46,94.3,Complete
WO-70004,40,WC-PACK,0.5,119.0,0.49,121.38,Complete
WO-70005,10,WC-CNC1,0.5,5.1,0.57,5.56,Complete
WO-70005,20,WC-CNC2,1.75,0.7,2.31,0.85,Complete
WO-70005,30,WC-ASSY,0.5,0.9,0.46,1.19,Complete
WO-70005,40,WC-SAW,0.25,10.6,0.21,12.72,Complete
WO-70005,50,WC-INSP,2.0,4.0,2.72,5.2,Complete
WO-70005,60,WC-PACK,1.0,5.6,1.26,7.17,Complete
WO-70006,10,WC-SAW,0.5,1.8,0.56,2.36,Complete
WO-70006,20,WC-CNC1,1.75,1.6,1.47,2.14,Complete
WO-70006,30,WC-DEBUR,0.5,4.35,0.7,4.05,Complete
WO-70006,40,WC-CNC2,1.5,3.55,1.56,3.16,Complete
WO-70006,50,WC-INSP,0.5,2.3,0.69,2.74,Complete
WO-70006,60,WC-PACK,1.25,0.65,1.62,0.82,Complete
WO-70007,10,WC-SAW,1.25,15.0,1.43,15.45,Complete
WO-70007,20,WC-CNC2,1.0,56.0,0.91,58.8,Complete
WO-70007,30,WC-CNC1,1.0,42.5,0.94,36.98,Complete
WO-70007,40,WC-ASSY,1.0,53.5,0.88,66.34,Complete
WO-70007,50,WC-INSP,2.0,58.5,2.44,58.5,Complete
WO-70007,60,WC-PACK,1.75,16.0,2.21,14.56,Complete
WO-70008,10,WC-CNC2,0.5,6.3,,,Open
WO-70008,20,WC-CNC1,1.0,1.4,,,Open
WO-70008,30,WC-ASSY,1.75,1.4,,,Open
WO-70008,40,WC-INSP,1.5,1.4,,,Open
WO-70008,50,WC-PACK,0.5,5.7,,,Open
WO-70009,10,WC-ASSY,2.0,2.0,2.24,2.36,Complete
WO-70009,20,WC-CNC1,0.5,7.3,0.43,9.27,Complete
WO-70009,30,WC-INSP,1.75,4.3,1.45,4.26,Complete
WO-70009,40,WC-PACK,1.5,5.7,1.98,6.67,Complete
WO-70010,10,WC-CNC2,0.25,10.9,0.28,13.84,Complete
WO-70010,20,WC-ASSY,1.0,11.6,0.81,11.25,Complete
WO-70010,30,WC-DEBUR,1.5,10.5,2.03,11.03,Complete
WO-70010,40,WC-CNC1,1.25,4.5,1.54,5.31,Complete
WO-70010,50,WC-INSP,1.25,10.2,1.52,13.16,Complete
WO-70010,60,WC-PACK,0.25,10.9,0.34,11.99,Complete
WO-70011,10,WC-CNC1,1.5,100.0,1.84,90.0,Complete
WO-70011,20,WC-DEBUR,0.25,40.0,0.26,40.4,Complete
WO-70011,30,WC-ASSY,0.75,38.0,0.97,42.56,Complete
WO-70011,40,WC-SAW,1.5,31.0,1.53,41.54,Complete
WO-70011,50,WC-INSP,0.25,118.0,0.35,119.18,Complete
WO-70011,60,WC-PACK,1.0,88.0,0.93,99.44,Complete
WO-70012,10,WC-CNC1,0.75,24.0,0.93,23.52,Complete
WO-70012,20,WC-ASSY,0.75,58.0,0.98,61.48,Complete
WO-70012,30,WC-INSP,2.0,36.0,2.28,46.08,Complete
WO-70012,40,WC-PACK,1.5,71.0,1.7,88.04,Complete
WO-70013,10,WC-CNC1,1.5,10.0,1.54,10.5,Complete
WO-70013,20,WC-DEBUR,0.25,4.0,0.33,4.2,Complete
WO-70013,30,WC-ASSY,0.75,3.8,0.86,3.65,Complete
WO-70013,40,WC-SAW,1.5,3.1,1.32,2.67,Complete
WO-70013,50,WC-INSP,0.25,11.8,0.23,14.04,Complete
WO-70013,60,WC-PACK,1.0,8.8,0.97,7.74,Complete
