work_order_id,item_id,item_revision,order_qty,release_date,due_date,demand_source,planner_id,status,completed_qty,scrap_qty,std_cost_per_unit,actual_cost
WO-70001,A-20058,C,5,2025-06-17,2025-07-08,SO-26121,E085,Closed,5,0,254.75,17962.95
WO-70002,A-20038,C,100,2025-11-28,2025-12-09,Stock,E019,Closed,100,6,1997.97,28733.37
WO-70003,A-20063,A,25,2025-09-24,2025-10-02,SO-26182,E074,Closed,25,0,1372.91,4348.6
WO-70004,A-20114,C,100,2025-07-21,2025-07-29,SO-26240,E049,Closed,100,0,244.69,66731.91
WO-70005,A-20082,B,10,2025-11-30,2025-12-23,SO-26100,E058,Closed,10,0,841.44,2558.89
WO-70006,A-20090,C,5,2026-02-15,2026-03-12,Stock,E077,Closed,5,0,821.3000000000001,1607.91
WO-70007,A-20022,B,50,2025-06-08,2025-06-16,Stock,E047,Closed,50,0,155.41,25348.13
WO-70008,A-20093,C,10,2025-06-06,2025-06-20,SO-26166,E046,In Process,4,0,2017.22,
WO-70009,A-20036,A,10,2025-07-20,2025-08-18,Stock,E091,Closed,10,0,2945.65,3980.41
WO-70010,A-20094,C,10,2025-09-04,2025-10-02,SO-26400,E041,Closed,10,0,501.40000000000003,5750.54
WO-70011,A-20034,B,100,2025-09-21,2025-10-09,Stock,E069,Closed,100,0,111.33,28980.95
WO-70012,A-20107,A,100,2025-04-21,2025-05-20,SO-26261,E096,Closed,100,0,2631.9500000000003,54223.67
WO-70013,A-20034,B,10,2025-06-22,2025-07-19,Stock,E078,Closed,10,0,111.33,3268.37
WO-70014,A-20101,A,10,2025-08-29,2025-09-14,Stock,E036,Closed,10,0,2382.4,5392.35
WO-70015,A-20114,C,50,2025-04-13,2025-04-25,SO-26128,E068,Closed,50,0,244.69,33955.23
WO-70016,A-20065,A,25,2025-06-24,2025-07-09,Stock,E036,In Process,11,1,798.0,
WO-70017,A-20092,A,50,2026-03-07,2026-03-23,Stock,E049,Closed,50,0,1915.78,19239.73
WO-70018,A-20061,C,10,2025-11-09,2025-11-30,SO-26051,E083,Closed,10,1,175.52,3521.0
WO-70019,A-20004,A,100,2025-11-28,2025-12-15,SO-26168,E102,Closed,100,9,796.34,37887.05
WO-70020,A-20058,C,5,2025-04-29,2025-05-15,SO-26320,E010,Closed,5,0,254.75,17358.19
WO-70021,A-20020,B,20,2025-08-06,2025-09-01,SO-26082,E057,In Process,13,0,316.62,
WO-70022,A-20010,A,10,2025-11-22,2025-12-14,Stock,E045,Closed,10,0,383.63,5534.54
WO-70023,A-20025,C,5,2025-09-16,2025-10-06,SO-26258,E088,Closed,5,0,703.54,1518.78
WO-70024,A-20040,C,100,2025-07-21,2025-08-19,SO-26038,E094,Closed,100,0,210.93,32564.09
WO-70025,A-20090,C,20,2025-05-16,2025-05-23,SO-26302,E044,Closed,20,0,821.3000000000001,4769.76
WO-70026,A-20070,A,50,2025-08-26,2025-09-21,Stock,E090,Closed,50,0,1739.22,15447.85
WO-70027,A-20043,C,20,2025-04-10,2025-04-17,SO-26148,E073,In Process,15,0,1336.88,
WO-70028,A-20030,A,25,2025-05-17,2025-06-05,SO-26164,E089,Closed,25,0,176.98,16000.05
WO-70029,A-20078,B,100,2025-07-09,2025-07-22,SO-26050,E055,Closed,100,0,704.75,22092.21
WO-70030,A-20076,B,25,2025-10-13,2025-11-10,SO-26110,E053,Closed,25,2,721.1800000000001,4459.28
WO-70031,A-20030,A,10,2026-02-16,2026-03-11,Stock,E067,Closed,10,0,176.98,6789.14
WO-70032,A-20107,A,100,2025-10-02,2025-10-21,SO-26091,E101,Closed,100,0,2631.9500000000003,54122.21
WO-70033,A-20094,C,10,2025-04-06,2025-04-21,SO-26110,E022,In Process,0,0,501.40000000000003,
WO-70034,A-20090,C,20,2026-03-24,2026-04-12,SO-26063,E062,In Process,13,0,821.3000000000001,
WO-70035,A-20002,C,50,2025-06-21,2025-07-03,Stock,E034,In Process,1,0,1931.15,
WO-70036,A-20038,C,25,2026-03-27,2026-04-12,SO-26252,E033,In Process,17,0,1997.97,
WO-70037,A-20040,C,25,2026-01-28,2026-02-11,Stock,E088,Closed,25,1,210.93,9229.5
WO-70038,A-20020,B,50,2025-09-16,2025-10-11,SO-26293,E009,Closed,50,0,316.62,18272.33
WO-70039,A-20114,C,100,2025-11-13,2025-12-13,SO-26374,E077,Closed,100,0,244.69,65957.74
WO-70040,A-20070,A,20,2025-08-24,2025-09-03,SO-26348,E003,Closed,20,0,1739.22,5682.68
WO-70041,A-20072,A,50,2026-02-26,2026-03-12,Stock,E037,Closed,50,0,402.48,11511.98
WO-70042,A-20107,A,100,2025-11-05,2025-11-14,Stock,E045,Closed,100,7,2631.9500000000003,52813.54
WO-70043,A-20034,B,100,2026-03-18,2026-03-30,SO-26195,E068,In Process,52,0,111.33,
WO-70044,A-20043,C,5,2025-10-19,2025-10-28,SO-26092,E026,Closed,5,0,1336.88,1248.54
WO-70045,A-20003,C,50,2026-01-25,2026-02-21,SO-26316,E024,Closed,50,0,2450.66,10562.61
WO-70046,A-20034,B,100,2026-03-05,2026-03-29,SO-26089,E080,Released,0,1,111.33,
WO-70047,A-20058,C,20,2025-09-12,2025-09-19,SO-26035,E026,Closed,20,1,254.75,68844.2
WO-70048,A-20087,A,25,2025-12-24,2026-01-09,SO-26285,E050,Closed,25,0,333.06,11479.85
WO-70049,A-20110,A,100,2026-03-04,2026-03-28,Stock,E006,Released,0,0,2979.18,
WO-70050,A-20010,A,5,2025-11-27,2025-12-12,SO-26419,E035,Closed,5,0,383.63,2800.4
WO-70051,A-20077,A,10,2025-11-16,2025-12-09,SO-26251,E073,Closed,10,0,869.98,3567.13
WO-70052,A-20033,C,10,2025-06-02,2025-07-02,Stock,E102,Closed,10,0,328.62,3696.04
