coc_id,work_order_id,item_id,revision,qty,issue_date,customer_so,signed_by,material_certs_attached,file
COC-00001,WO-70001,A-20058,C,5,2025-07-08,SO-26121,E055,Y,COC-WO-70001.pdf
COC-00002,WO-70002,A-20038,C,100,2025-12-09,Stock,E055,Y,COC-WO-70002.pdf
COC-00003,WO-70003,A-20063,A,25,2025-10-02,SO-26182,E055,N,COC-WO-70003.pdf
COC-00004,WO-70004,A-20114,C,100,2025-07-29,SO-26240,E055,Y,COC-WO-70004.pdf
COC-00005,WO-70005,A-20082,B,10,2025-12-23,SO-26100,E055,Y,COC-WO-70005.pdf
COC-00006,WO-70006,A-20090,C,5,2026-03-12,Stock,E055,Y,COC-WO-70006.pdf
COC-00007,WO-70007,A-20022,B,50,2025-06-16,Stock,E055,N,COC-WO-70007.pdf
COC-00008,WO-70009,A-20036,A,10,2025-08-18,Stock,E055,Y,COC-WO-70009.pdf
COC-00009,WO-70010,A-20094,C,10,2025-10-02,SO-26400,E055,Y,COC-WO-70010.pdf
COC-00010,WO-70011,A-20034,B,100,2025-10-09,Stock,E055,N,COC-WO-70011.pdf
COC-00011,WO-70012,A-20107,A,100,2025-05-20,SO-26261,E055,Y,COC-WO-70012.pdf
COC-00012,WO-70013,A-20034,B,10,2025-07-19,Stock,E055,Y,COC-WO-70013.pdf
COC-00013,WO-70014,A-20101,A,10,2025-09-14,Stock,E055,N,COC-WO-70014.pdf
COC-00014,WO-70015,A-20114,C,50,2025-04-25,SO-26128,E055,Y,COC-WO-70015.pdf
COC-00015,WO-70017,A-20092,A,50,2026-03-23,Stock,E055,Y,COC-WO-70017.pdf
COC-00016,WO-70018,A-20061,C,10,2025-11-30,SO-26051,E055,Y,COC-WO-70018.pdf
COC-00017,WO-70019,A-20004,A,100,2025-12-15,SO-26168,E055,Y,COC-WO-70019.pdf
COC-00018,WO-70020,A-20058,C,5,2025-05-15,SO-26320,E055,Y,COC-WO-70020.pdf
COC-00019,WO-70022,A-20010,A,10,2025-12-14,Stock,E055,Y,COC-WO-70022.pdf
COC-00020,WO-70023,A-20025,C,5,2025-10-06,SO-26258,E055,N,COC-WO-70023.pdf
