inspection_id,type,reference,item_id,inspection_date,inspector_id,sample_size,defects_found,result,plan
INS-00001,Receiving,RCV-40001,P-10035,2025-07-23,E058,5,0,Accept,AQL 1.0 Level II
INS-00002,Receiving,RCV-40002,P-20029,2026-01-30,E055,8,0,Accept,AQL 1.0 Level II
INS-00003,Receiving,RCV-40004,P-10049,2026-03-10,E059,8,0,Accept,AQL 1.0 Level II
INS-00004,Receiving,RCV-40005,P-20064,2025-05-25,E056,2,0,Accept,AQL 1.0 Level II
INS-00005,Receiving,RCV-40006,P-20021,2026-03-31,E055,2,0,Accept,AQL 1.0 Level II
INS-00006,Receiving,RCV-40008,P-10077,2025-07-09,E055,8,0,Accept,AQL 1.0 Level II
INS-00007,Receiving,RCV-40019,P-20088,2025-09-15,E055,13,0,Accept,AQL 1.0 Level II
INS-00008,Receiving,RCV-40023,P-20028,2025-10-26,E059,2,0,Accept,AQL 1.0 Level II
INS-00009,Receiving,RCV-40027,P-20096,2025-06-04,E056,5,0,Accept,AQL 1.0 Level II
INS-00010,Receiving,RCV-40031,P-20049,2026-03-22,E058,5,0,Accept,AQL 1.0 Level II
INS-00011,Receiving,RCV-40042,P-10035,2025-07-04,E058,8,0,Accept,AQL 1.0 Level II
INS-00012,Receiving,RCV-40043,P-20113,2025-10-10,E058,13,0,Accept,AQL 1.0 Level II
INS-00013,Receiving,RCV-40046,P-20041,2026-03-21,E059,2,0,Accept,AQL 1.0 Level II
INS-00014,Receiving,RCV-40048,P-20000,2026-03-17,E059,5,0,Accept,AQL 1.0 Level II
INS-00015,Receiving,RCV-40050,P-20095,2026-02-11,E059,8,0,Accept,AQL 1.0 Level II
INS-00016,Receiving,RCV-40053,P-20052,2025-09-30,E058,13,0,Accept,AQL 1.0 Level II
INS-00017,Receiving,RCV-40054,P-20095,2025-08-13,E058,5,0,Accept,AQL 1.0 Level II
INS-00018,Receiving,RCV-40067,P-20112,2025-12-03,E058,13,0,Accept,AQL 1.0 Level II
INS-00019,Receiving,RCV-40070,P-20068,2025-05-06,E056,5,0,Accept,AQL 1.0 Level II
INS-00020,Receiving,RCV-40071,P-20096,2025-07-28,E055,13,0,Accept,AQL 1.0 Level II
INS-00021,Receiving,RCV-40079,P-20060,2025-05-06,E055,13,0,Accept,AQL 1.0 Level II
INS-00022,Receiving,RCV-40080,P-10035,2025-10-03,E057,2,0,Accept,AQL 1.0 Level II
INS-00023,Receiving,RCV-40087,P-20024,2025-09-24,E059,5,0,Accept,AQL 1.0 Level II
INS-00024,Receiving,RCV-40093,P-20105,2026-01-31,E058,13,0,Accept,AQL 1.0 Level II
INS-00025,Receiving,RCV-40095,P-10035,2025-04-21,E057,2,2,Reject,AQL 1.0 Level II
INS-00026,Receiving,RCV-40102,P-20026,2026-04-02,E056,8,0,Accept,AQL 1.0 Level II
INS-00027,Receiving,RCV-40104,P-20091,2025-09-22,E058,13,0,Accept,AQL 1.0 Level II
INS-00028,Receiving,RCV-40109,P-20119,2025-06-19,E058,13,0,Accept,AQL 1.0 Level II
INS-00029,Receiving,RCV-40113,P-20113,2025-09-19,E056,13,0,Accept,AQL 1.0 Level II
