maint_wo_id,asset_id,type,opened_date,description,priority,assigned_to,labor_hours,parts_cost,external_vendor,downtime_hours,closed_date,status
MWO-0001,A-006,PM,2025-11-09,Spindle vibration,Normal,E087,2.5,978.61,Sunbelt Rentals,0,2025-11-11,Closed
MWO-0002,A-001,Corrective,2025-08-21,Annual crane inspection,Normal,E086,7.0,1344.14,Haas Factory Outlet,0,2025-08-27,Closed
MWO-0003,A-013,Corrective,2025-09-21,Annual crane inspection,Normal,E086,11.0,514.28,Sunbelt Rentals,0,2025-09-23,Closed
MWO-0004,A-003,PM,2025-05-24,Forklift brake inspection,Normal,E085,5.5,1782.89,Toyota Material Handling,0,2025-06-01,Closed
MWO-0005,A-007,Corrective,2026-02-20,Dock leveler not lifting,Normal,E084,9.0,736.88,Haas Factory Outlet,0,2026-03-02,Closed
MWO-0006,A-004,PM,2025-11-05,Forklift brake inspection,Normal,E085,1.5,279.88,Haas Factory Outlet,0,2025-11-17,Closed
MWO-0007,A-002,Corrective,2025-12-20,Dock leveler not lifting,Low,E085,1.5,2004.89,Haas Factory Outlet,0,2025-12-27,Closed
MWO-0008,A-001,PM,2025-07-15,Annual crane inspection,Normal,E087,8.5,301.57,Sunbelt Rentals,0,2025-07-23,Closed
MWO-0009,A-014,Breakdown,2025-06-29,Forklift brake inspection,Emergency,E086,14.0,1691.56,,30.5,2025-07-06,Closed
MWO-0010,A-001,PM,2025-04-08,Replace worn belt,Normal,E086,6.5,1411.19,,0,2025-04-21,Closed
MWO-0011,A-015,PM,2025-11-12,Replace worn belt,Normal,E084,11.0,1232.72,,0,2025-11-20,Closed
MWO-0012,A-002,PM,2025-09-20,Dock leveler not lifting,Normal,E087,11.5,1083.88,,0,2025-09-26,Closed
MWO-0013,A-011,Breakdown,2025-12-14,Coolant leak,Low,E087,12.5,2156.25,Haas Factory Outlet,24.5,2025-12-26,Closed
MWO-0014,A-001,Corrective,2025-08-07,Coolant leak,Emergency,E085,14.0,1182.71,,0,2025-08-16,Closed
MWO-0015,A-005,PM,2025-05-03,Spindle vibration,Normal,E084,2.5,1644.94,Toyota Material Handling,0,2025-05-12,Closed
MWO-0016,A-007,PM,2025-08-22,Forklift brake inspection,Normal,E087,12.0,12.37,,0,2025-08-31,Closed
MWO-0017,A-008,PM,2025-08-11,Scheduled PM,Normal,E087,10.0,978.34,,0,2025-08-18,Closed
MWO-0018,A-010,Breakdown,2025-11-27,Annual crane inspection,Normal,E087,11.5,1253.53,,37.5,2025-12-04,Closed
MWO-0019,A-009,Corrective,2025-04-16,Scheduled PM,High,E085,5.5,858.08,Sunbelt Rentals,0,2025-04-27,Closed
MWO-0020,A-011,Corrective,2025-10-12,Dock leveler not lifting,Emergency,E087,10.5,2240.0,,0,2025-10-23,Closed
MWO-0021,A-007,Breakdown,2025-08-19,Coolant leak,Emergency,E086,11.5,229.14,Haas Factory Outlet,0.5,2025-08-27,Closed
MWO-0022,A-012,PM,2025-05-17,Coolant leak,Normal,E085,1.5,166.84,Haas Factory Outlet,0,2025-05-21,Closed
