as_of_date,customer_id,invoice_number,invoice_date,due_date,days_past_due,balance,aging_bucket,collector_id,last_contact,promise_to_pay
2026-03-31,NIC-CUST0015,INV-60020,2025-10-17,2025-12-16,105,103.23,90+,E004,2026-02-01,
2026-03-31,NIC-CUST0026,INV-60026,2026-03-25,2026-05-24,0,7211.0,Current,E004,,
2026-03-31,NIC-CUST0008,INV-60027,2026-03-26,2026-04-25,0,9428.21,Current,E004,,
2026-03-31,NIC-CUST0009,INV-60034,2026-02-06,2026-03-23,8,7075.74,1-30,E004,,
2026-03-31,NIC-CUST0020,INV-60040,2026-03-25,2026-04-24,0,3812.91,Current,E004,,
2026-03-31,NIC-CUST0019,INV-60042,2026-02-20,2026-02-20,39,5587.73,31-60,E004,2026-01-12,
2026-03-31,NIC-CUST0004,INV-60049,2026-03-06,2026-05-05,0,1064.25,Current,E004,,
2026-03-31,NIC-CUST0007,INV-60051,2026-03-17,2026-05-01,0,9874.94,Current,E004,,
2026-03-31,NIC-CUST0014,INV-60057,2026-02-11,2026-04-12,0,14869.49,Current,E004,,
2026-03-31,NIC-CUST0004,INV-60059,2026-03-25,2026-05-24,0,6243.35,Current,E004,,
2026-03-31,NIC-CUST0035,INV-60060,2026-03-20,2026-04-19,0,5959.94,Current,E004,,
2026-03-31,NIC-CUST0008,INV-60065,2025-09-28,2025-10-28,154,80.89,90+,E004,2026-03-06,
2026-03-31,NIC-CUST0030,INV-60070,2025-04-30,2025-06-14,290,80.53,90+,E004,2026-03-30,
2026-03-31,NIC-CUST0008,INV-60072,2026-03-23,2026-04-22,0,14476.42,Current,E004,,
2026-03-31,NIC-CUST0015,INV-60079,2026-03-09,2026-05-08,0,13978.94,Current,E004,,
2026-03-31,NIC-CUST0021,INV-60085,2026-03-11,2026-04-10,0,24274.86,Current,E004,,
2026-03-31,NIC-CUST0034,INV-60102,2026-02-16,2026-04-02,0,35751.98,Current,E004,,
2026-03-31,NIC-CUST0040,INV-60109,2026-03-24,2026-04-23,0,372.74,Current,E004,,
2026-03-31,NIC-CUST0011,INV-60116,2026-02-06,2026-03-08,23,1313.33,1-30,E004,2026-02-15,
2026-03-31,NIC-CUST0005,INV-60125,2026-03-27,2026-04-26,0,234.66,Current,E004,,
2026-03-31,NIC-CUST0008,INV-60140,2026-03-22,2026-04-21,0,611.04,Current,E004,,
2026-03-31,NIC-CUST0002,INV-60144,2026-03-22,2026-04-21,0,737.34,Current,E004,,
2026-03-31,NIC-CUST0001,INV-60147,2025-10-22,2025-11-21,130,263.74,90+,E004,2026-03-26,
