invoice_number,line,item_id,qty,unit_price,extended,unit_cost,margin
INV-60001,1,A-20031,3,223.99,671.97,128.84,285.45
INV-60001,2,A-20078,5,1211.82,6059.1,704.75,2535.35
INV-60001,3,A-20003,5,3189.53,15947.65,2450.66,3694.35
INV-60001,4,A-20039,1,651.88,651.88,415.87,236.01
INV-60001,5,A-20097,5,396.25,1981.25,246.81,747.2
INV-60002,1,A-20002,2,2311.59,4623.18,1931.15,760.88
INV-60003,1,A-20034,1,140.27,140.27,111.33,28.94
INV-60003,2,A-20110,1,4450.9,4450.9,2979.18,1471.72
INV-60003,3,A-20040,3,282.86,848.58,210.93,215.79
INV-60004,1,A-20013,2,188.86,377.72,162.20000000000002,53.32
INV-60004,2,A-20034,2,127.81,255.62,111.33,32.96
INV-60004,3,A-20077,5,1062.94,5314.7,869.98,964.8
INV-60005,1,A-20097,3,375.4,1126.2,246.81,385.77
INV-60006,1,A-20063,3,1702.06,5106.18,1372.91,987.45
INV-60006,2,A-20072,3,512.35,1537.05,402.48,329.61
INV-60006,3,A-20013,1,218.8,218.8,162.20000000000002,56.6
INV-60006,4,A-20033,3,508.87,1526.61,328.62,540.75
INV-60006,5,A-20002,1,2440.01,2440.01,1931.15,508.86
INV-60007,1,A-20072,2,442.24,884.48,402.48,79.52
INV-60007,2,A-20022,5,184.78,923.9,155.41,146.85
INV-60008,1,A-20090,5,1212.24,6061.2,821.3000000000001,1954.7
INV-60008,2,A-20107,1,3339.95,3339.95,2631.9500000000003,708.0
INV-60008,3,A-20033,3,482.08,1446.24,328.62,460.38
INV-60008,4,A-20030,1,245.3,245.3,176.98,68.32
INV-60008,5,A-20034,1,140.27,140.27,111.33,28.94
INV-60009,1,A-20073,5,770.11,3850.55,496.53000000000003,1367.9
INV-60009,2,A-20114,2,442.89,885.78,244.69,396.4
INV-60010,1,A-20110,5,4055.26,20276.3,2979.18,5380.4
INV-60010,2,A-20077,5,1062.94,5314.7,869.98,964.8
INV-60010,4,A-20034,2,127.81,255.62,111.33,32.96
INV-60010,5,A-20092,2,2120.77,4241.54,1915.78,409.98
INV-60011,1,A-20063,1,1632.39,1632.39,1372.91,259.48
INV-60011,2,A-20002,2,2106.11,4212.22,1931.15,349.92
INV-60011,3,A-20030,5,223.49,1117.45,176.98,232.55
INV-60011,4,A-20003,1,2753.07,2753.07,2450.66,302.41
INV-60012,1,A-20114,2,442.89,885.78,244.69,396.4
INV-60013,1,A-20090,1,1104.48,1104.48,821.3000000000001,283.18
INV-60013,2,A-20030,1,214.55,214.55,176.98,37.57
INV-60013,4,A-20065,2,929.19,1858.38,798.0,262.38
INV-60014,1,A-20087,1,588.52,588.52,333.06,255.46
INV-60015,1,A-20061,1,265.04,265.04,175.52,89.52
INV-60015,2,A-20020,1,588.91,588.91,316.62,272.29
INV-60015,4,A-20082,3,1472.52,4417.56,841.44,1893.24
INV-60016,1,A-20097,1,375.4,375.4,246.81,128.59
INV-60016,2,A-20022,1,202.81,202.81,155.41,47.4
INV-60016,3,A-20043,1,2081.52,2081.52,1336.88,744.64
INV-60016,4,A-20114,3,398.6,1195.8,244.69,461.73
INV-60017,1,A-20114,1,442.89,442.89,244.69,198.2
INV-60017,2,A-20003,1,3357.4,3357.4,2450.66,906.74
INV-60017,3,A-20110,5,4945.44,24727.2,2979.18,9831.3
INV-60017,4,A-20093,5,3550.31,17751.55,2017.22,7665.45
INV-60017,5,A-20038,1,3136.81,3136.81,1997.97,1138.84
INV-60018,1,A-20110,1,4698.17,4698.17,2979.18,1718.99
INV-60019,1,A-20061,2,238.54,477.08,175.52,126.04
INV-60020,1,A-20110,3,4055.26,12165.78,2979.18,3228.24
INV-60020,2,A-20093,2,2911.25,5822.5,2017.22,1788.06
INV-60020,3,A-20033,1,386.52,386.52,328.62,57.9
INV-60020,4,A-20072,1,442.24,442.24,402.48,39.76
INV-60021,1,A-20078,2,1275.6,2551.2,704.75,1141.7
INV-60021,2,A-20063,3,1990.72,5972.16,1372.91,1853.43
INV-60021,3,A-20087,5,619.49,3097.45,333.06,1432.15
INV-60022,1,A-20039,2,562.68,1125.36,415.87,293.62
INV-60022,2,A-20020,5,482.91,2414.55,316.62,831.45
INV-60022,3,A-20031,5,188.62,943.1,128.84,298.9
INV-60022,4,A-20076,2,1094.03,2188.06,721.1800000000001,745.7
INV-60023,1,A-20073,3,819.27,2457.81,496.53000000000003,968.22
INV-60023,2,A-20033,3,535.65,1606.95,328.62,621.09
INV-60023,3,A-20077,2,1296.27,2592.54,869.98,852.58
INV-60023,4,A-20053,2,932.17,1864.34,695.65,473.04
INV-60024,1,A-20034,5,140.27,701.35,111.33,144.7
INV-60024,2,A-20107,3,3339.95,10019.85,2631.9500000000003,2124.0
INV-60024,3,A-20013,1,207.29,207.29,162.20000000000002,45.09
INV-60024,4,A-20076,2,1200.76,2401.52,721.1800000000001,959.16
INV-60024,5,A-20031,1,212.2,212.2,128.84,83.36
INV-60025,1,A-20097,5,342.03,1710.15,246.81,476.1
INV-60025,2,A-20087,2,441.94,883.88,333.06,217.76
INV-60026,1,A-20043,1,2197.16,2197.16,1336.88,860.28
INV-60026,2,A-20020,5,503.51,2517.55,316.62,934.45
INV-60026,3,A-20053,2,858.99,1717.98,695.65,326.68
INV-60026,4,A-20073,1,778.31,778.31,496.53000000000003,281.78
INV-60027,2,A-20033,3,439.23,1317.69,328.62,331.83
INV-60027,3,A-20110,2,4055.26,8110.52,2979.18,2152.16
INV-60028,1,A-20013,2,188.86,377.72,162.20000000000002,53.32
INV-60028,2,A-20070,1,2453.71,2453.71,1739.22,714.49
INV-60028,3,A-20036,3,3144.9,9434.7,2945.65,597.75
INV-60028,4,A-20058,1,353.03,353.03,254.75,98.28
INV-60028,5,A-20114,2,363.17,726.34,244.69,236.96
INV-60029,1,A-20038,5,2823.13,14115.65,1997.97,4125.8
INV-60029,2,A-20063,1,1791.65,1791.65,1372.91,418.74
INV-60029,3,A-20114,5,398.6,1993.0,244.69,769.55
INV-60030,1,A-20093,2,3195.28,6390.56,2017.22,2356.12
INV-60030,2,A-20097,3,375.4,1126.2,246.81,385.77
INV-60031,1,A-20058,1,430.53,430.53,254.75,175.78
INV-60031,2,A-20090,3,1346.93,4040.79,821.3000000000001,1576.89
INV-60032,1,A-20097,5,322.84,1614.2,246.81,380.15
INV-60032,2,A-20092,1,2327.67,2327.67,1915.78,411.89
INV-60032,3,A-20040,5,282.86,1414.3,210.93,359.65
INV-60032,4,A-20036,5,3711.52,18557.6,2945.65,3829.35
INV-60032,5,A-20073,2,737.34,1474.68,496.53000000000003,481.62
INV-60033,1,A-20034,1,140.27,140.27,111.33,28.94
INV-60033,2,A-20073,5,737.34,3686.7,496.53000000000003,1204.05
INV-60034,1,A-20033,1,439.23,439.23,328.62,110.61
INV-60034,2,A-20077,5,1062.94,5314.7,869.98,964.8
INV-60034,3,A-20090,1,1104.48,1104.48,821.3000000000001,283.18
INV-60034,4,A-20061,1,217.33,217.33,175.52,41.81
INV-60035,1,A-20022,2,225.34,450.68,155.41,139.86
INV-60035,2,A-20097,2,417.11,834.22,246.81,340.6
INV-60035,3,A-20034,5,155.86,779.3,111.33,222.65
INV-60036,2,A-20038,3,2771.37,8314.11,1997.97,2320.2
INV-60036,3,A-20002,2,2440.01,4880.02,1931.15,1017.72
