invoice_number,customer_id,so_number,shipment_id,customer_po_number,invoice_date,due_date,payment_terms,merchandise_total,freight,sales_tax,invoice_total,amount_paid,balance,status,delivery_method,gl_revenue_account
INV-60001,NIC-CUST0013,SO-26001,SH-50001,PUR-865992,2025-09-03,2025-10-03,Net 30,25311.85,0.0,0.0,25311.85,25311.85,0.0,Paid,Portal upload,4000
INV-60002,NIC-CUST0001,SO-26002,SH-50002,4500163417,2025-07-04,2025-08-03,Net 30,4623.18,0.0,335.18,4958.36,4958.36,0.0,Paid,Email PDF,4000
INV-60003,NIC-CUST0001,SO-26003,SH-50003,P960254,2025-08-20,2025-09-19,Net 30,5439.75,0.0,394.38,5834.13,5834.13,0.0,Paid,Mail,4000
INV-60004,NIC-CUST0011,SO-26004,SH-50004,PUR-500260,2025-08-28,2025-09-27,2% 10 Net 30,5948.04,171.83,0.0,6119.87,6119.87,0.0,Paid,Email PDF,4000
INV-60005,NIC-CUST0034,SO-26005,SH-50005,P177208,2025-06-03,2025-07-18,Net 45,1126.2,126.98,81.65,1334.83,1334.83,0.0,Paid,Portal upload,4000
INV-60006,NIC-CUST0010,SO-26006,SH-50006,PUR-792542,2025-12-21,2025-12-21,COD,10828.65,360.78,0.0,11189.43,11189.43,0.0,Paid,Mail,4000
INV-60007,NIC-CUST0015,SO-26008,SH-50007,PO753237,2025-10-18,2025-12-17,Net 60,1808.38,0.0,0.0,1808.38,1808.38,0.0,Paid,Email PDF,4000
INV-60008,NIC-CUST0031,SO-26009,SH-50008,PUR-172077,2025-10-05,2025-11-04,2% 10 Net 30,11232.96,214.21,0.0,11447.17,11447.17,0.0,Paid,EDI 810,4000
INV-60009,NIC-CUST0039,SO-26010,SH-50009,PO596940,2025-12-30,2026-01-29,Net 30,4736.33,0.0,0.0,4736.33,4736.33,0.0,Paid,Email PDF,4000
INV-60010,NIC-CUST0009,SO-26011,SH-50010,PO481878,2025-08-08,2025-09-22,Net 45,30088.16,0.0,0.0,30088.16,30088.16,0.0,Paid,Email PDF,4000
INV-60011,NIC-CUST0003,SO-26012,SH-50011,P592293,2025-07-23,2025-08-22,Net 30,9715.13,295.42,704.35,10714.9,10714.9,0.0,Paid,Email PDF,4000
INV-60012,NIC-CUST0021,SO-26013,SH-50012,P495595,2025-09-22,2025-10-22,Net 30,885.78,0.0,64.22,950.0,950.0,0.0,Paid,Portal upload,4000
INV-60013,NIC-CUST0040,SO-26014,SH-50013,PO217589,2025-05-26,2025-06-25,Net 30,3177.41,0.0,0.0,3177.41,3177.41,0.0,Paid,EDI 810,4000
INV-60014,NIC-CUST0010,SO-26015,SH-50014,PO804847,2025-08-10,2025-08-10,COD,588.52,0.0,0.0,588.52,588.52,0.0,Paid,Email PDF,4000
INV-60015,NIC-CUST0039,SO-26016,SH-50015,4500178650,2025-06-24,2025-07-24,Net 30,5271.51,0.0,0.0,5271.51,5271.51,0.0,Paid,Portal upload,4000
INV-60016,NIC-CUST0017,SO-26017,SH-50016,PUR-626421,2025-12-30,2026-01-29,Net 30,3855.53,231.22,0.0,4086.75,4086.75,0.0,Paid,Email PDF,4000
INV-60017,NIC-CUST0006,SO-26018,SH-50017,4500737202,2025-08-29,2025-10-13,Net 45,49415.85,0.0,3582.65,52998.5,52998.5,0.0,Paid,Email PDF,4000
INV-60018,NIC-CUST0026,SO-26019,SH-50018,PO269328,2025-07-13,2025-09-11,Net 60,4698.17,0.0,0.0,4698.17,4698.17,0.0,Paid,Mail,4000
INV-60019,NIC-CUST0001,SO-26020,SH-50019,PUR-512932,2025-07-31,2025-08-30,Net 30,477.08,0.0,34.59,511.67,511.67,0.0,Paid,Email PDF,4000
INV-60020,NIC-CUST0015,SO-26021,SH-50020,4500179165,2025-10-17,2025-12-16,Net 60,18817.04,257.24,0.0,19074.28,18971.05,103.23,Short Paid,EDI 810,4000
INV-60021,NIC-CUST0022,SO-26022,SH-50021,PO398069,2025-11-24,2025-12-24,Net 30,11620.81,250.46,842.51,12713.78,12713.78,0.0,Paid,Mail,4000
INV-60022,NIC-CUST0040,SO-26023,SH-50022,P204296,2025-07-31,2025-08-30,Net 30,6671.07,480.75,0.0,7151.82,7151.82,0.0,Paid,Mail,4000
INV-60023,NIC-CUST0022,SO-26024,SH-50023,4500292391,2025-06-19,2025-07-19,Net 30,8521.64,0.0,617.82,9139.46,9139.46,0.0,Paid,Mail,4000
INV-60024,NIC-CUST0001,SO-26025,SH-50024,4500490461,2026-01-29,2026-02-28,Net 30,13542.21,0.0,981.81,14524.02,14524.02,0.0,Paid,Email PDF,4000
INV-60025,NIC-CUST0011,SO-26027,SH-50025,PO391629,2026-02-09,2026-03-11,2% 10 Net 30,2594.03,0.0,0.0,2594.03,2594.03,0.0,Paid,EDI 810,4000
INV-60026,NIC-CUST0026,SO-26029,SH-50026,P568610,2026-03-25,2026-05-24,Net 60,7211.0,0.0,0.0,7211.0,0.0,7211.0,Open,EDI 810,4000
INV-60027,NIC-CUST0008,SO-26030,SH-50027,PO354799,2026-03-26,2026-04-25,2% 10 Net 30,9428.21,0.0,0.0,9428.21,0.0,9428.21,Open,Mail,4000
INV-60028,NIC-CUST0040,SO-26031,SH-50028,4500234897,2025-12-10,2026-01-09,Net 30,13345.5,238.91,0.0,13584.41,13584.41,0.0,Paid,Email PDF,4000
INV-60029,NIC-CUST0024,SO-26032,SH-50029,P731566,2026-01-04,2026-02-03,Net 30,17900.3,464.09,0.0,18364.39,18364.39,0.0,Paid,Mail,4000
INV-60030,NIC-CUST0017,SO-26033,SH-50030,P778508,2025-09-21,2025-10-21,Net 30,7516.76,175.11,0.0,7691.87,7691.87,0.0,Paid,EDI 810,4000
INV-60031,NIC-CUST0033,SO-26034,SH-50031,P432085,2025-10-08,2025-11-07,Net 30,4471.32,0.0,0.0,4471.32,4471.32,0.0,Paid,Email PDF,4000
INV-60032,NIC-CUST0030,SO-26035,SH-50032,4500167838,2025-07-02,2025-08-16,Net 45,25388.45,0.0,0.0,25388.45,25388.45,0.0,Paid,Portal upload,4000
INV-60033,NIC-CUST0031,SO-26036,SH-50033,PO398887,2025-05-13,2025-06-12,2% 10 Net 30,3826.97,0.0,0.0,3826.97,3826.97,0.0,Paid,Email PDF,4000
INV-60034,NIC-CUST0009,SO-26037,SH-50034,PUR-647455,2026-02-06,2026-03-23,Net 45,7075.74,0.0,0.0,7075.74,0.0,7075.74,Past Due,Mail,4000
INV-60035,NIC-CUST0033,SO-26038,SH-50035,PO502945,2025-09-15,2025-10-15,Net 30,2064.2,370.03,0.0,2434.23,2434.23,0.0,Paid,Mail,4000
INV-60036,NIC-CUST0029,SO-26039,SH-50036,PUR-505037,2025-12-31,2026-01-30,Net 30,13194.13,0.0,0.0,13194.13,13194.13,0.0,Paid,Portal upload,4000
INV-60037,NIC-CUST0013,SO-26040,SH-50037,4500933901,2025-05-25,2025-06-24,Net 30,588.52,34.97,0.0,623.49,623.49,0.0,Paid,Email PDF,4000
INV-60038,NIC-CUST0023,SO-26041,SH-50038,P667013,2025-12-28,2026-01-27,2% 10 Net 30,13936.17,0.0,0.0,13936.17,13936.17,0.0,Paid,Email PDF,4000
INV-60039,NIC-CUST0018,SO-26042,SH-50039,PUR-578547,2026-01-06,2026-02-20,Net 45,4822.58,0.0,0.0,4822.58,4822.58,0.0,Paid,Email PDF,4000
INV-60040,NIC-CUST0020,SO-26043,SH-50040,P683241,2026-03-25,2026-04-24,Net 30,3428.23,136.13,248.55,3812.91,0.0,3812.91,Open,Portal upload,4000
INV-60041,NIC-CUST0006,SO-26044,SH-50041,4500927151,2025-11-09,2025-12-24,Net 45,10945.76,174.35,793.57,11913.68,11913.68,0.0,Paid,Email PDF,4000
INV-60042,NIC-CUST0019,SO-26045,SH-50042,PUR-424240,2026-02-20,2026-02-20,COD,5587.73,0.0,0.0,5587.73,0.0,5587.73,Past Due,EDI 810,4000
INV-60043,NIC-CUST0024,SO-26046,SH-50043,4500273298,2025-07-01,2025-07-31,Net 30,22524.57,0.0,0.0,22524.57,22524.57,0.0,Paid,EDI 810,4000
INV-60044,NIC-CUST0034,SO-26047,SH-50044,PO632590,2025-06-20,2025-08-04,Net 45,18657.25,381.29,1352.65,20391.19,20391.19,0.0,Paid,Email PDF,4000
INV-60045,NIC-CUST0018,SO-26049,SH-50045,4500242513,2025-06-18,2025-08-02,Net 45,1352.51,65.71,0.0,1418.22,1418.22,0.0,Paid,Mail,4000
INV-60046,NIC-CUST0020,SO-26050,SH-50046,P307946,2025-05-28,2025-06-27,Net 30,1371.74,222.17,99.45,1693.36,1693.36,0.0,Paid,Email PDF,4000
INV-60047,NIC-CUST0025,SO-26051,SH-50047,PUR-309771,2025-05-28,2025-07-27,Net 60,15756.07,0.0,0.0,15756.07,15756.07,0.0,Paid,Email PDF,4000
INV-60048,NIC-CUST0019,SO-26052,SH-50048,PUR-828456,2025-05-12,2025-05-12,COD,5262.47,254.61,0.0,5517.08,5517.08,0.0,Paid,Mail,4000
INV-60049,NIC-CUST0004,SO-26053,SH-50049,4500330839,2026-03-06,2026-05-05,Net 60,1064.25,0.0,0.0,1064.25,0.0,1064.25,Open,Email PDF,4000
INV-60050,NIC-CUST0010,SO-26054,SH-50050,PUR-494909,2026-01-11,2026-01-11,COD,1429.0,19.2,0.0,1448.2,1448.2,0.0,Paid,Mail,4000
INV-60051,NIC-CUST0007,SO-26055,SH-50051,PUR-518723,2026-03-17,2026-05-01,Net 45,9207.4,0.0,667.54,9874.94,0.0,9874.94,Open,Email PDF,4000
INV-60052,NIC-CUST0035,SO-26056,SH-50052,P875914,2025-12-17,2026-01-16,Net 30,18744.95,0.0,0.0,18744.95,18744.95,0.0,Paid,Portal upload,4000
INV-60053,NIC-CUST0004,SO-26057,SH-50053,PO253685,2025-05-03,2025-07-02,Net 60,1126.2,101.59,0.0,1227.79,1227.79,0.0,Paid,Email PDF,4000
INV-60054,NIC-CUST0030,SO-26058,SH-50054,P988735,2025-09-30,2025-11-14,Net 45,16458.48,0.0,0.0,16458.48,16458.48,0.0,Paid,Mail,4000
INV-60055,NIC-CUST0026,SO-26059,SH-50055,P241940,2025-07-25,2025-09-23,Net 60,8000.66,0.0,0.0,8000.66,8000.66,0.0,Paid,EDI 810,4000
