payment_id,customer_id,payment_date,method,reference,amount,applied_to_invoice,unapplied,remittance_source
NIC-CR00001,NIC-CUST0013,2025-10-28,Wire,501228,25311.85,INV-60001,0.0,Lockbox
NIC-CR00002,NIC-CUST0001,2025-08-19,Check,815546,4958.36,INV-60002,0.0,Bank feed
NIC-CR00003,NIC-CUST0001,2025-10-04,ACH,510146,5834.13,INV-60003,0.0,Email remittance
NIC-CR00004,NIC-CUST0011,2025-09-20,ACH,358749,6119.87,INV-60004,0.0,Lockbox
NIC-CR00005,NIC-CUST0034,2025-07-28,Wire,294321,1334.83,INV-60005,0.0,Lockbox
NIC-CR00006,NIC-CUST0010,2025-12-13,Check,955138,11189.43,INV-60006,0.0,Email remittance
NIC-CR00007,NIC-CUST0015,2025-12-12,Wire,688068,1808.38,INV-60007,0.0,Email remittance
NIC-CR00008,NIC-CUST0031,2025-11-22,Wire,720143,11447.17,INV-60008,0.0,Bank feed
NIC-CR00009,NIC-CUST0039,2026-02-16,Card,517408,4736.33,INV-60009,0.0,Email remittance
NIC-CR00010,NIC-CUST0009,2025-09-25,ACH,940152,30088.16,INV-60010,0.0,Bank feed
NIC-CR00011,NIC-CUST0003,2025-08-16,Card,957585,10714.9,INV-60011,0.0,Email remittance
NIC-CR00012,NIC-CUST0021,2025-10-13,Card,674193,950.0,INV-60012,0.0,Email remittance
NIC-CR00013,NIC-CUST0040,2025-07-15,Wire,661259,3177.41,INV-60013,0.0,Email remittance
NIC-CR00014,NIC-CUST0010,2025-08-12,Card,786742,588.52,INV-60014,0.0,Lockbox
NIC-CR00015,NIC-CUST0039,2025-07-31,Check,238362,5271.51,INV-60015,0.0,Lockbox
NIC-CR00016,NIC-CUST0017,2026-02-11,Card,900814,4086.75,INV-60016,0.0,Lockbox
NIC-CR00017,NIC-CUST0006,2025-10-15,Wire,395789,52998.5,INV-60017,0.0,Lockbox
NIC-CR00018,NIC-CUST0026,2025-09-23,ACH,659045,4698.17,INV-60018,0.0,Portal
NIC-CR00019,NIC-CUST0001,2025-09-23,Card,275167,511.67,INV-60019,0.0,Lockbox
NIC-CR00020,NIC-CUST0015,2025-12-21,Wire,550756,18971.05,INV-60020,0.0,Email remittance
NIC-CR00021,NIC-CUST0022,2025-12-14,Check,575903,12713.78,INV-60021,0.0,Lockbox
NIC-CR00022,NIC-CUST0040,2025-08-24,ACH,182768,7151.82,INV-60022,0.0,Bank feed
NIC-CR00023,NIC-CUST0022,2025-08-08,ACH,906036,9139.46,INV-60023,0.0,Portal
NIC-CR00024,NIC-CUST0001,2026-03-02,ACH,771040,14524.02,INV-60024,0.0,Email remittance
NIC-CR00025,NIC-CUST0011,2026-03-24,ACH,187068,2594.03,INV-60025,0.0,Portal
NIC-CR00026,NIC-CUST0040,2026-01-13,Check,391366,13584.41,INV-60028,0.0,Email remittance
NIC-CR00027,NIC-CUST0024,2026-02-14,Check,573416,18364.39,INV-60029,0.0,Lockbox
NIC-CR00028,NIC-CUST0017,2025-11-15,ACH,127605,7691.87,INV-60030,0.0,Bank feed
NIC-CR00029,NIC-CUST0033,2025-11-02,Card,325321,4471.32,INV-60031,0.0,Bank feed
NIC-CR00030,NIC-CUST0030,2025-08-16,ACH,246643,25388.45,INV-60032,0.0,Email remittance
NIC-CR00031,NIC-CUST0031,2025-07-07,ACH,890536,3826.97,INV-60033,0.0,Lockbox
NIC-CR00032,NIC-CUST0033,2025-10-25,ACH,156239,2434.23,INV-60035,0.0,Portal
NIC-CR00033,NIC-CUST0029,2026-02-21,ACH,147979,13194.13,INV-60036,0.0,Lockbox
NIC-CR00034,NIC-CUST0013,2025-07-04,Wire,757888,623.49,INV-60037,0.0,Portal
NIC-CR00035,NIC-CUST0023,2026-02-08,Card,583894,13936.17,INV-60038,0.0,Portal
NIC-CR00036,NIC-CUST0018,2026-03-05,Check,520200,4822.58,INV-60039,0.0,Email remittance
NIC-CR00037,NIC-CUST0006,2025-12-26,ACH,567044,11913.68,INV-60041,0.0,Bank feed
NIC-CR00038,NIC-CUST0024,2025-08-25,Card,361217,22524.57,INV-60043,0.0,Bank feed
NIC-CR00039,NIC-CUST0034,2025-08-09,Check,232910,20391.19,INV-60044,0.0,Email remittance
NIC-CR00040,NIC-CUST0018,2025-07-29,Wire,354498,1418.22,INV-60045,0.0,Portal
NIC-CR00041,NIC-CUST0020,2025-06-17,ACH,666338,1693.36,INV-60046,0.0,Portal
NIC-CR00042,NIC-CUST0025,2025-08-08,ACH,112555,15756.07,INV-60047,0.0,Lockbox
NIC-CR00043,NIC-CUST0019,2025-05-20,Card,143026,5517.08,INV-60048,0.0,Bank feed
NIC-CR00044,NIC-CUST0010,2026-01-09,Wire,843680,1448.2,INV-60050,0.0,Email remittance
NIC-CR00045,NIC-CUST0035,2026-02-09,Wire,924639,18744.95,INV-60052,0.0,Portal
NIC-CR00046,NIC-CUST0004,2025-06-23,ACH,238078,1227.79,INV-60053,0.0,Email remittance
NIC-CR00047,NIC-CUST0030,2025-11-07,Wire,818560,16458.48,INV-60054,0.0,Bank feed
NIC-CR00048,NIC-CUST0026,2025-10-11,Check,211213,8000.66,INV-60055,0.0,Bank feed
NIC-CR00049,NIC-CUST0011,2026-01-09,ACH,405896,4280.24,INV-60056,0.0,Email remittance
NIC-CR00050,NIC-CUST0026,2025-07-20,Wire,630048,22017.3,INV-60058,0.0,Email remittance
NIC-CR00051,NIC-CUST0022,2025-09-19,Check,238554,2736.16,INV-60061,0.0,Email remittance
NIC-CR00052,NIC-CUST0011,2025-09-09,Card,727708,10211.64,INV-60062,0.0,Bank feed
NIC-CR00053,NIC-CUST0002,2025-11-19,Card,211556,10074.02,INV-60063,0.0,Lockbox
NIC-CR00054,NIC-CUST0005,2026-03-23,ACH,496002,9388.93,INV-60064,0.0,Lockbox
NIC-CR00055,NIC-CUST0008,2025-11-14,ACH,605951,5463.99,INV-60065,0.0,Bank feed
NIC-CR00056,NIC-CUST0030,2026-01-18,Check,571348,5099.2,INV-60066,0.0,Lockbox
NIC-CR00057,NIC-CUST0001,2026-01-02,ACH,290793,652.54,INV-60067,0.0,Email remittance
NIC-CR00058,NIC-CUST0031,2026-02-27,ACH,936371,12645.98,INV-60068,0.0,Email remittance
