dispute_id,invoice_number,customer_id,opened_date,amount,reason_code,owner_id,status
NIC-DSP001,INV-60020,NIC-CUST0015,2025-12-21,103.23,Pricing,E002,Collected
NIC-DSP002,INV-60065,NIC-CUST0008,2025-11-14,80.89,Tax charged,E002,Open
NIC-DSP003,INV-60070,NIC-CUST0030,2025-07-08,80.53,Freight,E002,Open
NIC-DSP004,INV-60147,NIC-CUST0001,2025-12-08,263.74,Tax charged,E002,Open
NIC-DSP005,INV-60171,NIC-CUST0009,2025-12-19,131.51,Freight,E002,Open
NIC-DSP006,INV-60182,NIC-CUST0030,2026-01-12,176.33,Tax charged,E002,Credit issued
NIC-DSP007,INV-60187,NIC-CUST0019,2025-08-14,21.42,Damaged,E002,Collected
NIC-DSP008,INV-60217,NIC-CUST0031,2026-02-03,381.41,Pricing,E002,Collected
NIC-DSP009,INV-60221,NIC-CUST0039,2026-01-11,58.78,Unknown deduction,E002,Collected
NIC-DSP010,INV-60237,NIC-CUST0010,2025-09-12,124.2,Unknown deduction,E002,Credit issued
NIC-DSP011,INV-60257,NIC-CUST0040,2025-11-29,46.42,Freight,E002,Open
NIC-DSP012,INV-60260,NIC-CUST0006,2025-07-23,129.07,Unknown deduction,E002,Credit issued
NIC-DSP013,INV-60263,NIC-CUST0023,2025-11-27,88.23,Freight,E002,Open
NIC-DSP014,INV-60268,NIC-CUST0031,2025-10-10,310.23,Tax charged,E002,Credit issued
NIC-DSP015,INV-60284,NIC-CUST0004,2025-09-11,171.62,Damaged,E002,Open
NIC-DSP016,INV-60334,NIC-CUST0029,2025-11-15,210.6,Short shipment,E002,Open
NIC-DSP017,INV-60343,NIC-CUST0022,2026-03-15,243.8,Pricing,E002,Credit issued
NIC-DSP018,INV-60375,NIC-CUST0011,2025-11-25,150.04,Unknown deduction,E002,Credit issued
NIC-DSP019,INV-60391,NIC-CUST0017,2025-10-30,385.21,Freight,E002,Open
