item_id,revision,eco_number,effective_date,drawing_number,drawing_file,cad_model,status
A-20063,A,ECO-2501,2026-03-23,D-A-20063-A,D-A-20063-A.pdf,A-20063.SLDPRT,Current
A-20077,A,ECO-2502,2026-02-21,D-A-20077-A,D-A-20077-A.pdf,A-20077.SLDPRT,Current
A-20043,C,ECO-2503,2025-06-02,D-A-20043-C,D-A-20043-C.pdf,A-20043.SLDPRT,Current
A-20114,C,ECO-2504,2025-02-19,D-A-20114-C,D-A-20114-C.pdf,A-20114.SLDPRT,Current
A-20078,B,ECO-2505,2025-03-25,D-A-20078-B,D-A-20078-B.pdf,A-20078.SLDPRT,Current
A-20065,A,ECO-2506,2025-07-28,D-A-20065-A,D-A-20065-A.pdf,A-20065.SLDPRT,Current
A-20092,A,ECO-2507,2025-09-15,D-A-20092-A,D-A-20092-A.pdf,A-20092.SLDPRT,Current
A-20101,A,ECO-2508,2025-10-08,D-A-20101-A,D-A-20101-A.pdf,A-20101.SLDPRT,Current
A-20058,C,ECO-2509,2026-02-04,D-A-20058-C,D-A-20058-C.pdf,A-20058.SLDPRT,Current
A-20034,B,ECO-2510,2026-03-15,D-A-20034-B,D-A-20034-B.pdf,A-20034.SLDPRT,Current
A-20036,A,ECO-2511,2025-04-19,D-A-20036-A,D-A-20036-A.pdf,A-20036.SLDPRT,Current
A-20061,C,ECO-2512,2025-12-10,D-A-20061-C,D-A-20061-C.pdf,A-20061.SLDPRT,Current
A-20025,C,ECO-2513,2025-09-24,D-A-20025-C,D-A-20025-C.pdf,A-20025.SLDPRT,Current
A-20087,A,ECO-2514,2025-06-27,D-A-20087-A,D-A-20087-A.pdf,A-20087.SLDPRT,Current
