item_id,hts_code,country_of_origin,duty_rate_pct,section_301_applicable,eccn,usmca_qualified,classified_by,classification_date
P-10000,7318.15.2095,IN,0,N,EAR99,N,E063,2024-04-15
P-10007,8482.10.5068,DE,0,N,EAR99,N,E060,2024-07-27
P-10021,7318.15.2095,CN,9.0,Y,EAR99,N,E061,2024-12-14
P-10028,8482.10.5068,CN,5.7,Y,EAR99,N,E062,2024-06-17
P-10035,8482.10.5068,MX,9.0,N,EAR99,Y,E061,2025-01-27
P-10042,7318.15.2095,IN,9.0,N,EAR99,N,E063,2025-01-09
P-10049,7318.15.2095,MX,2.5,N,EAR99,N,E063,2024-04-26
P-10063,8482.10.5068,MX,2.5,N,EAR99,N,E063,2025-03-30
P-10070,8483.30.8090,DE,0,N,EAR99,N,E060,2025-12-14
P-10091,8483.30.8090,MX,0,N,EAR99,Y,E062,2025-07-12
P-20000,8482.10.5068,TW,9.0,N,EAR99,N,E062,2025-09-09
P-20001,8483.60.8000,DE,0,N,EAR99,N,E062,2024-02-13
P-20005,7318.15.2095,MX,2.5,N,EAR99,Y,E061,2024-08-05
P-20006,8483.30.8090,MX,9.0,N,EAR99,N,E060,2024-10-13
P-20008,8483.40.5010,IT,5.7,N,EAR99,N,E061,2024-12-08
P-20009,8483.30.8090,MX,0,N,EAR99,Y,E061,2025-04-29
P-20011,8483.30.8090,DE,9.0,N,EAR99,N,E063,2024-01-23
P-20015,8483.40.5010,DE,5.7,N,EAR99,N,E060,2025-03-03
P-20017,8483.60.8000,CN,5.7,Y,EAR99,N,E063,2024-11-04
P-20018,8482.10.5068,MX,0,N,EAR99,N,E061,2025-01-15
P-20019,8483.40.5010,MX,2.5,N,EAR99,Y,E062,2025-06-28
P-20023,8483.60.8000,TW,5.7,N,EAR99,N,E063,2024-11-18
P-20024,8482.10.5068,DE,5.7,N,EAR99,N,E062,2025-11-15
P-20026,8483.40.5010,MX,9.0,N,EAR99,N,E063,2025-01-30
P-20027,8483.40.5010,TW,2.5,N,EAR99,N,E063,2024-11-27
P-20029,7318.15.2095,TW,9.0,N,EAR99,N,E063,2025-08-03
P-20035,8483.30.8090,TW,5.7,N,EAR99,N,E063,2024-07-03
P-20037,8482.10.5068,DE,5.7,N,EAR99,N,E063,2024-04-16
P-20041,8483.40.5010,MX,2.5,N,EAR99,N,E061,2026-01-05
P-20042,8483.40.5010,IT,2.5,N,EAR99,N,E060,2025-08-12
P-20044,8482.10.5068,IT,5.7,N,EAR99,N,E060,2026-01-23
P-20045,8483.30.8090,CN,0,Y,EAR99,N,E063,2024-12-07
P-20046,8483.30.8090,IT,0,N,EAR99,N,E063,2025-06-01
P-20047,8482.10.5068,MX,5.7,N,EAR99,N,E063,2025-05-04
P-20049,8483.60.8000,IT,2.5,N,EAR99,N,E063,2025-02-18
P-20051,8483.30.8090,DE,5.7,N,EAR99,N,E060,2025-05-08
P-20052,8482.10.5068,TW,0,N,EAR99,N,E060,2024-10-09
P-20054,8482.10.5068,CN,2.5,Y,EAR99,N,E060,2024-01-06
P-20055,7318.15.2095,CN,0,Y,EAR99,N,E060,2026-02-20
P-20056,7318.15.2095,MX,2.5,N,EAR99,N,E062,2024-02-01
