ap_invoice_id,vendor_id,vendor_name,invoice_number,invoice_date,due_date,amount,gl_account,category,status,approved_by
NIC-AP00001,NIC-CV001,Iron Mountain Inc.,4233323,2025-04-23,2025-05-20,4185.71,6700,Records Storage / Shredding,Paid,E002
NIC-AP00002,NIC-CV001,Iron Mountain Inc.,9377877,2025-05-11,2025-06-12,193.94,6700,Records Storage / Shredding,Paid,E002
NIC-AP00003,NIC-CV001,Iron Mountain Inc.,6034549,2025-06-30,2025-07-14,1541.24,6700,Records Storage / Shredding,Paid,E002
NIC-AP00004,NIC-CV001,Iron Mountain Inc.,3970407,2025-07-23,2025-08-18,2791.56,6700,Records Storage / Shredding,Paid,E002
NIC-AP00005,NIC-CV001,Iron Mountain Inc.,4065643,2025-08-15,2025-09-26,3916.81,6700,Records Storage / Shredding,Paid,E002
NIC-AP00006,NIC-CV001,Iron Mountain Inc.,4391369,2025-09-13,2025-10-27,1087.46,6700,Records Storage / Shredding,Paid,E002
NIC-AP00007,NIC-CV001,Iron Mountain Inc.,110699,2025-10-15,2025-11-19,3512.69,6700,Records Storage / Shredding,Paid,E002
NIC-AP00008,NIC-CV001,Iron Mountain Inc.,1338887,2025-11-15,2025-12-26,570.74,6700,Records Storage / Shredding,Paid,E002
NIC-AP00009,NIC-CV001,Iron Mountain Inc.,2876768,2025-12-15,2026-01-28,1339.62,6700,Records Storage / Shredding,Paid,E002
NIC-AP00010,NIC-CV001,Iron Mountain Inc.,7381908,2026-01-14,2026-02-24,2297.62,6700,Records Storage / Shredding,Paid,E002
NIC-AP00011,NIC-CV001,Iron Mountain Inc.,7508265,2026-03-23,2026-04-11,3119.2,6700,Records Storage / Shredding,Open,E002
NIC-AP00012,NIC-CV002,"W.W. Grainger, Inc.",8676798,2025-05-18,2025-06-23,1860.15,6700,MRO Supplies,Paid,E002
NIC-AP00013,NIC-CV002,"W.W. Grainger, Inc.",8758602,2025-08-31,2025-09-26,1337.25,6700,MRO Supplies,Paid,E002
NIC-AP00014,NIC-CV002,"W.W. Grainger, Inc.",1783600,2025-09-19,2025-10-17,1459.08,6700,MRO Supplies,Paid,E002
NIC-AP00015,NIC-CV002,"W.W. Grainger, Inc.",2424330,2025-10-27,2025-11-14,1982.05,6700,MRO Supplies,Paid,E002
NIC-AP00016,NIC-CV002,"W.W. Grainger, Inc.",3221086,2025-11-16,2025-12-25,1791.61,6700,MRO Supplies,Paid,E002
NIC-AP00017,NIC-CV002,"W.W. Grainger, Inc.",2953131,2025-12-11,2026-01-13,698.35,6700,MRO Supplies,Paid,E002
NIC-AP00018,NIC-CV002,"W.W. Grainger, Inc.",4805653,2026-01-11,2026-02-12,2841.18,6700,MRO Supplies,Paid,E002
NIC-AP00019,NIC-CV002,"W.W. Grainger, Inc.",5291576,2026-02-28,2026-03-22,1514.11,6700,MRO Supplies,Paid,E002
NIC-AP00020,NIC-CV002,"W.W. Grainger, Inc.",9492118,2026-03-23,2026-04-25,3681.34,6700,MRO Supplies,Open,E002
NIC-AP00021,NIC-CV003,Cintas Corporation,5640827,2025-04-10,2025-05-29,249.52,6700,Uniforms / Facility Services,Paid,E002
NIC-AP00022,NIC-CV003,Cintas Corporation,145820,2025-05-25,2025-06-12,2802.47,6700,Uniforms / Facility Services,Paid,E002
NIC-AP00023,NIC-CV003,Cintas Corporation,6599345,2025-06-19,2025-07-30,1189.1,6700,Uniforms / Facility Services,Paid,E002
NIC-AP00024,NIC-CV003,Cintas Corporation,187876,2025-07-14,2025-08-11,2893.24,6700,Uniforms / Facility Services,Paid,E002
NIC-AP00025,NIC-CV003,Cintas Corporation,6768663,2025-08-23,2025-09-13,1776.86,6700,Uniforms / Facility Services,Paid,E002
NIC-AP00026,NIC-CV003,Cintas Corporation,9070575,2025-09-17,2025-10-14,2062.84,6700,Uniforms / Facility Services,Paid,E002
NIC-AP00027,NIC-CV003,Cintas Corporation,9578471,2025-10-26,2025-11-16,1950.08,6700,Uniforms / Facility Services,Paid,E002
NIC-AP00028,NIC-CV003,Cintas Corporation,3460155,2025-11-18,2025-12-28,329.78,6700,Uniforms / Facility Services,Paid,E002
NIC-AP00029,NIC-CV003,Cintas Corporation,9629808,2025-12-21,2026-01-14,3204.26,6700,Uniforms / Facility Services,Paid,E002
NIC-AP00030,NIC-CV003,Cintas Corporation,5110872,2026-01-27,2026-02-27,1267.73,6700,Uniforms / Facility Services,Paid,E002
NIC-AP00031,NIC-CV003,Cintas Corporation,6666221,2026-02-20,2026-03-19,1227.67,6700,Uniforms / Facility Services,Paid,E002
NIC-AP00032,NIC-CV003,Cintas Corporation,4388785,2026-03-13,2026-04-29,801.87,6700,Uniforms / Facility Services,Open,E002
NIC-AP00033,NIC-CV004,Waste Management of Illinois,509166,2025-05-18,2025-06-19,3860.27,6300,Waste / Recycling,Paid,E002
NIC-AP00034,NIC-CV004,Waste Management of Illinois,663397,2025-08-27,2025-09-29,2893.28,6300,Waste / Recycling,Paid,E002
NIC-AP00035,NIC-CV004,Waste Management of Illinois,1884654,2025-09-25,2025-10-22,4109.77,6300,Waste / Recycling,Paid,E002
NIC-AP00036,NIC-CV004,Waste Management of Illinois,507500,2025-10-16,2025-11-14,2727.98,6300,Waste / Recycling,Paid,E002
NIC-AP00037,NIC-CV004,Waste Management of Illinois,9111788,2025-11-15,2025-12-10,3463.33,6300,Waste / Recycling,Paid,E002
NIC-AP00038,NIC-CV004,Waste Management of Illinois,8763924,2025-12-15,2026-01-15,868.98,6300,Waste / Recycling,Paid,E002
NIC-AP00039,NIC-CV004,Waste Management of Illinois,5923763,2026-01-24,2026-02-19,3252.41,6300,Waste / Recycling,Paid,E002
NIC-AP00040,NIC-CV004,Waste Management of Illinois,9964068,2026-02-08,2026-03-22,1447.58,6300,Waste / Recycling,Paid,E002
NIC-AP00041,NIC-CV005,UPS,564652,2025-05-12,2025-06-28,56.94,5300,Parcel Freight,Paid,E002
NIC-AP00042,NIC-CV005,UPS,3681571,2025-06-14,2025-07-25,65.34,5300,Parcel Freight,Paid,E002
