date,description,debit,credit,balance
2025-04-30,ADP PAYROLL,443731.78,,1334253.64
2025-05-05,Wire DEPOSIT 786255,,3740.33,853740.33
2025-05-06,Wire DEPOSIT 112733,,14728.12,868468.45
2025-05-16,Check DEPOSIT 497335,,9524.52,877992.97
2025-05-19,Check DEPOSIT 168175,,19334.73,897327.7
2025-05-20,Card DEPOSIT 143026,,5517.08,902844.78
2025-05-23,"Card EFT W.W. GRAINGER, INC.",6941.19,,4069958.93
2025-05-25,ACH EFT CINTAS CORPORATION,4964.4,,4064994.53
2025-05-26,ACH DEPOSIT 380303,,2837.03,905681.81
2025-05-30,ACH DEPOSIT 464331,,15215.3,920897.11
2025-05-30,"ACH EFT W.W. GRAINGER, INC.",18945.62,,4046048.91
2025-05-31,ADP PAYROLL,446917.72,,887335.92
2025-06-01,ACH EFT CINTAS CORPORATION,3156.83,,4042892.08
2025-06-01,Card EFT GARLOCK SEALING TECHNO,18357.12,,4024534.96
2025-06-02,Check DEPOSIT 948714,,2613.55,923510.66
2025-06-03,Check DEPOSIT 958071,,1960.41,925471.07
2025-06-05,Card DEPOSIT 960768,,8478.29,933949.36
2025-06-05,ACH DEPOSIT 617129,,737.34,934686.7
2025-06-05,ACH DEPOSIT 467472,,12713.72,947400.42
2025-06-06,ACH DEPOSIT 453886,,6916.18,954316.6
2025-06-06,ACH 16239 MSC INDUSTRIAL SUPPLY,1030.64,,4023504.32
2025-06-07,"Check 27114 W.W. GRAINGER, INC.",17740.6,,4005763.72
2025-06-07,Card 27676 GARLOCK SEALING TECHNO,627.35,,4005136.37
2025-06-07,Check 25376 APEX FASTENER CORP,2592.46,,4002543.91
2025-06-07,Card EFT RYERSON,109.2,,4002434.71
2025-06-08,ACH DEPOSIT 347500,,520.58,954837.18
2025-06-09,Card 25172 ULINE,680.91,,4001753.8
2025-06-10,ACH 11855 APEX FASTENER CORP,4321.17,,3997432.63
2025-06-12,Card 14614 APEX FASTENER CORP,2989.11,,3994443.52
2025-06-14,ACH DEPOSIT 190635,,21056.32,975893.5
2025-06-14,Check EFT MCMASTER-CARR,5014.9,,3989428.62
2025-06-16,Check DEPOSIT 511751,,18611.28,994504.78
2025-06-16,Check DEPOSIT 596666,,2258.93,996763.71
2025-06-17,ACH DEPOSIT 666338,,1693.36,998457.07
2025-06-18,ACH DEPOSIT 463528,,2979.97,1001437.04
2025-06-18,ACH DEPOSIT 106823,,20061.21,1021498.25
2025-06-20,Check EFT BRIGHTON-BEST INTERNAT,8428.0,,3981000.62
2025-06-21,Wire DEPOSIT 228228,,16334.62,1037832.87
2025-06-21,Check DEPOSIT 421773,,7514.24,1045347.11
2025-06-21,Check EFT RYERSON,562.06,,3980438.56
2025-06-21,ACH 12834 MCMASTER-CARR,3827.2,,3976611.36
2025-06-22,ACH DEPOSIT 129616,,41761.48,1087108.59
2025-06-23,ACH DEPOSIT 238078,,1227.79,1088336.38
2025-06-23,ACH DEPOSIT 505642,,1070.66,1089407.04
2025-06-23,ACH EFT ULINE,127.05,,3976484.31
2025-06-24,Wire DEPOSIT 951891,,3404.27,1092811.31
