period,account_number,account_name,budget,actual,variance
2026-01,6000,Salaries & Wages,385700,428127.0,42427.0
2026-01,6100,Payroll Taxes,248600,261030.0,12430.0
2026-01,6200,Employee Benefits,399600,411588.0,11988.0
2026-01,6300,Rent,85500,80370.0,-5130.0
2026-01,6400,Software Subscriptions,333300,296637.0,-36663.0
2026-01,6500,Professional Fees,221300,254495.0,33195.0
2026-01,6600,Insurance Expense,302700,287565.0,-15135.0
2026-01,6700,Office & Supplies,152700,172551.0,19851.0
2026-01,6800,Travel & Entertainment,338700,298056.0,-40644.0
2026-01,6900,Depreciation Expense,382100,439415.0,57315.0
2026-01,4000,Product Sales - Manufactured,375900,345828.0,-30072.0
2026-01,4010,Product Sales - Distributed,99300,102279.0,2979.0
2026-01,4100,Freight Revenue,111200,92296.0,-18904.0
2026-01,4900,Sales Returns & Allowances,77400,82044.0,4644.0
2026-01,5000,COGS - Materials,182700,173565.0,-9135.0
2026-01,5100,COGS - Direct Labor,390000,425100.0,35100.0
2026-01,5200,COGS - Overhead,243300,218970.0,-24330.0
2026-01,5300,Freight In,361200,386484.0,25284.0
2026-01,5400,Inventory Adjustments / Scrap,40400,44440.0,4040.0
2026-01,5500,Purchase Price Variance,30100,29799.0,-301.0
2026-02,6000,Salaries & Wages,325800,325800.0,0.0
2026-02,6100,Payroll Taxes,346900,381590.0,34690.0
2026-02,6200,Employee Benefits,385700,347130.0,-38570.0
2026-02,6300,Rent,333500,310155.0,-23345.0
2026-02,6400,Software Subscriptions,53500,46010.0,-7490.0
2026-02,6500,Professional Fees,208600,196084.0,-12516.0
2026-02,6600,Insurance Expense,68000,63920.0,-4080.0
2026-02,6700,Office & Supplies,181900,180081.0,-1819.0
2026-02,6800,Travel & Entertainment,8000,7360.0,-640.0
2026-02,6900,Depreciation Expense,82000,70520.0,-11480.0
2026-02,4000,Product Sales - Manufactured,66800,59452.0,-7348.0
2026-02,4010,Product Sales - Distributed,307600,313752.0,6152.0
2026-02,4100,Freight Revenue,32600,28036.0,-4564.0
2026-02,4900,Sales Returns & Allowances,162200,155712.0,-6488.0
2026-02,5000,COGS - Materials,290100,266892.0,-23208.0
2026-02,5100,COGS - Direct Labor,68300,68300.0,0.0
2026-02,5200,COGS - Overhead,299800,317788.0,17988.0
2026-02,5300,Freight In,228800,196768.0,-32032.0
2026-02,5400,Inventory Adjustments / Scrap,341700,362202.0,20502.0
2026-02,5500,Purchase Price Variance,100400,102408.0,2008.0
2026-03,6000,Salaries & Wages,264000,298320.0,34320.0
2026-03,6100,Payroll Taxes,5800,6496.0,696.0
2026-03,6200,Employee Benefits,129100,136846.0,7746.0
2026-03,6300,Rent,278900,287267.0,8367.0
2026-03,6400,Software Subscriptions,390900,379173.0,-11727.0
2026-03,6500,Professional Fees,340100,350303.0,10203.0
2026-03,6600,Insurance Expense,244200,222222.0,-21978.0
2026-03,6700,Office & Supplies,359000,376950.0,17950.0
2026-03,6800,Travel & Entertainment,58600,61530.0,2930.0
2026-03,6900,Depreciation Expense,132800,155376.0,22576.0
2026-03,4000,Product Sales - Manufactured,99000,98010.0,-990.0
2026-03,4010,Product Sales - Distributed,194600,163464.0,-31136.0
2026-03,4100,Freight Revenue,372500,350150.0,-22350.0
2026-03,4900,Sales Returns & Allowances,122400,108936.0,-13464.0
2026-03,5000,COGS - Materials,266000,258020.0,-7980.0
2026-03,5100,COGS - Direct Labor,338300,307853.0,-30447.0
2026-03,5200,COGS - Overhead,268100,252014.0,-16086.0
2026-03,5300,Freight In,20200,17978.0,-2222.0
2026-03,5400,Inventory Adjustments / Scrap,153300,162498.0,9198.0
2026-03,5500,Purchase Price Variance,399900,467883.0,67983.0
