account_number,account_name,account_type
1000,Operating Cash,Asset
1100,Accounts Receivable,Asset
1500,Prepaid Expenses,Asset
1700,Fixed Assets,Asset
1750,Accumulated Depreciation,Asset
2000,Accounts Payable,Liability
2100,Accrued Expenses,Liability
2300,Payroll Liabilities,Liability
3000,Retained Earnings,Equity
6000,Salaries & Wages,Expense
6100,Payroll Taxes,Expense
6200,Employee Benefits,Expense
6300,Rent,Expense
6400,Software Subscriptions,Expense
6500,Professional Fees,Expense
6600,Insurance Expense,Expense
6700,Office & Supplies,Expense
6800,Travel & Entertainment,Expense
6900,Depreciation Expense,Expense
1200,Inventory - Raw Materials,Asset
1210,Inventory - WIP,Asset
1220,Inventory - Finished Goods,Asset
1230,Inventory - Purchased for Resale,Asset
2050,GR/IR Clearing (Received Not Invoiced),Liability
4000,Product Sales - Manufactured,Revenue
4010,Product Sales - Distributed,Revenue
4100,Freight Revenue,Revenue
4900,Sales Returns & Allowances,Revenue
5000,COGS - Materials,Expense
5100,COGS - Direct Labor,Expense
5200,COGS - Overhead,Expense
5300,Freight In,Expense
5400,Inventory Adjustments / Scrap,Expense
5500,Purchase Price Variance,Expense
