journal_id,posting_date,period,account_number,account_name,debit,credit,memo,source_module,reference
JE-000751,2025-04-11,2025-04,1100,Accounts Receivable,737.34,0,Invoice INV-60161,AR,INV-60161
JE-000752,2025-04-11,2025-04,4000,Product Sales - Manufactured,0,737.34,Invoice INV-60161,AR,INV-60161
JE-000753,2025-04-11,2025-04,5000,COGS - Materials,496.53,0,COGS,AR,INV-60161
JE-000754,2025-04-11,2025-04,1220,Inventory - Finished Goods,0,496.53,Inventory relief,AR,INV-60161
JE-003526,2025-04-15,2025-04,1200,Inventory - Raw Materials,18215.82,0,PO receipt PO-31249,INV,RCV-40236
JE-003527,2025-04-15,2025-04,2050,GR/IR Clearing (Received Not Invoiced),0,18215.82,PO receipt PO-31249,INV,RCV-40236
JE-000828,2025-04-16,2025-04,1100,Accounts Receivable,14728.12,0,Invoice INV-60177,AR,INV-60177
JE-000829,2025-04-16,2025-04,4000,Product Sales - Manufactured,0,14728.12,Invoice INV-60177,AR,INV-60177
JE-000830,2025-04-16,2025-04,5000,COGS - Materials,12796.37,0,COGS,AR,INV-60177
JE-000831,2025-04-16,2025-04,1220,Inventory - Finished Goods,0,12796.37,Inventory relief,AR,INV-60177
JE-001325,2025-04-20,2025-04,1100,Accounts Receivable,1960.41,0,Invoice INV-60283,AR,INV-60283
JE-001326,2025-04-20,2025-04,4000,Product Sales - Manufactured,0,1827.89,Invoice INV-60283,AR,INV-60283
JE-001327,2025-04-20,2025-04,2100,Accrued Expenses,0,132.52,Sales tax payable,AR,INV-60283
JE-001328,2025-04-20,2025-04,5000,COGS - Materials,982.74,0,COGS,AR,INV-60283
JE-001329,2025-04-20,2025-04,1220,Inventory - Finished Goods,0,982.74,Inventory relief,AR,INV-60283
JE-003244,2025-04-20,2025-04,1200,Inventory - Raw Materials,6805.2,0,PO receipt PO-31100,INV,RCV-40095
JE-003245,2025-04-20,2025-04,2050,GR/IR Clearing (Received Not Invoiced),0,6805.2,PO receipt PO-31100,INV,RCV-40095
JE-001567,2025-04-21,2025-04,1100,Accounts Receivable,9524.52,0,Invoice INV-60335,AR,INV-60335
JE-001568,2025-04-21,2025-04,4000,Product Sales - Manufactured,0,9524.52,Invoice INV-60335,AR,INV-60335
JE-001569,2025-04-21,2025-04,5000,COGS - Materials,8138.61,0,COGS,AR,INV-60335
JE-001570,2025-04-21,2025-04,1220,Inventory - Finished Goods,0,8138.61,Inventory relief,AR,INV-60335
JE-000591,2025-04-22,2025-04,1100,Accounts Receivable,2837.03,0,Invoice INV-60127,AR,INV-60127
JE-000592,2025-04-22,2025-04,4000,Product Sales - Manufactured,0,2549.43,Invoice INV-60127,AR,INV-60127
JE-000593,2025-04-22,2025-04,4100,Freight Revenue,0,102.77,Freight billed,AR,INV-60127
JE-000594,2025-04-22,2025-04,2100,Accrued Expenses,0,184.83,Sales tax payable,AR,INV-60127
JE-000595,2025-04-22,2025-04,5000,COGS - Materials,1485.78,0,COGS,AR,INV-60127
JE-000596,2025-04-22,2025-04,1220,Inventory - Finished Goods,0,1485.78,Inventory relief,AR,INV-60127
JE-001683,2025-04-22,2025-04,1100,Accounts Receivable,520.58,0,Invoice INV-60360,AR,INV-60360
JE-001684,2025-04-22,2025-04,4000,Product Sales - Manufactured,0,485.39,Invoice INV-60360,AR,INV-60360
JE-001685,2025-04-22,2025-04,2100,Accrued Expenses,0,35.19,Sales tax payable,AR,INV-60360
JE-001686,2025-04-22,2025-04,5000,COGS - Materials,402.48,0,COGS,AR,INV-60360
JE-001687,2025-04-22,2025-04,1220,Inventory - Finished Goods,0,402.48,Inventory relief,AR,INV-60360
JE-003029,2025-04-22,2025-04,2050,GR/IR Clearing (Received Not Invoiced),18215.82,0,Supplier inv SI2597314,AP,SI2597314
JE-003030,2025-04-22,2025-04,5300,Freight In,141.3,0,Freight in,AP,SI2597314
