as_of_date,item_class,gl_account,qty_on_hand,extended_cost,costing_method,reserve_for_obsolescence
2025-12-31,RAW,1200,653,509.31,Standard,5178.17
2025-12-31,COMP,1200,11707,805996.87,Standard,10657.26
2025-12-31,FG,1220,6380,5494610.47,Standard,5439.79
2025-12-31,RESALE,1230,0,0.0,Standard,8886.89
2025-12-31,PKG,1200,587,15512.31,Standard,917.63
2026-01-31,RAW,1200,653,524.15,Standard,9284.79
2026-01-31,COMP,1200,11707,853408.45,Standard,3657.3
2026-01-31,FG,1220,6380,5821022.98,Standard,3678.82
2026-01-31,RESALE,1230,0,0.0,Standard,4738.67
2026-01-31,PKG,1200,587,15198.93,Standard,11300.62
2026-02-28,RAW,1200,653,543.93,Standard,9990.26
2026-02-28,COMP,1200,11707,861310.38,Standard,2780.69
2026-02-28,FG,1220,6380,5603414.64,Standard,7008.17
2026-02-28,RESALE,1230,0,0.0,Standard,1539.44
2026-02-28,PKG,1200,587,16609.14,Standard,10886.25
2026-03-31,RAW,1200,653,425.25,Standard,2857.67
2026-03-31,COMP,1200,11707,766487.22,Standard,4729.19
2026-03-31,FG,1220,6380,4950589.63,Standard,10369.56
2026-03-31,RESALE,1230,0,0.0,Standard,9336.86
2026-03-31,PKG,1200,587,16139.07,Standard,9173.88
