item_id,revision,roll_date,material_cost,labor_cost,overhead_cost,standard_cost,previous_standard,approved_by
A-20002,C,2026-01-01,1062.13,482.79,386.23,1931.15,1911.84,E002
A-20003,C,2026-01-01,1347.86,612.66,490.13,2450.66,2450.66,E002
A-20004,A,2026-01-01,437.99,199.09,159.27,796.34,756.52,E002
A-20010,A,2026-01-01,211.0,95.91,76.73,383.63,375.96,E002
A-20013,A,2026-01-01,89.21,40.55,32.44,162.20000000000002,149.22,E002
A-20020,B,2026-01-01,174.14,79.16,63.32,316.62,319.79,E002
A-20022,B,2026-01-01,85.48,38.85,31.08,155.41,146.09,E002
A-20025,C,2026-01-01,386.95,175.88,140.71,703.54,696.5,E002
A-20030,A,2026-01-01,97.34,44.24,35.4,176.98,161.05,E002
A-20031,A,2026-01-01,70.86,32.21,25.77,128.84,128.84,E002
A-20033,C,2026-01-01,180.74,82.16,65.72,328.62,315.48,E002
A-20034,B,2026-01-01,61.23,27.83,22.27,111.33,113.56,E002
A-20036,A,2026-01-01,1620.11,736.41,589.13,2945.65,2710.0,E002
A-20038,C,2026-01-01,1098.88,499.49,399.59,1997.97,1898.07,E002
A-20039,B,2026-01-01,228.73,103.97,83.17,415.87,407.55,E002
A-20040,C,2026-01-01,116.01,52.73,42.19,210.93,206.71,E002
A-20043,C,2026-01-01,735.28,334.22,267.38,1336.88,1270.04,E002
A-20053,A,2026-01-01,382.61,173.91,139.13,695.65,702.61,E002
A-20058,C,2026-01-01,140.11,63.69,50.95,254.75,257.3,E002
A-20061,C,2026-01-01,96.54,43.88,35.1,175.52,177.28,E002
A-20063,A,2026-01-01,755.1,343.23,274.58,1372.91,1304.26,E002
A-20065,A,2026-01-01,438.9,199.5,159.6,798.0,734.16,E002
A-20070,A,2026-01-01,956.57,434.81,347.84,1739.22,1721.83,E002
A-20072,A,2026-01-01,221.36,100.62,80.5,402.48,398.46,E002
A-20073,B,2026-01-01,273.09,124.13,99.31,496.53000000000003,456.81,E002
A-20076,B,2026-01-01,396.65,180.3,144.24,721.1800000000001,728.39,E002
A-20077,A,2026-01-01,478.49,217.5,174.0,869.98,869.98,E002
A-20078,B,2026-01-01,387.61,176.19,140.95,704.75,697.7,E002
A-20082,B,2026-01-01,462.79,210.36,168.29,841.44,849.85,E002
A-20087,A,2026-01-01,183.18,83.27,66.61,333.06,319.74,E002
A-20090,C,2026-01-01,451.72,205.33,164.26,821.3000000000001,804.87,E002
A-20092,A,2026-01-01,1053.68,478.94,383.16,1915.78,1877.46,E002
A-20093,C,2026-01-01,1109.47,504.31,403.44,2017.22,1956.7,E002
A-20094,C,2026-01-01,275.77,125.35,100.28,501.40000000000003,486.36,E002
A-20097,A,2026-01-01,135.75,61.7,49.36,246.81,241.87,E002
A-20101,A,2026-01-01,1310.32,595.6,476.48,2382.4,2191.81,E002
A-20107,A,2026-01-01,1447.57,657.99,526.39,2631.9500000000003,2368.76,E002
A-20110,A,2026-01-01,1638.55,744.79,595.84,2979.18,2711.05,E002
A-20114,C,2026-01-01,134.58,61.17,48.94,244.69,230.01,E002
