pay_period_end,employee_id,department,regular_hours,overtime_hours,gross_pay,overtime_pay,federal_tax,state_tax,fica,401k,health_deduction,net_pay
2025-04-30,E001,Executive,,0,13208.33,0,1585.0,653.81,1010.44,660.42,0,9298.66
2025-04-30,E002,Finance,,0,10833.33,0,1300.0,536.25,828.75,0.0,410.0,7758.33
2025-04-30,E003,Finance,,0,7666.67,0,920.0,379.5,586.5,460.0,142.5,5178.17
2025-04-30,E004,Finance,,0,6458.33,0,775.0,319.69,494.06,322.92,410.0,4136.66
2025-04-30,E005,Operations,,0,10208.33,0,1225.0,505.31,780.94,612.5,142.5,6942.08
2025-04-30,E006,Operations,,0,6833.33,0,820.0,338.25,522.75,341.67,142.5,4668.16
2025-04-30,E007,Operations,,0,6791.67,0,815.0,336.19,519.56,339.58,142.5,4638.84
2025-04-30,E008,Operations,,0,13625.0,0,1635.0,674.44,1042.31,681.25,410.0,9182.0
2025-04-30,E009,Operations,173.3,5.0,4742.97,191.25,569.16,234.78,362.84,0.0,410.0,3166.19
2025-04-30,E010,Operations,173.3,1.0,5413.75,48.38,649.65,267.98,414.15,162.41,0,3919.56
2025-04-30,E011,Operations,173.3,1.0,3691.88,29.62,443.03,182.75,282.43,184.59,410.0,2189.08
2025-04-30,E012,Operations,173.3,12.0,5165.7,490.5,619.88,255.7,395.18,309.94,285.0,3300.0
2025-04-30,E013,Operations,173.3,17.0,6327.68,777.75,759.32,313.22,484.07,379.66,0,4391.41
2025-04-30,E014,Operations,173.3,8.0,4240.53,249.0,508.86,209.91,324.4,0.0,142.5,3054.86
2025-04-30,E015,Operations,173.3,8.0,4905.12,330.0,588.61,242.8,375.24,147.15,0,3551.32
2025-04-30,E016,Operations,173.3,8.0,4269.06,255.0,512.29,211.32,326.58,128.07,410.0,2680.8
2025-04-30,E017,Operations,173.3,3.0,6092.01,141.75,731.04,301.55,466.04,0.0,0,4593.38
2025-04-30,E018,Operations,173.3,16.0,3979.19,456.0,477.5,196.97,304.41,198.96,0,2801.35
2025-04-30,E019,Operations,173.3,13.0,5057.86,507.0,606.94,250.36,386.93,151.74,0,3661.89
2025-04-30,E020,Operations,173.3,9.0,4147.73,297.0,497.73,205.31,317.3,0.0,285.0,2842.39
2025-04-30,E021,Operations,173.3,0,4060.85,0.0,487.3,201.01,310.66,121.83,0,2940.05
2025-04-30,E022,Operations,173.3,17.0,6209.1,726.75,745.09,307.35,475.0,0.0,285.0,4396.66
2025-04-30,E023,Operations,173.3,4.0,4831.3,166.5,579.76,239.15,369.59,241.57,410.0,2991.23
2025-04-30,E024,Operations,173.3,3.0,4443.45,111.38,533.21,219.95,339.92,0.0,410.0,2940.37
2025-04-30,E025,Operations,173.3,4.0,4934.08,157.5,592.09,244.24,377.46,148.02,142.5,3429.77
2025-04-30,E026,Operations,173.3,13.0,4511.31,477.75,541.36,223.31,345.12,0.0,285.0,3116.52
2025-04-30,E027,Operations,173.3,12.0,4758.63,414.0,571.04,235.55,364.04,237.93,0,3350.07
2025-04-30,E028,Operations,173.3,2.0,5935.58,94.5,712.27,293.81,454.07,178.07,285.0,4012.36
2025-04-30,E029,Operations,173.3,15.0,3824.57,455.62,458.95,189.32,292.58,0.0,410.0,2473.72
2025-04-30,E030,Operations,173.3,1.0,3950.73,31.12,474.09,195.56,302.23,237.04,0,2741.81
2025-04-30,E031,Operations,173.3,7.0,4681.65,262.5,561.8,231.74,358.15,280.9,0,3249.06
2025-04-30,E032,Operations,173.3,17.0,5228.41,694.88,627.41,258.81,399.97,313.7,410.0,3218.52
2025-04-30,E033,Operations,173.3,0,4286.58,0.0,514.39,212.19,327.92,257.19,285.0,2689.89
2025-04-30,E034,Operations,173.3,3.0,3257.24,83.25,390.87,161.23,249.18,97.72,0,2358.24
2025-04-30,E035,Operations,173.3,19.0,5700.85,805.12,684.1,282.19,436.12,342.05,410.0,3546.39
2025-04-30,E036,Operations,173.3,5.0,4791.2,198.75,574.94,237.16,366.53,143.74,142.5,3326.33
2025-04-30,E037,Operations,173.3,2.0,5303.1,88.5,636.37,262.5,405.69,265.16,142.5,3590.88
2025-04-30,E038,Operations,173.3,14.0,3498.37,388.5,419.8,173.17,267.63,209.9,285.0,2142.87
2025-04-30,E039,Operations,173.3,18.0,4456.68,600.75,534.8,220.61,340.94,222.83,0,3137.5
2025-04-30,E040,Operations,173.3,14.0,3786.91,388.5,454.43,187.45,289.7,0.0,0,2855.33
2025-04-30,E041,Operations,173.3,8.0,4860.72,309.0,583.29,240.61,371.85,243.04,0,3421.93
2025-04-30,E042,Operations,173.3,0,6444.16,0.0,773.3,318.99,492.98,386.65,142.5,4329.74
2025-04-30,E043,Operations,173.3,0,5604.52,0.0,672.54,277.42,428.75,0.0,142.5,4083.31
2025-04-30,E044,Operations,173.3,2.0,4102.62,63.0,492.31,203.08,313.85,205.13,410.0,2478.25
2025-04-30,E045,Operations,173.3,14.0,4631.65,467.25,555.8,229.27,354.32,0.0,0,3492.26
2025-04-30,E046,Operations,173.3,2.0,3827.71,64.5,459.33,189.47,292.82,0.0,410.0,2476.09
2025-04-30,E047,Operations,173.3,7.0,5584.0,296.62,670.08,276.41,427.18,279.2,410.0,3521.13
2025-04-30,E048,Operations,173.3,13.0,4402.02,453.38,528.24,217.9,336.75,264.12,142.5,2912.51
2025-04-30,E049,Operations,173.3,2.0,5708.94,89.25,685.07,282.59,436.73,171.27,410.0,3723.28
2025-04-30,E050,Operations,173.3,16.0,5274.37,636.0,632.92,261.08,403.49,158.23,410.0,3408.65
2025-04-30,E051,Operations,173.3,22.0,5574.45,899.25,668.93,275.94,426.45,0.0,0,4203.13
2025-04-30,E053,Operations,173.3,19.0,3556.34,520.12,426.76,176.04,272.06,177.82,0,2503.66
2025-04-30,E054,Operations,173.3,16.0,4400.26,540.0,528.03,217.81,336.62,264.02,142.5,2911.28
2025-04-30,E055,Quality,,0,9458.33,0,1135.0,468.19,723.56,567.5,142.5,6421.58
2025-04-30,E056,Quality,173.3,4.0,5967.89,190.5,716.15,295.41,456.54,358.07,0,4141.72
2025-04-30,E057,Quality,173.3,20.0,5694.27,847.5,683.31,281.87,435.61,170.83,285.0,3837.65
2025-04-30,E058,Quality,173.3,17.0,6169.74,745.88,740.37,305.4,471.99,308.49,410.0,3933.49
2025-04-30,E059,Quality,173.3,1.0,5228.75,42.75,627.45,258.82,400.0,156.86,410.0,3375.62
2025-04-30,E060,Purchasing,,0,5583.33,0,670.0,276.37,427.12,167.5,285.0,3757.34
2025-04-30,E061,Purchasing,,0,6458.33,0,775.0,319.69,494.06,322.92,142.5,4404.16
2025-04-30,E062,Purchasing,,0,8791.67,0,1055.0,435.19,672.56,0.0,0,6628.92
