employee_id,as_of_date,pto_accrued_hours,pto_used_hours,sick_accrued_hours,sick_used_hours,carryover_hours
E001,2026-03-31,125.0,62.0,40.0,18.5,32.5
E002,2026-03-31,96.0,83.0,40.0,0.5,37.5
E003,2026-03-31,138.5,20.0,40.0,9.0,36.5
E004,2026-03-31,47.0,8.0,40.0,23.5,32.5
E005,2026-03-31,46.5,46.5,40.0,24.5,35.0
E006,2026-03-31,118.5,77.0,40.0,18.0,28.5
E007,2026-03-31,56.0,84.0,40.0,22.5,22.0
E008,2026-03-31,154.0,23.5,40.0,31.0,11.5
E009,2026-03-31,40.5,17.0,40.0,11.5,3.5
E010,2026-03-31,42.5,83.0,40.0,30.0,25.5
E011,2026-03-31,138.5,22.0,40.0,7.0,9.0
E012,2026-03-31,151.0,50.5,40.0,18.5,36.0
E013,2026-03-31,41.5,78.5,40.0,9.0,16.0
E014,2026-03-31,115.0,97.0,40.0,2.5,4.5
E015,2026-03-31,146.0,13.0,40.0,21.5,3.0
E016,2026-03-31,75.0,39.0,40.0,24.5,7.5
E017,2026-03-31,118.5,12.5,40.0,35.0,39.0
E018,2026-03-31,138.0,94.5,40.0,6.0,28.0
E019,2026-03-31,124.0,49.0,40.0,32.0,33.0
E020,2026-03-31,159.0,49.0,40.0,37.0,12.5
E021,2026-03-31,97.0,60.0,40.0,12.0,17.0
E022,2026-03-31,148.5,86.5,40.0,21.0,13.5
E023,2026-03-31,82.5,42.5,40.0,32.0,20.5
E024,2026-03-31,137.5,44.0,40.0,14.0,18.0
E025,2026-03-31,102.5,20.0,40.0,17.5,33.0
E026,2026-03-31,117.5,92.5,40.0,7.5,20.0
E027,2026-03-31,113.0,11.5,40.0,37.5,16.0
E028,2026-03-31,142.0,78.0,40.0,12.5,24.5
E029,2026-03-31,139.5,63.0,40.0,17.0,17.0
E030,2026-03-31,63.0,66.5,40.0,40.0,35.0
E031,2026-03-31,69.5,74.0,40.0,11.0,8.5
E032,2026-03-31,55.5,24.5,40.0,15.0,34.5
E034,2026-03-31,85.5,24.0,40.0,8.0,25.0
E035,2026-03-31,88.0,55.0,40.0,4.0,3.0
E036,2026-03-31,107.0,25.0,40.0,30.5,3.0
E037,2026-03-31,122.5,34.5,40.0,21.5,5.5
E038,2026-03-31,75.0,99.5,40.0,3.5,17.0
E039,2026-03-31,91.0,16.0,40.0,39.0,20.0
E040,2026-03-31,54.5,96.5,40.0,3.5,35.0
E041,2026-03-31,143.5,35.0,40.0,0.0,27.5
E042,2026-03-31,120.5,53.0,40.0,36.5,17.0
E043,2026-03-31,104.5,50.0,40.0,34.5,20.0
E044,2026-03-31,95.0,85.0,40.0,12.0,31.0
E045,2026-03-31,44.5,23.5,40.0,22.5,5.0
E046,2026-03-31,93.0,9.5,40.0,5.5,1.5
E047,2026-03-31,116.0,97.0,40.0,20.0,9.5
E048,2026-03-31,112.0,27.0,40.0,11.0,27.5
E049,2026-03-31,72.5,32.0,40.0,38.0,9.0
E050,2026-03-31,152.5,92.5,40.0,37.5,27.0
E051,2026-03-31,153.0,13.0,40.0,28.0,8.0
E052,2026-03-31,129.5,56.5,40.0,20.5,4.0
E053,2026-03-31,159.0,62.0,40.0,17.5,18.0
E054,2026-03-31,127.5,83.0,40.0,14.0,25.5
E055,2026-03-31,129.0,85.0,40.0,36.0,9.5
E056,2026-03-31,155.0,50.0,40.0,7.0,16.0
E057,2026-03-31,144.0,83.0,40.0,8.0,34.0
E058,2026-03-31,118.5,22.0,40.0,35.0,13.5
E059,2026-03-31,138.0,81.0,40.0,17.0,8.5
E060,2026-03-31,110.5,92.5,40.0,18.5,38.0
E061,2026-03-31,115.5,32.5,40.0,4.5,25.5
E062,2026-03-31,68.0,43.5,40.0,9.5,15.5
E063,2026-03-31,57.0,73.5,40.0,10.0,19.5
E064,2026-03-31,138.0,99.5,40.0,20.0,37.5
E065,2026-03-31,41.0,92.5,40.0,32.5,40.0
E067,2026-03-31,117.5,51.0,40.0,14.5,14.5
E068,2026-03-31,55.0,97.5,40.0,30.5,8.0
E069,2026-03-31,136.5,17.5,40.0,16.0,1.5
E070,2026-03-31,44.0,20.5,40.0,19.0,26.0
E071,2026-03-31,84.5,51.5,40.0,5.5,30.0
E072,2026-03-31,103.5,93.5,40.0,22.0,11.0
E073,2026-03-31,134.0,86.5,40.0,37.5,37.5
E074,2026-03-31,93.0,51.0,40.0,30.0,17.0
