employee_id,course,completed_date,expiration_date,provider,status,certificate_file
E001,Hazard Communication,2025-03-06,2027-03-06,ASQ,Current,
E001,ISO 9001 Internal Auditor,2023-08-28,2025-08-27,OSHA Outreach,Expired,
E001,Lockout/Tagout,2025-04-22,2027-04-22,Toyota Material Handling,Current,E001_lockout/tagout.pdf
E002,Crane & Rigging,2025-03-22,2027-03-22,ASQ,Current,E002_crane.pdf
E002,Lockout/Tagout,2025-08-27,2027-08-27,OSHA Outreach,Current,
E002,ISO 9001 Internal Auditor,2025-11-22,2027-11-22,OSHA Outreach,Current,E002_iso.pdf
E002,First Aid/CPR,2024-04-11,2026-04-11,Internal,Current,E002_first.pdf
E003,GD&T Fundamentals,2023-10-08,2025-10-07,OSHA Outreach,Expired,E003_gd&t.pdf
E003,Fall Protection,2023-04-14,2025-04-13,OSHA Outreach,Expired,
E003,Crane & Rigging,2025-01-15,2027-01-15,Internal,Current,
E003,Hazard Communication,2023-09-16,2025-09-15,Toyota Material Handling,Expired,E003_hazard.pdf
E004,GD&T Fundamentals,2025-05-02,2027-05-02,Red Cross,Current,
E005,Hearing Conservation,2025-04-27,2027-04-27,Toyota Material Handling,Current,E005_hearing.pdf
E005,Forklift Certification,2024-09-04,2027-09-04,Internal,Current,E005_forklift.pdf
E006,ISO 9001 Internal Auditor,2023-08-05,2025-08-04,Toyota Material Handling,Expired,E006_iso.pdf
E006,First Aid/CPR,2025-08-05,2027-08-05,Red Cross,Current,E006_first.pdf
E007,DOT Medical Card,2023-07-26,2025-07-25,ASQ,Expired,E007_dot.pdf
E008,Lockout/Tagout,2025-04-13,2027-04-13,Red Cross,Current,E008_lockout/tagout.pdf
E009,Crane & Rigging,2024-02-13,2026-02-12,Toyota Material Handling,Expired,
E009,First Aid/CPR,2023-02-05,2025-02-04,ASQ,Expired,
E009,GD&T Fundamentals,2026-01-07,2028-01-07,OSHA Outreach,Current,E009_gd&t.pdf
E010,Fall Protection,2023-07-26,2025-07-25,Toyota Material Handling,Expired,E010_fall.pdf
E010,GD&T Fundamentals,2024-07-26,2026-07-26,Toyota Material Handling,Current,E010_gd&t.pdf
E010,ISO 9001 Internal Auditor,2024-09-23,2026-09-23,Internal,Current,
E010,DOT Medical Card,2024-06-30,2026-06-30,OSHA Outreach,Current,E010_dot.pdf
E011,GD&T Fundamentals,2023-04-21,2025-04-20,ASQ,Expired,E011_gd&t.pdf
E011,DOT Medical Card,2026-02-14,2028-02-14,Internal,Current,
E011,Fall Protection,2023-11-03,2025-11-02,OSHA Outreach,Expired,E011_fall.pdf
E011,Hearing Conservation,2023-02-19,2025-02-18,Red Cross,Expired,E011_hearing.pdf
E012,Lockout/Tagout,2024-03-04,2026-03-04,Internal,Expired,E012_lockout/tagout.pdf
E013,Crane & Rigging,2023-12-11,2025-12-10,Red Cross,Expired,E013_crane.pdf
E013,GD&T Fundamentals,2024-09-04,2026-09-04,Toyota Material Handling,Current,E013_gd&t.pdf
E013,Fall Protection,2023-12-17,2025-12-16,OSHA Outreach,Expired,E013_fall.pdf
E014,Hazard Communication,2025-03-02,2027-03-02,ASQ,Current,
E014,First Aid/CPR,2025-07-02,2027-07-02,Toyota Material Handling,Current,
E014,Crane & Rigging,2024-08-06,2026-08-06,OSHA Outreach,Current,
E015,Lockout/Tagout,2023-05-05,2025-05-04,ASQ,Expired,E015_lockout/tagout.pdf
E015,Crane & Rigging,2023-02-06,2025-02-05,Toyota Material Handling,Expired,E015_crane.pdf
E015,Fall Protection,2024-03-31,2026-03-31,Toyota Material Handling,Current,
E016,Crane & Rigging,2023-05-13,2025-05-12,Toyota Material Handling,Expired,E016_crane.pdf
E016,Lockout/Tagout,2023-03-10,2025-03-09,Toyota Material Handling,Expired,
E016,First Aid/CPR,2023-09-18,2025-09-17,ASQ,Expired,E016_first.pdf
E017,Fall Protection,2024-10-04,2026-10-04,Toyota Material Handling,Current,E017_fall.pdf
E017,Hearing Conservation,2024-08-21,2026-08-21,ASQ,Current,E017_hearing.pdf
E018,DOT Medical Card,2023-08-10,2025-08-09,ASQ,Expired,E018_dot.pdf
E019,Forklift Certification,2023-06-19,2026-06-18,OSHA Outreach,Current,E019_forklift.pdf
E019,DOT Medical Card,2025-09-04,2027-09-04,Internal,Current,E019_dot.pdf
E019,Lockout/Tagout,2025-08-02,2027-08-02,Toyota Material Handling,Current,E019_lockout/tagout.pdf
E019,First Aid/CPR,2023-11-03,2025-11-02,Red Cross,Expired,
E020,Crane & Rigging,2023-06-26,2025-06-25,OSHA Outreach,Expired,E020_crane.pdf
E020,DOT Medical Card,2023-12-05,2025-12-04,Toyota Material Handling,Expired,E020_dot.pdf
E020,First Aid/CPR,2025-02-21,2027-02-21,ASQ,Current,E020_first.pdf
E020,Fall Protection,2024-07-06,2026-07-06,Toyota Material Handling,Current,
E021,ISO 9001 Internal Auditor,2023-10-12,2025-10-11,OSHA Outreach,Expired,E021_iso.pdf
E022,DOT Medical Card,2025-12-03,2027-12-03,ASQ,Current,E022_dot.pdf
E022,Hazard Communication,2026-03-23,2028-03-22,Internal,Current,E022_hazard.pdf
E023,GD&T Fundamentals,2025-03-16,2027-03-16,Toyota Material Handling,Current,E023_gd&t.pdf
E023,Fall Protection,2024-12-17,2026-12-17,ASQ,Current,E023_fall.pdf
E023,Lockout/Tagout,2023-07-04,2025-07-03,Toyota Material Handling,Expired,E023_lockout/tagout.pdf
E024,ISO 9001 Internal Auditor,2024-02-05,2026-02-04,OSHA Outreach,Expired,E024_iso.pdf
E025,Hazard Communication,2023-04-10,2025-04-09,Red Cross,Expired,E025_hazard.pdf
E026,DOT Medical Card,2024-02-21,2026-02-20,Internal,Expired,E026_dot.pdf
E026,Hazard Communication,2024-05-03,2026-05-03,Internal,Current,
E026,Hearing Conservation,2024-01-24,2026-01-23,ASQ,Expired,E026_hearing.pdf
E026,Crane & Rigging,2023-09-23,2025-09-22,Red Cross,Expired,E026_crane.pdf
E027,First Aid/CPR,2023-10-03,2025-10-02,Red Cross,Expired,E027_first.pdf
E027,ISO 9001 Internal Auditor,2024-12-21,2026-12-21,OSHA Outreach,Current,
E028,Hearing Conservation,2024-02-21,2026-02-20,ASQ,Expired,
E029,Lockout/Tagout,2023-10-18,2025-10-17,Red Cross,Expired,E029_lockout/tagout.pdf
E029,ISO 9001 Internal Auditor,2024-01-29,2026-01-28,Internal,Expired,E029_iso.pdf
E030,ISO 9001 Internal Auditor,2024-11-22,2026-11-22,Red Cross,Current,E030_iso.pdf
E030,First Aid/CPR,2025-03-17,2027-03-17,ASQ,Current,
E030,GD&T Fundamentals,2024-06-24,2026-06-24,Red Cross,Current,
E031,Lockout/Tagout,2024-11-29,2026-11-29,Internal,Current,
E031,DOT Medical Card,2023-03-18,2025-03-17,Red Cross,Expired,
E031,GD&T Fundamentals,2025-07-26,2027-07-26,ASQ,Current,E031_gd&t.pdf
E032,Crane & Rigging,2023-10-02,2025-10-01,Toyota Material Handling,Expired,E032_crane.pdf
E032,Fall Protection,2025-03-01,2027-03-01,Toyota Material Handling,Current,E032_fall.pdf
E032,Lockout/Tagout,2024-05-22,2026-05-22,ASQ,Current,E032_lockout/tagout.pdf
E033,Fall Protection,2025-01-20,2027-01-20,Red Cross,Current,E033_fall.pdf
E033,ISO 9001 Internal Auditor,2025-04-25,2027-04-25,ASQ,Current,E033_iso.pdf
E033,DOT Medical Card,2025-02-18,2027-02-18,ASQ,Current,
E034,ISO 9001 Internal Auditor,2023-10-28,2025-10-27,Internal,Expired,E034_iso.pdf
E035,Forklift Certification,2023-10-11,2026-10-10,Red Cross,Current,
E035,GD&T Fundamentals,2023-08-26,2025-08-25,Red Cross,Expired,
E035,ISO 9001 Internal Auditor,2025-03-28,2027-03-28,ASQ,Current,E035_iso.pdf
E036,GD&T Fundamentals,2024-11-29,2026-11-29,Internal,Current,
E037,GD&T Fundamentals,2023-09-04,2025-09-03,OSHA Outreach,Expired,
E038,First Aid/CPR,2024-06-15,2026-06-15,Internal,Current,E038_first.pdf
E038,Lockout/Tagout,2025-09-21,2027-09-21,ASQ,Current,
E038,Hearing Conservation,2023-12-16,2025-12-15,Red Cross,Expired,E038_hearing.pdf
E038,ISO 9001 Internal Auditor,2025-04-10,2027-04-10,Red Cross,Current,E038_iso.pdf
E039,Lockout/Tagout,2023-05-13,2025-05-12,ASQ,Expired,E039_lockout/tagout.pdf
E039,Fall Protection,2025-03-24,2027-03-24,OSHA Outreach,Current,
E039,Crane & Rigging,2024-05-09,2026-05-09,Toyota Material Handling,Current,E039_crane.pdf
E040,GD&T Fundamentals,2023-05-17,2025-05-16,Internal,Expired,
E040,Lockout/Tagout,2025-05-08,2027-05-08,Toyota Material Handling,Current,E040_lockout/tagout.pdf
E040,Fall Protection,2025-08-16,2027-08-16,Toyota Material Handling,Current,E040_fall.pdf
E040,DOT Medical Card,2025-07-11,2027-07-11,OSHA Outreach,Current,E040_dot.pdf
E041,Forklift Certification,2024-07-22,2027-07-22,ASQ,Current,E041_forklift.pdf
E041,DOT Medical Card,2024-04-15,2026-04-15,OSHA Outreach,Current,E041_dot.pdf
E041,Fall Protection,2024-09-07,2026-09-07,OSHA Outreach,Current,
E042,Fall Protection,2023-03-26,2025-03-25,OSHA Outreach,Expired,E042_fall.pdf
E043,Hazard Communication,2025-09-24,2027-09-24,Internal,Current,E043_hazard.pdf
E043,Fall Protection,2023-12-04,2025-12-03,ASQ,Expired,E043_fall.pdf
E043,DOT Medical Card,2026-03-25,2028-03-24,OSHA Outreach,Current,
E043,Hearing Conservation,2025-04-17,2027-04-17,Red Cross,Current,
E044,Lockout/Tagout,2023-02-12,2025-02-11,Toyota Material Handling,Expired,E044_lockout/tagout.pdf
E044,First Aid/CPR,2023-12-12,2025-12-11,Red Cross,Expired,E044_first.pdf
E045,Fall Protection,2023-01-30,2025-01-29,ASQ,Expired,E045_fall.pdf
E045,Lockout/Tagout,2023-09-30,2025-09-29,Internal,Expired,E045_lockout/tagout.pdf
E045,Crane & Rigging,2025-10-28,2027-10-28,Internal,Current,E045_crane.pdf
E046,ISO 9001 Internal Auditor,2023-12-06,2025-12-05,Internal,Expired,E046_iso.pdf
E046,Hearing Conservation,2024-10-31,2026-10-31,ASQ,Current,E046_hearing.pdf
E046,Forklift Certification,2025-09-14,2028-09-13,ASQ,Current,E046_forklift.pdf
E047,DOT Medical Card,2023-03-28,2025-03-27,Toyota Material Handling,Expired,
E047,Hazard Communication,2024-03-16,2026-03-16,Toyota Material Handling,Expired,E047_hazard.pdf
E047,First Aid/CPR,2025-08-29,2027-08-29,Toyota Material Handling,Current,E047_first.pdf
E048,DOT Medical Card,2023-02-05,2025-02-04,Internal,Expired,
E048,Crane & Rigging,2025-06-29,2027-06-29,ASQ,Current,E048_crane.pdf
E048,GD&T Fundamentals,2024-11-21,2026-11-21,Toyota Material Handling,Current,
E048,Hazard Communication,2024-03-03,2026-03-03,OSHA Outreach,Expired,
E049,DOT Medical Card,2025-08-27,2027-08-27,ASQ,Current,
E049,Crane & Rigging,2023-09-15,2025-09-14,Internal,Expired,E049_crane.pdf
E049,Forklift Certification,2024-02-21,2027-02-20,OSHA Outreach,Current,E049_forklift.pdf
E049,First Aid/CPR,2024-11-23,2026-11-23,Toyota Material Handling,Current,E049_first.pdf
E050,ISO 9001 Internal Auditor,2023-07-01,2025-06-30,OSHA Outreach,Expired,E050_iso.pdf
E050,Forklift Certification,2023-03-13,2026-03-12,OSHA Outreach,Expired,E050_forklift.pdf
E050,First Aid/CPR,2023-04-19,2025-04-18,Toyota Material Handling,Expired,
E051,Hearing Conservation,2024-12-16,2026-12-16,Internal,Current,E051_hearing.pdf
E051,ISO 9001 Internal Auditor,2024-09-12,2026-09-12,Internal,Current,
E051,Forklift Certification,2025-09-01,2028-08-31,OSHA Outreach,Current,E051_forklift.pdf
E051,Lockout/Tagout,2023-01-04,2025-01-03,Internal,Expired,E051_lockout/tagout.pdf
E052,Crane & Rigging,2025-06-17,2027-06-17,Toyota Material Handling,Current,E052_crane.pdf
E052,Fall Protection,2023-11-02,2025-11-01,Internal,Expired,E052_fall.pdf
E052,GD&T Fundamentals,2024-07-24,2026-07-24,Red Cross,Current,
E052,ISO 9001 Internal Auditor,2025-09-02,2027-09-02,Internal,Current,E052_iso.pdf
E053,First Aid/CPR,2023-08-12,2025-08-11,Toyota Material Handling,Expired,E053_first.pdf
E053,Hazard Communication,2025-04-14,2027-04-14,Internal,Current,E053_hazard.pdf
E054,DOT Medical Card,2026-02-16,2028-02-16,Toyota Material Handling,Current,E054_dot.pdf
