document_id,type,reference,file_name,folder,uploaded,uploaded_by,source
DOC-00001,Purchase Order,PO-31001,PO-31001.pdf,Purchasing/2025/W.W. Grainge,2025-07-10,E061,ERP print
DOC-00002,Purchase Order,PO-31002,PO-31002.pdf,Purchasing/2025/Uline,2025-12-15,E063,ERP print
DOC-00003,Purchase Order,PO-31003,PO-31003.pdf,Purchasing/2025/Haas Automat,2025-12-06,E062,ERP print
DOC-00004,Purchase Order,PO-31004,PO-31004.pdf,Purchasing/2026/Cintas Corpo,2026-03-04,E063,ERP print
DOC-00005,Purchase Order,PO-31005,PO-31005.pdf,Purchasing/2025/Fastenal,2025-05-09,E061,ERP print
DOC-00006,Purchase Order,PO-31006,PO-31006.pdf,Purchasing/2026/Alro Steel,2026-02-11,E062,ERP print
DOC-00007,Purchase Order,PO-31007,PO-31007.pdf,Purchasing/2025/Alro Steel,2025-05-07,E060,ERP print
DOC-00008,Purchase Order,PO-31008,PO-31008.pdf,Purchasing/2025/W.W. Grainge,2025-06-22,E060,ERP print
DOC-00009,Purchase Order,PO-31009,PO-31009.pdf,Purchasing/2025/Garlock Seal,2025-10-03,E061,ERP print
DOC-00010,Purchase Order,PO-31010,PO-31010.pdf,Purchasing/2025/Baldor-Relia,2025-07-24,E062,ERP print
DOC-00011,Purchase Order,PO-31011,PO-31011.pdf,Purchasing/2025/McMaster-Car,2025-08-22,E060,ERP print
DOC-00012,Purchase Order,PO-31012,PO-31012.pdf,Purchasing/2026/Sandvik Coro,2026-01-22,E062,ERP print
DOC-00013,Purchase Order,PO-31013,PO-31013.pdf,Purchasing/2025/Baldor-Relia,2025-04-17,E061,ERP print
DOC-00014,Purchase Order,PO-31014,PO-31014.pdf,Purchasing/2025/Baldor-Relia,2025-07-12,E062,ERP print
DOC-00015,Purchase Order,PO-31015,PO-31015.pdf,Purchasing/2025/Regal Rexnor,2025-10-03,E062,ERP print
DOC-00016,Purchase Order,PO-31016,PO-31016.pdf,Purchasing/2025/Fastenal,2025-08-02,E062,ERP print
DOC-00017,Purchase Order,PO-31017,PO-31017.pdf,Purchasing/2025/Uline,2025-04-11,E061,ERP print
DOC-00018,Purchase Order,PO-31018,PO-31018.pdf,Purchasing/2025/Brighton-Bes,2025-08-05,E063,ERP print
DOC-00019,Purchase Order,PO-31019,PO-31019.pdf,Purchasing/2025/Regal Rexnor,2025-08-15,E060,ERP print
DOC-00020,Purchase Order,PO-31020,PO-31020.pdf,Purchasing/2025/Fastenal,2025-05-24,E061,ERP print
DOC-00021,Purchase Order,PO-31021,PO-31021.pdf,Purchasing/2025/W.W. Grainge,2025-11-27,E063,ERP print
DOC-00022,Purchase Order,PO-31022,PO-31022.pdf,Purchasing/2025/Baldor-Relia,2025-06-04,E062,ERP print
DOC-00023,Purchase Order,PO-31023,PO-31023.pdf,Purchasing/2025/MSC Industri,2025-10-09,E063,ERP print
DOC-00024,Purchase Order,PO-31024,PO-31024.pdf,Purchasing/2025/Haas Automat,2025-10-31,E060,ERP print
