event_id,company_id,workflow_type,object_type,object_id,timestamp,actor,action,previous_state,new_state,source_document,confidence,requires_review
EV-000086,northfield_industrial_components,quote_to_order,quote,Q-26086,2025-03-12T11:03:00,E070,quote_sent,draft,sent,Q-26086.pdf,1.0,N
EV-000050,northfield_industrial_components,quote_to_order,quote,Q-26050,2025-03-20T10:57:00,E067,quote_sent,draft,sent,Q-26050.pdf,1.0,N
EV-000170,northfield_industrial_components,quote_to_order,quote,Q-26170,2025-03-21T10:47:00,E064,quote_sent,draft,sent,Q-26170.pdf,1.0,N
EV-000091,northfield_industrial_components,quote_to_order,quote,Q-26091,2025-03-21T16:35:00,E072,quote_sent,draft,sent,Q-26091.pdf,1.0,N
EV-000049,northfield_industrial_components,quote_to_order,quote,Q-26049,2025-03-27T16:24:00,E071,quote_sent,draft,sent,Q-26049.pdf,1.0,N
EV-000025,northfield_industrial_components,quote_to_order,quote,Q-26025,2025-03-28T07:58:00,E072,quote_sent,draft,sent,Q-26025.pdf,1.0,N
EV-000335,northfield_industrial_components,quote_to_order,sales_order,SO-26138,2025-04-01T10:02:00,E065,order_entered,,open,customer_po_PUR-117911,1.0,N
EV-002601,northfield_industrial_components,manufacturing,work_order,WO-70061,2025-04-01T13:52:00,E057,wo_released,planned,released,MRP,1.0,N
EV-000563,northfield_industrial_components,quote_to_order,sales_order,SO-26359,2025-04-02T09:12:00,E075,order_entered,,open,customer_po_P717585,0.9,N
EV-000469,northfield_industrial_components,quote_to_order,sales_order,SO-26271,2025-04-02T10:52:00,E073,order_entered,,open,customer_po_PO654162,0.9,N
EV-000371,northfield_industrial_components,quote_to_order,sales_order,SO-26174,2025-04-02T14:13:00,E065,order_entered,,open,customer_po_PO810713,0.9,N
EV-000167,northfield_industrial_components,quote_to_order,quote,Q-26167,2025-04-02T17:29:00,E070,quote_sent,draft,sent,Q-26167.pdf,1.0,N
EV-000452,northfield_industrial_components,credit_control,sales_order,SO-26254,2025-04-03T11:34:00,E002,credit_hold_applied,open,credit_hold,credit_checks,1.0,N
EV-000500,northfield_industrial_components,quote_to_order,sales_order,SO-26301,2025-04-03T12:04:00,E064,order_entered,,open,customer_po_PUR-527408,0.9,N
EV-000451,northfield_industrial_components,quote_to_order,sales_order,SO-26254,2025-04-03T16:30:00,E074,order_entered,,open,customer_po_4500742521,0.9,Y
EV-000308,northfield_industrial_components,quote_to_order,sales_order,SO-26111,2025-04-04T09:14:00,E075,order_entered,,open,customer_po_PUR-996834,1.0,N
EV-000123,northfield_industrial_components,quote_to_order,quote,Q-26123,2025-04-04T14:43:00,E068,quote_sent,draft,sent,Q-26123.pdf,1.0,N
EV-002795,northfield_industrial_components,manufacturing,work_order,WO-70165,2025-04-04T15:39:00,E073,wo_released,planned,released,MRP,1.0,N
EV-001987,northfield_industrial_components,procure_to_pay,purchase_order,PO-31249,2025-04-05T09:42:00,E061,po_issued,draft,open,PO-31249.pdf,1.0,N
EV-000492,northfield_industrial_components,quote_to_order,sales_order,SO-26293,2025-04-05T13:18:00,E075,order_entered,,open,customer_po_PUR-684517,0.9,N
EV-001810,northfield_industrial_components,procure_to_pay,purchase_order,PO-31072,2025-04-05T14:14:00,E062,po_issued,draft,open,PO-31072.pdf,1.0,N
EV-001991,northfield_industrial_components,procure_to_pay,purchase_order,PO-31253,2025-04-06T10:43:00,E062,po_issued,draft,open,PO-31253.pdf,1.0,N
EV-002553,northfield_industrial_components,manufacturing,work_order,WO-70033,2025-04-06T10:47:00,E022,wo_released,planned,released,MRP,1.0,N
EV-000387,northfield_industrial_components,quote_to_order,sales_order,SO-26190,2025-04-06T13:45:00,E075,order_entered,,open,customer_po_PO398781,0.9,N
EV-001838,northfield_industrial_components,procure_to_pay,purchase_order,PO-31100,2025-04-06T15:22:00,E062,po_issued,draft,open,PO-31100.pdf,1.0,N
EV-000173,northfield_industrial_components,quote_to_order,quote,Q-26173,2025-04-06T15:58:00,E069,quote_sent,draft,sent,Q-26173.pdf,1.0,N
EV-000259,northfield_industrial_components,quote_to_order,sales_order,SO-26062,2025-04-07T10:16:00,E073,order_entered,,open,customer_po_4500348302,0.9,N
EV-001846,northfield_industrial_components,procure_to_pay,purchase_order,PO-31108,2025-04-07T12:23:00,E063,po_issued,draft,open,PO-31108.pdf,1.0,N
EV-000301,northfield_industrial_components,quote_to_order,sales_order,SO-26104,2025-04-08T10:12:00,E075,order_entered,,open,customer_po_PO369732,1.0,N
EV-001858,northfield_industrial_components,procure_to_pay,purchase_order,PO-31120,2025-04-08T16:32:00,E060,po_issued,draft,open,PO-31120.pdf,1.0,N
EV-000040,northfield_industrial_components,quote_to_order,quote,Q-26040,2025-04-08T17:41:00,E068,quote_sent,draft,sent,Q-26040.pdf,1.0,N
EV-002653,northfield_industrial_components,manufacturing,work_order,WO-70089,2025-04-09T11:39:00,E005,wo_released,planned,released,MRP,1.0,N
EV-000379,northfield_industrial_components,quote_to_order,sales_order,SO-26182,2025-04-09T15:01:00,E064,order_entered,,open,customer_po_PO270096,0.9,N
EV-002747,northfield_industrial_components,manufacturing,work_order,WO-70140,2025-04-10T08:38:00,E036,wo_released,planned,released,MRP,1.0,N
EV-002810,northfield_industrial_components,manufacturing,work_order,WO-70173,2025-04-10T08:52:00,E074,wo_released,planned,released,MRP,1.0,N
EV-000566,northfield_industrial_components,quote_to_order,sales_order,SO-26362,2025-04-10T09:06:00,E075,order_entered,,open,customer_po_PO150255,0.9,N
EV-000254,northfield_industrial_components,quote_to_order,sales_order,SO-26057,2025-04-10T09:27:00,E064,order_entered,,open,customer_po_PO253685,1.0,N
EV-002542,northfield_industrial_components,manufacturing,work_order,WO-70027,2025-04-10T09:28:00,E073,wo_released,planned,released,MRP,1.0,N
EV-001956,northfield_industrial_components,procure_to_pay,purchase_order,PO-31218,2025-04-11T08:32:00,E060,po_issued,draft,open,PO-31218.pdf,1.0,N
EV-000786,northfield_industrial_components,fulfillment,shipment,SH-50161,2025-04-11T09:29:00,E083,shipment_confirmed,picked,shipped,PS-SH-50161.pdf,1.0,N
EV-001177,northfield_industrial_components,order_to_cash,customer_invoice,INV-60161,2025-04-11T11:41:00,E002,invoice_issued,,open,INV-60161.pdf,1.0,N
EV-000519,northfield_industrial_components,quote_to_order,sales_order,SO-26318,2025-04-11T12:22:00,E067,order_entered,,open,customer_po_4500447974,0.9,N
EV-002726,northfield_industrial_components,manufacturing,work_order,WO-70128,2025-04-11T12:43:00,E100,wo_released,planned,released,MRP,1.0,N
EV-001755,northfield_industrial_components,procure_to_pay,purchase_order,PO-31017,2025-04-11T16:16:00,E061,po_issued,draft,open,PO-31017.pdf,1.0,N
EV-001840,northfield_industrial_components,procure_to_pay,purchase_order,PO-31102,2025-04-12T09:36:00,E061,po_issued,draft,open,PO-31102.pdf,1.0,N
EV-001869,northfield_industrial_components,procure_to_pay,purchase_order,PO-31131,2025-04-12T11:07:00,E061,po_issued,draft,open,PO-31131.pdf,1.0,N
EV-000353,northfield_industrial_components,quote_to_order,sales_order,SO-26156,2025-04-12T14:02:00,E075,order_entered,,open,customer_po_P614898,0.9,N
EV-000272,northfield_industrial_components,quote_to_order,sales_order,SO-26075,2025-04-13T11:24:00,E073,order_entered,,open,customer_po_PO433637,0.9,N
EV-000592,northfield_industrial_components,quote_to_order,sales_order,SO-26388,2025-04-13T11:56:00,E067,order_entered,,open,customer_po_P961946,1.0,N
EV-002520,northfield_industrial_components,manufacturing,work_order,WO-70015,2025-04-13T16:07:00,E068,wo_released,planned,released,MRP,1.0,N
EV-000051,northfield_industrial_components,quote_to_order,quote,Q-26051,2025-04-13T17:01:00,E072,quote_sent,draft,sent,Q-26051.pdf,1.0,N
EV-000046,northfield_industrial_components,quote_to_order,quote,Q-26046,2025-04-14T09:31:00,E072,quote_sent,draft,sent,Q-26046.pdf,1.0,N
EV-000615,northfield_industrial_components,quote_to_order,sales_order,SO-26410,2025-04-14T10:38:00,E074,order_entered,,open,customer_po_P385088,1.0,N
EV-000558,northfield_industrial_components,quote_to_order,sales_order,SO-26355,2025-04-14T13:59:00,E065,order_entered,,open,customer_po_P949365,1.0,N
EV-000233,northfield_industrial_components,quote_to_order,sales_order,SO-26036,2025-04-14T16:11:00,E066,order_entered,,open,customer_po_PO398887,0.9,N
EV-002234,northfield_industrial_components,procure_to_pay,receipt,RCV-40236,2025-04-15T13:23:00,E079,goods_received,open,received,PS247037,0.85,Y
EV-000300,northfield_industrial_components,quote_to_order,sales_order,SO-26103,2025-04-15T17:47:00,E068,order_entered,,open,customer_po_4500617988,0.9,N
EV-001879,northfield_industrial_components,procure_to_pay,purchase_order,PO-31141,2025-04-15T17:58:00,E061,po_issued,draft,open,PO-31141.pdf,1.0,N
EV-001193,northfield_industrial_components,order_to_cash,customer_invoice,INV-60177,2025-04-16T09:31:00,E002,invoice_issued,,open,INV-60177.pdf,1.0,N
EV-002602,northfield_industrial_components,manufacturing,work_order,WO-70061,2025-04-16T12:25:00,E055,wo_closed,in_process,closed,COC-WO-70061.pdf,1.0,N
EV-000124,northfield_industrial_components,quote_to_order,quote,Q-26124,2025-04-16T15:19:00,E069,quote_sent,draft,sent,Q-26124.pdf,1.0,N
EV-002868,northfield_industrial_components,manufacturing,work_order,WO-70203,2025-04-16T16:18:00,E055,wo_released,planned,released,MRP,1.0,N
EV-000802,northfield_industrial_components,fulfillment,shipment,SH-50177,2025-04-16T16:39:00,E083,shipment_confirmed,picked,shipped,PS-SH-50177.pdf,1.0,N
EV-000193,northfield_industrial_components,quote_to_order,quote,Q-26193,2025-04-17T07:40:00,E071,quote_sent,draft,sent,Q-26193.pdf,1.0,N
EV-001952,northfield_industrial_components,procure_to_pay,purchase_order,PO-31214,2025-04-17T08:00:00,E063,po_issued,draft,open,PO-31214.pdf,1.0,N
EV-001817,northfield_industrial_components,procure_to_pay,purchase_order,PO-31079,2025-04-17T08:46:00,E062,po_issued,draft,open,PO-31079.pdf,1.0,N
EV-001751,northfield_industrial_components,procure_to_pay,purchase_order,PO-31013,2025-04-17T13:41:00,E061,po_issued,draft,open,PO-31013.pdf,1.0,N
EV-000249,northfield_industrial_components,quote_to_order,sales_order,SO-26052,2025-04-17T13:51:00,E075,order_entered,,open,customer_po_PUR-828456,0.9,N
EV-000485,northfield_industrial_components,quote_to_order,sales_order,SO-26287,2025-04-17T17:50:00,E065,order_entered,,open,customer_po_PUR-948390,0.9,N
EV-001812,northfield_industrial_components,procure_to_pay,purchase_order,PO-31074,2025-04-18T08:42:00,E060,po_issued,draft,open,PO-31074.pdf,1.0,N
EV-000302,northfield_industrial_components,quote_to_order,sales_order,SO-26105,2025-04-18T15:45:00,E068,order_entered,,open,customer_po_P114555,1.0,N
