ITEM,DESCRIPTION,TYPE,COST,PRICE,SALES TAX CODE,QUANTITY ON HAND,PREFERRED VENDOR,REORDER PT (MIN),MAX,MPN,U/M
BRG-6205,"Deep groove ball bearing 25x52x15, sealed",Inventory Part,5.2,8.48,Non,71,Fastenal,102,65,6205-2RS1,EA
6308-882,"Deep groove ball bearing 40x90x23, shielded",Inventory Part,14.9,21.9,Non,115,Fastenal,107,98,6308-2Z,EA
B62-454,Hi-Power II V-belt B62,Inventory Part,17.85,26.42,Tax,80,Grainger Industrial Supply,106,332,B62,EA
CUTM12-054,Cutting Wheel 4.5in 1.375 x 5in,Inventory Part,,70.23,Non,213,Sandvik Coromant,23,148,A99918,EA
243-180,"Threadlocker 243 medium strength blue, 50 mL",Inventory Part,24.95,34.43,Non,429,Fastenal,32,174,,EA
7447-552,"Scotch-Brite hand pad 6x9 maroon, 20/bx",Inventory Part,33.2,49.47,Non,743,Grainger Industrial Supply,46,339,7447,BX
G10-708,"KleenGuard G10 nitrile gloves, large, 100/bx",Inventory Part,12.95,20.2,Non,355,Grainger Industrial Supply,93,186,G10,BX
SF18-434,Machine stretch wrap 18in x 1500ft 80ga,Inventory Part,27.1,38.48,Non,630,Uline,26,304,SF18-80,RL
S-291,"Corrugated box 12x12x12, 25/bd",Inventory Part,31.0,46.19,Non,73,Uline,27,213,S-4123,BD
SF401AF-239,SecureFit 400 safety glasses clear anti-fog,Inventory Part,4.6,6.39,Non,318,Fastenal,81,176,SF401AF,EA
49012-174,WD-40 Multi-Use 1 gal,Inventory Part,29.95,40.43,Non,394,Grainger Industrial Supply,96,382,49012,GA
HHCS-254,"Hex head cap screw 1/2-13 x 2 Gr 8 yellow zinc, 50/bx ",Inventory Part,29.1,40.74,Non,260,Brighton-Best International,27,124,HHCS-0500-13-200-G8,BX
SF401AF-239,SecureFit 400 safety glasses clear anti-fog,Inventory Part,4.6,6.39,Non,318,Fastenal,81,176,SF401AF,EA
HN-789,"Hex nut 1/2-13 Gr 8 yellow zinc, 100/bx",Inventory Part,14.6,21.32,Non,224,Brighton-Best International,101,348,HN-0500-13-G8,BX
BRG-6205-IMP,"6205 2RS ball bearing (import, generic)",Inventory Part,1.85,3.49,Non,,Brighton-Best International,50,200,6205-2RS,EA
HEXsize8-000,HEX BOLT GR 5 ZINC M8 X 2IN,Inventory Part,25.3,,Non,34,McMaster-Carr,49,13,E67737,BX
ANCM8-001,Anchor Wedge 2.000 x 3in,Inventory Part,100.37,153.57,NON,25,Ryerson,30,120,D40495,C
FLA1420-002,Flat Washer SAE 2.000 x 2in,Inventory Part,19.51,31.22,Non,108,Haas Automation,27,128,T29191,BX
ABRsize8-003,Abrasive Flap Disc 1.375 x 1in,Inventory Part,40.96,71.27,Non,77,Brighton-Best International,11,49,B33421,EA
