PO_NUMBER,ACK_DATE,CONFIRMED_TOTAL,CONFIRMED_SHIP_DAT,METHOD
8783,2025-04-03,13663.5,04/27/2025,EDI 855
8547 ,2026-02-23,"$11,247.84",03/20/26,Email
8928,2026-03-16,13663.5,"Mar 22, 2026",Email
7266,2026-01-13,"$7,847.07",2026-01-26,Email
7957,2025-10-28,9252.1,2025-11-05,EDI 855
5668,02/02/26,1768.8,2026-02-21,Email
5659,2025-11-09,$464.00,2025-12-04,EDI 855
5112 ,2025-08-20,6539.44,2025-09-04,Email
5458,11-Mar-2026,"$4,283.10",2026-03-23,Portal
5997,02/26/26,"$1,113.56",2026-03-25,Portal
6500,27-Aug-2025,884.4,09/23/25,Email
8406,2026-03-25,"$2,767.06",2026-04-11,Portal
6202,10-Dec-2025,"$3,702.60",12/16/2025,EDI 855
5300,07/21/25,5412.3,2025-08-02,Email
6454,02/02/2026,"$13,311.32","Feb 23, 2026",Email
8712,2026-02-27,1882.0,03/17/26,Portal
8699,22-Feb-2026,38798.43,03/12/26,Portal
8926,2026-01-25,"$4,819.16",27-Jan-2026,EDI 855
8534,"Nov 13, 2025",5111.4,2025-11-25,Email
5233,2025-11-10,5933.45,11/16/2025,Email
6267,2025-12-17,3506.88,"Dec 24, 2025",EDI 855
7622,10/15/2025,38474.08,2025-11-06,EDI 855
8744 ,11/13/2025,870.32,2025-11-14,Email
8271,"Dec 04, 2025",623.75,12/07/2025,EDI 855
7681,05/07/2025,18979.39,"May 17, 2025",Portal
5444,2026-03-02,"$28,920.00","Mar 17, 2026",EDI 855
5191,2025-07-14,1523.87,2025-07-15,Email
6172,04-Apr-2025,1330.5,"Apr 09, 2025",EDI 855
6637,12/20/25,3175.7,2026-01-11,Portal
5673,"Mar 23, 2026","$8,330.30",2026-04-07,Portal
7729,2025-07-18,16435.0,07/26/2025,EDI 855
5900,10-Jan-2026,3511.8,07-Feb-2026,Email
6090,2026-02-08,"$47,849.10",2026-02-25,Portal 
7981,2026-01-14,3960.28,"Feb 13, 2026",EDI 855
6424,2026-03-09,"$18,963.40",2026-03-23,Email
8668,2026-01-08,,2026-01-21,Portal
7938,03/22/26,2035.07,2026-04-11,Portal
7593,2025-10-19,670.0,2025-10-20,EDI 855
6854,2025-06-22,3804.36,2025-06-25,EDI 855
5815,2026-01-19,"$1,901.90",08-Feb-2026 ,EDI 855
6679,2026-01-29,"$1,076.25",,Email
5210,2025-05-09,44337.08,2025-06-06,Portal
5257,"Mar 21, 2026",10316.09,2026-04-19,Portal
8125,,"$18,966.00","Dec 08, 2025",Email
7005,"May 15, 2025",25846.38,"May 26, 2025",EDI 855
8380,2025-04-19,"$5,792.94",2025-05-11,Portal
7009,2026-01-18,1308.95,2026-02-06,EDI 855
5862,21-Oct-2025,41385.0,2025-11-16,EDI 855
8980,2025-05-15,,2025-06-13,Email
5506,"Nov 02, 2025",1417.84,2025-11-25,Portal
8057,27-Dec-2025,"$2,020.30",2026-01-23,Portal
8203,05-Oct-2025,3974.0,2025-10-20 ,
6309,2025-12-18,3531.33,12/26/2025,Email
7352,2025-04-06,"$18,821.55","Apr 19, 2025",Email
6164,2025-10-14,10653.58,2025-10-31,Email
8269,01/02/26,1660.56,2026-01-16,Portal
6018,2025-06-20,6205.08,2025-06-24,Portal
5046,"Jul 16, 2025 ",20019.14,03-Aug-2025,Portal
5017,2025-04-12,$467.60,04/12/25,Portal
6429,2025-05-06,2118.69,14-May-2025 ,EDI 855
8109,18-Nov-2025,1364.06,2025-12-12,Email
6130,06/22/25,"$4,120.00",2025-07-18,Portal
7676,2025-10-17,1402.14,2025-10-23,Email
7689,2025-12-30,"$10,019.95",2026-01-18,Email
8826,2025-07-01,"$9,215.48",2025-07-07,EDI 855
5906,2025-10-28,5938.83,2025-11-06,EDI 855
5506,"Nov 02, 2025",1417.84,2025-11-25,Portal
7280,11/12/2025,2424.61,12/04/25,EDI 855 
7148,2025-10-13,"$9,294.80",,Portal
6582,2026-01-01,"$15,742.56",2026-01-30,EDI 855
6250,2025-07-30,3851.7,01-Aug-2025,Email
7988,2025-11-13,4854.95,11/17/25,Email
6633,2026-01-21,"$11,159.63","Feb 06, 2026",EDI 855
8909,09/05/2025,"$3,727.10",09/30/25,Email
8324,,$625.02,2026-03-29,EDI 855
8172,2025-11-13,527.25,2025-11-30,EDI 855
6286,12-Aug-2025,21143.51,,Portal
6775,2026-01-20,"$1,589.25",14-Feb-2026,EDI 855
5580,"Jun 03, 2025",5430.26,2025-06-12,EDI 855
6910,"Dec 21, 2025",10919.87,2026-01-07,EDI 855
7373,2025-12-01,,2025-12-04,EDI 855
8014,08-Apr-2025,3338.91,2025-04-18,EDI 855
7855 ,2025-05-19,3322.43,03-Jun-2025,EDI 855
8830,2025-12-08,4418.5,2025-12-24,EDI 855
5005,09/23/25,1589.25,10/14/25,Portal
6715,"Sep 02, 2025",8233.74,2025-09-18,EDI 855
5960,2026-02-27 ,"$11,172.81",20-Mar-2026,Portal
5640,2026-01-01,$369.18,01/07/26,EDI 855
5504,2026-01-16,"$2,109.25","Feb 01, 2026",Portal
5900,2025-09-13,12494.0,2025-09-27,Email
6132,13-Jan-2026,4495.0,2026-01-27,Portal
7668,2025-06-17,2964.55,2025-07-09,Email
6878,09-Jun-2025,"$4,312.29",2025-06-25,Email
,01/27/2026,18834.16,,EDI 855
7377,2026-01-13,18746.95,2026-02-03,Email 
5488,2025-06-29,11940.25,"Jul 14, 2025",Email
7472,"Jun 03, 2025",13095.96,2025-06-18,EDI 855
8218,03/10/2026,"$4,016.00",2026-03-31,Email
7904,2025-10-17,"$5,321.30","Nov 12, 2025",Portal
8369,09-Jan-2026,3435.0,"Feb 04, 2026",Portal
8626,2025-04-08,2457.06,11-Apr-2025,EDI 855
8197,2025-07-05,"$26,608.75",2025-07-19,Portal
5444,2026-03-02,"$28,920.00","Mar 17, 2026",EDI 855
8617,2026-02-20,5638.38,2026-03-19,
8286,05/31/2025,9426.87,2025-06-26,Portal
6377,2025-09-21,26449.9,2025-09-23,Email
7132,27-Sep-2025,$942.24,2025-10-05,Portal
7838 ,2026-03-28,"$10,728.84","Apr 10, 2026",Email
6242,2026-01-25,11384.17,02/23/26,Email
8134,2025-12-05,2638.82,2025-12-19,EDI 855
8223,2026-02-03,9005.15,02/20/26,Email
,12/07/25,"$14,097.42",2025-12-22,Email
7122,2025-05-22,"$10,293.50","Jun 12, 2025",Portal
5884,09/25/2025,11684.66,10/04/25,Email
7157,2026-01-22,"$9,505.00",01/27/26,Email
8603,07-MAR-2026,"$6,650.65",2026-03-24,Email 
6215,18-Feb-2026 ,"$9,919.05",2026-03-15,Email
5688,2026-01-06 ,4880.09,01/27/2026,Email
6421,08-Oct-2025,11254.8,10/29/2025,EDI 855
6678,"Sep 18, 2025",11600.55,2025-10-02,
6682,"Jan 26, 2026","$6,568.55","Jan 29, 2026",EDI 855
7976,2025-11-02,"$12,678.71",2025-11-05 ,EDI 855
7686,2025-09-24,58290.02,2025-10-14,Portal
6364,2025-04-05,3125.55,22-Apr-2025,Email
8474,2025-09-08,"$24,698.88",2025-10-04,Email
7590,03/03/2026,8870.18,2026-03-14,Portal
6709,2026-02-28,"$11,435.00",2026-03-18,EDI 855
7079,10-Aug-2025,43669.05,2025-08-27,EDI 855
5990,2025-08-22,"$10,301.50","Sep 02, 2025",Email
7572,2025-06-21,5951.7,07/09/25,Portal
5581,2025-12-06,"$29,777.20","Jan 05, 2026",EDI 855
6149,10/07/2025,3277.04,10/23/2025,Portal
7547,2025-12-12,"$10,018.75",2026-01-05,EDI 855
7285,16-Aug-2025,"$49,769.68",2025-09-06,EDI 855 
6709,2026-02-28,"$11,435.00",2026-03-18,EDI 855
8815,2025-12-23,3664.18,2026-01-15,EDI 855
5130,2025-11-20,"$19,619.79",12/01/2025,Portal
6757,2025-07-24 ,"$5,326.14",2025-07-31,Portal
7359,07/24/25,4462.5,08/14/25,Portal
5462,2025-06-14,15191.78,2025-07-03,Portal
8667,,6553.26,27-Mar-2026,Portal
7459,2025-07-04,3939.39,2025-07-28,EDI 855
6739,2025-09-20,11527.48,2025-10-05,Portal
5923,08/27/2025,"$14,318.18",09/09/2025,Portal
6620,2025-12-21,"$4,878.30",12/29/2025,EDI 855
7144,11/29/25,7645.9,12/23/25,EDI 855
5626,2025-09-02,6039.9,07-Sep-2025,EDI 855
5239,,8262.25,2026-03-01,EDI 855
7388,2025-11-09,1444.25,12/02/2025,EDI 855
6871,2025-11-25,"$2,457.65",2025-12-13,Email
7148,2025-07-17,941.57,2025-08-03,EDI 855
7793,02/02/26,637.56,"Feb 14, 2026",Portal
8093,2025-12-14,9009.0,2026-01-09,EDI 855
8928,2026-03-16,13663.5,"Mar 22, 2026",Email
5534,2025-07-30,$212.73,"Aug 07, 2025",EDI 855
5222,2026-03-21,12127.64,04/03/26,Email
8669,2025-12-21,37003.7,01/14/26,EDI 855
8830,2025-12-08,4418.5,2025-12-24,EDI 855
5394,2025-06-01,3867.94,2025-06-08,EDI 855
8794,07/20/2025,"$11,983.32",,EDI 855
6950,2025-09-27,"$12,023.30",2025-10-11,Email
7442,2025-12-10,,2025-12-30,EDI 855
5292 ,2026-01-15,11323.36,2026-02-11,Portal
5626,2025-09-02,6039.9,07-Sep-2025,EDI 855
7062,2025-12-05,4053.84,12/28/25,Portal
