PAYMENT_ID,SUPPLIER_ID,SUPPLIER_INVOICE_N,PAYMENT_DATE,AMOUNT,METHOD,CHECK_NUMBER,BANK_ACCOUNT
RFS-APP00001,RFS-V008,INV1624479,2025-05-21,"$14,927.37",ACH,21050,1000
RFS-APP00002,RFS-V014,INV6357464,2026-03-11,7916.07,ACH,11686,1000
RFS-APP00003,RFS-V007,93710961,2026-01-20,"$3,306.10",ACH,18266,1000
RFS-APP00004,RFS-V014,3149609,02/11/26,$567.48,Check,,1000
RFS-APP00005,RFS-V015,,2025-11-12,6539.44,,10683,1000
RFS-APP00006,RFS-V005,INV6878287,2026-02-06,"$2,011.68",ACH,,1000
RFS-APP00007,RFS-V001,INV9597433 ,2025-11-04,884.4,Card,,1000
RFS-APP00008,RFS-V010,INV528571,2026-01-26,3630.0,ACH,,1000
RFS-APP00009,RFS-V001,SI3944515,2025-09-18,4480.5,ACH,,1000
RFS-APP00010,RFS-V003,INV6917400,2026-03-23,13374.41,Card,,1000
RFS-APP00011,RFS-V001,INV6047369,"Nov 14, 2025","$11,592.32",ACH,,1000
RFS-APP00012,RFS-V007,97595288,2026-03-15,"$4,819.16",Check,,
RFS-APP00107,RFS-V002,INV8111736,02/11/2026,"$3,920.43",Check,,1000
RFS-APP00013,RFS-V017 ,9456265,25-Jan-2026,"$5,126.28",Card,,1000
RFS-APP00014,RFS-V011,INV7402934,2025-12-25,$800.45,Check,11250,1000
RFS-APP00015,RFS-V018,SI2263204,02/26/26,3535.5,Card,26096,1000
RFS-APP00016 ,RFS-V007,,12/23/2025,"$38,474.08",Check,,1000
RFS-APP00017,RFS-V006,8679785,20-Jan-2026,$706.96,Card,10353,1000
RFS-APP00018,RFS-V005,96701562,2025-06-17,18979.39,Check,20643,1000
RFS-APP00019,RFS-V002,4389999,2025-09-09,1523.87,ACH,26701,1000
RFS-APP00020,RFS-V006,INV7798442,02/03/26,"$3,175.70",Card,28932,1000
RFS-APP00021,RFS-V004,SI2524758,2026-01-07,"$1,534.59",ACH,20497,1000
RFS-APP00022,RFS-V018,SI6557223,09/21/25,16435.0,Card,25125 ,1000
RFS-APP00023,RFS-V015,SI9586080,03/23/2026,3511.8,Check,,1000
RFS-APP00024,RFS-V001,SI2071507,17-Dec-2025 ,731.98,ACH,,1000
RFS-APP00025,RFS-V009,6633255,09-Sep-2025,3530.79,Check,,1000
RFS-APP00026,RFS-V005,INV7296697,2026-03-20,,Card,,1000
RFS-APP00027,RFS-V017,799255,2025-07-13,44349.08,Card,14322,1000
RFS-APP00028,RFS-V012,92921231,12/17/25,6193.19,Card,,1000
RFS-APP00029,RFS-V008,5633648,"Jan 02, 2026",18966.0,ACH,,1000
RFS-APP00030,RFS-V008,9824460,07/05/25,26012.12,Card,29578,1000
RFS-APP00031,RFS-V014,SI3490239,2025-07-22,5792.94,Card,,1000
RFS-APP00032,,1153266,2026-01-16,"$41,385.00",Check,29301,1000
RFS-APP00033,RFS-V006,95397211,2026-02-12,"$7,940.45",Check,,1000
RFS-APP00034,RFS-V012,98315852,"Nov 12, 2025","$5,280.65",,17747,1000
RFS-APP00035,RFS-V011,SI8754820,2025-07-20,29093.78,,,1000
RFS-APP00036,RFS-V014,INV8069055,2026-02-20,"$2,020.30",ACH,25239,1000
RFS-APP00037 ,RFS-V014,5751840,2026-01-01,3974.0,Check,10307,1000
RFS-APP00038,RFS-V009,92977627,2025-08-02,12046.06,ACH,,1000
RFS-APP00039,RFS-V010,INV1805748,2026-01-23,"$3,607.30",ACH,,1000
RFS-APP00040,RFS-V002,99245821,2025-08-30,6483.1,Check,24904,1000
RFS-APP00063,RFS-V012,4391312,10/18/2025,3816.15,ACH,,1000
RFS-APP00041,RFS-V011,SI4118379,2025-06-02 ,18959.41,ACH,,1000
RFS-APP00042,RFS-V018,99675931,2025-11-30 ,"$9,963.98",ACH,14565,1000
RFS-APP00043,RFS-V001,9010774,2026-03-08,1660.56,Check,17627,1000
RFS-APP00044,RFS-V016,2109781,03-Jan-2026,3469.36,Check,22517,1000
RFS-APP00045,RFS-V017,98132883,02-Sep-2025,6342.56,CHECK,26449,1000
RFS-APP00046,RFS-V012,5485300,2025-09-02,18291.4,Check,,1000
RFS-APP00147,RFS-V008,SI3396347,"Feb 11, 2026",40426.54,ACH,28166,1000
RFS-APP00047,RFS-V007,7965283,06/21/25,$233.80,CHECK,11592 ,1000
RFS-APP00048,RFS-V004,INV1911993,2025-07-30,2118.69,Card,,1000
RFS-APP00049,RFS-V006,SI6613379,2026-02-11,3547.11,ACH,25154 ,1000
,RFS-V018,92723185,01/09/2026,1364.06,ACH,,1000
RFS-APP00051,RFS-V005,SI9522233,2025-08-13,4120.0,Card ,,1000
RFS-APP00052,RFS-V007,INV9168545,2025-12-03,1185.0,Card,,1000
RFS-APP00053,RFS-V004,8739331,2026-03-25,10019.95,ACH,,1000
RFS-APP00054,RFS-V015,SI7307931,09/19/25,"$6,813.10",ACH,12784,1000
RFS-APP00055,RFS-V002,INV3618509,08/27/2025,9215.48,ACH,,1000
RFS-APP00056,RFS-V005,INV2340546,2026-02-21,"$31,476.22",Check,,1000
RFS-APP00057,RFS-V013,95830598,"Jan 02, 2026","$6,644.58",Check,,1000
RFS-APP00058,RFS-V010,93702484,14-Dec-2025,1717.79,Card,,1000
RFS-APP00059,RFS-V010,92375263,16-Dec-2025,2424.61,ACH ,,1000
RFS-APP00060,RFS-V001,94707722,2025-12-14,"$10,154.57",ACH,29136,
RFS-APP00099,RFS-V009,6583241,2025-07-21,27214.56,ACH,,1000
RFS-APP00061,RFS-V013,INV9119803,02/22/2026,15742.56,ACH,,1000
RFS-APP00062,RFS-V003,4368808,2025-07-30,"$22,353.79",ACH,26164,1000
RFS-APP00063,RFS-V012,4391312,10/18/2025,3816.15,ACH,,1000
RFS-APP00064,,94654214,2026-01-24,5012.6,Card,,1000
RFS-APP00065,RFS-V005,INV7425418,2025-06-19,1555.65,Check,18996,1000
RFS-APP00066,RFS-V014,INV1429495,11/03/2025,3292.5,ACH,10528,1000
