RECEIPT_ID,PO_NUMBER,SUPPLIER_ID,RECEIPT_DATE,RECEIVED_BY,PACKING_SLIP_NUMBE,CARRIER,CONDITION,INSPECTION_REQUIRE
RCV-40001,8783,RFS-V008,2025-04-13,E018,PS293420,Supplier Truck,OK,N
RCV-40002,8547,RFS-V005,2026-03-18,E014,PS174571,Will Call,OK,N
RCV-40003,,RFS-V008,,E015,PS801504,Supplier Truck,OK,N
RCV-40004,7266,RFS-V014,2026-01-22,E013,PS204941,Will Call,OK,N
RCV-40005,7957,RFS-V007,2025-12-09,E014,PS898098,FedEx Ground,Short vs packing slip,N
RCV-40006,5668,RFS-V001,02/25/2026,E018,PS932715,Supplier Truck,OK,N
RCV-40007,5659,RFS-V014,12/22/2025,E017,PS817149,FedEx Ground,OK,N
RCV-40008,5112,RFS-V015,2025-09-22,E014,PS758121,LTL - Estes,OK,N
RCV-40009,5458,RFS-V004,"Mar 31, 2026",E017,PS366150,FedEx Ground,Short vs packing slip,N
RCV-40010,8433,RFS-V005,2025-12-31,E018,PS959809,Will Call,OK,N
RCV-40011,6500,RFS-V001,09/17/25,E021,PS757404,,Short vs packing slip,N
RCV-40012,6202,RFS-V010,12/20/2025,E021,PS219964,UPS Ground,OK,N
RCV-40013,5300,RFS-V001,,E016,PS142968,Will Call,OK,N
RCV-40097,7855,RFS-V009,2025-06-18,E017,PS760907,LTL - Estes,OK,N
RCV-40014,,RFS-V003,2026-02-08,E016,PS729356,FedEx Ground,Damaged carton - contents OK,N
RCV-40015,8816,RFS-V001,2025-09-30,E016,PS271333,Supplier Truck,OK,N
RCV-40016,8712,RFS-V012,"Mar 05, 2026",E019,PS903881,UPS GROUND,Damaged carton - contents OK,N
RCV-40017,8699,RFS-V016 ,2026-03-19,E012,PS525864,Will Call,OK,N
RCV-40018,8926,RFS-V007,02/07/2026,E014,PS945627,Will Call,OK,N
RCV-40019,8534,RFS-V017,2025-12-20,E016,PS966561,LTL - Estes,Damaged carton - contents OK,N
RCV-40020,5233,RFS-V011,"Nov 18, 2025",E013,PS583144,LTL - Estes,Short vs packing slip,N
RCV-40021,6267,RFS-V018,01/19/26,E020,PS869533,Will Call,OK,N 
RCV-40022 ,7622,RFS-V007,2025-11-20,E021,PS595575,FedEx Ground,Damaged carton - contents OK,N
RCV-40023,8271,RFS-V006,12/09/25,E012,PS649277,FedEx Ground,Short vs packing slip,N
RCV-40024,7681,RFS-V005,05/17/25,E012,PS741392,Supplier Truck,OK,N
RCV-40025,5191,RFS-V002 ,2025-07-31,E013,PS523029,UPS Ground,Damaged carton - contents OK,N
RCV-40026,6637,RFS-V006,2025-12-25,E018,PS638743,Will Call,OK,N
RCV-40109,7377,RFS-V006,2026-01-29,E019,PS928412,LTL - Estes,Damaged carton - contents OK,N
RCV-40027,5673 ,RFS-V015,2026-03-27,E018,PS378060,FedEx Ground,OK,N
RCV-40028,7717,RFS-V004,"Nov 26, 2025",E018,PS626297,LTL - Estes,OK,N
RCV-40029,7729,RFS-V018,2025-08-14,E016,PS950787,UPS Ground,OK,N
RCV-40030,5900,RFS-V015,"Feb 01, 2026",E014,PS955231,FedEx Ground,OK,N
RCV-40031,6090,RFS-V010,2026-02-21,E019,PS276588,FedEx Ground,OK,N
RCV-40032,7981,RFS-V013,14-Feb-2026,E014,PS758116,Supplier Truck,OK,N
RCV-40033,6424,RFS-V013,2026-03-26,E021,PS419322,Supplier Truck,OK,N
RCV-40034 ,8668,RFS-V016,2026-02-15,E015,PS768121,FedEx Ground,OK,N
RCV-40035,7593,RFS-V001,11/09/2025,E021,PS941916,UPS Ground,OK,N
RCV-40036,6854,RFS-V009,2025-07-27,E018,PS404697,Will Call,OK,N
RCV-40037,5815,RFS-V005,2026-02-04,E013,PS851752,Supplier Truck,OK ,N
RCV-40038,6679,RFS-V004,2026-02-11,E020,PS988500,Will Call,OK,N
RCV-40039,5210,RFS-V017,2025-05-26,E015,PS464875 ,LTL - Estes,OK,N
RCV-40040,6081,RFS-V012,2025-11-15,E018,PS946722,LTL - Estes,OK,N
RCV-40041,7227,RFS-V004,2026-03-26,E013,,LTL - Estes ,OK ,N
RCV-40042,8125,RFS-V008,11/29/2025,E019,PS987385,FedEx Ground,OK,N
RCV-40043,7005,,"May 19, 2025",E013,PS215599,UPS Ground,OK,N
RCV-40044,8380,RFS-V014,"May 31, 2025",E018,,UPS Ground,OK,N
RCV-40045,7009,RFS-V004,2026-03-02,E015,PS293721,Supplier Truck,Damaged carton - contents OK,N
RCV-40046,5862,RFS-V014,18-Nov-2025,E016 ,PS821523,LTL - Estes,OK,N
RCV-40047,5441,RFS-V002,"Mar 31, 2026",E015,PS137675,UPS Ground,Damaged carton - contents OK,N
RCV-40048,8302,RFS-V006,04-Jan-2026,E021,PS715006,UPS Ground,OK,N
RCV-40049,8847,RFS-V012,2025-09-27,E018,PS224736,LTL - Estes,OK,N
RCV-40050,8980,RFS-V011,2025-06-11,E016,PS238196,,Damaged carton - contents OK,N
RCV-40051,8057,RFS-V014,2026-01-08,E017,PS167453,Supplier Truck,Short vs packing slip,N
RCV-40052,8203,RFS-V014,"Nov 13, 2025",E019,PS890814,FedEx Ground,Short vs packing slip,N
RCV-40053,6571,RFS-V009,2025-06-21,E013,PS178440,LTL - Estes,OK,N
RCV-40054,6309,,2025-12-28,E021,PS275415,Supplier Truck,Damaged carton - contents OK,N
RCV-40055,7248,RFS-V002,2025-07-30,E018,PS538243,FedEx Ground,Short vs packing slip,N
RCV-40056,7352,RFS-V011,"Apr 27, 2025",E016,PS209925,UPS Ground,OK,N
RCV-40057,8186,RFS-V013,02/26/2026,E017,PS967294,FedEx Ground,Short vs packing slip ,N
RCV-40058,6164,RFS-V018,2025-10-20,E019,PS929747,Supplier Truck,OK,N
RCV-40059,8269,RFS-V001,2026-02-04,E012,PS871049,FedEx Ground,OK,N
RCV-40060,5465,RFS-V016,11/17/2025,E021,PS803709,Will Call,OK,N 
RCV-40061 ,6018,RFS-V017,2025-07-27,,PS445404,FEDEX GROUND,Short vs packing slip,N
RCV-40062,5861,RFS-V018,"Mar 31, 2026",E015,PS284081,UPS Ground ,OK,N
RCV-40063,5046,RFS-V012,07-Aug-2025,E012,PS747112,UPS Ground,OK,N
RCV-40064,5017,RFS-V007,2025-05-15,E021,PS471912,UPS Ground,OK,N
RCV-40065,6429,RFS-V004 ,2025-06-08,E016,PS567719,Will Call,OK,N
RCV-40066,5194,RFS-V006,2026-01-04,E021 ,PS641903,UPS Ground,Short vs packing slip,N
RCV-40067,8109,RFS-V018,04-Dec-2025,E016,PS863902,Will Call,Damaged carton - contents OK,N
RCV-40068,6130,RFS-V005,03-Jul-2025,E019,PS882503,Supplier Truck,Damaged carton - contents OK,N 
RCV-40069,6111 ,RFS-V011,"Mar 30, 2026",E013,PS107421,FedEx Ground,OK,N
RCV-40070,7676,RFS-V007,28-Oct-2025,E020,PS796896,,OK,N
RCV-40071,7689,RFS-V004,02/07/2026,E015,PS217188,LTL - Estes,Short vs packing slip,N
RCV-40083,6250,RFS-V012,2025-09-09,E012,PS620179,FedEx Ground,OK,N
RCV-40072,,RFS-V015,"Jul 28, 2025",E014,PS845818,Supplier Truck,OK,N
RCV-40073,8826,RFS-V002,07/20/2025,E016,PS679525,Supplier Truck,OK,N
RCV-40074,8206,RFS-V005,01/22/2026,E021,PS166817,Will Call,OK,N
RCV-40075,5906,RFS-V013,"Nov 22, 2025 ",E015,PS300219,UPS Ground,OK,N
RCV-40076,5506,RFS-V010,2025-11-10,,PS809103,Will Call,OK,N
RCV-40077,7280,RFS-V010,"Nov 15, 2025",E018,PS707038,UPS Ground,OK,N
RCV-40078,7148,RFS-V001,11/05/2025,E017,PS567607,LTL - Estes,OK,N
RCV-40079,6582,RFS-V013,2026-01-24,E013,PS554712,Will Call,OK,N
RCV-40080,5105,RFS-V003,2025-06-23,E012,PS333109,UPS Ground,OK,N
RCV-40081,7873,RFS-V005,20-Feb-2026,E019,PS911069,FedEx Ground,OK,N
RCV-40082,5406,RFS-V009,2026-02-28,E019,PS336932,FedEx Ground,OK,
RCV-40083,6250,RFS-V012,2025-09-09,E012,PS620179,FedEx Ground,OK,N
RCV-40084,7988,RFS-V005,2025-12-12,E014,PS909318,Supplier Truck,OK,N
RCV-40085,6084,RFS-V005,05/11/25,E013,,Will Call,Damaged carton - contents OK,N
RCV-40086,6633,,14-Feb-2026,E019,PS207751,Will Call,Damaged carton - contents OK,N 
RCV-40087,8909,RFS-V014,2025-09-17,E013,PS355483,FedEx Ground,OK,N
RCV-40088,,RFS-V003,2026-03-16,E017,,Supplier Truck,Short vs packing slip,N
RCV-40089,8172,RFS-V013,22-Dec-2025,E016,PS363485,Supplier Truck,OK,N
RCV-40090,6286,RFS-V014,2025-09-10,E021,PS393965,UPS GROUND,Damaged carton - contents OK,N
RCV-40091,6775,RFS-V011,2026-02-24,E013,PS373384,Supplier Truck,OK,N
RCV-40092,5580,RFS-V007,14-Jun-2025,E017,PS393971 ,Supplier Truck,OK,N
RCV-40093,6422,RFS-V001,2025-09-15,E012,PS358992,Supplier Truck,Damaged carton - contents OK,N 
RCV-40094,6910,RFS-V007,2025-12-31,E013,PS186722,Supplier Truck,OK,N
RCV-40095,7373,RFS-V015,19-Dec-2025,E016,PS392066,Supplier Truck,Short vs packing slip,N
RCV-40146,6364,RFS-V012,2025-05-16,E017,PS302973,LTL - Estes,Damaged carton - contents OK,N
RCV-40096,8014,RFS-V011,2025-04-29,E016,PS204672,Supplier Truck,OK ,N
RCV-40097,7855,RFS-V009,2025-06-18,E017,PS760907,LTL - Estes,OK,N
RCV-40098,8355,RFS-V002,2025-09-02,E015,PS898683,LTL - Estes,Damaged carton - contents OK,N
RCV-40099,5267,,10/23/2025,E016,PS811950,UPS Ground,OK,N
RCV-40100,6715,RFS-V007,2025-09-08,E019,PS342532,Supplier Truck,Short vs packing slip,N
RCV-40101,5960,RFS-V004,2026-03-24,E015,PS646238,FedEx Ground,OK,N
RCV-40102,5640,RFS-V016,2026-02-17,E014,PS732110,FedEx Ground,OK,N
RCV-40103,5504,RFS-V011,"Jan 28, 2026",,PS654371,Will Call,Short vs packing slip,N
RCV-40104,5900,RFS-V006,"Feb 01, 2026",E019,PS821349,Will Call,Damaged carton - contents OK,N
RCV-40105,6132,RFS-V009,02/18/2026,E017,PS832705,UPS Ground,OK,
RCV-40106,7668,RFS-V007,2025-07-26,E014,PS604826,Will Call,OK,N
RCV-40107,6878,RFS-V010,"Jul 26, 2025",E019,PS710395,UPS Ground,OK,N
RCV-40108,6639,RFS-V005,"Feb 12, 2026",E021,PS439682,Will Call,OK,N
RCV-40109,7377,RFS-V006,2026-01-29,E019,PS928412,LTL - Estes,Damaged carton - contents OK,N
RCV-40110,5488,RFS-V003,2025-08-08,E014,PS241371,Supplier Truck,OK,N
RCV-40111,7472,RFS-V017,21-Jun-2025,E020,PS496875,Will Call,Short vs packing slip,N
RCV-40112,8218,RFS-V006,2026-03-31,E012,PS769274,WILL CALL,Short vs packing slip,N
RCV-40113,7904,RFS-V014,"Dec 01, 2025 ",E020,PS249930,Will Call,OK,N
RCV-40114,8369,RFS-V010,01/16/26,E013,PS719488,LTL - Estes,OK,N
RCV-40115,8626,RFS-V008,"Apr 16, 2025",E013,PS493666,LTL - Estes,Damaged carton - contents OK,N
RCV-40116,8197,RFS-V009,2025-08-15,E017,PS971450,Will Call,Damaged carton - contents OK,N
RCV-40117,5444,RFS-V006,"Mar 22, 2026",E012,PS161031,Will Call,Damaged carton - contents OK,N
RCV-40118,8617,RFS-V009,2026-03-29,E014,PS713596,Will Call,OK,N
RCV-40119,8286,RFS-V014,16-Jun-2025,E012,PS457204,Will Call,Damaged carton - contents OK,N
RCV-40120,6377,,2025-09-24,E017,PS865676,FedEx Ground,Short vs packing slip,N
RCV-40121 ,7132 ,RFS-V012,2025-10-13,E016,PS267117,Will Call,OK,N
RCV-40122,7838 ,RFS-V006,03/31/2026,E013,PS280781,FedEx Ground,OK,N
RCV-40123,6242,RFS-V015,01/28/2026,E020 ,PS792945,Will Call,OK,N
RCV-40124,8134,RFS-V004,2026-01-05,E017,PS543059,UPS Ground,Damaged carton - contents OK,N
RCV-40125,8223,RFS-V006,2026-02-25,E018,PS681482,FedEx Ground,OK,N
RCV-40126,7405,RFS-V018,12/12/2025,E018,PS884060,Will Call,Short vs packing slip,N
RCV-40127,7122,RFS-V015,"May 29, 2025",E020,PS328265,UPS Ground,Short vs packing slip,N
RCV-40128,5884,RFS-V001,"Nov 07, 2025",E020,PS784103,LTL - Estes,Damaged carton - contents OK ,N
RCV-40129,7157,,22-Feb-2026,E012,PS395153,Supplier Truck,OK,N
RCV-40130,8603,RFS-V007,2026-03-11,E020,PS163627,UPS Ground,Short vs packing slip,N
RCV-40131,7454,,"Aug 19, 2025",E016,PS199899,FedEx Ground,OK ,N
