SUPPLIER_INVOICE_N,PO_NUMBER,PO_LINE,ITEM_ID,INVOICED_QTY,UNIT_PRICE,EXTENDED
INV1624479,8783,1,G10-708,186,12.95,2408.7
INV1624479,8783,2,7447-552,339,33.2,11254.8
INV4798678,8547,1,BRG-6205-IMP,200,1.85,370.0
INV4798678,8547,2,LOCsize4-081,44,$9.50,418.0
INV4798678,8547,3,HN-789,250,14.6,3650.0
INV4798678,8547,4,HOS1213-006,184,37.01,6809.84
SI1904553,8928,1,G10-708 ,186,12.95,2408.7
SI1904553,8928,2,7447-552,339,$33.20,11254.8
INV6357464,7266,1,FLA1213-026,71,$13.17,935.07
INV6357464,7266,2,ANC3410-034,30,117.5,3525.0
8349939,7943,1,CUTM12-054,148,48.77,7217.96
INV6357464,7266,3,ANC3410-034,,115.2,3456.0
93710961 ,7957,1,HEX80-033,70,47.230000000000004,3306.1
INV7454957,5668,1,FLA1375-009,132,$6.70,884.4
INV7454957 ,5668,2,FLA1375-009,132,6.7,884.4
3149609,5659,1,FLAM12-013,25,5.39,134.75
3149609,5659,2,FLA1213-026,25,13.17,329.25
94511817,5112,1,HEXM10-116,25,,950.5
94511817,5112,2,HEXM10-116 ,147,38.02,5588.94
98515599,5458,1,ABRM12-095,100,27.72,2772.0
INV6878287,8433,1,CABsize4-007,47,$27.94,1313.18
INV6878287,8433,2,CABsize4-007,25,$27.94,
INV9597433,6500,1,FLA1375-009,132,$6.70,884.4
INV528571,6202,1,CAB80-139,500,7.26,3630.0
SI3944515 ,5300,1,HEX1420-014,60,22.13,1327.8
SI3944515,5300,2,NIT1000-088,10,$12.34,123.4
SI3944515,5300,4,SOC2000-071,170,$15.49,2633.3
INV6917400,6454,1,CAB1420-107,22,$28.41,625.02
INV6917400,6454,2,ANCsize6-005,10,$115.33,1153.3
INV6917400,6454,3,ANCsize6-005,50,$115.33,
INV6917400,6454,,ANCsize6-005,50,115.33,5766.5
INV6047369,8816,1,SOC2000-071,170,15.49,2633.3
INV6047369,8816,2,SOC2000-071,500,$15.95,7975.0
8353170,8712,1,ANCM10-050,100,$18.82,1882.0
4148110,5292,2,HOS1213-006,184,37.01,6809.84
SI7339539,8699,1,SOCsize6-098,500,69.54,34770.0
SI7339539,8699,4,ABR50-010,12,26.37,316.44
97595288,8926,1,LOC5811-099,97,$13.36,1295.92
97595288,8926 ,2,DRIsize6-105,21,10.34,217.14
97595288,8926 ,3,HEX80-033,70,47.230000000000004,3306.1
9456265,8534,1,CAB1420-125,108,5.46,589.68
9456265,8534,2,CAB1420-125,108,$5.46,589.68
9456265,8534,3,SOCsize6-063,84,46.81,3932.04
INV7402934,5233,1,DRI1500-016,35,$22.87,800.45
SI2263204,,1,DRIM10-072,104,33.72,3506.88
1204427,7622,1,HEX80-033,,47.230000000000004,23615.0
1204427,7622,2,HEXM8-094,137,51.42,7044.54
1204427,7622,3,HEXM8-094,137,51.42,7044.54
1204427,7622,4,LOC60-135,25,$30.80,770.0
8679785,8271,1,243-180,,$24.95,623.75
,7681,1,ABRsize8-003,49,40.96,2007.04
96701562,7681,2,HHCS-254,124,29.1,3608.4
96701562 ,7681,,ANCM6-073,159,$84.05,13363.95
4389999,5191,1,HEX2000-093,,$15.71,1523.87
INV7798442,6637,1,6308-882 ,98,$14.90,1460.2
INV7798442,6637,2,BRG-6205,250,5.2,1300.0
INV7798442,6637,3,LOC2000-115,50,$8.31,415.5
SI8069549,5673,2,ANCM8-040,170,29.41,4999.7
SI2524758,7717,1,LOC3410-092,50,29.560000000000002,1478.0
SI6557223,7729,1,CUT1213-024,500,32.87,16435.0
SI9586080,5900,1,HEX60-055,180,19.51,3511.8
INV6209643,6090,1,LOC1420-087,500,,11205.0
INV6209643,6090,2,ABRM12-109 ,500,$72.03,36015.0
INV6209643,6090,3,ANC3816-039 ,10,$62.91,629.1
5838747 ,7981,1,DRIM12-083,25,64.39,1609.75
,6424,1,LOC1250-102,109,21.95,2392.55
INV5727192,6424,4,LOCsize8-120 ,500,26.7,13350.0
SI8015626,8668,1,ANCM8-001,25,$101.37,2534.25
SI2071507,7593,1,FLA1375-009,100,6.7,670.0
6633255,6854,1,LOC60-060,141,3.18,448.38
6633255,6854,2,SOC2000-025,112,$15.39,1723.68
6633255,6854,3,HEXsize8-101,10,52.65,526.5
6633255,6854,4,ABR1500-059,12,44.44,533.28
INV7296697,5815,1,ABRsize8-003,25,40.96,1024.0
93392903,5267,1,HOSsize6-084,189,$11.21,2118.69
INV7296697,5815,2,CABsize4-007,10,27.94,279.4
INV7296697,5815,3,NIT1375-106,50,11.97,598.5
6257957,6679,1,LOC3410-092,25,$31.04,776.0
6257957,6679,2,NITM12-036,25,12.01,300.25
799255,5210,1,HOSM10-070,50,$12.06,603.0
799255,5210,2,SOC1250-123,89,$69.72,6205.08
799255,5210,3,SOC1250-123,500,73.9,36950.0
799255,5210,4,HOSM10-070,50,11.82,591.0
92921231,6081,1,HEXsize8-000,13,$25.30,328.9
92921231,6081,2,NIT1250-117,48,8.74,419.52
,6081 ,3,SOC1500-097,50,$77.74,3887.0
92921231,6081 ,4,SOC1500-097,12,77.74,932.88
SI5103590 ,7227,1,LOC3410-092,10,29.560000000000002,295.6
5633648,8125,1,B62-454,100,$17.85,1785.0
5633648,8125,2,7447-552,339,$33.20,11254.8
5633648,8125,3,B62-454,332,17.85,5926.2
9824460,7005,1,49012-174,382,29.95,11440.9
9824460,7005,2,7447-552,250,33.2,8300.0
9824460,7005,3,,332,$18.39,6105.48
SI3490239,8380,1,FLAM12-013,175,5.5,962.5
