SUPPLIER_INVOICE_N,SUPPLIER_ID,SUPPLIER_NAME,PO_NUMBER,INVOICE_DATE,RECEIVED_DATE,DUE_DATE,MERCHANDISE_TOTAL,FREIGHT,SALES_TAX,INVOICE_TOTAL,GL_ACCOUNT,STATUS,MATCH_STATUS,ENTERED_BY
INV1624479,RFS-V008,Grainger Industrial Supply,8783,"Apr 15, 2025",04/15/25 ,2025-05-15,"$13,663.50",0.0,1263.87,"$14,927.37",2000,Paid,Matched,E002
INV4798678,RFS-V005,Brighton-Best International,8547,03/18/26,"Mar 20, 2026",04/17/2026,11247.84,0.0,0.0,11247.84,2000,Approved,Matched,E002
SI1904553,RFS-V008,Grainger Industrial Supply,8928,24-Mar-2026,"Mar 28, 2026",2026-04-23,"$13,663.50",0.0,0.0,13663.5,2000,Approved,Matched,E002
INV6357464,RFS-V014,Parker Hannifin,7266,01/26/26,2026-01-27,2026-03-12,"$7,916.07",0.0,0.0,7916.07,2000,Paid,Price variance,E002
93710961,RFS-V007,Garlock Sealing Technologies,7957,2025-12-11,12/15/25,2026-01-10,"$3,306.10",0.0,0.0,3306.1,2000,Paid,Matched ,E002
INV7454957,RFS-V001,Alro Steel,5668,2026-02-25,03/01/26,2026-03-27,1768.8,176.02,,2108.43,2000,Approved,Matched,E002
3149609,RFS-V014,PARKER HANNIFIN,5659,2025-12-23,12/28/2025,02/06/26,$464.00,103.48,0.0,$567.48,2000,Paid,Matched,E002
94511817,RFS-V015,Regal Rexnord,5112,09/24/25,25-Sep-2025,11/08/2025,"$6,539.44",0.0,,"$6,539.44",2000,Paid,Matched,E002
98515599,RFS-V004,Baldor-Reliance (ABB),5458,04/03/2026,07-Apr-2026,2026-05-18,"$2,772.00 ",0.0,0.0,2772.0,2000,Approved,Matched,E002
INV6878287,RFS-V005,Brighton-Best International,8433,2026-01-02 ,2026-01-07,2026-02-01,2011.68,0.0,0.0,"$2,011.68",2000,Paid,Matched,E002
,RFS-V001,Alro Steel,6500,09/23/2025,09/26/2025,10/23/2025,884.4,0.0,0.0,884.4,2000,Paid,Matched,E002
INV528571,RFS-V010 ,Kaman Industrial Technologies,6202,2025-12-25,2025-12-25,01/24/26,"$3,630.00",0.0,0.0,3630.0,2000,Paid,Matched,E002
SI3944515,RFS-V001,Alro Steel,5300,2025-08-16,"Aug 17, 2025",2025-09-15,4084.5,18.18,377.82,4480.5,2000,Paid,Matched,E002
INV6917400,RFS-V003,Applied Industrial Technologies,6454,13-Feb-2026 ,2026-02-14 ,2026-03-15,13311.32,63.09,0.0,"$13,374.41",2000,Paid,Matched,E002
7766515,RFS-V015,Regal Rexnord,7488,2025-10-05,2025-10-07,2025-11-19,16124.34,0.0,0.0,16124.34,2000,Paid,Matched,E002
INV6047369,RFS-V001,Alro Steel,8816,"Oct 06, 2025",2025-10-06,11/05/25,10608.3,2.75,981.27,11592.32,2000,Paid,Price variance,E002
8353170,RFS-V012,McMaster-Carr,8712,03/08/2026,03/13/2026,2026-04-07,1882.0,171.68,0.0,2053.68,2000,Approved,Matched,E002
SI7339539,RFS-V016,Ryerson,8699,03/22/26,2026-03-24,05/06/2026,"$35,086.44",0.0,0.0,35086.44,2000,Approved,Matched,E002
97595288,,Garlock Sealing Technologies,8926,2026-02-13,02/14/2026,15-Mar-2026,"$4,819.16",0.0,0.0,"$4,819.16",2000,Paid,Matched,E002
9456265,RFS-V017,Sandvik Coromant,8534,"Dec 20, 2025",12/23/25,01/19/26,5111.4,14.88,0.0,5126.28,2000,Paid,Matched,E002
INV7402934,RFS-V011,MSC Industrial Supply,5233,2025-11-21,2025-11-21,12/21/25,800.45,0.0,0.0,800.45,2000,Paid,Matched,E002
SI2263204,RFS-V018,Uline,6267,2026-01-19 ,2026-01-19,2026-02-18,"$3,506.88",28.62,0.0,3535.5,2000,Paid,Matched,E002
1204427,RFS-V007 ,Garlock Sealing Technologies,7622,2025-11-24,11/29/25,2025-12-24,38474.08,0.0,0.0,38474.08,,Paid,Matched,E002 
8679785,RFS-V006,Fastenal,8271,12/16/25,2025-12-16,15-Jan-2026,623.75,83.21,0.0,706.96,2000,Paid,Matched,E002
,RFS-V005 ,Brighton-Best International,7681,2025-05-21,05/21/25,20-Jun-2025,"$18,979.39",0.0,0.0,18979.39,2000,Paid,Matched,E002
4389999,RFS-V002,Apex Fastener Corp,5191,2025-08-02,08/07/2025,"Sep 01, 2025",1523.87,0.0,0.0,1523.87,2000,Paid,Matched,E002
INV7798442,,Fastenal,6637,12/29/25,"Dec 31, 2025",2026-01-28,"$3,175.70",0.0,0.0,3175.7,2000,Paid,Matched,E002 
