PICK_ID,SO_NUMBER,SO_LINE,ITEM_ID,QTY_TO_PICK,QTY_PICKED,BIN_LOCATION,PICKER_ID,PICK_DATE,SHIPMENT_ID
PK-00001,16433,1,,1,,B-20-4,E015,2025-10-14,SH-50001
PK-00002,16433,2,LOCM8-108,200,200,D-11-5,E015,10/14/2025,SH-50001 
PK-00003,16433,3,FLAsize8-045,100,100,A-38-3 ,E016,2025-10-14,SH-50001
PK-00004,16433,4,CUT5811-066,2,1,A-19-3,E014,2025-10-14,SH-50001
PK-00846,16331,3,HEX1250-124,,6,C-06-5,E012,2026-02-26,
PK-00945,12905,1,FLAsize8-029,2,2,C-05-4,E016,2026-02-21,SH-50218
PK-00005,16433,5,CABsize4-075,100,100,C-02-4,E017,2025-10-13,SH-50001
PK-00006,11231,1,HEXM10-116,50,50,A-03-2,E019,2025-06-23,SH-50002
PK-00007,11231,2,HEXM10-116,50,50,D-05-3,E013,2025-06-23,SH-50002
PK-00008,11231,3,FLA1375-009 ,100,100,A-10-4,,"JUN 23, 2025",SH-50002
PK-00009,11442,1,HN-789,,4,B-11-2,E017,21-Jun-2025,SH-50003
PK-00010,11442,5,6308-882,10,10,B-05-3,E015,"JUN 22, 2025",SH-50003
PK-00011,11442,6,FLA50-065,1,1,D-20-3,E016,2025-06-22,SH-50003
PK-00012,11442,7,CUTsize8-078,100,100,C-14-4,E015,06/22/25,SH-50003
PK-00013,11442,,ANC3816-039,100,100,A-40-4,E015,2025-06-21,SH-50003
PK-00014,18332,1,ABRsize8-003 ,10,10,A-16-3,E014,2026-02-18,SH-50004
PK-00015,18332 ,2,LOCM6-053,6,6,C-32-5,E019,"Feb 19, 2026",SH-50004
PK-00016,18332,3,DRIsize6-105,10,10,B-29-1,E020,2026-02-18,SH-50004
PK-00017,18332,4,ABR1250-018,100,100,E-10-2,E020,02/19/26,SH-50004
PK-00018,15761,1,HEX60-080,25,25,A-16-5,E013,2025-07-25,SH-50005
PK-00019,15761,2,CAB1250-008,50,50,C-15-2,E020,07/25/2025,SH-50005
PK-00020,15761,3,HOSM10-070,1,1,E-39-5,E021,"Jul 24, 2025",SH-50005
PK-00021,15761,4,DRIsize4-017,200,200,E-16-2,E018,2025-07-24,SH-50005
PK-00022,15761,5,ABRM12-095,12,12,C-06-4,E019,"Jul 25, 2025",SH-50005
PK-00023,18008,1,LOCsize8-120,4,3,E-37-4,E020 ,28-Sep-2025,SH-50006
PK-00024,18008,2,NIT1375-106,6,6,A-20-2,E020,"Sep 28, 2025",SH-50006
PK-00025,14440,1,CUT5811-066,2,2,D-20-5,E012,2025-05-25,SH-50007
PK-00026,14440,2,FLA1420-090,50,50,E-21-1,E012,2025-05-25,SH-50007
PK-00027,11008,2,BRG-6205-IMP,6,6,C-33-2 ,E016,2025-07-02,SH-50008
PK-00028,11008,3,LOCM6-130,100,99,E-22-5,E013,2025-07-01,SH-50008
PK-00296,16170,3,HOSsize6-084,6,6,E-22-4,E013,2025-10-31 ,SH-50068
PK-00029,11008,4,ANCsize6-005,1,1,C-05-1,E021,2025-07-02,SH-50008
PK-00030,11008,5,LOC1420-087,2,2,A-27-1,E013,2025-07-01,SH-50008
PK-00038,14741,3,SOC2000-025,,100,D-15-1,E018 ,2025-11-18,SH-50010
PK-00031,11008,6,LOC1420-087,25,25,F-16-2,E013 ,2025-07-01,SH-50008
PK-00032,11008 ,7,ABR50-010,12,12,D-36-2,E017,2025-07-01,SH-50008
PK-00033,11008,8,CUT3816-058,2,2,D-22-2,E014,2025-07-02,SH-50008
PK-00034,13411,1,LOCM10-085,200,200,F-37-5,E019,05-Mar-2026,SH-50009
PK-00035,13411,2,LOC1250-102,1,1,A-21-5,E017,,SH-50009
PK-00036,14741,1,LOC1420-087,25,25,D-20-2,E020,2025-11-18,SH-50010
PK-00037,14741,2,HEXM10-116,,4,,E016,2025-11-18,SH-50010
PK-00038,14741,3,SOC2000-025,,100,D-15-1,E018 ,2025-11-18,SH-50010
PK-00039,10177,1,HOSsize8-114,2,2,F-39-1,E016,2025-11-20,SH-50011
,10177,2,SOC51618-057,200,200,B-38-1,E014,11/21/25,SH-50011
PK-00041,10177,3,CUT60-119 ,4,4,F-14-3,E015,2025-11-21,SH-50011
PK-00042,10177,4,CABsize4-075,12,12,B-37-5,E014,2025-11-20,SH-50011
PK-00043,10177,5,CAB5811-137,6,6,C-25-3,E019,11/20/25,SH-50011
PK-00044,10177,7,HHCS-254,10,10,E-40-5,E018,2025-11-20,SH-50011
PK-00045,18678,1,DRIM12-083,1,1,A-35-1,E012,10/31/25,SH-50012
PK-00046,18678,2,DRIsize6-105,12,12,D-16-1,E019,10/31/25,SH-50012
PK-00047,15068,1,ANCM8-040,4,,D-40-3,E015,12-Sep-2025,SH-50013
PK-00048,15068,2,ANC3410-034,3,3,F-33-2,E020,2025-09-12,SH-50013
PK-00049,19863,,FLAM6-031,100,100,B-08-1,E017,2025-10-05,SH-50014
PK-00050 ,19863,2,HEX60-080,50,50,D-23-4,E016,05-Oct-2025,SH-50014 
PK-00051,19863,3,SOC1375-113,50,50,A-16-5,E017,2025-10-06,SH-50014
PK-00052 ,19863,4,CAB80-139,100,99,C-14-1,E013,2025-10-05,SH-50014
PK-00053,17002,1,CUTM12-054,,25,F-40-5,E018,2025-08-16,SH-50015
PK-01503,18378,5,CUT1213-024,2,1,C-32-5,E017,"Jun 18, 2025",SH-50350
PK-00054,19916,1,DRI2000-048,1,1,E-03-4,E019,11/29/25,SH-50016
PK-00055,19916,3,SOC1500-097,12,11,D-33-3,E012,11/29/25,SH-50016
