SHIPMENT_ID,SO_NUMBER,CUSTOMER_ID,SHIP_TO_ID,SHIP_DATE,CARRIER,MODE,SERVICE,TRACKING_NUMBER,CARTONS,WEIGHT_LB,FRT,FRT_BILLED,SHIPPED_BY,PACKING_SLIP,STATUS
SH-50001,16433,RFS-CUST0017,RFS-CUST0017-S1,10/14/25,UPS Ground,LTL,,1Z1359029465 ,487,19452.0,"$10,718.21",0.0,E020,PS-SH-50001.pdf,Delivered
SH-50002,11231,RFS-CUST0012,RFS-CUST0012-S1,06/24/25,UPS GROUND,LTL,,1Z4017634407,86,3435.0,"$1,905.66",2267.74,E012,PS-SH-50002.pdf,Delivered
SH-50003,11442,RFS-CUST0009,RFS-CUST0009-S1,2025-06-22,LTL - Estes,LTL,,PRO481017985,349,13935.6,7683.09,0.0,E013,PS-SH-50003.pdf,Delivered
SH-50004,18332,RFS-CUST0006,RFS-CUST0006-S1,"Feb 19, 2026",Customer Pickup,LTL,,PRO892504921,247,9850.3,5435.36,6413.72,E018,PS-SH-50004.pdf,Delivered
SH-50005,15761,RFS-CUST0023,RFS-CUST0023-S1,"Jul 25, 2025",LTL - XPO,LTL,,PRO612114302,417,16652.5,"$9,177.93",12298.43,E021,PS-SH-50005.pdf,Delivered
,18008,RFS-CUST0007,RFS-CUST0007-S1,2025-09-29,LTL - XPO ,LTL,,PRO488279835,14,520.7,302.21,0.0,E017,PS-SH-50006.pdf,Delivered 
SH-50007,14440,RFS-CUST0018,RFS-CUST0018-S1,2025-05-25,Company Truck,LTL,,PRO952780783,82,3269.2,"$1,814.43",2376.9,E021,PS-SH-50007.pdf,Delivered
SH-50008,11008,RFS-CUST0016,RFS-CUST0016-S1,07/02/2025,UPS Ground,LTL,,1Z7840018377,92,3670.1,2035.01,2055.36,E019,PS-SH-50008.pdf,Delivered
SH-50009,13411,RFS-CUST0004,RFS-CUST0004-S1,03/06/2026,FedEx Ground,LTL,,331835196567,224,8922.5,"$4,924.88",0.0,E015,PS-SH-50009.pdf,Delivered
SH-50010,14741,RFS-CUST0002,RFS-CUST0002-S1,"Nov 18, 2025",Customer Pickup,LTL,,PRO811424001,70,2774.2,"$1,542.08",,E012,,Delivered
SH-50011,10177,RFS-CUST0006,RFS-CUST0006-S1,21-Nov-2025,Customer Pickup,LTL,,PRO740536284,73,2916.5,1620.38,1928.25,E015,PS-SH-50011.pdf,Delivered
SH-50012,18678,RFS-CUST0010,RFS-CUST0010-S1,"Oct 31, 2025",UPS Ground,LTL,,1Z3920298055,24,932.8,$528.95,0.0,E020,PS-SH-50012.pdf,Delivered
SH-50013,15068,RFS-CUST0018 ,RFS-CUST0018-S1,"Sep 13, 2025",Company Truck ,LTL,,PRO123868214,12,470.5,274.59,285.57,E019,PS-SH-50013.pdf,Delivered
SH-50014,19863,RFS-CUST0004,RFS-CUST0004-S1,2025-10-06,FedEx Ground,LTL,,385474754107,509,20347.5,"$11,210.91",11883.56,E012,PS-SH-50014.pdf,Delivered
SH-50015,17002,RFS-CUST0014,RFS-CUST0014-S1 ,2025-08-17,LTL - Estes,LTL,,PRO866343492,32,1270.0,714.47,935.96,E018,PS-SH-50015.pdf,Delivered
SH-50016,19916,RFS-CUST0007,RFS-CUST0007-S1,2025-11-29,LTL - XPO,LTL,,PRO525122282,66,2624.3,"$1,459.61",1955.88,E014,PS-SH-50016.pdf,Delivered
SH-50017,16630,RFS-CUST0003,RFS-CUST0003-S1,2026-01-19,UPS Ground,LTL,,1Z8417169487,40,1580.1,$885.09,,E019,PS-SH-50017.pdf,Delivered
SH-50318,19667,RFS-CUST0014,RFS-CUST0014-S1,2025-05-05,LTL - Estes,LTL,,PRO399181997,139,5528.2,3057.34,0.0,E020,PS-SH-50318.pdf,Delivered
SH-50018 ,17218,RFS-CUST0001,RFS-CUST0001-S1,2025-10-22,FedEx Ground,LTL,,947158713557,30,1191.1,671.06,0.0,E020,PS-SH-50018.pdf,Delivered
SH-50019,17468,RFS-CUST0003,RFS-CUST0003-S1,2025-05-25,UPS Ground,LTL,,1Z4032118961,12,470.6,$274.64,0.0,E014,PS-SH-50019.pdf,Delivered
SH-50020,11286,RFS-CUST0010,RFS-CUST0010-S1,10/20/25,UPS Ground,LTL,,1Z9912032169,136,5412.2,"$2,993.51",0.0,E016,PS-SH-50020.pdf,Delivered
SH-50021,11649,RFS-CUST0014,RFS-CUST0014-S1,2025-08-14,LTL - Estes,LTL,,PRO893799209,403,16089.2,"$8,868.00",0.0,E013 ,PS-SH-50021.pdf,Delivered 
SH-50022,15309,RFS-CUST0011,RFS-CUST0011-S1,2025-09-03,Customer Pickup,Pickup,,,1,11.6,$0.00,0.0,E017,PS-SH-50022.pdf,Delivered
SH-50023,11616,RFS-CUST0023,RFS-CUST0023-S1,2025-10-18,LTL - XPO,LTL ,,,271,10832.9,5975.98,0.0,E020,PS-SH-50023.pdf,Delivered
SH-50024,15092,RFS-CUST0010,RFS-CUST0010-S1,2025-11-30,UPS GROUND,LTL,,1Z3957933372,529,21123.0,"$11,637.59",13034.1,E017,PS-SH-50024.pdf,Delivered
SH-50025,10863,RFS-CUST0004,RFS-CUST0004-S1,06/18/2025,FedEx Ground,LTL,,761589441163,17,678.7,$389.14,509.77,E021,PS-SH-50025.pdf ,Delivered
SH-50026,19131,,RFS-CUST0016-S1 ,2025-07-19,UPS Ground,LTL,,1Z3274381715,6,221.1,137.37,0.0,E013,PS-SH-50026.pdf,Delivered
SH-50027,18901,RFS-CUST0022,RFS-CUST0022-S1,2025-10-29,UPS Ground,LTL,,1Z5555131462,153,6082.9,"$3,362.53",0.0,E015,PS-SH-50027.pdf,Delivered
SH-50028,19099 ,RFS-CUST0011,RFS-CUST0011-S1,2025-11-14,Customer Pickup,LTL,,PRO553095184,476,19027.4,10484.6,0.0,E016,PS-SH-50028.pdf,Delivered
SH-50029,,RFS-CUST0015,RFS-CUST0015-S1,03/07/26,Company Truck,LTL,,PRO512517569,390,15596.3,"$8,596.80",9370.51,E020,PS-SH-50029.pdf,Delivered
SH-50030,16833,RFS-CUST0022,RFS-CUST0022-S1,08/16/2025,UPS Ground,LTL,,1Z8539517054,52,2056.1,"$1,146.99",1227.28,E021,PS-SH-50030.pdf,Delivered
SH-50031,18441,RFS-CUST0014,RFS-CUST0014-S1,10-Jul-2025,LTL - Estes,LTL ,,PRO689858501,73,2881.0,"$1,600.85",0.0,E018,PS-SH-50031.pdf,Delivered
,10719,RFS-CUST0008,RFS-CUST0008-S1,2025-04-28 ,LTL - XPO,LTL,,PRO810617420,179,7148.8,"$3,948.99",0.0,E017,PS-SH-50032.pdf,Delivered
SH-50033,12130 ,RFS-CUST0020,RFS-CUST0020-S1,2025-05-03,FEDEX GROUND,LTL,,949077694334,55,2189.0,"$1,220.11",1403.13,E013,PS-SH-50033.pdf,Delivered
,11933,RFS-CUST0012,RFS-CUST0012-S1,09/24/25,UPS Ground,LTL,,1Z9527739858,20,763.2,$435.63,557.61,E016,PS-SH-50034.pdf,Delivered
SH-50035,10645,RFS-CUST0012,RFS-CUST0012-S1,2025-09-02,UPS Ground,LTL,,1Z1585005691,104,4139.2,2293.11,0.0,E013,PS-SH-50035.pdf,Delivered
SH-50036,18712,RFS-CUST0017,RFS-CUST0017-S1,2025-11-17,UPS Ground,LTL,,1Z8602498927,470,18794.2,10356.29,12738.24,E013,,Delivered
SH-50037,11271,RFS-CUST0015,RFS-CUST0015-S1 ,2025-11-24,Company Truck,LTL,,PRO153923783,18,687.8,394.15,0.0,E015,PS-SH-50037.pdf,Delivered
SH-50038,18673,RFS-CUST0009,RFS-CUST0009-S1,"Sep 12, 2025",LTL - Estes,LTL,,PRO750597926,184,7323.1,4044.89,0.0,E021,PS-SH-50038.pdf,Delivered
SH-50039,19684,RFS-CUST0008 ,RFS-CUST0008-S1,2025-08-12,LTL - XPO,LTL,,PRO788659864,708,28282.5,"$15,576.75",0.0,E016,,Delivered
,17904,RFS-CUST0025,RFS-CUST0025-S1,2025-07-05,LTL - XPO,LTL,,PRO856218973,98,3910.4,2167.22,2448.96,E012 ,PS-SH-50040.pdf,Delivered
SH-50041,13428,RFS-CUST0017 ,RFS-CUST0017-S1,2026-02-11,UPS Ground,LTL,,1Z3703105113,313,12518.2,"$6,903.23",8352.91,E012,PS-SH-50041.pdf,Delivered
SH-50042,,RFS-CUST0022,RFS-CUST0022-S1,2025-07-25,UPS Ground,Parcel,Ground,1Z3843226576,2,78.0,58.64,73.3,E019,PS-SH-50042.pdf,Delivered
SH-50043,14413,RFS-CUST0013,RFS-CUST0013-S1,"May 04, 2025",LTL - Estes,LTL,,PRO538109852,82,,1815.2,2178.24,E014,PS-SH-50043.pdf,Delivered
SH-50044,16765,RFS-CUST0008,RFS-CUST0008-S1,2025-07-20,LTL - XPO,LTL,,,122,4873.2,"$2,696.95",3586.94,E017,PS-SH-50044.pdf,Delivered
SH-50045,14934,RFS-CUST0006,RFS-CUST0006-S1,06/02/2025,Customer Pickup,LTL ,,PRO580245470,63,2493.8,1387.81,1415.57,E012,PS-SH-50045.pdf,Delivered
SH-50046,17015,RFS-CUST0006,RFS-CUST0006-S1,2025-06-12,Customer Pickup,LTL,,,110,4392.8,"$2,432.64",0.0,E013,PS-SH-50046.pdf,Delivered
SH-50047,15650,RFS-CUST0005,RFS-CUST0005-S1,2025-12-08,Customer Pickup,LTL,,PRO979256098,124,4939.3,2733.32,0.0,E015,PS-SH-50047.pdf,Delivered
,18320,RFS-CUST0015,RFS-CUST0015-S1,2025-10-06,Company Truck,LTL,,PRO970987139,37,1451.7,814.45,0.0,E020,PS-SH-50048.pdf,Delivered
SH-50049,10901,RFS-CUST0020,RFS-CUST0020-S1,2025-06-01,FedEx Ground,LTL,,613547137529,73,2899.1,"$1,610.80",0.0,E012,PS-SH-50049.pdf,Delivered
SH-50050,14512,RFS-CUST0022,RFS-CUST0022-S1,2026-03-22,UPS Ground,LTL,,1Z8861626644,84,3337.1,1851.79,1944.38,E020,PS-SH-50050.pdf ,Delivered
SH-50051,13187,RFS-CUST0023,RFS-CUST0023-S1,2026-03-02,LTL - XPO,LTL,,PRO517923967,85,3392.9,"$1,882.49",0.0,E021,PS-SH-50051.pdf,DELIVERED
SH-50052,12871,RFS-CUST0021,RFS-CUST0021-S1,09/18/2025,Customer Pickup,LTL,,PRO156319064,101,4026.1,2230.88,0.0,E016,PS-SH-50052.pdf,Delivered
SH-50053,19501,RFS-CUST0021,RFS-CUST0021-S1,03/27/26,Customer Pickup,LTL,,PRO152177621,317,12666.4,6984.77,0.0,E018,PS-SH-50053.pdf,In Transit
SH-50054,10029,RFS-CUST0004,RFS-CUST0004-S1,2026-03-20,FedEx Ground,LTL,,440899631922,23,886.3,$503.36,0.0,E016,PS-SH-50054.pdf,Delivered
SH-50055,14530,RFS-CUST0013,RFS-CUST0013-S1,2025-10-23,LTL - Estes,LTL,,PRO235685274,120,4763.5,2636.6,0.0,E016,PS-SH-50055.pdf,Delivered
SH-50056,16173,,RFS-CUST0008-S1,2025-09-24,LTL - XPO,LTL,,PRO955504261,114,4553.1,"$2,520.84",0.0,E014,PS-SH-50056.pdf,DELIVERED
SH-50057,13048,RFS-CUST0006,RFS-CUST0006-S1,2026-03-09,Customer Pickup,LTL,,PRO213235858,70,2788.5,"$1,549.95",1906.44,E016,PS-SH-50057.pdf,Delivered
SH-50058,13625,RFS-CUST0022,RFS-CUST0022-S1,12/18/2025,UPS Ground,LTL,,1Z4538660175,79,3133.0,"$1,739.50",2070.01,E012,PS-SH-50058.pdf,Delivered
SH-50059,11455,RFS-CUST0015,RFS-CUST0015-S1,06/20/25,Company Truck,Company Truck,,,1,30.2,,0.0,E018,,DELIVERED
SH-50060,16494,RFS-CUST0017,RFS-CUST0017-S1,2026-01-28,UPS Ground,LTL ,,1Z8806669203,48,1894.0,1057.8,1163.58,E013,PS-SH-50060.pdf,Delivered
SH-50061,10582,RFS-CUST0005,RFS-CUST0005-S1,2025-10-17 ,Customer Pickup,LTL,,PRO596450777,424,16935.0,9333.36,0.0,E019,PS-SH-50061.pdf,Delivered
SH-50062,10139,RFS-CUST0006,RFS-CUST0006-S1,24-Jun-2025,Customer Pickup,LTL,,PRO717814060,318,12687.4,6996.33,8675.45,E020,PS-SH-50062.pdf,Delivered
SH-50063,11967 ,RFS-CUST0018,RFS-CUST0018-S1,"Jan 07, 2026",Company Truck,LTL,,PRO708122652,376,15015.6,8277.3,9353.35,E016,PS-SH-50063.pdf,Delivered
SH-50064,15931,RFS-CUST0006,RFS-CUST0006-S1,2026-01-15,Customer Pickup,LTL,,PRO930384270,480,19171.4,10563.82,0.0,E019,PS-SH-50064.pdf,Delivered
SH-50065,12574,RFS-CUST0001,RFS-CUST0001-S1,2025-06-23,FedEx Ground,LTL,,418550971527,17,668.2,$383.36,0.0,E021,PS-SH-50065.pdf,Delivered
,12530,RFS-CUST0002,RFS-CUST0002-S1,08/02/25,Customer Pickup,Pickup,,,1,29.2,0.0,0.0,,PS-SH-50066.pdf,Delivered
SH-50067,13419,RFS-CUST0025,RFS-CUST0025-S1,08/25/2025,LTL - XPO,LTL,,PRO238083465,181,7213.8,"$3,984.75",5100.48,E020 ,PS-SH-50067.pdf,Delivered
SH-50068,16170,RFS-CUST0013,RFS-CUST0013-S1,"Oct 31, 2025",LTL - Estes,LTL,,PRO409673228,329,13144.3,7247.71,0.0,E013,PS-SH-50068.pdf,Delivered
SH-50078,10795,RFS-CUST0012,RFS-CUST0012-S1,2025-11-02,UPS Ground,Parcel,Ground,1Z5881282436,2,76.2,57.65,0.0,E013,PS-SH-50078.pdf,Delivered
SH-50069,15683,RFS-CUST0025,RFS-CUST0025-S1,"Dec 03, 2025",LTL - XPO,LTL,,PRO331121638,479,19150.5,10552.33,12662.8,E018,PS-SH-50069.pdf,Delivered
SH-50070,17352,RFS-CUST0003,RFS-CUST0003-S1,2025-07-14,UPS Ground,LTL,,1Z4582082400,22,845.4,480.86,0.0,E017,,Delivered
SH-50071,,RFS-CUST0010,RFS-CUST0010-S1,2025-06-09,UPS Ground,LTL,,1Z8058262747 ,31,1217.3,685.48,0.0,E013,PS-SH-50071.pdf,Delivered
SH-50072,11362 ,RFS-CUST0019,RFS-CUST0019-S1,03/20/26,LTL - XPO,LTL ,,PRO172470619,26,1010.9,571.92,680.58,E021,PS-SH-50072.pdf,Delivered
SH-50073,,RFS-CUST0013,RFS-CUST0013-S1,2025-06-04,LTL - Estes,Company Truck,,,2,79.4,0.0,0.0,E018,PS-SH-50073.pdf,DELIVERED
SH-50074,10474,RFS-CUST0025,RFS-CUST0025-S1,2026-03-25,LTL - XPO,LTL,,PRO956456455,39,1531.5,858.35,0.0,E014,PS-SH-50074.pdf,DELIVERED
SH-50075,12868,RFS-CUST0007,RFS-CUST0007-S1,2026-02-27,LTL - XPO,LTL,,PRO710280250,30,1195.0,$673.21,0.0,E014,PS-SH-50075.pdf,DELIVERED
SH-50076,17754,RFS-CUST0025,RFS-CUST0025-S1,2025-06-23,LTL - XPO ,LTL,,PRO448887029,41,1632.2,$913.76,0.0,E021,PS-SH-50076.pdf,Delivered
SH-50077,16425,RFS-CUST0013,RFS-CUST0013-S1,2026-02-05,LTL - Estes,LTL,,PRO497883133,55,2184.8,1217.8,1254.33,E012,PS-SH-50077.pdf,Delivered
SH-50078,10795,RFS-CUST0012,RFS-CUST0012-S1,2025-11-02,UPS Ground,Parcel,Ground,1Z5881282436,2,76.2,57.65,0.0,E013,PS-SH-50078.pdf,Delivered
SH-50079,13572,RFS-CUST0015,RFS-CUST0015-S1,"Sep 15, 2025",Company Truck,LTL,,PRO597932189,50,1992.8,"$1,112.16",0.0,E019,PS-SH-50079.pdf,Delivered
SH-50080,16604,RFS-CUST0008,RFS-CUST0008-S1,05/29/25,LTL - XPO,LTL,,,11,417.8,$245.59,304.53,E017,PS-SH-50080.pdf,Delivered
SH-50081,11948,RFS-CUST0015,RFS-CUST0015-S1,2025-08-14,Company Truck,LTL,,PRO458277718,25,975.7,$552.55,0.0,E020,PS-SH-50081.pdf,DELIVERED
SH-50082,11598,RFS-CUST0006,RFS-CUST0006-S1,2025-06-27,Customer Pickup,LTL,,PRO848139626,58,2309.9,1286.63,1531.09,E019,PS-SH-50082.pdf,Delivered
SH-50083,17735,RFS-CUST0006,RFS-CUST0006-S1,08/02/25,Customer Pickup,LTL,,PRO502230182,304,12157.5,6704.78,0.0,E016,PS-SH-50083.pdf,Delivered
SH-50084,10765,RFS-CUST0004 ,RFS-CUST0004-S1,06-Nov-2025,FedEx Ground,LTL,,436044002996,248,9884.9,"$5,454.39",5508.93,E020,PS-SH-50084.pdf,Delivered
SH-50085,12983,RFS-CUST0004,RFS-CUST0004-S1,"Jun 18, 2025",FedEx Ground,LTL,,492276762076,7,247.6,$151.95,0.0,E016,PS-SH-50085.pdf ,Delivered
SH-50086,13233,RFS-CUST0025,,2025-06-19,LTL - XPO,LTL,,PRO630466843,210,8399.9,4637.34,0.0,E017,PS-SH-50086.pdf,Delivered
SH-50087,18229,RFS-CUST0016,RFS-CUST0016-S1,"Mar 25, 2026",UPS Ground,LTL,,1Z8014239784,,699.6,400.64,0.0,E021,PS-SH-50087.pdf,Delivered
SH-50088,19228,RFS-CUST0003,RFS-CUST0003-S1,31-Jul-2025,UPS Ground,LTL,,1Z4506840447,165,6568.7,"$3,629.82",0.0,E016,PS-SH-50088.pdf,Delivered
SH-50089,11676,RFS-CUST0007,RFS-CUST0007-S1,01/30/2026,LTL - XPO,LTL,,PRO204764661,28,1091.1,616.04,708.45,E014,PS-SH-50089.pdf,Delivered
SH-50090,17241,RFS-CUST0009,RFS-CUST0009-S1,12/04/2025,LTL - Estes,LTL,,PRO157744104,161,6401.2,3537.66,4669.71,E015,PS-SH-50090.pdf,Delivered
SH-50091,16676,RFS-CUST0021,RFS-CUST0021-S1,2025-05-24,Customer Pickup,Pickup,,,2,60.5,0.0,0.0,E015,PS-SH-50091.pdf,Delivered
SH-50092,15882,RFS-CUST0003 ,RFS-CUST0003-S1,2025-06-24,UPS Ground,LTL ,,1Z2859897884,16,612.5,$352.72,409.16,E021,PS-SH-50092.pdf,Delivered
