AS_OF_DATE,CUSTOMER_ID,INVOICE_NUMBER,INVOICE_DATE,DUE_DATE,DAYS_PAST_DUE,BALANCE,AGING_BUCKET,COLLECTOR_ID,LAST_CONTACT,PROMISE_TO_PAY
03/31/26,RFS-CUST0004,26126,2026-03-06,2026-05-05,0,"$2,504.62",Current,E002,,
03/31/2026,RFS-CUST0015,25515,2026-03-07,,0,"$26,307.19",Current,E002,,
2026-03-31,RFS-CUST0017 ,27986,,03/13/26,18,"$17,199.89",1-30,E002,2026-01-24,
31-Mar-2026,RFS-CUST0022,24856,2025-07-25,2025-09-23,189,79.63,90+,E002,2026-02-14,
03/31/2026,RFS-CUST0022,22543,03/22/26 ,2026-05-21,0,"$10,697.96",Current,E002,,
2026-03-31,RFS-CUST0023,27864,02-Mar-2026,05/01/26,0,"$8,497.45",Current,E002,,
2026-03-31,RFS-CUST0021,29171,27-Mar-2026,2026-04-26,0,16233.14,Current,E002,,
2026-03-31,RFS-CUST0004,24664,2026-03-20,05/19/26,0,"$1,120.39",Current,E002,,
2026-03-31,RFS-CUST0006,26267 ,"Mar 09, 2026",2026-04-08,0,"$10,145.98",Current,E002,,
31-Mar-2026,RFS-CUST0015,26622,2025-06-20,2025-07-20,254,$59.24,90+,E002,2026-03-25,2026-04-13
31-Mar-2026,RFS-CUST0017,28763,2026-01-28 ,2026-02-27,32,2986.94,31-60,E002,2026-02-05,
03/31/2026,RFS-CUST0019,24445,,2026-04-19,0,7228.61,,E002,,
2026-03-31,RFS-CUST0025,29526,2026-03-25,2026-03-25,6,"$4,558.41",1-30,E002,,
2026-03-31,RFS-CUST0016,28167,25-Mar-2026,09-May-2026,,"$2,420.18",CURRENT,E002,,
2026-03-31,RFS-CUST0001,23296,2026-03-01,2026-03-31,0,40483.03,Current,E002,,
2026-03-31,RFS-CUST0001,22127,2025-10-11,11/10/25,141,$64.95,90+,E002,2026-01-27,2026-04-04
31-Mar-2026,RFS-CUST0023,27832,2026-03-19,2026-05-18,0,9117.5,Current,E002,,
2026-03-31,RFS-CUST0007,22907,"AUG 27, 2025",08/27/25,216,277.44,90+,E002,2026-03-03,
2026-03-31,RFS-CUST0007,22253,2026-02-12,"Feb 12, 2026",47,3726.87,31-60,E002,2026-03-30,
03/31/2026,RFS-CUST0022,22147,2026-02-27,2026-04-28,0,1271.69,Current,E002,,
03/31/26,RFS-CUST0011,20984 ,22-Mar-2026,2026-04-21,0,"$11,426.38",Current,E002,,
03/31/2026,RFS-CUST0021,20057,2026-03-22,21-Apr-2026,0,1390.76,Current,E002,,
2026-03-31,RFS-CUST0008,22903,03/22/26,05/06/26,0,$619.43,Current,E002,,
2026-03-31,RFS-CUST0003,21502,2026-02-20,2026-03-22,9,20856.19,1-30,E002,,
31-Mar-2026,RFS-CUST0020 ,25418,2026-02-06,03/08/2026,23,"$31,728.78",1-30,E002,2026-01-12,
,RFS-CUST0008,25766,23-Mar-2026,2026-05-07,0,13470.79,Current,E002,,
2026-03-31,RFS-CUST0016,25656,2026-02-25,2026-04-11,0,3783.06,Current,E002,,
2026-03-31,RFS-CUST0006,27283,2026-03-21,2026-04-20,0,"$7,837.72",Current,E002,,
2026-03-31,RFS-CUST0013,27649,2025-10-05,04-Nov-2025,147,$139.68,90+,E002,2026-01-26,2026-04-05
