INVOICE_NUMBER,LINE,ITEM_ID,QTY,UNIT_PRICE,EXTENDED,UNIT_COST,MARGIN
,1,DRI3816-044,1,$76.56,76.56,51.33,25.23
25881,2,LOCM8-108,200,13.18,2636.0,7.98,1040.0
25881,3,FLAsize8-045,100,$22.04,2204.0,13.89,815.0
25881,4,CUT5811-066,2,59.67,119.34,$38.77,41.8
25881,5,CABsize4-075,100,8.61,861.0,,349.0
25101,1,HEXM10-116,50,62.96,3148.0,38.02,1247.0
25101,2,HEXM10-116,50,62.96,3148.0,$38.02,1247.0
25101,3,FLA1375-009,100,10.85,1085.0,,415.0
,1,HN-789,4,$17.48,69.92,14.6,11.52
27556,5,6308-882,10,$17.96,179.6,14.9,30.6
27556 ,6,FLA50-065,1,13.54,13.54,$12.14,1.4
27556,7,CUTsize8-078,100,83.83,8383.0,$55.26,2857.0
27556,8,ANC3816-039 ,100,$82.02,8202.0,$62.91,1911.0
29444 ,1,ABRsize8-003,10,58.44,584.4,$40.96,174.8
29444,2,LOCM6-053,6,34.55,207.3,$24.10,62.7
29444,3,DRIsize6-105,10,15.69,156.9,10.34,53.5
29444,4,ABR1250-018,100,$38.49,3849.0,$32.56,593.0
28678,1,HEX60-080,25,$37.43,935.75,22.36,376.75
28678,2,CAB1250-008,50,38.86,,$27.86,550.0
28678 ,3,HOSM10-070,1,$17.13,17.13,11.82,5.31
25766,3,6308-882,50,$19.71,985.5,14.9,240.5
28678,4,DRIsize4-017,200,90.94,18188.0,63.95,5398.0
28678,5,,12,31.77,381.24,$26.15,67.44
23086,1,LOCsize8-120,4,$42.19,168.76,$26.70,
23086,2,NIT1375-106,6,$18.19,109.14,11.97,37.32
28952,1,CUT5811-066,2,56.09,112.18,38.77,34.64
28952,,FLA1420-090,50,3.69,184.5,2.17,76.0
29845,2,BRG-6205-IMP,6,3.14,18.84,1.85,7.74
29845,3,LOCM6-130,100,23.36,2336.0,$16.43,693.0
29845,4,ANCsize6-005,1,$174.38,174.38,$115.33 ,59.05
29845,5,LOC1420-087,2,32.07,64.14,22.41,19.32
29845,6,LOC1420-087,25,32.07,801.75,$22.41,241.5
29845,7,,12,32.75,393.0,26.37,76.56
29845,8,CUT3816-058,2,48.13,96.26,$34.73,26.8
26126,1,LOCM10-085,200,12.37,2474.0,9.35,604.0
26126,2,LOC1250-102,1,30.62,30.62,$21.95,8.67
20760,1,LOC1420-087,25,33.85,846.25,22.41,286.0
20760,2,HEXM10-116,4,66.46,265.84,$38.02,113.76
20760,3,SOC2000-025,100,$23.68,2368.0,15.39,829.0
22865,1,HOSsize8-114,2,$39.62,79.24,37.17,4.9
22865 ,2,SOC51618-057,200,,11358.0,$52.87,784.0
22865,3,CUT60-119,4,33.69,134.76,25.84,31.4
22865,4,CABsize4-075,12,7.43,89.16,$5.12,27.72
22865,5,CAB5811-137,6,$22.11,132.66,15.32,40.74
22865,7,HHCS-254,10,33.41,334.1,29.1,43.1
29700,1,DRIM12-083,1,$104.89,104.89,64.39,40.5
29700,2,DRIsize6-105,12,17.22,206.64,10.34,82.56
27864,1,CAB5811-137,12,$24.26,291.12,15.32,107.28
29342,1,ANCM8-040,4,32.95,131.8,29.41,14.16
29342,2,ANC3410-034,3,187.14,561.42,$115.20,215.82
27319,1,FLAM6-031,100,$9.14,914.0,$7.36,178.0
27319,2,HEX60-080,50,37.43,1871.5,$22.36,753.5
27319,3,,50,38.49,1924.5,22.75,787.0
27319,4,CAB80-139,100,8.69,869.0,7.26,143.0
28893,1,CUTM12-054,25,56.89,1422.25,$48.77,203.0
28809,1,DRI2000-048,1,68.23,68.23,43.46,24.77
28809,3,SOC1500-097,12,138.38,1660.56,77.74,727.68
28809,4,FLAsize8-045,25,23.2,580.0,13.89,232.75
28809,5,SOCM10-021,10,70.1,701.0,52.31,177.9
28809,6,B62-454,25,26.42,660.5,17.85,214.25
22296,2,CABsize8-111,10,$21.60,216.0,$13.25,83.5
22296,3,CUTM12-054,1,$70.23,70.23,48.77,21.46
22296,4,HOSM10-070,12,16.75,201.0,$11.82,59.16
22296,5,DRIsize4-077,50,32.55,1627.5,20.09,623.0
22296,6,LOC1420-087,6,35.63,213.78,22.41,79.32
22296,7,ABRM12-095,6,35.3,211.8,$26.15,54.9
26305,1,BRG-6205-IMP,25,$3.32,83.0,1.85,36.75
26305,2,DRIsize6-105,1,$18.17,18.17,$10.34,7.83
26305,3,DRI2000-004,10,$70.73,707.3,45.12,256.1
26305,4,SOC1250-011,6,93.14,558.84,59.42,202.32
26305,5,ANC51618-019,100,85.69,8569.0,53.06,3263.0
28966,1,FLAsize8-029,4,18.1,72.4,11.17,27.72
28966,2,HEX60-080,4,,166.36,22.36,76.92
27041,1,ANC51618-020,3,145.05,435.15,111.15,101.7
27041,2,CAB50-127,4,16.51,66.04,12.31,16.8
27041,3,DRI3816-044,4,72.53,290.12,51.33,84.8
27041,4,SOCsize6-063,12,70.35,844.2,46.81,
28364,5,DRIsize8-138,200,63.25,12650.0,53.24,2002.0
27041,5,FLAM10-028,12,$15.18,182.16,$9.75 ,65.16
27041,6,NIT1250-117,6,$14.39,86.34,8.74,33.9
27041,7,HEX1420-030,12,27.07,324.84,$18.92,97.8
27041,8,FLAsize8-029,50,16.29,814.5,11.17,256.0
28171,1,ANCM8-001,1,138.21,138.21,100.37,37.84
28171,2,ABR1500-059,25,65.59,1639.75,$44.44,528.75
28171,3,ANCM8-040,,$35.47,70.94,29.41,12.12
28171,5,ANC3816-039,200,$90.03,18006.0,$62.91,5424.0
23807,1,NIT80-132,4,$20.68,,$13.63,28.2
24246,1,NIT1250-117,50,14.39,719.5,8.74,282.5
24246,3,FLA1420-002,50,28.1,1405.0,19.51,429.5
,4,LOC1250-102,200,$29.94,5988.0,$21.95,1598.0
24246,5,SOC1250-123,6,104.17,625.02,$69.72,206.7
24246,6,DRIsize8-138,2,63.25,126.5,$53.24,20.02
21553,1,ABRM12-109 ,12,119.93,1439.16,72.03,574.8
21553,2,DRIsize8-138,6,63.25,379.5,53.24,60.06
21553,3,DRIsize4-017,12,90.94,1091.28,$63.95,323.88
21553,4,CUTM6-041,2,65.07,130.14,51.28,27.58
21553,6,DRI3410-068,100,37.89,3789.0,$27.16,1073.0
21553,7,HOSsize8-128,200,$40.85,8170.0,$23.89,3392.0
21553,8,SOC2000-025,6,24.93,149.58,15.39,57.24
23401,1,LOCM6-053,10,41.21,412.1,24.1,171.1
23401,2,DRI3410-068,6,$37.89,227.34,$27.16,64.38
23401,3,CABsize4-075,2,8.15,16.3,5.12,6.06
23401,4,ANCM12-027,1,$61.63,61.63,51.49,10.14
21610,2,DRIsize4-017,4,90.94,363.76,63.95,107.96
21610,3,FLAsize6-134,2,4.54,9.08,2.8000000000000003,3.48
,1,HEX1420-030,12,28.58,342.96,18.92,115.92
21062,2,DRI3410-068,50,39.99,1999.5,27.16,641.5
21062,3,ANC51618-019,200,$85.69,17138.0,53.06,6526.0
21062,4,SOC2000-025,25,$26.31,657.75,15.39,273.0
