NUM,CUSTOMER_ID,SO_NUMBER,SHIPMENT_ID,CUSTOMER_PO_NUMBER,INVOICE_DATE,DUE_DATE,PAYMENT_TERMS,MERCHANDISE_TOTAL,FREIGHT,SALES_TAX,AMOUNT,AMOUNT_PAID,OPEN_BAL,STATUS,DELIVERY_METHOD,GL_REVENUE_ACCOUNT
25881,RFS-CUST0017,16433,SH-50001,4500699836,2025-10-14,13-Nov-2025,2% 10 Net 30,5896.9,0.0,0.0,5896.9,"$5,896.90",0.0,Paid,Mail ,4010
25101,RFS-CUST0012,11231,SH-50002,PO426439,2025-06-24,2025-06-24,COD,"$7,381.00",2267.74,0.0,9648.74,"$9,648.74",$0.00,Paid,Email PDF,"$4,010.00"
27556,RFS-CUST0009,11442,SH-50003,,"Jun 22, 2025",2025-07-22,Net 30,16848.06,0.0,0.0,"$16,848.06","$16,848.06",$0.00,Paid,Mail,"$4,010.00"
29444,RFS-CUST0006,18332,SH-50004,PUR-391329,02/19/2026,2026-03-21,2% 10 Net 30,4797.6,6413.72,0.0,11211.32,"$11,211.32",0.0,Paid ,MAIL,4010
28678,RFS-CUST0023,15761,SH-50005,PO180950,07/25/2025,2025-09-23,Net 60,"$21,465.12",12298.43,1556.22,35319.77,"$35,319.77",$0.00,Paid,Mail,4010
23086,RFS-CUST0007,18008,SH-50006,PO510046,2025-09-29,29-Sep-2025,COD,$277.90,0.0,0.0,277.9,$277.90,$0.00,Paid,Email PDF,4010
28952,RFS-CUST0018,14440,SH-50007,PUR-195495,05/25/2025,2025-06-24,2% 10 Net 30,296.68,2376.9,0.0,2673.58,2673.58,0.0,Paid,Email PDF,"$4,010.00"
28893,RFS-CUST0014,17002,SH-50015,PUR-380041,2025-08-17,"Sep 16, 2025",2% 10 Net 30,,935.96,0.0,2358.21,2358.21,0.0,Paid,Mail,4010
29845,RFS-CUST0016,11008,SH-50008,4500287944,2025-07-02,16-Aug-2025,Net 45,,2055.36,0.0,"$5,939.73",5939.73,0.0,Paid,Mail,4010
26126,RFS-CUST0004,13411,SH-50009,PO845609,2026-03-06,2026-05-05,Net 60,2504.62,0.0,0.0,"$2,504.62",0.0,2504.62,Open,,"$4,010.00"
20760,RFS-CUST0002,14741,,PO716344,18-Nov-2025,12/18/25,Net 30,3480.09,0.0,0.0,3480.09,"$3,480.09",0.0,Paid,Email PDF,4010
22865,RFS-CUST0006,10177,SH-50011,P420898,11/21/2025,"Dec 21, 2025",2% 10 Net 30,12127.92,1928.25,0.0,14056.17,14056.17,0.0,Paid,Portal upload ,"$4,010.00"
