PAYMENT_ID,CUSTOMER_ID,PAYMENT_DATE,METHOD,REFERENCE,AMOUNT,APPLIED_TO_INVOICE,UNAPPLIED,REMITTANCE_SOURCE
RFS-CR00001,RFS-CUST0017,"Nov 13, 2025",ACH,789816,5896.9,25881,0.0,PORTAL
RFS-CR00002,RFS-CUST0012,"Jun 23, 2025",Check,614012,"$9,648.74",25101,0.0,Lockbox
RFS-CR00003,RFS-CUST0009,2025-08-01,Check,495751,"$16,848.06",27556,0.0,Portal
RFS-CR00004,RFS-CUST0006 ,12-Mar-2026,ACH,898326,"$11,211.32",29444,0.0,Lockbox
RFS-CR00005,RFS-CUST0023,2025-10-05,Card,932164,35319.77,28678,0.0,Lockbox
RFS-CR00006,RFS-CUST0007,2025-10-04,ACH,389991,$277.90,23086,0.0,Email remittance
RFS-CR00007,RFS-CUST0018,07/01/25,ACH,606869,"$2,673.58",28952,0.0,BANK FEED
RFS-CR00008,RFS-CUST0016,2025-09-03,Card,440816,5939.73,29845,0.0,Portal
RFS-CR00009,RFS-CUST0002,2025-12-09,ACH,543986,3480.09,20760,0.0,Email remittance
RFS-CR00010,RFS-CUST0006,12/23/2025,ACH,170091,14056.17,22865,0.0,Email remittance
RFS-CR00011,RFS-CUST0010,11/26/2025,Card ,680836,311.53,29700,0.0,Portal
RFS-CR00012,RFS-CUST0018,2025-10-21,Card,528563,978.79,29342,0.0,Portal
RFS-CR00013,RFS-CUST0004,12/22/2025,,400585,"$17,462.56",27319 ,0.0,Lockbox
RFS-CR00014,RFS-CUST0014 ,2025-09-19,ACH,379217,2358.21,28893,0.0,LOCKBOX
RFS-CR00015,RFS-CUST0007,12/12/2025,Check,,5626.17,28809 ,0.0,EMAIL REMITTANCE
RFS-CR00016,,2026-02-09,ACH,210177,3567.01,22296,0.0,Portal
RFS-CR00017,RFS-CUST0001,2025-11-13,Check,199181,"$9,936.31",26305,0.0,Lockbox
RFS-CR00018,RFS-CUST0003,2025-07-10,Wire,320457,$238.76,28966,0.0,Email remittance
RFS-CR00019,RFS-CUST0010,2025-12-10,ACH,354402,"$3,043.35",27041,0.0,Portal
