DISPUTE_ID,INVOICE_NUMBER,CUSTOMER_ID,OPENED_DATE,AMOUNT,REASON_CODE,OWNER_ID,STATUS
RFS-DSP001,24856,RFS-CUST0022,22-Sep-2025,79.63,Pricing,E002,Open
RFS-DSP002,26622,RFS-CUST0015,2025-07-10,59.24,Freight,E002,Open
RFS-DSP003,22127,RFS-CUST0001,2025-11-19,$64.95,Tax charged,E002,Collected
RFS-DSP004,22907,RFS-CUST0007,02-Sep-2025,$277.44,Pricing,E002,Open
RFS-DSP005,27649,RFS-CUST0013,,$139.68,Short shipment,E002 ,Credit issued
RFS-DSP006,24980,RFS-CUST0025,2025-07-25,236.8,Damaged,E002,Open
RFS-DSP007,26661,RFS-CUST0015,2026-01-21,290.78,Pricing,E002,Collected
RFS-DSP008,28061,RFS-CUST0011,26-Sep-2025,228.29,Damaged,E002,Open
RFS-DSP009,24234,RFS-CUST0025,12/11/2025,49.73,Pricing,E002,Collected
RFS-DSP010,24708,RFS-CUST0013,"Aug 26, 2025",42.62,Short shipment,E002,Collected
RFS-DSP011,27049,RFS-CUST0005,21-Aug-2025,145.77,Tax charged,E002,Credit issued
RFS-DSP012,29663,RFS-CUST0008,2025-07-14,167.82,Pricing ,E002,Open
RFS-DSP013,22801,RFS-CUST0002,08/29/25,$183.73,Freight,E002,Credit issued
RFS-DSP014,27424,RFS-CUST0005,2025-08-21,76.66,Pricing,E002,Credit issued
RFS-DSP015,26983,,09/10/25,356.7,Unknown deduction,E002,Open
RFS-DSP016,25138,RFS-CUST0007,2025-12-28,$182.74,Pricing,E002,Collected
RFS-DSP017,27038,RFS-CUST0025,2025-09-05,365.85,Damaged,E002 ,Open
RFS-DSP018,26427,RFS-CUST0020,01/25/26,$215.74,Damaged,E002,OPEN
RFS-DSP011,27049,RFS-CUST0005,21-Aug-2025,145.77,Tax charged,E002,Credit issued
RFS-DSP019,22284,RFS-CUST0013,2026-02-23,298.67,Freight,E002,Credit issued
RFS-DSP020,23092,RFS-CUST0006,2025-10-06,$82.61,Unknown deduction,E002,Open
